text,entity_idx,start_pos,end_pos,score
"Кстати, интересно, что акции компаний, которых «доили» в прошлом году, могут чувствовать себя увереннее ближайшие пару недель. У них уже особо нечего забирать) В основном это касается нефтегазового сектора. Правда проблем и без налогов там хватает.  А вот #SBER и #PHOR видятся главными пострадавшими от возможного «добровольного доната» государству.  @IF_Stocks | youtube | аналитика и обучение",150,257,260,2
"Кстати, интересно, что акции компаний, которых «доили» в прошлом году, могут чувствовать себя увереннее ближайшие пару недель. У них уже особо нечего забирать) В основном это касается нефтегазового сектора. Правда проблем и без налогов там хватает.  А вот #SBER и #PHOR видятся главными пострадавшими от возможного «добровольного доната» государству.  @IF_Stocks | youtube | аналитика и обучение",187,265,268,2
"Кстати, интересно, что акции компаний, которых «доили» в прошлом году, могут чувствовать себя увереннее ближайшие пару недель. У них уже особо нечего забирать) В основном это касается нефтегазового сектора. Правда проблем и без налогов там хватает.  А вот #SBER и #PHOR видятся главными пострадавшими от возможного «добровольного доната» государству.  @IF_Stocks | youtube | аналитика и обучение",150,257,260,2
"Оцените красоту схемы с #EUTR  1. памп бумаги из первого котировального списка — это было не просто смело, это было...ну сами знаете  2. пампить начали за 10 минут до окончания торгов. Соответственно, Мосбиржа просто не успевала включить дискретный аукцион. Следовательно, удалось поднять цену не на 20%, а на все 35%  3. по состоянию на сейчас памп продолжается, но с более высокой базы. Бумага летает где-то снаружи всех измерений на уровне ₽450  Что тут делать розничному инвестору?  Решайте сами :) А мы бы бумагу продали, если она есть в портфеле.  Не является инвестиционной рекомендацией  @IF_Stocks",272,25,28,5
"Оцените красоту схемы с #EUTR  1. памп бумаги из первого котировального списка — это было не просто смело, это было...ну сами знаете  2. пампить начали за 10 минут до окончания торгов. Соответственно, Мосбиржа просто не успевала включить дискретный аукцион. Следовательно, удалось поднять цену не на 20%, а на все 35%  3. по состоянию на сейчас памп продолжается, но с более высокой базы. Бумага летает где-то снаружи всех измерений на уровне ₽450  Что тут делать розничному инвестору?  Решайте сами :) А мы бы бумагу продали, если она есть в портфеле.  Не является инвестиционной рекомендацией  @IF_Stocks",103,201,208,1
"Еще в мае мы делали распаковку акций Самолета и пришли к выводу, что компания — ракета, а не самолет) С того момента она выросла на 50% и еще объявила о байбэке и купила группу МИЦ. Если коротко, то наших основных тезиса за рост два: крупнейший земельный банк, выход в новые регионы.  Банки и брокеры разделяют это мнение и систематически повышают таргеты. Аналитики Газпромбанк Инвестиции, например, повысили целевую цену на акции Самолёта сразу до 5 200 рублей до конца года (при текущей 3 820).",56,37,44,5
"Еще в мае мы делали распаковку акций Самолета и пришли к выводу, что компания — ракета, а не самолет) С того момента она выросла на 50% и еще объявила о байбэке и купила группу МИЦ. Если коротко, то наших основных тезиса за рост два: крупнейший земельный банк, выход в новые регионы.  Банки и брокеры разделяют это мнение и систематически повышают таргеты. Аналитики Газпромбанк Инвестиции, например, повысили целевую цену на акции Самолёта сразу до 5 200 рублей до конца года (при текущей 3 820).",56,93,99,5
"Еще в мае мы делали распаковку акций Самолета и пришли к выводу, что компания — ракета, а не самолет) С того момента она выросла на 50% и еще объявила о байбэке и купила группу МИЦ. Если коротко, то наших основных тезиса за рост два: крупнейший земельный банк, выход в новые регионы.  Банки и брокеры разделяют это мнение и систематически повышают таргеты. Аналитики Газпромбанк Инвестиции, например, повысили целевую цену на акции Самолёта сразу до 5 200 рублей до конца года (при текущей 3 820).",56,432,439,5
"Лукойл занимает сейчас больше 15% индекса, отсюда и такая реакция.  @IF_Stocks",111,0,5,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",227,137,140,4
