time,text
2024-04-13T10:01:48.292+03:00,{$ABIO} грусть тоска
2024-04-12T17:44:42.290+03:00,{$ABIO} епнулся чели?! КОСМОС в другой стороне!!!😁
2024-04-12T15:15:38.713+03:00,{$ABIO} задрот!
2024-04-12T14:16:25.805+03:00,"{$ABIO}💥 Артген биотех на PROFIT CONF
 
Завтра, 13 апреля, директор Артген биотех Сергей Масюк выступит на конференции по инвестициям и трейдингу в России и расскажет про:

✔️ опыт компании Артген биотех на рынке капитала
✔️инвестиционный цикл биотехнологических компаний
✔️ экосистему Артген биотех
✔️ обновленную стратегию компании на 2024-2026 годы
 
Ждем вас в зале 7, в 11:20
Кинотеатр «Октябрь»
Москва, ул. Новый Арбат, 24

❗️Купить билеты еще не поздно!
 
PROFIT CONF- масштабное деловое мероприятие для частных инвесторов на российском рынке акций

1500 участников 
9 часов работы нон-стоп
30+ спикеров
20+ эмитентов
30+ СМИ"
2024-04-12T11:47:04.969+03:00,"{$ABIO} Это Габелла, господа! Расходимся!"
2024-04-12T10:29:42.873+03:00,"{$ABIO}
Товарищи эксперты, пора усреднять?"
2024-04-12T10:29:07.902+03:00,"{$ABIO}
127,98 - 131,46 - мощная зона сопротивления.  Снизу у нас динамическая поддержка в виде направляющей бирюзового цвета и скользящих средних (зона выделена эллипсом). 
Считаю, что от этой поддержки цена оттолкнётся и пойдёт к зоне сопротивления. 
Похоже, что формируется диагональный треугольник, а это значит, что волна 5 должна сходить на перехай."
2024-04-12T10:23:03.465+03:00,"{$ABIO} На пиво хватит, всех с пятницой и днем космонавтики 🍻"
2024-04-12T10:06:06.800+03:00,"{$ABIO} ну, и где ракеты?"
2024-04-12T08:54:05.458+03:00,{$ABIO}
2024-04-12T07:13:39.166+03:00,{$ABIO} ABIO в космос!!! Всех с днем космонавтики 😉
2024-04-12T02:05:39.449+03:00,{$ABIO} ☹️☹️
2024-04-11T16:18:53.783+03:00,{$ABIO} что опять?
2024-04-11T14:12:15.338+03:00,"{$ABIO} пробьет 111, дальше к 105 пойдет"
2024-04-11T13:57:01.362+03:00,"{$ABIO} на пол года замариновали всех, будет вероятно позти к 100-80."
