time,text
2024-04-12T14:16:47.129+03:00,{$ABRD} ну что дно сегодня где?
2024-04-12T01:26:43.687+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Чехов_VIP
{$ABRD} всю позицию закрываю в ноль. 
Долго держали, пришло время закрыть и забыть.
Свободный кэш от {$ABRD} паркуем в {$LQDT}
Сейчас около 48% кэша в $LQDT. 
Пока так, но когда подойдем к достойным уровням по рынку = перейдем частично в акции, а потом с акций перейдем уже в ОФЗ.

{$SBER} покупка 5% от депо. 
С потенциалом увеличения до 20% от депо. 
Идея простая. 
В {$SBER} планируется СД по дивидендам до конца апреля. 
Не исключаю, что проведут в 20-х числах. 
Сама информация по СД = позитив + переоценка в сторону 311-315-318 в лучшем сценарии. 
Апсайд небольшой, но и падать особо некуда. 

Рынок не считает, что СД в апреле. Как минимум потому, что ГОСА перенесли на поздний срок. 
Но я предполагаю, что оно будет в апреле. Для рынка это может быть приятной неожиданностью, резкие покупки по рынку вероятны. 

Ну и если посмотреть на {$LKOH}, то его тарят после дивиденда дальше. Такая же судьба может быть и у {$SBER} = если мы закладываем финальный задерг по рынку, то явно {$SBER} как самая ликвидная история будет его отыгрывать. 

Дивиденд 33 рубля будет без повышения пэйаута. Без сюрприза на мой взгляд, но рынок все равно должен переставить историю выше!

Чем то история лонг #Сбербанк  напоминает наш лонг $MTSS. 
Драйверы очень похожи, только у #МТС драйвер для роста дивиденд + IPO дочерней компании, а у #Сбер драйвер дивиденд + огромное количество денег у крепких ребят, которым просто некуда вложить кэш.

#МТС под хай закрывается + {$GAZP} сегодня 165 пробил. Неплохо 

{$VKCO} слабо идет, но будет докупать, мне нравятся акции. Просто видимо много народу зашло в эту историю, вот и выбивают людей.

Сегодня цена на газ в Европе +7% за день. Это не так много, но все же 

Это может оказывать позитивное влияние на $GAZP. 
Да, сейчас небольшая взаимосвязь, но на рынке много денег, {$GAZP} могут переоценить на любом небольшом позитиве. Так что лонг держим.

#Гудвин_VIP
Решился на одну сделку, весьма не плохую. Давно напрашивается в рост, несколько раз покупал она хитро всех сбрасывала, теперь похоже готова в рост. Взял по текущим цель хорошая в сторону 360-380 руб.

{$BSPB} Описание к посту выше: Решился на одну сделку, весьма не плохую. Давно напрашивается в рост, несколько раз покупал она хитро всех сбрасывала, теперь похоже готова в рост. Взял по текущим цель хорошая в сторону 360-380 руб.
Покупка 318,10
Стоп 301
Профиты  331,00 и 341 и 348,80 и 363,80

#FutureTradingPremium
🏦 {$SRM4} 
Сбер красиво копит
Более агрессивная идея:
Шорт ниже 31620 👇

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-11T23:17:48.341+03:00,"Доброй вам ночи! Актуальные анализы Мечела, Абрау Дюрсо и Башнефти

• Анализ Мечела - https://www.tinkoff.ru/invest/social/profile/Capital_of_Bull/44804b84-e444-45d0-bd82-b0fa2801273c?utm_source=share

• Анализ Абрау Дюрсо и Башнефти - https://www.tinkoff.ru/invest/social/profile/Capital_of_Bull/8ff72001-c6a4-430b-bec2-7d2d8933e576?utm_source=share

{$MTLR} {$MTLRP} {$ABRD} {$BANE} {$BANEP}"
2024-04-11T22:10:07.399+03:00,"•Небольшой Разбор:
{$RBCM} чётко отработала цель✅ от идеи 09/04/2024
( закрыл в +13%)🔥
{$ABRD} тоже отработала цель✅ от идеи 09/04/2024
( продолжаю держать, сейчас +4% от идеи)
Мои цели по этой бумаге 330-340🆙
( НЕ ИИР )
•От остальных жду отработку ✅
•Ссылка на пост: https://www.tinkoff.ru/invest/social/profile/Student_investor_ht/8f93c16c-05d0-4e08-b797-020ff4f80d83/"
2024-04-11T21:45:43.389+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#klepssignal
Рынок пытается идти выше 
Поэтому остатки {$AAPL}  и SoXS  лучше полностью закрыть в убыток
Но AAPL  остается слабее рынка 
Так и топчется на 168
Для нового шорта сместим точку на 167$ 
При её пробитии открою новый шорт 
Sp500 чудесное открытие )обманные маневры )) не торопимся .

#TSLA  шорт сегодня , если пробьет 170$, тогда цели могут быть : 168-165$
TSLA  пробила 170$
Стоп на данный момент за 174$
TSLA  стоп можно двигать к ~170,5$
Sp500 красиво подошел к вчерашнему минимуму 
Увидим ли дальнейшее снижение или сила покупателей вступит ))

{$DDOG}  комфортный лонг с текущих 129,8$
Ориентировочная цель 132-135$
#ddog  стоп за минимум дня ~126$

#TSLA  новый шорт при пробитии 168$
Sp500 изматывающий) ниже 5130 не пошел

#On_fleek
⭐️ Купил Абрау Дюрсо {$ABRD} по 293,2 руб на 5% от портфеля. Краткосрочно. Категория риска: высокая. Низкая ликвидность - покупать лимитными заявками не дороже +3% от указанной цены.

#FullTimeTrading
Кстати, не забываем смотpеть на 10 SMA. На недельных она имеет пpиличную важность
 
ЛОНГ {$AAPL}
3% ПОЗИЦИЯ
ВХОД: 169.31
-3% pиска

Поставил стоп-лимит и у нас Free-ride на 1 млн дол.

ЛОНГ {$AAPL}
3% ПОЗИЦИЯ
ВХОД: 170
-3% pиска

{$SPY} позиция закpылась в БУ

Что мне нpавится в моменте и почему мы уже начали откpывать СВИНГ

1. S5TW у 30% и пытается наpисовать молот (В идеале было бы увидеть его на 20%)

2. SPY коснулся 10 MA W

3. VIX pисует сумасшедшую падающую звезду

Но SPY и ES имеют сильное сопpотивление на 20 EMA

Поэтому наблюдаем с теми позициями что есть в нашем поpтфеле

#СВИНГ
ЛОНГ {$AAPL}
4% ПОЗИЦИЯ до 10%
ВХОД: 171.62
-5% pиска

Закpытие сегодня многое покажет

ЛОНГ {$DIS}
10% ПОЗИЦИЯ
ВХОД: 118.18
-3% pиска

Смотpим на последние минуты тоpгов, чтобы добавить ещё одну позицию в напpавлении тpенда

#AnTraiding
Предыдущий скальпинг дал 0,6% почти.
Зайду ещё раз )
{$VTBR}
Поиграться 👆

Знаете чем ещё хорош #ВТБ?
Ни тем, что с учётом инфляции и роста доллара, он может вообще ничего не дать заработать, как и любая российская акция сейчас почти, а тем, что волатильность у него небольшая и если будет падать рынок РФ, особенно перспективные акции, которые выросли сейчас более чем на 100-500%, из ВТБ, который думаю упадёт не так сильно как остальные, можно будет переложить деньги в те компании, которые достаточно сильно снизятся и заработать на этом космическую прибыль…
Возможно даже банковский сектор будет чувствовать себя немного лучше остального рынка и акции ВТБ смогут удержаться при коррекции в том диапазоне, по которому мы купили сейчас, когда остальные товарищи будут лететь ниже.

Думаю вряд ли у кого-то получится просто так хранить кэш на рынке, ничего не покупая, ожидая лучших времен).

Кроме того сейчас ВТБ на операционном столе и все говорит о том, что пациент будет скорее жить, чем умрет)).
Не стоит надеяться тут на космическую прибыль, хотя и она возможна на протяжении двух лет)

И ещё раз скальпинг дал почти 0,5%,
На больших суммах – очень даже хорошо получается зарабатывать ))

{$VTBR}
Очень большие объемы и бурный рост на вечерней сессии у Газпром…

{$GAZP} 170 думаю придёт уже через день другой )
Мы сегодня уже значительно увеличили долю в Газпром, сейчас ещё добавляю немного…
 по-нашему мнению до конца вечерней сессии запросто может подпрыгнуть ещё на 1% или более.
Например с 20 000 000 руб. это + 200 000 руб. за пару часов )).

#day_capital_pro 
{$AGRO} (РусАгро) 1444₽
Буду ожидать коррекции, после которой в краткосрок зайдём в лонг. Сценарий не очень высоковероятен, однако при таком раскладе у нас с Вами будет хорошая возможность войти.

#TSLA для тех кто не закрыл тэйк полтора процента пришел.
Иногда стоит заходить на суммы чуть меньше и ставить стопы чуть больше …
Будет уроком

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-11T19:22:29.858+03:00,"📌 #Новости 

•ЦБ поддержал идею освобождения от НДФЛ дивидендов на ИИС.

•Reuters: Для борьбы с дефицитом в РФ могут снизить требования к качеству бензина {$GAZP}

•Крупнейший производитель вина «Кубань-Вино» (один из конкурентов публичной компании Абрау-Дюрсо {$ABRD} ) перешел в собственность Российской Федерации — соответствующая информация появилась в ЕГРЮЛ. 

•Банки дружественных стран увеличили число отказов в проведении платежей, связанных с Россией, рассказал глава ВТБ {$VTBR} Андрей Костин. Если год назад для проведения трансграничных платежей нужно было просто исключить из цепочки расчетных маршрутов банки {$SBER} под SDN-санкциями и не использовать SWIFT, то теперь центральной проблемой становится сама география — назначение России сразу создает проблемы для расчетов. 

•Coinbase {$COIN} внедрила покупку криптовалюты через Apple Pay {$AAPL} в Великобритании.

💼 Полный состав своего портфеля и все происходящие в нем изменения стабильно абсолютно бесплатно выкладываю в своем Пульсе каждую неделю, поэтому
✅Подписывайтесь, если Вам интересно😉

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест #Портфель #Акции"
2024-04-11T17:47:52.465+03:00,"⚡️ Сделки внутри дня:

От такого рынка, как сегодня устаёшь больше всего. Сложно, когда нет ярко выраженной динамики в его движении. 

Не правда ли, прекрасная возможность не сидеть сегодня у монитора и отдохнуть от торговли. Вечером обязательно прогуляюсь по прекрасному Петербургу, в которой я когда-то переехал по зову сердца. 

Но хватит лирики, хочу по доброй традиции поделиться с вами сделками внутри торговой сессии:

📌 Выплата дивидендов:

НОВАТЭК {$NVTK} – выплаты пришли на два разных брокерских счета: портфель «трейдинг» +705Р и «дивидендный» +661Р

📌 Частичная продажа в спекулятивном портфеле:

✅️ Фиксирую 1/3 по лонгу Абрау-Дюрсо {$ABRD} по 299Р это +16.7% Цели по компании гораздо выше, как минимум жду отметок 366Р, но в рамках риск-профиля, принял именно такое решение.

📌 Увеличил долю в портфеле:

ИНАРКТИКА {$AQUA} цена покупки 919Р. Доля в портфеле 3.3% в плюсе на 7.5%. Сильный уровень поддержки MA 200 находится на отметках 881Р до него осталось, чуть больше 4% - при достижении цены – готов буду подкупить. Мнение о компании писал в предыдущих постах.

А вы сегодня совершали сделки?

'Не является инвестиционной рекомендацией"
2024-04-11T17:11:58.712+03:00,"{$ABRD} чаша с ручкой , но немного в другую сторону"
2024-04-11T17:08:31.165+03:00,"{$ABRD} закрыл) 272 средняя, завтра подешевле вощьму"
2024-04-11T16:57:39.525+03:00,"{$ABRD} спасибо, успел закупиться)"
