time,text
2024-04-13T16:27:40.181+03:00,{$AFKS} лайк кто в лонг
2024-04-13T14:38:42.174+03:00,"КОНФЕРЕНЦИЯ PROFIT

Очень интересная программа, супер спикеры, хорошая площадка и организация. Спасибо большое за приглашение @Malishok___NZT_GIF_PROFIT

Инвестиционные идеи, которые для себя записала: 
•Лукойл {$LKOH}
•Самолет {$SMLT}
•АФК СИСТЕМА {$AFKS}
•Озон {$OZON}
•IT компании из корпоративного рынка и их новые IPO

Про завершающий буллит напомню про наш классный выпуск по ссылке: https://m.youtube.com/watch?si=h-hklTimUuYLOC3P&v=27edsIoOwkY&feature=youtu.be

#инвестидеи #profitconf"
2024-04-13T14:11:55.718+03:00,"Торговый дневник MOEX. Неделя 16: 08.04. – 12.04.24

Что было на неделе.
Отчитались по МСФО 2023 г.: Globaltrans {$GLTR}, Магаданэнерго (MAGE), МГКЛ {$MGKL}, Славнефть-Янос (JNOS), АФК Система {$AFKS}, Ozon {$OZON}, Позитив {$POSI}, Южный Кузбасс (UKUZ).

Globaltrans продолжаю держать, доля не изменилась, остальное вне моего портфеля.

Плюс отчитался в конце прошлой недели ЦМТ (WTCM). Бумага проходит в портфель по цифрам. Начал набор позиции ЦМТ п (WTCMP).

Кроме того, поучаствовал в ППР компании Займер {$ZAYM}, распределение составило 13% от заявки, докупил на открытии по цене размещения. Бумага проходит в портфель по цифрам, буду держать. 

Итого в портфеле сейчас 18 акций.

В портфеле осталось 3 компании, которые еще не отчитались за 2023 г. по МСФО: Сургут, ДВМП и АМЗ.

Сделок по продаже бумаг на этой неделе не было, таблица без изменений. Потихоньку наращиваю позицию в бумагах в соответствии со своей стратегией."
2024-04-13T10:54:26.723+03:00,"{$AFKS} хух, успел купить)"
2024-04-13T10:54:20.509+03:00,"{$AFKS}
В России вырастут цены на гостиницы, если в стране введут туристический налог, считает депутат Наталья Костенко. Власти обсуждают ставку в 3% от цены проживания в отеле. По её словам, налог скажется на ценах для потребителей, потому что гостиницы и другие места размещения тут же включат это в свои расходы."
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
2024-04-13T10:46:57.910+03:00,"{$AFKS} не понял, открыли на 45 минут торги и закрыли, че за фокусы?"
2024-04-13T10:42:27.015+03:00,"‼️Чуток пополнил баланс, все что не идет в конкретные позиции, пока будет аккумулироваться в {$LQDT} 

А вы не забыли про главный риск для Российского рынка в этом году ?

По многим инвест идеям тейки на покупку расставлены, с рынка не тороплюсь брать 😎🤞🏻

{$SVCB} - Раставил ступенчато тейки на покупку, на случай коррекции. Из банков выделяю. Но и про потенциальную частичную мобилизацию не забываю, в виде самого большого риска для нашего рынка🤞🏻

{$GLTR} - Также дешевая по мультипликаторам компания, откуп запланировал лишь в случаи серьезного отката. На нашем рынке основной триггер роста это дивиденды потенциальные, но до них не скоро. И есть риск не выплаты Россиянам в связи с инфраструктурным поводом. 

{$FIVE} - Тут у меня на текущий момент самая крупная позиция. И самая уверенная в долгосрочном плане, даже с учетом потенциальной мобилизации. Внутренний рынок, продуктовый ритейл будет иметь спрос даже в самые сложные периоды. И триггер к росту в виде огромного потенциального дивиденда сохраняет апсайд😎🤞🏻


{$AFKS} - Тут после фиксации большей части, оставил небольшую позицию. При прогреве ближайших ipo, допускаю полную фиксацию😎

{$SNGS} - С учетом всех рисков с мобилизацией, девальвацией рубля во второй части года. На мой взгляд это одна из лучших инвест идей. Расставлены тейки на покупку, но допускаю что рынок может не дать купить сильно ниже. Несколько раз продавал спекулятивно, и пока нет позиции 😎🤞🏻

{$ETLN} - Из застройщиков конечно же Эталон, самый быстро растущий застройщик страны. Есть позиция небольшая, Добор ступенчатый, лишь при коррекции 😎🤞🏻

⁉️И вы мне расскажите коллеги, в какую инвести идею больше всего верите сейчас, что должно вырасти больше всего до осени этого года ?😎🤞🏻


‼️Если прочли до конца, просьба поддержать своим душевным и добрым лайком заряженным на взаимный успех❤️🤞🏻🤞🏻🤞🏻


#новичкам #пульс #инвестиции #акции #валюта #доллар #рубль #идеи #идея #россия"
2024-04-13T10:11:47.340+03:00,"{$AFKS} ох чую одним местом. Металлистом всю неделю будут щемить, с мы наоборот рости по чуть чуть-чуть"
2024-04-13T09:40:27.409+03:00,"ТОП-12 акций, показавших максимальный рост🚀 и объем💪 за неделю с 8-12 апреля.
Рост золота обусловил лидерство золотодобытчиков🏆 Рост {$RNFT} остается  загадкой, и пока одни пытаются выяснить причины, другие зарабатывают на этом росте💸

Топ 6: Рост				            Топ 6: Объем*	
{$UGLD}	17,7	                          	{$RNFT}	13,4
{$ENPG}	11,9	                          	{$SBER}	7,0
{$RUAL}	11,2	                          	{$PLZL}	6,1
{$SPBE}	9,8	                          		{$AFKS}	5,6
{$LSRG}	9,4	                          		{$GMKN} 5,4
{$PLZL}	9,0	                          		{$LKOH}	4,4
* среднедневной оборот, млрд. руб.

#пульс_оцени
#ТОП12"
