time,text
2024-04-13T16:32:34.144+03:00,"ЭХХХ НАСТОЛЬГИЯ 🥲😌💰

{$UWGN} {$LNZL} {$ROSN} {$AFLT} {$ETLN}"
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:26:21.170+03:00,"{$AFLT} а почему в стакане покупают по 50,74, а продать могу только по 50,58 типа лучшая цена?"
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T14:03:18.572+03:00,"Яндекс {$YNDX}  с конца мая находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции ""Треугольник"", указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии.

Ближайшей целью выступит коридор цен 4100 - 4150 руб., дальней целью - цена 4300 руб.


Сбербанк {$SBER}  не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб., около которой проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции ""Голова и плечи"".

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки.


Сургут обычка {$SNGS}  в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции ""Треугольник"" и закрепление над линией часового индикатора по итогу торгов пятницы.


ГАЗПРОМ {$GAZP}  вторую неделю торгуется около своих ближайших дневных максимумов. В результате чего котировки формируют конструкцию ""Восходящий треугольник"". 

Текущее формирование часовой концентрации около верхней линии конструкции способствуют её дальнейшей реализации в результате чего котировки могут отрасти к дневному уровню сопротивления, который проходит около цены 169 руб. 

Аэрофлот {$AFLT}  смог обновить свои прошлые дневные максимумы. В тоже время сессию котировки закрывают коррекцией в результате которой произошло новое закрепление под линией часового индикатора.

Технически картинка вновь способствует снижению, где ближайшей целью выступит восходящая линия тренда, которая в моменте проходит около цены 49,7 руб.

Индекс #imoex продолжил торговлю около верхней границы дневного торгового коридора. Я думаю что при отсутствии дополнительного позитива, российский рынок в течении новой недели перейдёт к фазе коррекции нижней границей которой может выступить цена 3400 руб.

Закрытие текущей вечерней сессии под линией часового индикатора увеличит шансы на описанный выше сценарий.

Источник: Тех. Анализ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #теханализ"
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T13:24:26.591+03:00,{$AFLT}🚀🚀🚀
2024-04-13T13:11:53.330+03:00,{$AFLT} может сразу на 60? Внебиржевая а растёт слов нет
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
