time,text
2024-04-13T15:37:46.716+03:00,{$AGRO} {$GCHE}  Первая партия невинно убиенных пятачков прибыла в Поднебесную.
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T08:36:18.436+03:00,"{$GLDRUB_TOM},{$SIBN},{$AGRO}
Всем привет, друзья 🤝🐳
Эта неделя у меня тяжелая, работы было очень много.
Поэтому без обид😇 Буду стараться войти в русло и вновь надоедать вам своими постами😁
По всей видимости впереди нас ждет товарный супер цикл и золото 🥇 будет еще выше ⬆️
Инфляция в сша 🇺🇸 так же будет увеличиваться, скорее всего ставку вообще могут в этом году не понизить.
Мои цели 🎯 по прежнему остаются:
Золото 🥇 8000-10000 ₽
{$SIBN} 820 ₽ и выше ⬆️ 
{$AGRO} 1800-2000₽ и выше ⬆️ 
Евро бакс 1.10
BTC 100 k$

Кстати евро бакс сильно льют, возможно дадут еще ниже, буду смотреть на след.неделе!
Всех обнял, жму руку, хороших вам выходных и профита!💵💰💛"
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:45:25.775+03:00,"{$AGRO} если я тоже все правильно понял, то да, действительно, получается голова с плечами 👤
Ждем ракету тогда 🚀"
2024-04-12T22:18:04.242+03:00,"Закрытие дня {$MOEX} : 

Индексы 🔽 

✅️  Индекс Мосбиржи 3 456,24      +0,49%
✅️  RTS                              1 165,53      +0,27%

Валюта 🔽 

{$USDRUB}        93.43         +0,17%    Доллар
{$CNYRUB}        12.85         +0,01%    Юань 

Лидеры роста и падения акций входящих в Индекс МосБиржы 👇

Лидеры роста 🟢: 

✅️ Полюс {$PLZL}                                  +3,81%
✅️ Норникель {$GMKN}                       +2,96%
✅️ Селигдар {$SELG}                             +2,47%
✅️ РУСАЛ {$RUAL}                                 +2,15%
✅️ En+ {$ENPG}                                       +2,09%

Лидеры падения 🔴:

🔻Ozon {$OZON}                                       -1,29%
🔻Мечел ап {$MTLRP}                           -1,24%
🔻Аэрофлот {$AFLT}                               -0,98%
🔻Мечел {$MTLR}                                    -0,92%
🔻PycArpo {$AGRO}                                 -0,84%

Всем хорошего вечера!👍"
2024-04-12T20:51:00.560+03:00,{$AGRO} на следующей неделе отправляемся🚀🚀🚀
2024-04-12T20:37:41.235+03:00,"[&Инвест Мечта РФ](https://www.tinkoff.ru/invest/strategies/d17a32ef-d627-4df3-82ba-fc5073994ac8)
Приветствую
Состоялся 5 торговый день стратегии авто следования. 
Были открыты 0 позиций. 
Были закрыты 0 позиций. 
Были удержаны: 
•{$GAZP} 
•{$NVTK}  
•{$CHMF}
•{$TDIV}
•{$AGRO} 
•{$RU000A106ZL5}
Я очень стремлюсь, оправдать Ваши ожидания.
Спасибо за внимание."
2024-04-12T20:29:48.649+03:00,"{$AGRO} к посту ниже...я тоже провел теханализ...и вот что у меня вырисовывается по русагро...не судите строго, в теханализе 3 минуты"
2024-04-12T20:18:51.283+03:00,"{$AGRO} кто в теханализе разбирается, подскажите правильно понимаю что вырисовывается фигура голова и плечи?"
