time,text
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T11:12:01.395+03:00,"Заходите в профиль подписывайтесь 🥝 🥝 🥝 
На следующей неделе нас ожидают #корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК
 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
 {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T10:56:09.741+03:00,15 апреля понедельник {$AKRN} СД по выплате дивидендов за 2023 год
2024-04-13T10:42:14.788+03:00,"📈 Внимание, инвесторы и финансовые энтузиасты! На следующей неделе нас ожидает насыщенная агенда ключевых событий на рынке акций. Вот что вас ждет:

🗓 ПОНЕДЕЛЬНИК, 15.04.2024:
💰 {$AKRN}: Компания Акрон объявит свои рекомендации по дивидендам. Держите руку на пульсе!

🗓 ВТОРНИК, 16.04.2024:
🤐 {$FIVE}: X5 Retail Group представит операционные результаты за первый квартал 2024 года. Обязательно стоит обратить внимание!

🗓 СРЕДА, 17.04.2024:
😄 {$LSRG}: Группа ЛСР анонсирует ВОСА по дивидендам за 2023 год на уровне 100 рублей на акцию.
😏 {$LIFE}: Фармсинтез проведет ВОСА по вопросу допэмиссии акций.
🧩 {$PMSB}: Пермэнергосбыт обсудит распределение прибыли и выплату дивидендов за 2023 год.
☺️ {$EUTR}: «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты, при этом последний день акцепта – 17 апреля.

🗓 ЧЕТВЕРГ, 18.04.2024:
🚂 $POS I: Группа Позитив объявит последний день с дивидендом в размере 47,3 рублей на акцию.
💨 {$TGKN}: ТГК-14 рассмотрит вопрос дивидендов за 2023 год.
🔨 {$TRMK}: ТМК также обсудит вопрос дивидендов за 2023 год.
🫤 {$MGKL}: Мосгорломбард поднимет вопрос дивидендов за 2023 год.

🗓 ПЯТНИЦА, 19.04.2024:
😏 {$GCHE}: Группа Черкизово проведет последний день выплаты дивидендов за 2023 год в размере 205 рублей на акцию.

Эта неделя обещает быть горячей для всех, кто интересуется инвестициями и финансовым рынком. Не упустите возможность обновить свой инвестиционный портфель или сделать стратегические шаги, основываясь на последних новостях и аналитике! 

#инвестиции #финансы #дивиденды #рынокакций #финансоваянеделя"
2024-04-13T10:40:34.382+03:00,"След. Неделя. События.

15.04.2024 - ПОНЕДЕЛЬНИК
💰 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
🤐 {$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
😄 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
😏 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
🧩 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
☺️ {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
🚂 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
💨 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
🔨 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
🫤 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
😏 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) .

Пожалуйста!"
2024-04-13T10:17:41.895+03:00,"💎 КОРПОРАТИВНЫЕ СОБЫТИЯ СЛЕДУЮЩЕЙ НЕДЕЛИ:

*12 апреля 2024 не было сообщено о результатах события:

 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.

 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты. 

 {$NSVZ}  - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты. 

🟢15.04.2024 - ПОНЕДЕЛЬНИК

 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

🟢16.04.2024 - ВТОРНИК

{$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🟢17.04.2024 - СРЕДА

 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

🟢18.04.2024 - ЧЕТВЕРГ

🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

🟢19.04.2024 - ПЯТНИЦА

🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

🟢21.04.2024 - ВОСКРЕСЕНЬЕ

🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T09:02:10.174+03:00,"#календарь #события

⚡️ Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ}  - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

-"
2024-04-12T22:01:51.417+03:00,"Главное за сегодня

📌 Российский рынок акций сегодня продолжил подъем на фоне сырьевого ралли - подорожала нефть (Brent поднималась к $92 за баррель) из-за опасений эскалации геополитической напряженности на Ближнем Востоке, также выросли промышленные и драгоценные металлы, причем золото обновило свой максимум. Индекс МосБиржи на фоне ослабления рубля протестировал 3 460 пунктов, обновив пик с февраля 2022 года, при этом лидировали в росте акции металлургов во главе с золотодобытчиком ПАО ""Полюс"" {$TMOS}

📌 Внешнеторговое сальдо РФ в январе-феврале 2024 года сократилось по сравнению с аналогичным периодом 2023 года на 14,6% и составило $16,9 млрд - данные Федеральной таможенной службы

📌 Реальный эффективный курс рубля к корзине валют государств - основных торговых партнеров России в марте 2024 года вырос на 0,8% по отношению к февралю - оценка ЦБ РФ {$CNYRUB}

📌 МЭА снизило прогноз спроса на нефть в 2024 году на 130 тыс. баррелей в сутки, он составил 102 млн б/с из-за слабых показателей потребления в первом квартале, а также опасений, что высокие цены на нефть подорвут спрос {$LKOH} {$ROSN}

📌 Добыча нефти в России в марте оставалась в целом стабильной на уровне 9,42 млн баррелей в сутки, подсчитали аналитики МЭА. Общий объем производства нефти, конденсата и ШФЛУ составил 10,9 млн баррелей в сутки. МЭА напоминает, что с апреля Россия обязалась ещё больше сократить добычу нефти

📌 Экспорт российской нефти и нефтепродуктов в марте вырос на 210 тыс. баррелей в сутки по сравнению с предыдущим месяцем - до 7,84 млн б/с (на 2,8%), а доходы от нефтеэкспорта упали на 20% - до $9,3 млрд, говорится в ежемесячном отчете МЭА

📌 ВЭБ.РФ, выполняющий функции государственной управляющей компании (ГУК) по управлению пенсионными накоплениями граждан, обеспечил по итогам первого квартала 2024 года доходность по расширенному портфелю на уровне 7,02% в годовом выражении. По портфелю госбумаг доходность за тот же период сложилась на уровне 8,39%

📌 МТС-банк объявил о намерении провести IPO обыкновенных акций на Московской бирже. Инвесторам будут предложены акции банка, выпущенные в рамках дополнительной эмиссии. Привлеченные средства будут направлены на реализацию стратегии роста и дальнейшее масштабирование высокомаржинального розничного бизнеса банка {$MTSS}

📌 Пассажиропоток Аэрофлота в марте вырос на 21,2% в сравнении с тем же месяцем прошлого года, составив 4 млн человек. На внутренних линиях перевезено 3 млн пассажиров (+14,1% г/г), на международных - 1 млн (+48,4%) {$AFLT}

📌 Совет директоров ПАО ""Эйч Эф Джи"" на заседании 11 апреля рекомендовал акционерам утвердить дивиденды по итогам I квартала 2024 года из расчета 30 рублей на обыкновенную акцию {$HNFG}

📌 Цена размещения в рамках IPO МФК ""Займер"" составила 235 рублей за акцию. Это соответствует нижней границе ранее объявленного ценового диапазона - 235-270 рублей за акцию. Таким образом, рыночная капитализация компании на момент начала торгов составит 23,5 млрд рублей {$ZAYM}

📌 Северсталь подала в Девятый арбитражный апелляционный суд ходатайство об утверждении мирового соглашения по спору с ФАС {$CHMF}

📌 Инвестхолдинг ""Восток Инвестиции"" приобрел у фондов семейства Baring Vostok около 28% акций Ozon. В результате сделки Восток Инвестиции получили право владения 59,83 млн обыкновенных акций и 1 акцией класса ""А"" Ozon, что составляет около 28% от общего количества акций Ozon {$OZON}

📌 Чистая прибыль Газпром нефти по РСБУ за 2023 год снизилась на 15,9% и составила 637,5 млрд рублей {$SIBN}

📌 Совет директоров ПАО ""Акрон"" 15 апреля рассмотрит вопрос о рекомендациях по распределению прибыли за 2023 год. По итогам 2022 и 2021 годов ""Акрон"" не выплачивал дивиденды. В последний раз компания объявляла дивиденды в феврале 2022 года - 240 рублей на акцию из нераспределенной прибыли. Из-за мер капитального контроля, введенных властями России в ответ на санкции, Акрон исполнил обязательство по выплате этих дивидендов лишь на 65%: акционеры получили 5,8 млрд рублей из общей суммы в 8,8 млрд рублей {$AKRN}"
