time,text
2022-01-31T21:04:18.331+03:00,"🇷🇺 #Закрытие рынка РФ
Добрый вечер дорогие друзья! Давайте подведём итоги текущего дня по Российскому рынку.

🔘 Наш индекс снова лучший в мире, RTS растёт сильней всех мировых рынков. Инвесторы верят, что рынок нащупал дно и скупают всё что им попадается под руку. На выходных было много гневных заявлений со стороны США, но на них никто не реагирует. Как тут можно реагировать, когда президент Украины заявляет, что угроза вторжения преувеличена. Цены на нефть находятся вблизи максимумов за семь лет, стоимость Brent составляет $90,88 за баррель. Нефть марки #Brent {$BRH2} демонстрирует рост. Цены толкают вверх опасения за поставки на фоне напряженности в Восточной Европе и на Ближнем Востоке. Внимание рынка переключается на предстоящую встречу ОПЕК+. Ожидается, что на заседании 2 февраля будет принято решение продолжать придерживаться плана по наращиванию нефтедобычи на 400 тыс. б/с каждый месяц в марте. Рубль {$USDRUB} укрепляется по отношению к доллару. Поддержкой выступает нефть и фактор отмены валютных интервенций, что вместе с ожиданиями агрессивного повышения ключевой ставки ЦБР частично компенсирует сохраняющиеся внешнеполитические риски. При этом рубль показывает худший январский результат с 2015 года из-за эскалации отношений между Москвой и Западом и на фоне ожидаемого рынками многократного повышения процентных ставок ФРС
 
🔘 {$OZON} +7% С 14.10.2021 IMOEX потерял более 16%, в то же время, OZON упал на 55%. Инверторы верят, что рынок возвращается к росту и стараются подбирать акции, которые ещё не отыграли разворота индекса. Рост NASDAQ оказывает дополнительную поддержку 💪 
 
🔘 {$CIAN} +16.7% Ещё одна акция, которую покупают в ожидании возвращения к росту 👆 
 
🔘 {$PIKK} ПИК СЗ +4.3% ВТБ Капитал ожидает, что акции компании будут включены в индексы FTSE и MSCI по итогам февральского и мартовского пересмотров. По оценкам экспертов, если девелопер войдет в индекс FTSE, то пассивный приток средств в его бумаги составит порядка $110 млн. Итоги майского полугодового пересмотра индекса MSCI Russia буду объявлены в ночь на 13 мая по московскому времени. Изменения вступят в силу 31 мая после закрытия торгов 💪 
 
🔘 {$NVTK} Новатэк +3% «НОВАТЭК» на прошлой неделе купил на открытом рынке 471 тыс. 439 своих акций (в том числе в форме глобальных депозитарных расписок) в рамках программы выкупа ценных бумаг компании, объявленной 17 декабря 2021 года, говорится в ее сообщении. Исходя из котировок акций, на эти цели было потрачено 735 млн рублей, или $9,4 млн. Компания уточняет, что купила 239 тыс. 870 акций (0,0079%) и 231 тыс. 569 акций в виде GDR (0,0076% капитала). В результате на балансе Novatek Equity (Cyprus) Limited, 100% акций которой принадлежат «НОВАТЭКу», теперь находятся 11 млн 30 тыс. 500 акций (0,3633%) и 31 млн 145 тыс. 20 акций в виде GDR (1,0257%). 
 
🔘 {$ALNU} Алроса +2% «АЛРОСА» в ходе январской торговой сессии повысила цены примерно на 10% на фоне расширения дефицита предложения, сообщило агентство Rapaport. 
По его данным, цены на мелкие недорогие алмазы выросли примерно на 12-18%, отражая сильные праздничные продажи в США в соответствующих категориях бриллиантов. Для более дорогих товаров рост составил примерно от 5% до 7%. В среднем цены выросли на 8-10%, отметили покупатели. 
 
🔘 {$AGRO} РусАгро +2.5% За 12 мес. 2021 г. консолидированная выручка «Русагро» до межсегментных элиминаций по сравнению с 12 мес. 2020 г. выросла на 39% – до 243,1 млрд руб. Все бизнес-сегменты «Русагро» показали увеличение данного показателя. Наибольший рост выручки показал масложировой сегмент (+57%, или 45,5 млрд руб.). 
 
🔘 {$GMKN} ГМК Норникель -1.7% {$TATN} Татнефть -1.7% Падают на растущем рынке без явных новостей. Сегодня конец месяца, возможно фонды разбалансируют свои позиции 🧐

Источник: https://smart-lab.ru/"
2021-12-27T19:13:06.382+03:00,"🍏TCS Group Holdings #TCSG {$TCSG} 
Чистая прибыль «Тинькофф Банка» за 11 месяцев выросла на 53,8%
Чистая прибыль «Тинькофф Банка» по РСБУ за 11 месяцев 2021 года составила ₽46,9 млрд, увеличившись на 53,8% по сравнению с ₽30,5 млрд в предыдущем году. Чистый кредитный портфель увеличился на 61% до ₽556 млрд.

🍏#LNTA {$LNTA} 
Нет цели продавать сейчас Ленту, планирую оставаться акционером - Мордашов - RTRS

🍏РУСАЛ #RUAL {$RUAL} 
«Русал» сократил рублёвый долг перед Сбербанком до ₽18 млрд
Компания «Русал» досрочно погасила ₽61,5 млрд. кредита Сбербанка под залог акций «Норникеля», который был привлечен в 2010 г. Заём состоит из двух траншей: долларового и рублевого. Текущий остаток задолженности составляет $2,1 млрд. и ₽18 млрд. В августе «Русал» погасил ₽27 млрд из этого кредита. Согласно графику платежей, амортизация начинается с сентября 2024 г. Дата окончательного погашения кредита - декабрь 2027 г.

🍏Мосбиржа 27 декабря 2021 года исключит акции компании «АЛРОСА-Нюрба» из списка ценных бумаг, допущенных к торгам. Решение принято в связи с прекращением деятельности «АЛРОСА-Нюрба» в результате ликвидации. {$ALNU} #новости"
2021-12-27T18:46:57.171+03:00,{$ALNU} А почему погашение облигаций написано? И почему акция из портфеля не ушла после поступления денег?
2021-12-27T06:08:54.920+03:00,{$ALNU} таки дождался погашения.
2021-12-23T03:12:03.268+03:00,"{$ALNU} В связи с завершением расчетов с кредиторами и принятием 08 ноября 2021 года (протокол от 09.11.2021г.) общим собранием акционеров ПАО «АЛРОСА-Нюрба» решения об утверждении ликвидационного баланса Общества ПАО «АЛРОСА Нюрба» приступает к выплате акционерам Общества, оставшихся после завершения расчетов с кредиторами, денежных средств в размере 75 456,60 рублей на одну акцию в порядке, определенном статьей 23 Федерального закона от 26.12.1995 № 208-ФЗ ""Об акционерных обществах"", п.8 ст. 63 Гражданского кодекса РФ, Положением о Ликвидационной комиссии ПАО «АЛРОСА Нюрба».
Выплаты акционерам денежных средств в рамках процедуры ликвидации ПАО «АЛРОСА-Нюрба» производит АО РСР «Якутский фондовый центр»."
2021-12-01T09:55:07.130+03:00,"​​❗️Алроса — российская горнорудная компания с государственным участием. Корпорация занимается разведкой месторождений, добычей, обработкой и продажей алмазного сырья и является одним из мировых лидеров по производству бриллиантов. 
 
Финансовые результаты
Выручка за 3 кв. составила 77 млрд руб., -18% кв/кв на фоне снижения объемов реализации алмазов на 20% и изменения структуры продаж, что частично компенсировано ростом индекса цен (+10% кв/кв). Рост на 55% г/г обусловлен эффектом низкой базы 3 кв. 2020 г. (продажи в 3 кв. 2020 г. составили 5 млн кт против 9,2 млн кт в 3 кв. 2021 г.). Рост выручки за 9 мес. в 2,1 раза до 261 млрд руб. главным образом связан с ростом объемов реализации алмазов в 2,4 раза.
Показатель EBITDA за 3 кв. составил 35 млрд руб., снизившись на 24% кв/кв главным образом за счет снижения объемов продаж. Рост за 3 кв. на 35% г/г и за 9 мес. в 2 раза до 114 млрд руб. обусловлен восстановлением продаж.
Рентабельность по EBITDA составила 45% (-4 п.п. кв/кв, -7 п.п. г/г), снижение обусловлено наличием в структуре продаж алмазов, выкупленных на аукционах Гохрана для перепродажи клиентам с минимальной торговой наценкой.
Чистая прибыль составила 25 млрд руб., снизившись на 17% кв/кв, в связи со снижением рентабельности продаж. За 9 мес. – рост до 79,2 млрд руб. (9 мес. 2020 г.: 10,9 млрд руб.) на фоне восстановления объемов продаж и цен.
Свободный денежный поток в 3 кв. вырос в 2 раза кв/кв до 24 млрд руб. (+8% г/г) за счет высвобождения оборотного капитала, поддержанного ростом авансовых платежей со стороны покупателей. За 9 мес. свободный денежный поток вырос до 89,2 млрд руб. (9 мес. 2020: 14,3 млрд руб.).
Инвестиции за 3 кв. сезонно выросли до 5,4 млрд руб. За 9 мес. инвестиции составили 12,2 млрд руб.

Прогноз на 2021 г.
уровень производства – ~32,5 млн кт;
инвестиции – ~21 млрд руб.

Прогнозы выручки и прибыли из Simplywallst
Аналитики ожидают по итогам года многократный рост прибыли до 118,15 млрд руб. и рост выручки на 65,8%. В 2022 году прибыль сократится на 9%; в 2023 году вырастит на 11%. Выручка в 2022 году сократится на 7,6%, а в 2023 году вырастит на 5%. 
 
Рассмотрим динамику различных результатов деятельности с 2016 года по ТТМ и сравним с динамикой капитализации
Выручка компании выросла на 13%, EBITDA сократилась на 18%, операционная прибыль сократилась на 17%, чистая прибыль сократилась на 25%, свободный денежный поток вырос на 49%. 
Активы компании не росли, обязательства выросли на 22%, чистый долг сократился на 89%, капитал сократился на 17%.
 
За этот же период капитализация компании выросла на 49%. Очевидно, что динамика капитализации существенно опережает динамику выручки, прибыли, EBITDA, капитала и равна динамике свободного денежного потока.
 
Базой для расчета дивидендов выступает свободный денежный поток. При отрицательном долге сумма годовых выплат будет выше 100% FCF, при отношении «Чистый долг/EBITDA» от 0,0х до 1х рекомендуемая сумма годовых дивидендов составит от 70% до 100% от FCF, при отношении «Чистый долг/EBITDA» в интервале 1х – 1,5х - от 50% до 70% от FCF. При этом установлен минимальный уровень дивидендов в размере 50% от чистой прибыли по МСФО за период, если коэффициент «Чистый долг/EBITDA» не превышает 1,5х.
 
Прогнозы по компании
Оценка стоимости от simplywallst – потенциальная доходность 34% до 172,1 руб.
 
Потенциальный убыток от black terminal: минус 18%. 
 
Относительно различных методик расчета справедливой стоимости из GuruFocus, Алроса выглядит дорого.
 
Прогнозы других аналитиков
ВТБ Капитал +17% до 150 руб.;
Goldman Sachs +28% до 165 руб.;
JPMorgan +5% до 135 руб.;
UBS +17% до 150 руб.;
BCS +21% до 155 руб.;
Bank of America +21% до 155 руб;
Сова капитал +11% до 142 руб;
Citi +9% до 140 руб.;
Morgan Stanley +5% до 135 руб.
{$ALRS} {$ALNU} {$ALH2} {$ALZ1}
Продолжение: https://www.tinkoff.ru/invest/social/profile/NataliaBaffetovna/1d81a6a8-53a3-425b-add1-8b0bb151108c?utm_source=share"
2021-11-04T01:31:47.884+03:00,{$ALNU} Есть тут кто остался с этой бумагой?
2021-11-02T08:40:16.674+03:00,"💎АЛМАЗНЫЙ РЫНОК. АНАЛИЗ💎
____________________________

🔎На рынке в данный момент 2 крупных компании — Алроса и De Beers, которые добывают почти половину всех алмазов в мире. В последние годы производство снижается из-за пониженного спроса. Но Алроса и De Beers стараются поддерживать цены и поставляют продукции в соответствии со спросом.
____________________________

⚡За 2020 год на {$ALRS} приходилось 27,5% мировой добычи алмазов и 23% на De Beers

🇷🇺Основной объем добычи приходится на Россию. Благодаря тому, что основные производственные мощности {$ALNU} находятся в Якутии. У других компаний активы разбросаны в основном в Канаде, Африке.
____________________________ 

📉Цены на алмазы находятся в медвежьем тренде на протяжении многих лет:
🔻2015 - 170 $/ct
🔻2016 - 149 $/ct
🔻2017 - 136 $/ct
🔺2018 - 164 $/ct
🔻2019 - 133 $/ct
🔻2020 - 109 $/ct
🔺6М 2021 - 127 $/ct

Бывают лишь исключения, когда цена резко повышается, как, например, в 2018 г.
____________________________

📈Если исходить из данных продаж алмазов Алросы, то в конце 2020-2021 спрос на них сумел восстановиться после его спада из-за Covid-19. 

🌐Особое внимание стоит уделить росту доли онлайн продаж алмазов. Алроса ввела цифровые паспорта, которые позволяют определить подлинность, характеристики алмаза и его происхождение. 
 
В 2010-ые в несколько раз выросла доля онлайн-продаж алмазов и этот тренд продолжается. В США почти каждый 4 алмаз - покупается онлайн, в Китае - почти каждый 6 алмаз. 

🔬Одновременно растет популярность лабораторных алмазов, одновременно со снижением их себестоимости в сравнении с классической добычей алмазов благодаря улучшению технологий их синтеза.
____________________________

🇮🇳Также есть прогноз по росту количества зажиточного класса в Китае и Индии - которые являются перспективными для ювелирной отрасли.

🇨🇳По прогнозам к 2030 году в Китае такое количество людей увеличится в 1,5 раза, на более чем 100 млн. человек. А в Индии в 2 раза, на более чем 80 млн. человек.

Хотя я и отмечу риск того, что спрос у этих людей может измениться - например, в пользу техники.
 ____________________________

💸Алмазный рынок очень интересный, но как видим - противоречивый. Существуют в нем разные тенденции, которые как негативно, так и позитивно на него влияют.
 
При этом данный рынок очень монополизирован. Пандемия нанесла тяжелый урон по небольшим производителям. Поэтому со временем консолидация в отрасли может только усилиться. 
____________________________

❤ - Спасибо, если оценишь мой труд 
😇 - Подпишись на автора 
💰 - Удачи в инвестициях! 
 
#новости #акции #инвестиции #новичкам #портфель #учу_в_пульсе #аналитика #рост #отчет #пульс_оцени"
2021-11-01T10:41:40.657+03:00,"✉️ Сводка новостей на 10:30

📉 Российский рынок акций готов к отскоку

Всю прошлую неделю российский рынок акций торговался намного хуже западных аналогов. Причина этого кроется не столько в небольшом снижении цен на сырье, сколько в ужесточении денежно-кредитной политики Банка России. Высокая ставка не только заставит многих инвесторов увеличивать вложения в безрисковые облигации и депозиты, но и повысит стоимость заимствований для бизнеса.

Эти негативные факторы будут еще долго довлеть над рынком, и ему нужен мощный драйвер, чтобы возобновить устойчивый рост. Но такового пока не наблюдается…

Так или иначе, но сейчас российский рынок акций выглядит технически перепроданным, отскок просто необходим хотя бы на закрытии шортов спекулянтами. Не исключено, что его мы увидим сегодня. С утра внешний фон можно назвать умеренно позитивным: на 0,1% растут американские фьючерсы, в плюсе большинство промышленных и драгоценных металлов. Правда, немного, в пределах 0,3%, падает нефть.
{$GAZP} {$ROSN} 


💶 Акции ""АЛРОСА"" потеряли поддержку после недавнего закрытия реестра для получения промежуточных дивидендов

В минувшую пятницу российские фондовые индексы МосБиржи (-0.95%) и РТС (-1.94%) вновь завершили основные торги с достаточно сильным спадом по отношению к уровням предыдущего закрытия. По итогам вечерней сессии индекс МосБиржи (IMOEX2) понизился на 1.04%.

Таким образом, на локальном рынке акций продолжилось развитие назревшего среднесрочного коррекционного спада от недавних высоких значений по указанным индексам. Более того, в пятницу они обновили свои трехнедельные минимумы, что стоит трактовать как негативный технический сигнал в пользу дальнейших распродаж в акциях отечественных компаний.
{$ALRS} {$ALNU}"
2021-10-14T21:41:29.475+03:00,"{$ALNU} Есть у кого новости, будут ли торги возобновлены?"
