time,text
2024-04-13T16:17:39.509+03:00,{$ALRS} кто то вообще не верит что дивы будут 8-10%
2024-04-13T16:15:04.212+03:00,"Результаты недели 🚀

На этой неделе много гонял {$RNFT}, там была повышенная волатильность и местами получалось улавливать движения. На чём и удалось забрать топ профит по неделе +1 400 000 руб.

Второй тикер в топе это {$OZON}, который я пошортил после отчета и конфкола, забрав более 500 000 руб. Там и сейчас шортовая картина + пишут, что акции оценены справедливо, а значит расти в данный момент времени не на чем. Стоим на перелой 3700, я думаю вместе со скорым разворотом рынка и озон полетит очень хорошо вниз. Хотя я думаю он может это сделать уже независимо от рынка. Я кстати и сейчас там в шорте.

Остальные сделки там уже по мелочи насобирал.

Топ лось за неделю это {$ALRS}, я её держал в лонге до выхода новостей об СД по распределению прибыли. После новостей я решил добрать к своим 20к лотам, ещё 10к, но случайно в терминале выбрал объём 100к лотов вместо 10 ну и кликнул купить) В итоге позиция стала 77тыс лотов, которую пришлось резать в -400 тыс. руб, так как котировки не пошли в нужном направлении)

В алоре из-за этого в том числе на этой неделе минус. Общий результат за неделю около 1 000 000 руб."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:39:25.663+03:00,"Всем привет ☀️
Давайте подведём итоги этой недели: 

1️⃣ Познакомились с Дядей Колей и выяснили как избежать встреч с ним (https://www.tinkoff.ru/invest/social/profile/lily_nd/a6e8d821-dbfa-45d5-9dbf-dafc638105eb?utm_source=share)

2️⃣ Разобрали, как улучшить торговлю по графическим фигурам (https://www.tinkoff.ru/invest/social/profile/lily_nd/4c5d5d6d-8419-4251-afdb-51b45a2839b5?utm_source=share) 
📈 На графиках {$BRM4} {$ALRS} показала теорию на практике. 
👉🏻 Чтобы теория не лежала на полочке, рекомендую проанализировать поведение объемов при формировании фигур на графике Вашего любимого актива.

Желаю всем хороших выходных ☀️

#итоги"
2024-04-13T12:09:59.228+03:00,{$ALRS} когда смотришь на стоимость и понимаешь что рано закрыла шорт😥
