time,text
2024-04-12T20:11:36.601+03:00,"{$AMEZ}  Амез, любовь моя, заведу собаку, назову Амез. 🐕  Давай, не подведи меня, елы-палы, разгоняйся. По 3 мин. упали на дно, но дно ""мягкое"",  по трендовому графику,  оптимизм. Покупатель лидирует, покупки есть. Из позитива - деньги заводят,  идет набор позиции, я жду.  По Сортино тоже позитив, просто вопрос времени, я не тороплюсь,  стою в планке,  могу стоять вечно... Будни  трейдера: сегодня, у меня на производстве, появился лидер косяков - Фрезеровщик! 👏 Порезал на 12 листах пвх, совершенно другой файл😡 - перепутал (каждый лист размером  3х2 метра,  стоимость 93.000 руб), я 10 минут по коридору бегала туда и обратно,  вот это косяк,  а он - Ира, прикрой меня.....Чувак, как прикрыть?....  буду думать. (Пост для тех кто может перепроверить, кто не  умеет не рекомендация! Могу ошибаться и никогда не рекомендация в шорт.)  Все еще люблю всех."
2024-04-12T17:04:46.752+03:00,"{$AMEZ} здарова жителям данной бумаги ! Чего ждем ? Ракету ?) 
Какие основания ? Или просто пампа ? У кого какая средняя ?"
2024-04-11T14:37:16.338+03:00,{$AMEZ} есть кто живой
2024-04-10T11:54:09.831+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Fix Price Group {$FIXP}
💰 Потенциал роста 1.67%
🗓 Срок 10 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Ашинский метзавод {$AMEZ}
💰 Потенциал роста 3.07%
🗓 Срок 16 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал роста 2.26%
🗓 Срок 9 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага НКХП {$NKHP}
💰 Потенциал роста 3.87%
🗓 Срок 11 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 3.21%
🗓 Срок 4 дня
💡 В 72% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Норильский никель {$GMKN}
💰 Потенциал роста 2.02%
🗓 Срок 12 дней
💡 В 71% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага ЭсЭфАй {$SFIN}
💰 Потенциал роста 2.08%
🗓 Срок 14 дней
💡 В 78% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Яковлев {$IRKT}
💰 Потенциал роста 3.26%
🗓 Срок 11 дней
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
 
📉 Потенциал падения
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал падения 1.18%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Alpha
 
💼 Бумага НОВАТЭК {$NVTK} (доступен опцион НОВАТЭК PUT 1260₽ 05.06)
💰 Потенциал падения 2.87%
🗓 Срок 10 дней
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 6.68%
🗓 Срок 24 дня
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 2.69%
🗓 Срок 12 дней
💡 В 82% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага Россети Центр и Приволжье {$MRKP}
💰 Потенциал падения 3.4%
🗓 Срок 6 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Транснефть - привилегированные акции {$TRNFP}
💰 Потенциал падения 4.62%
🗓 Срок 18 дней
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon

💨 Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам
#прогноз"
2024-04-10T09:48:49.037+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 9 апреля
 
📈 Потенциал роста
 
💼 Бумага Fix Price Group {$FIXP}
💰 Потенциал роста 1.67%
🗓 Срок 10 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Ашинский метзавод {$AMEZ}
💰 Потенциал роста 3.07%
🗓 Срок 16 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал роста 2.26%
🗓 Срок 9 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага НКХП {$NKHP}
💰 Потенциал роста 3.87%
🗓 Срок 11 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 3.21%
🗓 Срок 4 дня
💡 В 72% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Норильский никель {$GMKN}
💰 Потенциал роста 2.02%
🗓 Срок 12 дней
💡 В 71% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага ЭсЭфАй {$SFIN}
💰 Потенциал роста 2.08%
🗓 Срок 14 дней
💡 В 78% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Яковлев {$IRKT}
💰 Потенциал роста 3.26%
🗓 Срок 11 дней
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
📉 Потенциал падения
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал падения 1.18%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Alpha
 
💼 Бумага НОВАТЭК {$NVTK} (доступен опцион НОВАТЭК PUT 1260₽ 05.06)
💰 Потенциал падения 2.87%
🗓 Срок 10 дней
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 6.68%
🗓 Срок 24 дня
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 2.69%
🗓 Срок 12 дней
💡 В 82% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага Россети Центр и Приволжье {$MRKP}
💰 Потенциал падения 3.4%
🗓 Срок 6 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Транснефть - привилегированные акции {$TRNFP}
💰 Потенциал падения 4.62%
🗓 Срок 18 дней
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-10T07:57:25.593+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 9 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Fix Price Group {$FIXP}
💰 Потенциал роста 1.67%
🗓 Срок 10 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Ашинский метзавод {$AMEZ}
💰 Потенциал роста 3.07%
🗓 Срок 16 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал роста 2.26%
🗓 Срок 9 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага НКХП {$NKHP}
💰 Потенциал роста 3.87%
🗓 Срок 11 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 3.21%
🗓 Срок 4 дня
💡 В 72% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Норильский никель {$GMKN}
💰 Потенциал роста 2.02%
🗓 Срок 12 дней
💡 В 71% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага ЭсЭфАй {$SFIN}
💰 Потенциал роста 2.08%
🗓 Срок 14 дней
💡 В 78% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Яковлев {$IRKT}
💰 Потенциал роста 3.26%
🗓 Срок 11 дней
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
 
📉 Потенциал падения
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал падения 1.18%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Alpha
 
💼 Бумага НОВАТЭК {$NVTK} (доступен опцион НОВАТЭК PUT 1260₽ 05.06)
💰 Потенциал падения 2.87%
🗓 Срок 10 дней
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 6.68%
🗓 Срок 24 дня
💡 В 95% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Нижнекамскнефтехим (привилегированные) {$NKNCP}
💰 Потенциал падения 2.69%
🗓 Срок 12 дней
💡 В 82% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
💼 Бумага Россети Центр и Приволжье {$MRKP}
💰 Потенциал падения 3.4%
🗓 Срок 6 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Транснефть - привилегированные акции {$TRNFP}
💰 Потенциал падения 4.62%
🗓 Срок 18 дней
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Epsilon
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-09T19:01:20.170+03:00,"Активированные публикации на 09.04.2024:

{$USDRUB} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/58d5a8ba-8fcd-42db-b814-04d45057ce06/

ROSN - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3ec2151a-b1b0-44d2-9225-ad2151a98653/

TATN - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9c2b1990-adff-4635-a408-aeaa95e3be93/

{$AGRO} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/b8cd4ac0-e63e-44f5-8a1f-75958fdf674e/

{$NKHP} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$UWGN} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

MRKY - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SPBE} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

CBOM - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$PHOR} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

RENI - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

{$SGZH} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

LIFE - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

MTSS - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$UNAC} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$TTLK} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

{$AMEZ} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

IRKT - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

DVEC - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$TGKA} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$SFIN} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/192e1f6d-d2c3-455a-b5bc-8576d946f459/

RTKMP - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

{$LSNG} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-09T15:43:02.720+03:00,"{$AMEZ} правильно, чуть вырос… пора вниз"
2024-04-09T11:36:27.254+03:00,"#хедж 
Хеджирую портфель золотом {$GLDRUB_TOM} и ашинским {$AMEZ} 😀
Золото растет 
Ашинский стабилен пушка-оборонка"
2024-04-08T23:42:56.296+03:00,"Итоги дня и новости от PKN 🐵

Сегодня четко отработали две среднесрочные идеи👇

Четко по сценарию в {$MRKV} ⚡за 16 торговых дней все цели достигнуты, а профит составил больше 9% 🤑

•Идея - https://www.tinkoff.ru/invest/social/profile/PKNCash/4cef1dfa-9c11-43c9-a221-50ad6552216f?utm_source=share

В {$AMEZ} 🏭 спустя 21 день забираем цель в 72₽ профит около 6%

•Идея - https://www.tinkoff.ru/invest/social/profile/PKNCash/fe575256-9ddc-476e-8f4f-62fc822d8aed?utm_source=share

Больше идей в @PKN_VIP ⭐️

Отчеты 📑

{$TGKN} 🏗 - ТГК-14 в I квартале увеличила выработку на 7%


Дивиденды 💰

{$TRMK} 🏭 - 18 апреля СД решит по дивидендам за 2023 год

{$AGRO} 🪴 - Акционеры «Русагро» утвердили рекомендацию не выплачивать дивиденды за 2023 год

AFKS 💰 - 28 июня  акционеры рассмотрят вопрос о дивидендах

{$HYDR} ⚡️ - Росимущество не предоставило СД РусГидро рекомендацию по дивидендам за 2023 год

{$ALRS} 💎 - 12 апреля акционеры рассмотрят вопрос о дивидендах за 2023 год


Новости 🇷🇺

{$AFKS} 💼 - Sitronics Group планирует в 2024 году представить беспилотные суда

{$GLTR} 🚂 - Британский инвестфонд Southey Capital предложил нерезидентам продать ему ГДР GlobalTrans

$TGKN 🏗 - ТГК-14 в I квартале увеличила выработку на 7%

{$MDMG} 🏥 - MDMG намерена к концу 2025г нарастить число медучреждений до 77 с 55


Индексы:

🟢 Мосбиржа плюс 0,65%

🟢 RTS плюс 0,55%


Валюта: 

💵 Доллар (плюс 0,22%)

💶 Евро (плюс 0,44%)


Мои стратегии:
[&X10 от PKN](https://www.tinkoff.ru/invest/strategies/85f7acca-ec1f-4b43-bed8-44c04d388787) - стратегия с минимальным входом. Рассчитана на маленький портфель и имеет средний риск входа. Предполагаемый доход 30% годовых. 

[&PKN RUB](https://www.tinkoff.ru/invest/strategies/925c6dfa-73bb-4571-8d2b-2375d2afc7d3) - стратегия с весомым входом. Предполагаемый доход около 50% годовых. Торгую в основном 2 и 3 эшелонам. Высокий риск


Забирайте привилегию от Тинькофф👇

•Tinkoff Premium на 2 месяца бесплатно (комиссия за сделку от 0.04%✅) - https://www.tinkoff.ru/baf/4sAEqUubQ1r

——————————————————
А если еще не подписан на PKN, то жду тебя в профиле пульс❗️

Топовые идеи с высоким профитом, ежедневные новости и обучение 📚

#обзор #пульс #новости #инвестиции #россия #рынок #пульс_оцени #акции #идея #новичкам"
