time,text
2024-04-13T10:12:49.336+03:00,{$APTK} получил подарок эту акцию 3 шт🤏 у самого в портфеле 7000шт😃🙋‍♂️
2024-04-13T01:12:49.791+03:00,"{$APTK}
Россияне начали экономить на презервативах.

Их продажи достигли минимума за пять лет. В аптеках в 2023 году продали только 3,1 миллиона упаковок. Для сравнения: в 2020 году было продано 4,8 миллиона штук. При этом продажи противозачаточных таблеток наоборот выросли.
#однако 🤔 😁"
2024-04-12T23:07:59.437+03:00,"Внимание, друзья! У вас есть уникальная возможность выиграть до 1000₽ в рамках розыгрыша акции от пульса Тинькофф Инвестиции! Примите участие и получите шанс на приятный бонус для вашего портфеля инвестиций. В рамках розыгрыша будут разыгрываться акции таких крупных компаний, как {$IRAO} {$VTBR} {$VKCO} {$SGZH} {$CBOM} {$AFLT} {$WUSH} {$VKCO} {$PIKK} {$QIWI} {$APTK}
Для участия в конкурсе, необходимо подписаться на мой профиль, поставить лайк и рассказать в коментариях о своей самой удачной сделке в инвестициях до 30 мая.
Акция из списка в подарок и победители будут выбраны  с помощью рандомайзера, а результаты розыгрыша вы сможете увидеть на моём YouTube канале.
Не упустите свой шанс на дополнительный доход и присоединяйтесь к акции уже сейчас
Итоги будут объявлены 01.06.2024 в 19:00 по московскому времени.
Победитель получит приз в течении 7 дней после подведения итогов.
#конкурс #Розыгрыш #акции"
2024-04-12T16:05:15.105+03:00,"{$APTK}
Да ужжжж....😡
Вовремя скинул по 16 на Пампе. 
Угадал, что будет корректироваться, но чтоб так будет мариновать и в мыслях не было."
2024-04-12T11:38:00.861+03:00,{$APTK} опять все забыли про аптечку
2024-04-12T10:57:47.737+03:00,{$APTK} когда памп пойдёт?
2024-04-12T10:45:30.482+03:00,"{$APTK}

На 10 😲"
2024-04-12T07:54:22.051+03:00,#турнир_дня  здравствуй золотая лига)) {$APTK} -3 акции
2024-04-11T18:34:42.600+03:00,"{$UGLD} Ну считаю, что это была отличная инвестиция! Когда уйдет в боковик, возможно буду еще раз набирать позицию. И благодаря ЮГК вернул баланс своего портфеля к плюс. А то в прошлом году, благодаря {$APTK} и {$MGTSP} просел аж на-30%."
2024-04-11T18:28:08.184+03:00,{$APTK} 😃
2024-04-11T17:42:39.090+03:00,"{$APTK}

Атскок аууу☺ давай уже заходи 🤣"
2024-04-11T14:40:31.968+03:00,"Выхожу из данного днища. Закупался по 17 в октябре больше ждать чего-то нет желания. 

{$APTK}"
2024-04-11T11:34:01.134+03:00,"{$APTK} ну что всё притихли)). Не хочет аптека радовать своих ""подписчиков"" нужным ""контентом""
Самая худая бумага"
2024-04-11T10:16:33.324+03:00,{$APTK} все испытательный  полет окончен🤣
2024-04-11T06:02:06.737+03:00,{$APTK} Будет меньше - купим больше  !
2024-04-10T18:37:41.738+03:00,{$APTK} Из этого дерьма нереально выйти
2024-04-10T17:46:49.302+03:00,"{$APTK} на 13,6 +- идем опять 🤣 как её любил 🤦🏻"
2024-04-10T13:28:34.067+03:00,{$APTK} ну что ребята отбил я дважды лося зарезанного в аптеке💪
2024-04-10T10:37:35.945+03:00,{$APTK} 😄
