time,text
2024-04-13T14:25:31.083+03:00,"{$AQUA} лучше всего демонстрирует, что законы логики не всегда работают на фондовом рынке. Хорошие прогнозы, отличные показатели, но за несколько месяцев ничего согревающего душу. 

{$TRMK} та же история.

Но законы подлости работают бесперебойно. Я вышел из этих компаний, так что с понедельника можете ожидать взлёт ракет 🚀"
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T09:36:23.835+03:00,"#итогинедели

Неделя была насыщенная на фондовом рынке, хотя и не очень доходная 😅. Пришли дивиденды и купоны как раз от тех компаний (и ОФЗ), где у меня небольшие доли, все пустил в реинвест. Покупал {$ROSN} Роснефть, все же этой нефтяники у меня заметно меньше, относительно той же {$TATNP} , что и неудивительно, в татке дивы больше.

Так же пополнил портфель {$NVTK} Новотеком, от которого пришли дивиденды, вот честно, не понимаю почему падает акция, нет конечно там есть санкционные риски, и проблемы с фрахтом флота, но эти риски были известны давно и заложены в цену гораздо раньше, почему продолжает падать цена акций - не понимаю. А если не понимаю, то сильно много боязно брать, так, по 1-2 штучки беру, но входить сильнее опасно, вдруг ещё вниз процентов на 50 сходит!?

Ещё так же покупал {$AQUA} Инарктику, как я называю эти покупки ""на сдачу"". Небольшая дивидендная доходность данного эмитента не позволяет моей стратегии набирать много этой компании, но в качестве диверсификации пусть будет, тем более не самая распространенная сфера деятельности на фондовом рынке. А интересно, есть ещё компании которые занимаются морепродуктами? 

В общем и целом, все как обычно, скучное инвестирование 😉

P.S. за неделю есть очень интересное наблюдение за инвесторами, при дефолте инвестиции в бизнес, сам тоже попал в этой инвестиции, но как по разному мы реагируем на одну и ту же ситуацию... В следующем посте расскажу свои мысли, на выходных наложу их на буквы😅. Переходите в профиль, подписывайтесь на канал, там больше постов.



DmInVest (c)
#пассивноеинвестирование #дивиденды #купоны #сложныйпроцент #реинвест #денежныйпоток #cashflow"
2024-04-13T08:23:57.699+03:00,"Инарктика, ждем удвоения бизнеса.

{$AQUA} - лидер на российском рынке товарной аквакультуры, специализирующийся на выращивании красной рыбы (атлантического лосося и радужной форели). Компания осуществляет свою деятельность в Мурманской области и Республике Карелия.

📊Финансовые результаты:

Выручка 15,6 млрд. руб. (+70% г/г)
Продажи лосося 12 млрд. руб. (+67% г/г; 76,9% выручки)
Продажа форели 3,2 млрд. руб. (+68% г/г; 20,5% выручки)
Продажа красной икры 55 млн.руб. (+400% г/г; 0,4% выручки)
Продажа прочей продукции (водоросли) 337 млн. руб. (+300% г/г; 2,2% выручки)
Чистая прибыль 6,9 млрд. руб. (+60% г/г)

Отчет ударный, в том числе благодаря переоценке активов. Бизнес характеризуется сезонными колебаниями, с высшими показателями выручки и прибыли к концу года. После неудовлетворительного первого полугодия 2023 г., когда выручка снизилась, второе полугодие завершилось ростом дохода на 70%, а год в целом продемонстрировал прирост на 21%. Этот рост обусловлен как увеличением средних цен на лососевую рыбу, так и увеличением объема продаж (на 46% за полугодие и на 10% за год). 

Однако стоимость производства по-прежнему растет значительно быстрее выручки, из-за увеличения затрат на материалы для выращивания рыбы (большая часть мальков импортируется), а также из-за роста амортизации активов и заработной платы. Поэтому валовая маржа снизилась с 58% до 52% за год до учета переоценки активов. 

Чистая прибыль также зависит от переоценки биоактивов, в основном от крупной морской рыбы. С увеличением количества рыбы их стоимость пересчитывается, что привело к увеличению чистой прибыли на 6,2 млрд. руб. за год. Без учета переоценки биоактивов чистая прибыль за 2023 год составила 9,3 млрд. руб. (-10% год к году). Переоценка активов будет продолжаться в будущем, так как активы компании растут ежегодно, что влияет на динамику переоценки. Это явление схоже с ситуацией у компании «Русагро», однако у последней переоценка может быть и отрицательной из-за урожайных потерь.

💡Корпоративные события:

В ноябре 2023 привлекли 3 млрд. руб., проведя SPO 3,3 млн акций из казначейского пакета, что позволило повысить free-float с 14% до 17%. Смолтовый завод в Кондопоге (Карелия) готов к открытию в 2024 году.

📈Драйверы роста:

Компания ожидает удвоения производства к 2027 году. 

Рост цен на рыбу
Ценовая конъюнктура на российском рынке продолжает оставаться позитивной для Инарктики на фоне ограничения России по импорту норвежского лосося. 

Дивиденды 
Сейчас компания реализует инвестиционную программу до 2027 года. Капзатраты для роста производства в ближайшие годы составят порядка 20 млрд руб. Несмотря на это, с 2020 года компания постоянно выплачивает небольшие дивиденды. К окончанию активной фазы инвестирования и с ростом финансовых показателей дивидендные выплаты смогут вырасти.

⚠️Риски:

Основной риск - это не реализация планов по росту бизнеса. Если детально изучить операционные результаты, то рост в последние годы был за счет роста цены реализации продукции. Производство в чистом виде растет не так быстро.

Импорт мальков, цены и доступ к нему. Этот риск менее значимый, тем не менее рост затрат на импорт может оказать давление на финансы.
Биологические риск. Загрязнение биомассы, влияние плохих погодных условий.

🤔мнение:

Если компании удастся удвоить производство к 2027 году, то компания может иметь форвардный мультипликатор EV/EBITDA 2027 - 3, с учетом роста цен на продукцию. 
Сколько может стоить такая компания? При текущем значении мультипликатора около 7, видим потенциал переоценки до 2000 рублей за акцию на долгосрочном горизонте. К следующему году акции могут достичь отметку 1200 рублей за акцию.
#пульс_оцени #прояви_себя_в_пульсе  #хочу_в_дайджест #псвп #обзор #аналитика"
2024-04-12T22:45:12.293+03:00,"Решил понаблюдать за следующими активами с понедельника. Жду роста.
{$AQUA} {$SFIN}.
не ИИР."
2024-04-12T22:38:09.478+03:00,"Инарктика, ждем удвоения бизнеса.🆙

{$AQUA} - лидер на российском рынке товарной аквакультуры, специализирующийся на выращивании красной рыбы (атлантического лосося и радужной форели). Компания осуществляет свою деятельность в Мурманской области и Республике Карелия.

📊Финансовые результаты:

Выручка 15,6 млрд. руб. (+70% г/г)
Продажи лосося 12 млрд. руб. (+67% г/г; 76,9% выручки)
Продажа форели 3,2 млрд. руб. (+68% г/г; 20,5% выручки)
Продажа красной икры 55 млн.руб. (+400% г/г; 0,4% выручки)
Продажа прочей продукции (водоросли) 337 млн. руб. (+300% г/г; 2,2% выручки)
Чистая прибыль 6,9 млрд. руб. (+60% г/г)

Отчет ударный, в том числе благодаря переоценке активов. Бизнес характеризуется сезонными колебаниями, с высшими показателями выручки и прибыли к концу года. После неудовлетворительного первого полугодия 2023 г., когда выручка снизилась, второе полугодие завершилось ростом дохода на 70%, а год в целом продемонстрировал прирост на 21%. Этот рост обусловлен как увеличением средних цен на лососевую рыбу, так и увеличением объема продаж (на 46% за полугодие и на 10% за год). 

Однако стоимость производства по-прежнему растет значительно быстрее выручки, из-за увеличения затрат на материалы для выращивания рыбы (большая часть мальков импортируется), а также из-за роста амортизации активов и заработной платы. Поэтому валовая маржа снизилась с 58% до 52% за год до учета переоценки активов. 

Чистая прибыль также зависит от переоценки биоактивов, в основном от крупной морской рыбы. С увеличением количества рыбы их стоимость пересчитывается, что привело к увеличению чистой прибыли на 6,2 млрд. руб. за год. Без учета переоценки биоактивов чистая прибыль за 2023 год составила 9,3 млрд. руб. (-10% год к году). Переоценка активов будет продолжаться в будущем, так как активы компании растут ежегодно, что влияет на динамику переоценки. Это явление схоже с ситуацией у компании «Русагро», однако у последней переоценка может быть и отрицательной из-за урожайных потерь.

💡Корпоративные события:

В ноябре 2023 привлекли 3 млрд. руб., проведя SPO 3,3 млн акций из казначейского пакета, что позволило повысить free-float с 14% до 17%. Смолтовый завод в Кондопоге (Карелия) готов к открытию в 2024 году.

📈Драйверы роста:

Компания ожидает удвоения производства к 2027 году. 

Рост цен на рыбу
Ценовая конъюнктура на российском рынке продолжает оставаться позитивной для Инарктики на фоне ограничения России по импорту норвежского лосося. 

Дивиденды 
Сейчас компания реализует инвестиционную программу до 2027 года. Капзатраты для роста производства в ближайшие годы составят порядка 20 млрд руб. Несмотря на это, с 2020 года компания постоянно выплачивает небольшие дивиденды. К окончанию активной фазы инвестирования и с ростом финансовых показателей дивидендные выплаты смогут вырасти.

⚠️Риски:

Основной риск - это не реализация планов по росту бизнеса. Если детально изучить операционные результаты, то рост в последние годы был за счет роста цены реализации продукции. Производство в чистом виде растет не так быстро.

Импорт мальков, цены и доступ к нему. Этот риск менее значимый, тем не менее рост затрат на импорт может оказать давление на финансы.
Биологические риск. Загрязнение биомассы, влияние плохих погодных условий.

🤔Мое мнение:

Если компании удастся удвоить производство к 2027 году, то компания может иметь форвардный мультипликатор EV/EBITDA 2027 - 3, с учетом роста цен на продукцию. 
Сколько может стоить такая компания? При текущем значении мультипликатора около 7, видим потенциал переоценки до 2000 рублей за акцию на долгосрочном горизонте. К следующему году акции могут достичь отметку 1200 рублей за акцию.
#пульс_оцени #прояви_себя_в_пульсе  #хочу_в_дайджест #псвп #обзор #аналитика"
2024-04-12T18:37:23.035+03:00,Поменяла {$BELU} на {$AQUA} 🦈
2024-04-12T18:25:03.692+03:00,"{$AQUA} вот сто пудов, выйду полетит! Когда же ты зараза вверх пойдёшь?"
2024-04-12T18:09:48.143+03:00,"{$AQUA}
Дно"
2024-04-12T18:04:26.907+03:00,"Юбилейная покупка под сложный процент

Друзья, сегодня уже 30-ая покупка в портфель под сложный процент 🥳

После пополнения портфеля на 5 000 ₽, баланс свободных денежных средств увеличивается с
2 794,73 ₽ до 7 794,73 ₽ 📈 

На этой неделе в портфель повторно покупаю компанию ⬇️

🟢 Сбербанк {$SBER}
2 шт по цене 306,89 ₽

Выглядит дороговато, и на максимумах, но сейчас необходимо усилить влияние финансового сектора на портфель ☝️

Поэтому наращиваю долю в главном любимчике российского инвестора, чтобы усилить влияние финансового сектора на портфель 📈

Компания обязательно должна быть в портфеле долгосрочного инвестора 💼

Капитал: 150 000,00 ₽
Баланс:   164 251,78 ₽
Свободные деньги: 1 654,28 ₽

Доходность портфеля: +9,50% ✅

#сложный_процент 

Артем Сокуренко | Искусство трейдинга 

Состав портфеля: {$VTBR} {$VKCO} {$GAZP} {$AQUA} {$LKOH} {$GMKN} {$SBER} {$SNGSP} {$TATN} {$ALRS}"
