time,text
2023-12-12T10:15:03.156+03:00,"{$ARSA} Арсагера³
🔴🔴Цена: -5.58% (13.04 ₽)
🟥🟥Объём: 5.5M ₽ (4.2K лот)
Покупки: 17%, Продажи: 83%
За день цена: -4.54%
Объём: пок. 7.1M ₽, прод. 11.9M ₽
2023-12-12 10:14"
2023-12-11T10:10:00.825+03:00,"{$ARSA} Арсагера³
🟢Цена: +3.58% (13.03 ₽)
🟩🟩Объём: 3.6M ₽ (2.8K лот)
Покупки: 83%, Продажи: 17%
За день цена: +12.13%
Объём: пок. 11.1M ₽, прод. 6M ₽
2023-12-11 10:09"
2023-12-11T10:03:39.414+03:00,"{$ARSA} Арсагера³
🟢🟢Цена: +5.9% (12.03 ₽)
🟩Объём: 2.6M ₽ (2.1K лот)
Покупки: 78%, Продажи: 22%
За день цена: +3.53%
Объём: пок. 2.7M ₽, прод. 1.6M ₽
2023-12-11 10:01"
2023-12-04T17:57:06.347+03:00,"🟥 За 45 мин. продали большие объёмы:

{$ARSA} 1.6M ₽ (1.4K лот)
{$BRZL} 1.7M ₽ (1K лот)
{$ELFV} 10.4M ₽ (15.4K лот)
{$FESH} 15.9M ₽ (2.3K лот)
{$FESH} 23.2M ₽ (3.5K лот)
{$FIVE} 26.2M ₽ (12.8K лот)
{$GAZP} 98.4M ₽ (61.2K лот)
{$MAGN} 22.2M ₽ (44.1K лот)
{$VTBR} 57.5M ₽ (249.4K лот)
{$YNDX} 56.7M ₽ (23.7K лот)"
2023-04-25T12:09:23.106+03:00,"{$ARSA} Дата проведения заседания Совета директоров эмитента: 27 апреля 2023 года.
В повестке дня утверждение даты проведения годового общего собрания акционеров ПАО «УК «Арсагера» по итогам 2022 года и утверждение рекомендаций по размеру дивидендов по обыкновенным акциям."
2023-03-07T19:55:48.671+03:00,{$ARSA} добавил в избранное. Иногда хорошие свечки рисует — грех упускать
2023-03-04T15:48:03.211+03:00,{$ARSA} очередная скрытая бумага)
2023-03-04T07:35:24.401+03:00,{$ARSA} 🚀
2023-02-18T12:01:48.763+03:00,"{$ARSA} ого, не знала, что в Тиньке есть Арсагера, читайте их книгу друзья, очень полезные знания и легко применимы на российском рынке"
2023-02-17T18:32:18.157+03:00,{$ARSA}
2023-02-16T17:24:58.929+03:00,{$ARSA}
2023-02-12T01:53:35.524+03:00,{$ARSA} первый)
