time,text
2023-09-23T18:24:22.227+03:00,{$AVAN} дают купить?
2023-09-23T09:07:10.779+03:00,{$AVAN} 🧐
2023-09-22T15:00:17.932+03:00,{$AVAN} есть кто живой? Будет сегодня 1200?
2023-09-07T12:39:44.143+03:00,{$AVAN} почему я ее не могу приобрести?
2023-08-25T11:42:00.296+03:00,{$AVAN} давай на 1600 уже🚀
2023-08-11T19:30:17.139+03:00,"{$AVAN} что скажете, попрет вверх?"
2023-04-07T17:39:01.892+03:00,Совет директоров ПАО АКБ “АВАНГАРД” (Решение от 07.04.2023) рекомендует распределить часть чистой прибыли по результатам 2022 года и выплатить дивиденды по обыкновенным акциям {$AVAN}
2023-03-22T17:59:25.740+03:00,{$AVAN} Waiting
2023-03-02T12:14:23.406+03:00,{$AVAN} похоже на разворот. Прикупил немного.
2023-02-24T01:06:17.719+03:00,{$AVAN} для себя
2023-02-15T22:30:17.581+03:00,{$AVAN} для себя (подождать 1000).
2023-02-10T07:59:18.332+03:00,{$AVAN} привет от вредного
2022-02-07T19:42:00.493+03:00,"ЦБ усилит контроль за переводами граждан и начнет принимать доносы.

По инструкции ЦБ, банки должны будут блокировать «подозрительные» транзакции и расторгать договор с клиентом. Помимо этого, теперь можно писать доносы на теневых собственников кредитных организаций.
{$SBER} {$VTBR} {$USBN} {$RU000A0JXQ85} {$MTB} {$BSPB} {$KUZB} {$RU000A102G01} {$AVAN} {$RU000A1034T9} {$PRMB} {$RU000A103760}"
2021-05-12T15:58:41.686+03:00,"{$AVAN} хорошие акции, но выцепить крайне сложно"
2021-04-18T21:03:43.339+03:00,"{$AVAN} вот вам еще одна скрытая акция от Пульса. Точно также, никаким способом вы её не найдёте.

Сколько ещё таких?"
2021-04-15T23:54:33.637+03:00,"{$AVAN} ахахахаха ,зашёл в пульс,а тут 1 запись,никогда такого не видел"
2021-04-09T00:33:24.781+03:00,{$AVAN} А что никто тут не торгует? По моему перспективная компания.
