time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T22:09:42.821+03:00,"Вы знаете, Баффет считает, что диверсификация может быть ошибкой для инвестора. Для него диверсификация - защита от невежества. Суть заключается в том, что если провести глубокий анализ бизнеса и конъюнктуры рынка, то можно вложить все свои средства в одну компанию с целью получения большей прибыли, и в этом нет ничего плохого. Да, в учебниках подчеркивают важность диверсификации, и многие будут настаивать на этом, но на самом деле это зависит от контекста рынка.

Как известно, на американском рынке есть много примеров того, как компании вырастают на десятки тысяч процентов за несколько десятилетий. Это частные компании, в которых нет доминирующего государственного влияния. Американским инвесторам доступно гораздо больше возможностей на фондовом рынке, чем где-либо еще в мире. В США сосредоточено множество глобальных бизнесов, которые задают мировые тренды, и их продукты и услуги пользуются популярностью во всем мире. Рост на сотни процентов в год - не редкость на их рынке, так что в их случае возможно рассмотреть вложение в одну компанию с надеждой на рост инвестиций.

А что насчет нашего рынка? Есть ли у наших частных компаний шанс на такой же рост и выход на мировой уровень? Можно ли опираться на мнение Баффета о ненужности диверсификации на российском фондовом рынке?
 {$OZON} {$MGNT} {$WUSH} {$MTSS} {$FIVE} {$LENT} {$BELU} {$PIKK} {$YNDX}"
2024-04-12T20:51:41.868+03:00,"{$BELU} не пойму, почему бумага 📑 падает в цене? Вроде компания нормальная и дивиденды платит, что не так? Кто ее сливает?"
2024-04-12T18:37:23.035+03:00,Поменяла {$BELU} на {$AQUA} 🦈
2024-04-12T18:17:23.767+03:00,"{$BELU} немного добрал на просадках, выглядит супер ликвидно"
2024-04-12T17:17:35.086+03:00,"{$BELU}
Чувствую сейчас будет вход лямчиков на 20 в Лонг🤫"
2024-04-12T16:45:19.708+03:00,"Для себя выделил три «качели» которые просто могут поиграть на нервах , но тут надо заходить с нижней позиции  и действовать аккуратно 😉 {$RBCM} {$ZAYM} {$SFIN} 

Взял на долгосрок {$BELU} {$SMLT} {$AFKS} {$LKOH} {$SBER}"
2024-04-12T14:52:55.139+03:00,"{$BELU} бумага с длиииинными проторговками. Вроде и цель наверху за 6500 есть, но движется черепахой. В лонг с жирным депо может и да, но мне терпения в ней не хватает. 😄"
2024-04-12T14:02:29.528+03:00,"{$BELU}
Ждём выход денег с ipo Займа, и полёт 🚀⬆️
Цена тут сейчас норм👍🏻
В 15:00 старт, всем быть на месте."
2024-04-12T12:44:27.298+03:00,"Сравнение управления финансами непродуктового ритейла

Всегда интересна финансовая грамотность управляющего менеджмента в компаниях, особенно в сравнении.

Вот возьмем Henderson {$HNFG} и Белугу {$BELU}. У обоих плюс-минус схожий бизнес, разве что у Henderson производство на аутсорсе, а у Белуги свое, но у Белуги еще много импорта, поэтому близкие по сути бизнесы.

В случае Henderson бизнес ориентирован на рост площадей, трафика в него и сокращение задолженности, чтобы не платить большие проценты в период высокой ключевой ставки, поэтому свободные деньги от привлечения IPO они направили на погашение кредитов. Ну и платят 50% от чистой прибыли на дивы, на остальное развиваются.

В случае НоваБев мы видим так же ориентацию на рост площадей, трафика в него и роста производства алкоголя, однако по отчетам продажи своего алкоголя падают, в рамках дивидендов платят 100+% от чистой прибыли, а чтобы как-то развиваться берут в займ под 15% годовых. 

На мой взгляд менеджменту НоваБев нужно пригласить фин. директора из Henderson в качестве независимого директора, чтобы политику компании хоть как-то вразумить."
2024-04-12T12:37:47.798+03:00,"Привет.
Прошлый пост куда-то пропал, возможно скоро найдется.
Продублирую, что начал вести счёт на квартиру до конца года. Который буду пополнять на сумму ежемесячного платежа за иппотеку + погашение.

Вчера закупился акциями, с которыми имел дело:

{$SBER}  - 10 * 307.7
{$SNGSP} - 100 * 68.5
{$TRMK} - 20 * 229.4
{$CHMF} - 3 * 1851.6
{$LKOH} - 1 * 7864
{$BELU} - 1 * 6178
{$POSI} - 1 * 2826
{$HNFG} - 2 * 752.9
{$ROSN} - 1 * 573.6
{$WUSH} - 2 * 317
{$TRUR}  - 1 * 7.93
{$TMOS} - 30 * 7

Так что начало положено, удачи мне

Не ИРР"
2024-04-12T08:32:04.024+03:00,{$BELU} Продавать и перезайти на просадке или оставить как есть? Кто боле опытный подскажите пожалуйста. Средняя 5709 заранее благодарю.
2024-04-12T06:28:59.857+03:00,"🔥ВАЖНЫЕ СОБЫТИЯ ❗


🔺17.04.2024
ГОСА ЛСР. В повестке вопрос утверждения дивидендов

🔺18.04.2024
Последний день для попадания в реестр акционеров, имеющих право на получение первой части дивидендов Группы Позитив за 2023 г.

🔺22.04.2024
Русагро опубликует операционные результаты за I квартал 2024 г.

🔺24.04.2024
РусГидро опубликует операционные результаты за I квартал 2024 г.

🔺25.04.2024
ГОСА Novabev Group. В повестке вопрос утверждения дивидендов

🔺25.04.2024
ГОСА БСП. В повестке вопрос утверждения дивидендов


⚡Мнение по рынку акций 👇🏼

https://youtu.be/o2FBzMdh_0M?si=GJ2VYwJe-IbbRk4q


☀️Всем хорошего дня и 
прибыли☕🤠

🌴Кто давно подписан на меня тот знает что со мной зарабатывают 👍🏼💸😉 

#учу_в_пульсе #прояви_себя_в_пульсе 
#пульс_оцени #новости 
#обучение #добычаденег 
#аналитика #новичкам 
#акции #инвестиции
{$LSRG} {$POSI} {$AGRO} {$HYDR} {$BELU} {$BSPB}"
2024-04-12T01:09:55.203+03:00,"Всем привет! 

Подведем итоги прошедшей недели у стратегий [&Atlant](https://www.tinkoff.ru/invest/strategies/cf38d9eb-367a-4a07-8dc7-73e1a1968035) и [&Atlant РФ](https://www.tinkoff.ru/invest/strategies/d35aff18-1d76-4a6b-beb9-4ff9a848283c)  и сравним с динамикой индекса МосБиржи полной доходности.

С 01 апреля по 05 апреля у стратегий (за вычетом комиссий за автоследование) и индекса следующие доходности:

1) Стратегия [&Atlant](https://www.tinkoff.ru/invest/strategies/cf38d9eb-367a-4a07-8dc7-73e1a1968035)  выросла  на 0,34%. Накопленная доходность с 1-го января составляет 14,15% ;
2) Стратегия [&Atlant РФ](https://www.tinkoff.ru/invest/strategies/d35aff18-1d76-4a6b-beb9-4ff9a848283c) выросла на 1,57%. Накопленная доходность с 1-го января составляет 15,60%;
3) Индекс МосБиржи полной доходности вырос на 1,89%. Накопленная доходность с 1-го января и за 1-й квартал составляет 10,40%;

На 14-й неделе 2024 г. рынок продолжил рост на фоне растущей нефти и ослаблении рубля.  В этот раз стратегии показали доходность ниже, чем у индекса, но по-прежнему обе опережают его с начала года. 

На прошлой неделе ОФЗ продолжили снижение, в результате  стратегия [&Atlant Облигации](https://www.tinkoff.ru/invest/strategies/5f57b423-7f4f-4c64-a8c4-4281551fe6f9) снизилась на 0,40%.  Минфин активно проводит новые аукционы по размещению облигаций, насыщая этот рынок. Планы в этой стратегии не меняются, хотя судя по риторике ЦБ, откладываются на лето. Жду снижения ставки в этом году и, как следствие, роста тела облигаций. Сейчас хороший момент для дозакупа ОФЗ. 

На текущей неделе рынок снова растет, сказывается близость дивидендного сезона. Как правило, рынок реинвестирует будущие дивиденды заранее, путем увеличения заемных средств инвесторами. На стратегии  [&Atlant РФ](https://www.tinkoff.ru/invest/strategies/d35aff18-1d76-4a6b-beb9-4ff9a848283c) заменили остатки {$BELU} на {$ROSN} и {$FLOT}, по последнему на следующей неделе могут озвучить оставшиеся дивиденды за 2023 г.

{$SBER} опубликовал отчет по РСБУ за март. Прибыль выше прошлого года, но рост замедляется. Тем не менее позицию продолжаем держать, ждем рекомендации по дивидендам за 2023 г.

Средняя цена нефти марки Urals в марте составила 6450 руб., что на 2,0% выше, чем в феврале и на 77,2% выше, чем годом ранее. 
Средняя цена нефти марки Urals в 1-м квартале составила 6185 руб., что на 73,6% выше, чем  годом ранее и на 8,5% ниже, чем в 4-м квартале. Однако в 4-м квартале у ряда нефтяных компаний были списания, поэтому отчет за 1-й квартал 2024 года должен быть лучше отчета за прошлый год и за предыдущий квартал.
Взгляд на сектор по-прежнему положительный. Наши нефтяные компании все еще хорошо зарабатывают в рублях.
Жду отчеты за 1-й квартал. Пока цена на нефть в долларах и валюта выше, чем было в 1-м квартале.

Ждем рекомендацию по дивидендам оставшихся компаний из наших портфелей. Возможно на следующей неделе {$GEMC} опубликует отчет за 2023 г.

Всем удачи и успехов."
