time,text
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-11T13:15:49.352+03:00,{$BLNG} он как эль-5 туда сюда.
2024-04-11T11:32:02.291+03:00,"Торговые прогнозы по теханализу
от Тинькофф 
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha

Источник: Tinkoff trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам #рынок #прогноз"
2024-04-11T09:17:29.024+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
 💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-11T09:07:23.635+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha

Источник:tinkoff trading

🎁Подписка Tinkoff Pro — 2 месяца бесплатно
https://www.tinkoff.ru/baf/9Sw1eaRhl5S

🎁  Всё бонусы для вас выбирайте👉 https://www.tinkoff.ru/baf/5dnZXLiIsG2

Работа в Тинькофф — Приходи работать по моей ссылке и получи 5 000 ₽
https://www.tinkoff.ru/baf/88Kpw5YoQfo"
2024-04-11T07:28:43.939+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 10 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Etalon Group PLC ГДР {$ETLN}
💰 Потенциал роста 2.83%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Gamma
 
💼 Бумага Белон {$BLNG}
💰 Потенциал роста 2.31%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал роста 6.08%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.81%
🗓 Срок 7 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 1.33%
🗓 Срок 6 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага Ренессанс Страхование {$RENI}
💰 Потенциал роста 3.1%
🗓 Срок 4 дня
💡 В 88% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Саратовский НПЗ - акции привилегированные {$KRKNP}
💰 Потенциал роста 1.95%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Селигдар {$SELG}
💰 Потенциал роста 2.18%
🗓 Срок 4 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага ЮУНК {$UNKL}
💰 Потенциал роста 1.52%
🗓 Срок 4 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-10T12:08:31.375+03:00,"{$BLNG} эх, увидеть бы по 43"
2024-04-10T09:15:01.749+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИМ...

💡Список предварительных идей #FutureTradingPremium. Как вам?

🏛 {$RIM4}
Лонг выше 114070 👆

🏦 {$SRM4}
Лонг выше 32025 👆
Шорт ниже 31565 👇

📱 {$YNM4}
Лонг выше 40775 👆
Шорт ниже 40315 👇

🏦 {$VBM4}
Лонг выше 2477 👆

——————————————————

🇷🇺 Акции РФ:

⛏ {$BLNG}
Лонг выше 29,42₽ 👆

💿 {$NLMK}
Шорт ниже 212,10₽ 👇

🛴 {$WUSH}
Лонг выше 323,30₽ 👆

⛽️ {$BANE}
Лонг выше 3519₽ 👆

⛽️ {$TRNFP}
Лонг выше 1645,5₽ 👆

🔥⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-10T09:11:33.052+03:00,"🇷🇺Российские нефтекомпании в марте увеличили морской экспорт до 3,8 млн баррелей в сутки, из-за проблем с загрузкой  НПЗ - 📰Ъ

📯Минтранс предложил отменить скидку на перевозку угля по Ж/Д. Угольщики заявляют, что падение цен и текущие затраты на доставку ставят экспорт на грань рентабельности - 📰РБК

💻 Яндекс обошел Google в доле рынка интернет-поиска в России - 📰Ъ

{$YNDX} {$MTLR} {$RASP} #UKUZ {$BLNG}
{$ROSN} {$SIBN} {$TATN} {$LKOH} {$SNGS} 

#пульс #новости #юмор"
2024-04-09T17:56:03.887+03:00,{$BLNG} 2 месяца мурижит.
