time,text
2023-12-05T10:03:02.785+03:00,"{$BRZL} Бурятзолото³
🟢🟢Цена: +4.14% (1684 ₽)
Объём: 1.1M ₽ (657 лот)
Покупки: 91%, Продажи: 9%
За день цена: +4.27%
Объём: пок. 1.4M ₽, прод. 848.7K ₽
2023-12-05 10:02"
2023-12-04T17:57:06.347+03:00,"🟥 За 45 мин. продали большие объёмы:

{$ARSA} 1.6M ₽ (1.4K лот)
{$BRZL} 1.7M ₽ (1K лот)
{$ELFV} 10.4M ₽ (15.4K лот)
{$FESH} 15.9M ₽ (2.3K лот)
{$FESH} 23.2M ₽ (3.5K лот)
{$FIVE} 26.2M ₽ (12.8K лот)
{$GAZP} 98.4M ₽ (61.2K лот)
{$MAGN} 22.2M ₽ (44.1K лот)
{$VTBR} 57.5M ₽ (249.4K лот)
{$YNDX} 56.7M ₽ (23.7K лот)"
2023-12-04T13:40:18.217+03:00,"{$BRZL} Бурятзолото³
🟢🟢Цена: +5.03% (1628 ₽)
🟩Объём: 2M ₽ (1.2K лот)
*Покупки: 100%*, Продажи: 0%
За день цена: +16.87%
Объём: *пок. 10M ₽*, прод. 5M ₽
2023-12-04 13:39"
2023-12-04T13:20:10.879+03:00,"{$BRZL} Бурятзолото³
🟢🟢Цена: +5.03% (1586 ₽)
Объём: 1.2M ₽ (784 лот)
*Покупки: 89%*, Продажи: 11%
За день цена: +13.85%
Объём: *пок. 5.1M ₽*, прод. 2.4M ₽
2023-12-04 13:19"
2023-09-23T09:06:37.120+03:00,{$BRZL} 🧐
2023-03-17T15:56:55.162+03:00,"{$BRZL} перекупленность дикая ,как бы не было второго {$SPCE}"
2023-03-17T13:33:38.824+03:00,"Золото умеренно растёт {$GLDRUB_TOM}

{$SELG} Держится хорошо, возможно буду наращивать позицию, пока присматриваюсь.

{$BRZL} Надо тоже присмотреться, не знал что она есть в Тинькофф. Как всегда, всё спрятано."
2023-03-15T13:26:19.478+03:00,"{$BRZL} интересная компания
Для справки: дивиденды не выплачивает и нет информации о возможных выплатах в будущем"
2023-03-14T09:45:32.920+03:00,{$BRZL} чтобы быстрее найти
2023-03-03T18:17:37.540+03:00,{$BRZL} для себя
2021-10-04T16:48:42.823+03:00,{$BRZL}
2021-10-04T15:59:02.323+03:00,{$BRZL} думаю пора товарищи. Всем удачи🚀
2021-09-06T21:48:43.489+03:00,"{$BRZL} локальный восходящий канал, заявка на 1104, тейк на 1334."
2021-07-21T20:22:37.843+03:00,"Больше ЗОЛОТА! Теперь СНОВА для всех на Тинькофф! Встречаем!

{$BRZL}

ПАО «Бурятзолото» - российская золотодобывающая компания, которая управляет работой двух рудников: Зун-Холба и Ирокинда. Компания ведёт деятельность в Республике Бурятия, в восточной части России. Кроме того, компания также владеет лицензией на разработку более мелких месторождений в Бурятии. С 2008 года ПАО «Бурятзолото» входит состав Nordgold.
В 2017 году компания произвела почти 76 тысяч унций золота. В конце 2016 года доказанные запасы Ирокиндинского золоторудного месторождения составили 781,2 кг золота.
Компания была основана в 1991 году на базе действующего прииска «Ципиканский», а также двух строящихся рудников «Холбинский» и «Ирокинда».

⚠️ Market Cap (Стоимость компании) = 8,04 млрд. ₽

Оперативно сообщаю о новых тикерах, которые появляются в системе.

Внимание! Популярная рубрика: «Вижу график, значит тикер уже давно тут». Для тех, кто видит график в прошлом, помните, что тикеру может быть уже много лет и график лишь помогает вам понять историю торгов, это не означает, что тикер появился в Тинькофф уже давно.

⚠️ Подписывайтесь, ставьте лайк, насыпайте донаты и будьте в курсе! 🖖

 #новыйтикер #новыетикеры"
2021-04-23T21:03:16.158+03:00,"{$BRZL} аууу, где все?"
2020-10-09T12:21:11.775+03:00,{$BRZL} где все пульсяне ???
2020-08-06T15:25:59.120+03:00,{$BRZL}
2020-08-05T10:03:05.562+03:00,"{$BRZL} ты пьян, иди домой!"
2020-08-05T10:01:51.501+03:00,{$BRZL} вот это взлет
2020-07-29T11:33:24.965+03:00,"{$BRZL} Если не находит в поиске, можно купить, введя в Яндексе запрос «Тинькоф не даёт купить Бурзолото». Перейдя по первой же ссылке, кидает в приложение сразу на эту бумагу"
2020-07-28T12:05:59.295+03:00,{$BRZL} стоит брать? Или ждать когда упадёт?
2020-07-27T13:09:13.848+03:00,{$BRZL} скрин пустого стакана на продажу:
2020-05-15T12:42:25.836+03:00,"{$PLZL} {$POLY} {$FXGD} {$LNZL} {$BRZL} {$SELG} 
Я не спец по та, но тоже заметил какой-то паттерн. Вроде чуть больше месяца назад такое в биткоине было, поэтому запомнил. 

🏆Золото. Текущая ситуация:

Приближается час X. 
За прошедший месяц произошло затухание волатильности, цены вытягиваются в струну, что обычно бывает перед резким движением.
Объявляется боевая трейдерская готовность...
@finascop

Куда пойдём 📈ВВЕРХ или 📉ВНИЗ? 
🧙🏼‍♀️🧙‍♂️Предсказания в комменты🔮"
2020-05-08T23:26:54.618+03:00,"🇷🇺{$BRZL} МСФО-2019
▪️Выручка  -16.3% г/г
▪️Чистый  убыток до налогообложения  -72% г/г

🇺🇸{$TSLA} открыла завод в США уже сегодня

🇺🇸{$DIS}  Дисней-Спрингс начнет поэтапное открытие 20 мая

🇷🇺​​{$GMKN} ПАО ""ГМК ""Норильский никель""
БУХГАЛТЕРСКАЯ (ФИНАНСОВАЯ) ОТЧЕТНОСТЬ 1 кв 20г

▪️Выручка: +25.3 % г/г
▪️Чистый убыток: 4.92 млрд"
2020-05-04T16:39:08.509+03:00,"{$BRZL} Как я и думал,на падении было консолидировнно 96% акций. Теперь принудительный выкуп. Мордашев последователен в своих действиях,хотя я предполагал что всё произойдёт гораздо раньше."
2020-05-04T14:18:22.783+03:00,"{$BRZL} о, да! Я слил это дерьмо. Целых +2,5% за год!"
2020-04-27T21:32:55.824+03:00,{$BRZL} Пациент мёртв?
2020-04-13T10:28:13.241+03:00,Наконец то вышел из {$BRZL} и переложил в {$TATNP} думаю еще и обычных {$TATN} взять.
2020-04-10T09:38:33.038+03:00,"🌕🇷🇺
Правительство в ближайшее время расширит экспортные возможности золотодобывающих компаний, дав им право на получение генеральных лицензий на экспорт золота - Ъ
{$PLZL} {$LNZLP} {$LNZL} {$POLY} {$BRZL}"
2020-04-09T17:32:45.224+03:00,"{$BRZL} купил в июле по 899, что то дёрнуло меня купить... Хорошо хоть всего 2-е штучки. Теперь уже держу что бы поржать, над собой конечно...."
2020-04-09T10:10:57.733+03:00,"{$BRZL} это бумага, которая, хоть я является ""золотой"", но ведет себя совсем не как защитный актив. Жду цены в 850, ну или в 837, чтобы породать и больше не связываться."
2020-04-04T18:51:21.022+03:00,{$BRZL} он у меня вообще из раздела акции исчез. Кто бодскажет? Было ли у кого так?
2020-03-25T14:15:46.239+03:00,{$BRZL} Я что-то не пойму..Стакан практически не меняется и заявки не исполняются..что это значит?
2020-03-25T13:54:45.647+03:00,{$BRZL} чё тут так все печально?
2020-03-24T13:14:26.412+03:00,{$BRZL} почему график у меня вызывает смех! Чтл за тектоник)))
