time,text
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
2024-04-13T10:46:37.874+03:00,"{$BSPB} вышел, зафиксировал 3.5% и + 140к чистыми."
2024-04-13T10:01:21.068+03:00,"{$BSPB} газуй газуй родной, буксовать нельзя🙏"
2024-04-13T09:59:22.152+03:00,{$BSPB} ребят ну реально сколько ее цена?
2024-04-13T09:55:13.283+03:00,"Итак, мои итоги этой инвестнедели. Я не выдержал эмоциональных качелей с {$POSI} и продал их уйдя в минус где-то на 400 рублей, да. После чего потихоньку подкидывал деньги себе в ИИС и покупал себе {$WUSH} и {$DELI} с расчётом на летний период, туристы всякие шерингами будут пользоваться, все дела, вспомнил, что {$MTSS} тоже самокаты выставляет на улице, так ещё узнал, что можно Steam пополнять через их банк, тоже взял, недолго думая (почти не думая). {$MVID} брал по принципу ""авось повезёт когда-нибудь"". {$BSPB} и {$MOEX} взяты из-за дивидендов в мае, на большее я с ними не рассчитываю. {$RNFT} набрал, потому что вспомнил, что пару лет назад Роснефть тоже дëшево стоила и решил, что, может быть, может вырасти, а может и не вырасти, но если вдруг да, то будет приятно очень.

После я вспомнил зачем я вообще позитивные технологии брал, там же тоже дивиденды, из-за них только и желал. Пришлось подкинуть ещё деньжат и приобрëл парочку обратно."
2024-04-13T08:44:20.798+03:00,"Ещё одна неделя позади. На счёте для краткосрочных спекуляций закрыл всего 5 сделок, из которых 3 прибыльных. Но даже при таком раскладе торговый капитал увеличился примерно на 1%.

Лучшим по профитности вышел трейд на {$LSRG} +14,29%.

По {$SOFL} получился прикольчик. Вечером вторника цена вдруг резко упала, буквально на минутку, и пробила мой стоп, после чего ушла в свой привычный боковик. Ладно, пофиг...

Неделя была вялая, на самом деле. По всем бумагам какой-то тяни-толкай. С позапрошлой недели 20% счёта висело в кэшэ, потому что не видел нигде точек на вход. К утру пятницы уже нашёл и всё бабло теперь в бумагах.

На следующей неделе, если что-то закроется, ожидаю хорошие моменты для торговли по {$BSPB} {$CIAN} {$OZON} и ещё нескольким. Раньше времени не лезу, научился ждать."
2024-04-13T07:38:00.830+03:00,"Приветствую 👋

📍Перед вами карта дополнительной торговой сессии (каждый вечер с 19:00 до 23:50)
🔹 Закрылись на уровне 3452,43  пункта по индексу Мосбиржи, немного снижаемся

⬆️ Роста на 0,91% хватает БСПБ {$BSPB} , чтобы стать лидером по росту 
🔹 Напоминаю, у банка северной столицы скоро будут дивиденды (3 мая последних день для покупки, 23.37 руб на акцию)

⬇️ Лидирует по снижению Polymetal {$POLY} 
🔹 Днём росли все акции золотобовывающих компаний вслед за золотом, которое находится на своих исторических максимумумах. Ближе к ночи инвесторы разобрались, какое чудовище они купили и спешно начали от Polymetal'а избавляться 

🍾 в 19:00 прямая трансляция
🔹Немного поговорим про изменения Экспериментально портфеля, потом перейдем к разбору ваших портфелей"
2024-04-12T23:48:41.252+03:00,"{$BSPB} не только лишь все видят возможности роста, хомяки 🐹, но и мало кто видит!"
2024-04-12T23:32:26.095+03:00,"Сколько заплатят банки по итогу впечатляющего 2023 года? Где находятся ракеты в банках? Кто даст двухзначную див доходность? Добро пожаловать на мою пятничную рубрику: ""Прогнозируемые секторальные дивиденды"". 

Все дивидендные выплаты рассчитаны на основе моих достаточно точных финансовых моделей. 

Мой топ пик на 2024 год в банковском секторе: {$SBER} {$BSPB} {$SVCB} {$TCSG} $LEAS. 

Важно отметить, что некоторые компании, несмотря на низкие дивиденды, имеют отличный потенциал к росту, например Тинькофф и Европлан. Но об этом в другом посте 😉 

*дивиденд для Тинькофф рассчитан без учёта доп эмиссии для поглощения Росбанка. 

Подписывайся на канал, чтобы заранее быть в курсе о предстоящих дивидендах! 

Какой сектор разобрать в следующую пятницу? Пишите в комментариях свои предложения! Наберём много лайков - выложу сразу 2 сектора

Спасибо за внимание!
Не ИИР 

{$SBER} {$TCSG} {$CBOM} {$LEAS} {$BSPB} $USBN {$MOEX} {$CARM} {$SVCB} $RDRB {$VTBR} {$SFIN} {$SBERP} 

#Ожидаемые_дивиденды #Дивиденды"
