time,text
2024-04-13T11:47:03.599+03:00,"{$CARM}
Прошло ¾ года с момента IPO. За это время акция ни разу не только не вышла в плюс относительно цены размещения, но даже и не пыталась до этой цены добраться.
В чём причина?
Возможно, если бы Кармани так старательно не вложилась в агрессивную рекламу инфоцыган (ааа, берите срочно!!! ааа, это великолепный бизнес!!! ааа, я вот взял, и ты бери!!! ааа, это р-р-ракета, мамой клянусь!!!), было бы проще.
Если бы Кармани, увидев, что инфоцыгане как следует завели азартных хомячков, не выкинула на биржу ещё акций, было бы проще.
А так, вышло как вышло - под шумок инфоцыгане тихонько слили то, что набирали громко и шумно, потеряв самый минимум. Хомячки втарились, и внезапно обнаружили, что из спекулянтов стали инвесторами. Кто резанул лося, кто заморозил средства на долгие месяцы, кто стал судорожно усреднять акцию, которая падала и падала. Отличные отчёты компании? Не помогали. Истеричные заклинания ""Вот-вот вырастет!"" - не помогали. Даже инфоцыгане, увидев результат, перестали пиарить ""это"" (ну, или рекламный бюджет был исчерпан и пропит).
Некоторое оживление у акции началось около месяца назад. Она немного оттолкнулась от дна, что для третьего эшелона не редкость. Но долго ли она там удержится?

Продолжаю наблюдать, сохраняя минимальный сет. На будущее бумаги гляжу со скептицизмом - банк Киви был куда более серьёзной организацией, а государство его прихлопнуло и не поморщилось. Если в экономике начнутся проблемы, возможным ходом для снятия напряжённости в обществе может быть показательная порка ростовщиков. Типа, у народа денег и так нет, а они загоняют доверчивых и финансово-безграмотных граждан в неподъёмные долги?! А-та-та по попке, нехорошие вы живодёры!

Не ИИР, конечно же. В этом казино каждый сам выбирает путь к своему банкротству! 😂"
2024-04-13T05:15:47.862+03:00,"🧐Обзор моих стратегий автоследования🤑🤑🤑

[&Инвест идеи Брокеров](https://www.tinkoff.ru/invest/strategies/cc3497ac-1eb5-40d1-a485-270391ecc4fa)
✔️За неделю +0,5%
✔️За месяц +8,72%
✔️За все время +34,71%
Несмотря на бешеную волатильность на этой неделе, благодаря грамотной диверсификации, стратегия хоть немного, но принесла прибыли. 
А в целом результаты просто отличные!
Пользуемся моментом для пополнения и подключения.

[&Всем профита](https://www.tinkoff.ru/invest/strategies/813fa9da-087a-4550-87a0-3d308c81ec4c)
✔️За неделю +1,39%
✔️За месяц +10,03%
✔️За все время +28,68%
Круто нарастили обороты по сравнению с прошлой неделей🚀, и даже несмотря на то что пятница принесла коррекцию в акциях {$OZON} и {$CARM}
Сейчас отличное время, чтобы подключиться или пополнить стратегию.

📊 Вам осталось только выбрать стратегию и присоединиться, остались вопросы? Пишите в комментариях.

Что важно знать?

👉Лучшее время для подключения к моим стратегиям - сегодня! Почему? Да потому что здесь действует эффект пружины - сначала набирается куммулятивный эффект (так называемый период накопления) в акциях которые есть в стратегиях, а потом пружины резко разжимаются, акции выстреливают, а мы получаем доход💰💵.
Подписывайтесь на мои стратегии🤝

#стратегия #автоследование #новости #пульс #мнение #идея #акции #инвестиции"
2024-04-12T23:39:09.207+03:00,"{$CARM} отчет за 2023 год был достаточно хорошим, прибыль выросла чуть более 40%. Плюс компания обещает в ближайшем будущем рассказать о планах, как добиться результата по прибыли более 2 млрд, говорят озвучат о своих планах до лета этого года. Потенциал большой у компании. На след неделе еще докуплю на просадках."
2024-04-12T23:32:26.095+03:00,"Сколько заплатят банки по итогу впечатляющего 2023 года? Где находятся ракеты в банках? Кто даст двухзначную див доходность? Добро пожаловать на мою пятничную рубрику: ""Прогнозируемые секторальные дивиденды"". 

Все дивидендные выплаты рассчитаны на основе моих достаточно точных финансовых моделей. 

Мой топ пик на 2024 год в банковском секторе: {$SBER} {$BSPB} {$SVCB} {$TCSG} $LEAS. 

Важно отметить, что некоторые компании, несмотря на низкие дивиденды, имеют отличный потенциал к росту, например Тинькофф и Европлан. Но об этом в другом посте 😉 

*дивиденд для Тинькофф рассчитан без учёта доп эмиссии для поглощения Росбанка. 

Подписывайся на канал, чтобы заранее быть в курсе о предстоящих дивидендах! 

Какой сектор разобрать в следующую пятницу? Пишите в комментариях свои предложения! Наберём много лайков - выложу сразу 2 сектора

Спасибо за внимание!
Не ИИР 

{$SBER} {$TCSG} {$CBOM} {$LEAS} {$BSPB} $USBN {$MOEX} {$CARM} {$SVCB} $RDRB {$VTBR} {$SFIN} {$SBERP} 

#Ожидаемые_дивиденды #Дивиденды"
2024-04-12T21:21:47.244+03:00,"{$ZAYM} предсказуемое ipo, особенно учитывая опыт {$CARM}
Если по факту, мне кажется, что их облиги (которые пока ещё торгуются) дадут больший профит, чем акции..."
2024-04-12T20:31:57.739+03:00,{$CARM} Это Займер его в яму утащил?👹
2024-04-12T19:38:33.063+03:00,{$CARM} что говорят про дивы? Дадут? Сколько?
2024-04-12T16:18:35.432+03:00,"Неделю заканчиваю достаточно слабо. Заработать удалось олоко 3% к депозиту 🤏

Очень, ну прям очень часто набираю позицию, держу несколько минут, после чего закрываю в 0 или даже в минус, а спустя пару минут наблюдаю за ракетой в акции...

Вывод с этой недели: набирать надо во время консолидации по чуть-чуть. Так и средняя будет лучше и в целом достаточно безопасный трейд, если с объёмами не борщить

Из интересного: сегодня утром взял {$CARM}, в ожидании небольшого разгона, сразу начали заходить объемы, я еще налился, но на импульсе не сдал в хороший плюс...
В итоге акция откатила и я по чуть-чуть всё раздал в течении часа (скрин 2). Ликвидности конечно не хватает в данной акции. И да, там робот на продажу стоит, который и давил цену всё утро...

Сегодня немного заработал на {$LNZL}, которая росла за {$LNZLP} на фоне роста золота в целом.
Но да, скинул очень рано, а вторую вообще закрыл в минус перед ракетой 🤦‍♂️
Прям даже фомо словил...

Хороший профит забрал на {$NMTP}, технически понравилась акция, как начали заходить объемы, зашёл по движению. Так же слежу за {$ROLO}, сопротивление пробили, вполне можем сходить выше

Участвовал в IPO {$ZAYM}
Это первое IPO, которое я закрыл в 0 (даже в минус, если учитывать комиссию). Не могу сказать что оно прям неудачное, но да, я ожидал большего

Самый убыточный тикер за неделю – {$RNFT}
Лез туда, не знаю куда. Я это так называю. Хотя да, на ней можно было неплохо заработать. Но и наказала она многих...
 

#учу_в_пульсе #псвп  #прояви_себя_в_пульсе #трейдинг #новичок #новичкам #акции #хочу_в_дайджест 




Всем хороших выходных ✌️"
2024-04-12T16:15:03.656+03:00,"Ладно, беру тебя. Тебя не возьму — ты страшный.

[&Чёрная жемчужина](https://www.tinkoff.ru/invest/strategies/41bf3d0c-eabb-4311-bd5e-aabc519b2196) {$CARM} {$ZAYM} 

Прикинул тут и решил Кармани подобрать на фоне Айпио Займера 🥲💰"
2024-04-12T15:30:42.958+03:00,"{$ZAYM} {$CARM} 

Кармани на минималках😁

Серьезно была мысль, что здесь что-получится? Даже в займере через тачки было веселее, 60 тысяч человек не смогли затащить бумагу выше минимальной границы

День Хомяка славно отметили😅"
