time,text
2024-04-13T15:24:25.139+03:00,❗️Из App Store исчезли приложения Газпромбанка и {$CBOM}
2024-04-13T12:39:52.954+03:00,"Приложение МКБ К деньгам стало недоступным для скачивания в App Store {$CBOM} 

В банке рекомендовали отключить автоматическое обновление приложений на iPhone, а для входа в ""МКБ онлайн"" воспользоваться интернет-банком, адаптированным для смартфона"
2024-04-12T23:32:26.095+03:00,"Сколько заплатят банки по итогу впечатляющего 2023 года? Где находятся ракеты в банках? Кто даст двухзначную див доходность? Добро пожаловать на мою пятничную рубрику: ""Прогнозируемые секторальные дивиденды"". 

Все дивидендные выплаты рассчитаны на основе моих достаточно точных финансовых моделей. 

Мой топ пик на 2024 год в банковском секторе: {$SBER} {$BSPB} {$SVCB} {$TCSG} $LEAS. 

Важно отметить, что некоторые компании, несмотря на низкие дивиденды, имеют отличный потенциал к росту, например Тинькофф и Европлан. Но об этом в другом посте 😉 

*дивиденд для Тинькофф рассчитан без учёта доп эмиссии для поглощения Росбанка. 

Подписывайся на канал, чтобы заранее быть в курсе о предстоящих дивидендах! 

Какой сектор разобрать в следующую пятницу? Пишите в комментариях свои предложения! Наберём много лайков - выложу сразу 2 сектора

Спасибо за внимание!
Не ИИР 

{$SBER} {$TCSG} {$CBOM} {$LEAS} {$BSPB} $USBN {$MOEX} {$CARM} {$SVCB} $RDRB {$VTBR} {$SFIN} {$SBERP} 

#Ожидаемые_дивиденды #Дивиденды"
2024-04-12T23:07:59.437+03:00,"Внимание, друзья! У вас есть уникальная возможность выиграть до 1000₽ в рамках розыгрыша акции от пульса Тинькофф Инвестиции! Примите участие и получите шанс на приятный бонус для вашего портфеля инвестиций. В рамках розыгрыша будут разыгрываться акции таких крупных компаний, как {$IRAO} {$VTBR} {$VKCO} {$SGZH} {$CBOM} {$AFLT} {$WUSH} {$VKCO} {$PIKK} {$QIWI} {$APTK}
Для участия в конкурсе, необходимо подписаться на мой профиль, поставить лайк и рассказать в коментариях о своей самой удачной сделке в инвестициях до 30 мая.
Акция из списка в подарок и победители будут выбраны  с помощью рандомайзера, а результаты розыгрыша вы сможете увидеть на моём YouTube канале.
Не упустите свой шанс на дополнительный доход и присоединяйтесь к акции уже сейчас
Итоги будут объявлены 01.06.2024 в 19:00 по московскому времени.
Победитель получит приз в течении 7 дней после подведения итогов.
#конкурс #Розыгрыш #акции"
2024-04-12T12:48:41.767+03:00,"Всем добрый день. Сегодня праздную свой день рождения) по этому пишу пост сейчас, а не вечером. Сразу #фильм_на_вечер

💸 Торги акциями {$ZAYM} начнутся в 15:00 — Мосбиржа
В соответствии с Правилами листинга ПАО 

🏦 {$VTBR} {$SBER} {$SVCB} {$TCSG} {$CBOM} 
Минфин не поддерживает идею освобождения от налогообложения долгосрочных вкладов граждан, т к это помешает притоку инвестиций в долгосрочные рыночные инструменты

🚙 Ульяновский автомобильный завод (УАЗ, входит в группу {$SVAV}) в январе-феврале 2024 года выпустил более 5,2 тыс. автомобилей, это на 65,8% больше, чем годом ранее, сообщила пресс-служба правительства Ульяновской области.
📍Пресс-служба напомнила, что в ближайшие два года компания «Соллерс» планирует вложить более 5,5 млрд рублей инвестиций в развитие индустриальной площадки в Ульяновске.
Как сообщалось, в I квартале текущего года было реализовано 6,337 тыс. автомобилей УАЗ (+19,2%).

⛏️ {$RASP} {$MTLR} Дефицит провозной способности Восточного полигона ОАО РЖД не позволяет полностью восстановить экспортные достижения по углю прежних лет — замгубернатора Кемеровской области

🛫 {$UNAC} ОАК передала Минобороны России партию новых истребителей Су-35С"
2024-04-12T12:44:01.303+03:00,"🏦 ​​Что ждёт российскую банковскую отрасль в 2024 году? 🤔

📣 Конференция РБК «Банки. Трансформация. Экономика. 3.0» — одно из крупнейших событий российского банковского сектора, в котором принимают участие как представители ЦБ РФ, так и лидеры отрасли. Предлагаю вашему вниманию основные тезисы состоявшейся конференции:

✔️ ЦБ скорректировал свой предыдущий прогноз относительно прибыльности банковского сектора в 2024 году. Напомню, ранее регулятор предсказывал снижение этого показателя на -24% до 2,5 трлн руб., однако новый прогноз указывает на то, что прибыль банковского сектора может остаться на уровне прошлого года, который составил 3,3 трлн руб. 

✔️ Зампред ЦБ Ольга Полякова отметила, что регулятор традиционно придерживается консервативного подхода к оценке прогнозов отрасли, но текущее состояние банковского сектора позволяет надеяться на сохранение или небольшой рост прибыли.

✔️ Банкиры считают, что низкий уровень безработицы и повышение зарплат окажут положительное воздействие на рост операционных доходов банков.

✔️ Темпы роста кредитования вернутся на доковидный период, когда показатель составлял 6-11%. Если в прошлом году наблюдался сильный рост кредитования, на фоне низких процентных ставок и необходимости замещения валютного долга рублевым, то сейчас оба фактора нивелированы и динамика нормализуется до адекватных уровней.

✔️ За последние два года валютизация банковской системы снизилась до 15%, что делает банки менее уязвимыми к колебаниям курса рубля.

✔️ Доля ипотеки в структуре ВВП составляет около 11%, что значительно меньше показателя многих стран мира (в 7 раз меньше, чем в Канаде и Великобритании, и в 5 раз меньше, чем во Франции, Германии и США). Потенциал для роста ипотечного кредитования в РФ по-прежнему высокий. Ипотечный портфель российских банков находится в хорошем состоянии, уровень просроченной задолженности очень низкий. 

✔️ Уход иностранных банков с российского рынка привёл к снижению конкуренции в сфере корпоративного кредитования, что положительно сказалось на крупнейших отечественных банках, таких как Сбер ( {$SBER}), ВТБ ( {$VTBR}), Совкомбанк ( {$SVCB}) и МКБ ( {$CBOM}).

✔️ В розничном кредитовании банки сместили фокус на залоговое кредитование, так как этого требует регулятор. Это в некоторой степени негативный сигнал для CarMoney ( {$CARM}), поскольку банкиры могут предоставить займы под залог автомобиля под существенно более низкую процентную ставку. 

👉 То, что Центробанк часто ошибается в своих прогнозах, и они зачастую выходят слишком консервативными, мы с вами обсуждали в начале года. За последние 7 лет регулятор 5 раз (!!) серьёзно промахнулся с оценкой прибыльности сектора. Даже в тяжелом 2022 году отрасль завершила отчётный период с прибылью, хотя ЦБ ориентировал рынок на нулевой доход.

Важно отметить, что прогнозы Центробанка зачастую носят крайне консервативный характер, поэтому существует высокая вероятность того, что реальные результаты будут лучше прогнозируемых.

В банковском секторе я отдаю предпочтение акциями Сбера ( {$SBER}) и Совкомбанка ( {$SVCB}), которые интересны для покупок в периоды коррекций, а также буду внимательно следить за новостями по IPO МТС Банка ( {$MTSS}), у которого интересная бизнес-модель и хороший потенциал для роста. Кстати, скоро ждите громких новостей по этой теме!

💨 Инвестируй или проиграешь

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #банки"
2024-04-12T11:08:03.793+03:00,"​​Что ждёт российскую банковскую отрасль в 2024 году?

📣 Конференция РБК «Банки. Трансформация. Экономика. 3.0» — одно из крупнейших событий российского банковского сектора, в котором принимают участие как представители ЦБ РФ, так и лидеры отрасли. Предлагаю вашему вниманию основные тезисы состоявшейся конференции:

✔️ ЦБ скорректировал свой предыдущий прогноз относительно прибыльности банковского сектора в 2024 году. Напомню, ранее регулятор предсказывал снижение этого показателя на -24% до 2,5 трлн руб., однако новый прогноз указывает на то, что прибыль банковского сектора может остаться на уровне прошлого года, который составил 3,3 трлн руб. 

✔️ Зампред ЦБ Ольга Полякова отметила, что регулятор традиционно придерживается консервативного подхода к оценке прогнозов отрасли, но текущее состояние банковского сектора позволяет надеяться на сохранение или небольшой рост прибыли.

✔️ Банкиры считают, что низкий уровень безработицы и повышение зарплат окажут положительное воздействие на рост операционных доходов банков.

✔️ Темпы роста кредитования вернутся на доковидный период, когда показатель составлял 6-11%. Если в прошлом году наблюдался сильный рост кредитования, на фоне низких процентных ставок и необходимости замещения валютного долга рублевым, то сейчас оба фактора нивелированы и динамика нормализуется до адекватных уровней.

✔️ За последние два года валютизация банковской системы снизилась до 15%, что делает банки менее уязвимыми к колебаниям курса рубля.

✔️ Доля ипотеки в структуре ВВП составляет около 11%, что значительно меньше показателя многих стран мира (в 7 раз меньше, чем в Канаде и Великобритании, и в 5 раз меньше, чем во Франции, Германии и США). Потенциал для роста ипотечного кредитования в РФ по-прежнему высокий. Ипотечный портфель российских банков находится в хорошем состоянии, уровень просроченной задолженности очень низкий. 

✔️ Уход иностранных банков с российского рынка привёл к снижению конкуренции в сфере корпоративного кредитования, что положительно сказалось на крупнейших отечественных банках, таких как Сбер ( {$SBER}), ВТБ ( {$VTBR}), Совкомбанк ( {$SVCB}) и МКБ ( {$CBOM}).

✔️ В розничном кредитовании банки сместили фокус на залоговое кредитование, так как этого требует регулятор. Это в некоторой степени негативный сигнал для CarMoney ( {$CARM}), поскольку банкиры могут предоставить займы под залог автомобиля под существенно более низкую процентную ставку. 

👉 То, что Центробанк часто ошибается в своих прогнозах, и они зачастую выходят слишком консервативными, мы с вами обсуждали в начале года. За последние 7 лет регулятор 5 раз (!!) серьёзно промахнулся с оценкой прибыльности сектора. Даже в тяжелом 2022 году отрасль завершила отчётный период с прибылью, хотя ЦБ ориентировал рынок на нулевой доход.

Важно отметить, что прогнозы Центробанка зачастую носят крайне консервативный характер, поэтому существует высокая вероятность того, что реальные результаты будут лучше прогнозируемых.

В банковском секторе я отдаю предпочтение акциями Сбера ( {$SBER}) и Совкомбанка ( {$SVCB}), которые интересны для покупок в периоды коррекций, а также буду внимательно следить за новостями по IPO МТС Банка ( {$MTSS}), у которого интересная бизнес-модель и хороший потенциал для роста. Кстати, скоро ждите громких новостей по этой теме!

❤️ Не забывайте ставить лайк под этим постом! Верьте в российский фондовый рынок, и он обязательно ответит вам взаимностью!

📌 Ну и конечно же переходите в профиль, чтобы вступить в наш клуб!

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест #дайджест_пульса"
2024-04-12T10:23:56.607+03:00,"☀️ День начинается позитивно: на 10:10 мск индекс Мосбиржи прибавляет 0,27%. Растут котировки Полюса (+1,65%): с утра цена на золото обновила исторический максимум. А ещё в лидерах роста бумаги Русала {$RUAL}  (+0,83%) и Фосагро {$PHOR}  (+0,74%). В отстающих пока бумаги Аэрофлота {$AFLT}  (−0,9%), Globaltrans {$GLTR}  (−0,51%) и МКБ {$CBOM}  (−0,36%).

‼️ Сегодня в 15:00 мск стартуют торги акциями Займер, тикер {$ZAYM} . Компания привлекла на IPO 3,5 млрд руб., а размещение прошло по нижней границе — 235 руб. за акцию.

🗣 МТС-Банк объявил о намерении провести IPO. Новость может поддержать котировки материнской компании МТС {$MTSS} . А ещё сегодня Совет директоров Алросы {$ALRS}  обсудит дивиденды за 2023 год. Доходность может составить до 3%.

4️⃣ Наш индекс риска — 4 балла из 10. Так аналитики Альфа-Инвестиций оценивают влияние произошедших накануне событий 👇

📊 Индекс Мосбиржи стоял на месте. Вслед за золотыми котировками росли акции Полюса {$PLZL}  (+3,26%). Прибавляли бумаги Газпрома {$GAZP}  (+0,91%): компания подтвердила, что акционеры рассмотрят дивиденды за 2023 год на собрании 28 июня. А ещё на 0,47% подросли котировки Новатэка {$NVTK} : он увеличил добычу газа на 1,2% год к году, но вот продажи −3,7%. Компании не хватает СПГ-танкеров для отгрузки топлива с Арктик СПГ-2 и других проектов.

📉 Индексу не дали вырасти распродажи в других бумагах: Норникель {$GMKN}  (−1,11%), Ozon {$OZON}  (−1,16%) и АФК «Система» {$AFKS}  (−0,93%). Доходности облигаций растут, и инвесторы могут перекладывать деньги из акций в долговые бумаги. Аналитики Альфа-Инвестиций рассказали, какие акции могут скорректироваться в ближайшее время.

💨 alfa_investments

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам"
2024-04-11T20:59:03.121+03:00,"Закрытие дня {$MOEX} : 

Индексы 🔽 

✅️  Индекс Мосбиржи 3 439,53      +0,01%
✅️  RTS                              1 162,36      +0,26%

Валюта 🔽 

{$USDRUB}        93.26         -00,18%    Доллар
{$CNYRUB}        12.85         -0,16%    Юань 

Лидеры роста и падения акций входящих в Индекс МосБиржы 👇

Лидеры роста 🟢: 

✅️ Банк Санкт-Петербург {$BSPB}   +2,46%
✅️ Полюс {$PLZL}                                  +1,53%
✅️ Интер РАО {$IRAO}                           +1,17%
✅️ МКБ {$CBOM}                                    +0,86%
✅️ Газпром {$GAZP}                              +0,80%

Лидеры падения 🔴:

🔻EN+ {$ENPG}                                         -2,80%
🔻Сургутнефтегаз {$SNGS}                  -1,70%
🔻АфК Система {$AFKS}                       -1,60%
🔻Мечел {$MTLR}                                    -1,50%
🔻Мечел ап {$MTLRP}                           -1,45%

Всем хорошего вечера!👍
Заходите в гости !))"
2024-04-11T10:07:09.664+03:00,"⚡Измерение состава Экспериментального портфеля (Сбер, Мосбиржа, Транснефть)

🔹В мой отравленный алкоголем мозг пришла очередная ""гениальная"" идея - увести экспериментальный портфель в сторону дивидендов, такая стратегия лучше всего подходит для нашей тактики

🔹Что хочу сделать? Продать компании, которые мне не особо нравятся и/или не платят дивиденды, далее переложиться в более интересные бумаги из тех же секторов 

🔹Продавать их думаю на дивгэпах у нужных компаний. Например, у Сбербанка наступает дивгэп, он падает на 10%, у ВТБ цена не меняется, у него причин для снижения нет. Избавляюсь от ВТБ и закупаю Сбербанк со скидками

1️⃣Продать АФК Систему {$AFKS}  (+117%), докупить Мосбиржу {$MOEX} 
2️⃣Продать Globaltrans {$GLTR} (+138%), докупить Транснефть {$TRNFP} 
3️⃣Продать ВТБ {$VTBR} (+40%) и МКБ {$CBOM} (+28%), докупить Сбербанк {$SBER} 

❗До конца года продолжаем эксперименты сомнительного характера, с 2025 начинаем относится ко всему этому серьезнее

❗ Портфель у нас экспериментальный, ни в коем случае не ИИР, все на свой страх и риск 

📌Подробнее обсудим на прямой трансляции в субботу (13 апреля в 19:00)"
