time,text
2022-07-09T09:33:31.117+03:00,{$CHEP} как так труба дошла до адресата??
2022-07-06T18:39:11.835+03:00,"{$CHEP} УВАЖАЕМЫЕ ВЛАДЕЛЬЦЫ ОБЛИГАЦИЙ АО «ЧТПЗ» СЕРИИ 001Р-05 (ISIN #RU000A101WB4)

В рамках реорганизации АО «ЧТПЗ» 29 июня 2022 года в журнале «Вестник государственной регистрации» опубликовано первое уведомление о реорганизации АО «ЧТПЗ». 

Также 29 июня 2022 года АО «ЧТПЗ» было принято решение О ПРОВЕДЕНИИ ОБЩЕГО СОБРАНИЯ ВЛАДЕЛЬЦЕВ ОБЛИГАЦИЙ СЕРИИ 001Р-05 (ДАЛЕЕ – ОСВО) по вопросу, направленному на ВНЕСЕНИЕ ИЗМЕНЕНИЙ В РЕШЕНИЕ О ВЫПУСКЕ ЦЕННЫХ БУМАГ В ЧАСТИ ИЗМЕНЕНИЯ СРОКА ПОГАШЕНИЯ НА 15 СЕНТЯБРЯ 2022 ГОДА с целью осуществить ПОГАШЕНИЕ ОБЛИГАЦИЙ АО «ЧТПЗ» СЕРИИ 001Р-05 в полном объеме до завершения процедуры реорганизации Эмитента. При погашении облигаций будет выплачена номинальная стоимость облигаций и накопленный купонный доход на новую дату погашения.

СООБЩЕНИЕ О ПРОВЕДЕНИИ ОСВО И ИЗМЕНЕНИЯ В РЕШЕНИЕ О ВЫПУСКЕ ЦЕННЫХ БУМАГ ПРИЛОЖЕНЫ.

ОБРАЩАЕМ ВНИМАНИЕ, ЧТО ДЛЯ СОКРАЩЕНИЯ СРОКА ОБРАЩЕНИЯ, А ИМЕННО: ПОГАШЕНИЯ ОБЛИГАЦИЙ СЕРИИ 001Р-05 В ДАТУ 15 СЕНТЯБРЯ 2022 ГОДА, НЕОБХОДИМО ПОЛУЧИТЬ ОДОБРЕНИЕ ТАКОГО РЕШЕНИЯ В ОБЪЕМЕ НЕ МЕНЕЕ 75% ГОЛОСОВ ОТ КОЛИЧЕСТВА ГОЛОСОВ, КОТОРЫМИ ОБЛАДАЮТ ЛИЦА, ИМЕЮЩИЕ ПРАВО ГОЛОСА НА ОСВО (1 ГОЛОС = 1 ОБЛИГАЦИЯ).

ПРАВОМ НА УЧАСТИЕ В ОСВО ОБЛАДАЮТ ЛИЦА, ЯВЛЯВШИЕСЯ ВЛАДЕЛЬЦАМИ ОБЛИГАЦИЙ НА КОНЕЦ ОПЕРАЦИОННОГО ДНЯ 4 ИЮЛЯ 2022 ГОДА.

В СООТВЕТСТВИИ С ПРИНЯТЫМ АО «ЧТПЗ» РЕШЕНИЕМ ГОЛОСОВАНИЕ ВЛАДЕЛЬЦАМИ ОБЛИГАЦИЙ СЕРИИ 001Р-05 ПО ДАННОМУ ВОПРОСУ ОСУЩЕСТВЛЯЕТСЯ В ПЕРИОД С 05 ИЮЛЯ 2022 ГОДА ПО 14 ИЮЛЯ 2022 ГОДА ВКЛЮЧИТЕЛЬНО.

ДЛЯ ПРИНЯТИЯ УЧАСТИЯ В ГОЛОСОВАНИИИ ДЕРЖАТЕЛЮ ОБЛИГАЦИЙ НЕОБХОДИМО В ЛЮБОЙ ИЗ ДНЕЙ ПЕРИОДА ГОЛОСОВАНИЯ:

- ЗАПОЛНИТЬ, ПОДПИСАТЬ И ПРЕДОСТАВИТЬ С 9:00 ДО 18:00 МОСКОВСКОГО ВРЕМЕНИ БЮЛЛЕТЕНЬ ДЛЯ ГОЛОСОВАНИЯ В АДРЕС АО «ЧТПЗ»: 101000, РОССИЙСКАЯ ФЕДЕРАЦИЯ, ГОРОД МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛИЦА ПОКРОВКА, ДОМ 40, СТРОЕНИЕ 2А, 

ИЛИ

- ПРОГОЛОСОВАТЬ В ЭЛЕКТРОННОМ ВИДЕ ПУТЕМ НАПРАВЛЕНИЯ ВОЛЕИЗЪЯВЛЕНИЯ (ИНСТРУКЦИИ) В НКО АО НРД В ЭЛЕКТРОННОМ ВИДЕ С ИСПОЛЬЗОВАНИЕМ СЭД НРД (ПО «ЛУЧ» ИЛИ КАБИНЕТ КД).

ФОРМА БЮЛЛЕТЕНЯ ПРИЛОЖЕНА.

В СЛУЧАЕ ВОЗНИКНОВЕНИЯ У ДЕРЖАТЕЛЕЙ ОБЛИГАЦИЙ АО «ЧТПЗ» ВОПРОСОВ ПРОСИМ  ИНСТИТУЦИОНАЛЬНЫХ ИНВЕСТОРОВ ОБРАЩАТЬСЯ В АДРЕС БАНКА ГПБ (АО) И ИНВЕСТИЦИОННОГО БАНКА СИНАРА, АГЕНТОВ ПО ВЗАИМОДЕЙСТВИЮ С ДЕРЖАТЕЛЯМИ ОБЛИГАЦИЙ: SYNDICATE@GAZPROMBANK.RU И DCM@SINARA-FINANCE.RU, РОЗНИЧНЫХ ИНВЕСТОРОВ – В АДРЕС LCPIS, АГЕНТА ПО ВЗАИМОДЕЙСТВИЮ С ВЛАДЕЛЬЦАМИ ОБЛИГАЦИЙ - ФИЗИЧЕСКИМИ ЛИЦАМИ: INFO@LCPIS.RU.


СПРАВОЧНО:

Сообщение о корпоративном действии по облигациям серии 001Р-05 ПО ОСВО АО «ЧТПЗ» 30 июня 2022 года направило в НКО АО НРД:

Сообщение (BMET) О корпоративном действии «Собрание владельцев облигаций» (облигация 4B02-05-00182-A-001P / ISIN RU000A101WB4)
Референс корпоративного действия 716461X57356. 
Текст сообщения в сети Интернет: https://nsddata.ru/ru/news/view/871002

Порядок проведения голосования:

Дата фиксации владельцев: 04.07.2022
Форма проведения собрания: Заочная
Срок приема инструкций: 05.07.2022 - 14.07.2022 включительно.
В случае отсутствия у владельца прямого доступа в СЭД НРД (ПО «ЛУЧ» или кабинет КД), проголосовать в электронном виде владелец может путем подачи соответствующего поручения в депозитарий, осуществляющий учет его облигаций. Порядок подачи и заполнения такого поручения владельцу необходимо самостоятельно уточнять в депозитарии.

Адрес НКО АО НРД для направления инструкций для участия в собрании: NDC000000000
Порядок ознакомления с информацией (материалами), подлежащей предоставлению при проведении голосования: материалы направляются в электронном виде в НКО АО НРД, а НКО АО НРД осуществляет рассылку депонентам.


Также АО «ЧТПЗ» В СООТВЕТСТВИИ С ТРЕБОВАНИЯМИ ЗАКОНОДАТЕЛЬСТВА направило в НКО АО НРД следующее сообщение о корпоративном действии по облигациям серии 001Р-05:

Сообщение (BPUT) О корпоративном действии «Досрочное погашений ценных бумаг или приобретение их эмитентом» (облигация 4B02-05-00182-A-001P / ISIN RU000A101WB4)
Референс корпоративного действия 716474X57356."
2022-07-06T11:02:03.381+03:00,"☕️ Ozon остался без консультанта. Облигации утром 6 июля

• Alvarez & Marsal — агент по реструктуризации конвертируемых облигаций Ozon Holdings Plc — прекращает консультирование эмитента из-за санкций США

• ВЭБ осуществил погашение долларовых евробондов-22 в рублях

• Совет директоров Газпрома 15 июля рассмотрит вопрос о размещении бессрочных облигаций в рамках программы облигаций серии 002Б

• ЧТПЗ опубликовал сообщение о реорганизации. До завершения процедуры реорганизации эмитент хочет досрочно погасить облигации серии 001R-05. Для этих целей будет проведено общее собрание владельцев облигаций (ОСВО) по вопросу внесения изменений в решение о выпуске ценных бумаг.

Погашения ожидаются по 6 выпускам на общую сумму ₽53,12 млрд, включая Камаз-БО-П04 (частичное 40%, ₽1,2 млрд)

Купонные выплаты ожидаются по 12 выпускам на общую сумму ₽106,1 млн, включая Сибнефтехимтрейд-БО-01 и Онлайн Микрофинанс-БО-02

Доходности по 10-летним облигациям:
🇺🇸 2,8309% (-0,0731) 🇩🇪 1,2290% (-0,003) 🇨🇳 2,8340% (-0,017) 🇷🇺 9,2200% (+0,12)

{$OZON} {$GAZP} {$CHEP} {$RU000A101WB4} {$RU000A101JF2}"
2022-06-27T17:47:25.574+03:00,{$CHEP} почему закрыто?
2022-05-26T10:33:48.119+03:00,"{$TRMK} {$CHEP} #трубы #портфельная_компания 
#TRMK #портфельная_компания 

🇷🇺Экспорт труб из России в 2022 году упадет на 34%, до 1,06 млн т, спрогнозировал Фонд развития трубной промышленности.

💬Учредители фонда — восемь крупнейших заводов — производителей труб, входящих в Трубную металлургическую компанию (ТМК) и Объединенную металлургическую компанию (ОМК), которые выпускают 65–70% всех труб в России.

Экспорт труб сокращается из-за полного прекращения или снижения поставок в «недружественные страны».

💬 Довольно мрачные прогнозы,для ТМК сложные времена. Подвисло также строительство газопровода ""Пакистанский поток"", где должны были использоваться трубы ТМК. В Пакистане свергнули прежнего Президента,которые его лоббировал. В стране напряжённая внутриполитическая борьба, перспективы проекта туманны.

Да и сама компания,оценена с высоким для России P/E-10, чистый долг/EBITDA- 3,78. Держать в портфелях в нынешних реалиях, считаю нецелесообразным"
2022-05-25T19:30:31.298+03:00,"{$MAGN} {$NLMK}  {$CHMF} {$GMKN} {$CHMK} {$TRMK} {$CHEP} Цены на чермет,медь и латунь сегодня резко снизились."
2022-05-25T10:12:50.801+03:00,"⚠️🛢🇷🇺  {$NVTK} 
Давний партнер НОВАТЭКа южнокорейская верфь Daewoo Shipbuilding & Marine Engineering (DSME) расторгла контракт на строительство трех СПГ-танкеров по заказу «Совкомфлота» #FLOT для проекта «Арктик СПГ-2». Причиной стала просрочка платежа по контракту со стороны судоходной компании - Ъ

⚠️🇷🇺 
Минцифры совместно с операторами связи вырабатывают тактику действий по отношению к зарубежным поставщикам телекоммуникационного оборудования, которые прекратили поставки в Россию,— Nokia, Ericsson и Huawei. Больше всего правительство волнует позиция Huawei, которая прямо не заявила о запрете поставок, но перестала выходить на связь - Ъ

🇩🇪 отчетность 
Германия - ВВП (1кв 2021г)
кв/кв =  +0.2% (пред -0.3%)
г/г =   +4% (пред +1.8%)

⚠️🇬🇧  $GLEN 
Glencore заплатит $1,2 млрд за урегулирование претензий властей США – генпрокурор - Прайм

⚠️🇷🇺 
экспорт труб из России в 2022 году упадет на 34%, до 1,06 млн т - прогноз Фонда развития трубной промышленности (ФРТП) - РБК

{$TRMK} {$CHEP} {$CHMF}

🇷🇺
Samsung и Apple продолжают сертификацию новых гаджетов в России - Ъ

⚠️🇺🇸🇨🇳🇹🇼 
США укрепляют оборону Тайваня на фоне украинских событий - NYT

США вооружают Тайвань по примеру поставок Украине - WP

🛢🇷🇺
 На фоне закрытия экспорта в Европу цены на сжиженный углеводородный газ в России находятся на минимальных уровнях с начала пандемии коронавируса - Ъ

🇷🇺
иностранная система денежных переводов Paysend, формально объявившая об уходе из России, на самом деле продолжила работу в стране, воспользовавшись серьезным снижением конкуренции - Ъ

⚠️🇷🇺
ЦБ сообщил о первом сокращении ипотечного портфеля с начала 2018 года

⚠️☢️🇰🇵
КНДР испытала ""оборудование для детонации"", вероятно в рамках подготовки к ядерному испытанию -  Рёнха Северная Корея готовится к первому ядерному испытанию с 2017 года -  FT

💥🇷🇺
уменьшение инфляционных ожиданий в РФ подтверждает наличие пространства для снижения ключевой ставки - ЦБ - Прайм

🇷🇺 
Дума подготовила поправки о праве президента вводить капитальные ограничения на финрынке - Интерфакс 

предлагается закрепить, что президент РФ вправе устанавливать особый порядок осуществления гражданами РФ или российскими юридическими лицами отдельных сделок с участием иностранных лиц, связанных с недружественными иностранными государствами; особый порядок исполнения российскими юридическими лицами обязательств по выплате распределенной прибыли (дивидендов) перед участниками, являющимися лицами недружественных иностранных государств; особый порядок валютного регулирования и валютного контроля, в том числе в отношении осуществления валютных операций резидентами и нерезидентами

❗️🇷🇺
 26 МАЯ  - 10:30 МСК - ВНЕОЧЕРЕДНОЕ ЗАСЕДАНИЕ ЦБ ПО КЛЮЧЕВОЙ СТАВКЕ

⚠️🇷🇺
Россия будет производить выплаты по внешнему долгу в рублях после решения США не продлевать лицензию на его обслуживание - Володин - ТАСС

⚠️🇺🇸
CIO Guggenheim :  

- падение акций США еще не закончилось. Nasdaq может упасть на 75% от максимумов 2021г

- можем увидеть BTC и по $8 000 

🇷🇺  {$LKOH} 
Лукойл закрыл сделку по покупке бизнеса Shell в РФ

🇷🇺
на Мосбирже в моменте:

USDRUB = 56
EURRUB = 58
CNYRUB = 8.5"
2022-05-04T10:44:40.459+03:00,Почему нельзя купить акции {$CHEP}? Биржа же открыта!!!
2022-04-19T22:09:38.501+03:00,"Изменения в рейтингах за последний месяц:

ЧТПЗ {$CHEP} {$RU000A0JXME4} {$RU000A102F85} 
РАЕХ понизило с А+ стаб. до А стаб.

ТМК {$TRMK}  {$RU000A102SC8} 
РАЕХ понизило с А+ стаб. до А стаб.

Экспобанк {$RU000A103RT2}  {$RU000A102WL1} 
РАЕХ понизило с А- поз. до А- стаб.

Добавил для сравнения:

Мираторг {$RU000A103KA7} 
РАЕХ ruA- стаб

ЦППК {$RU000A103F27} 
РАЕХ ruBBB+ стаб"
2022-04-13T11:21:14.531+03:00,"Российские компании продолжают исправно платить купоны и погашать евробонды, но держатели бумаг из РФ ничего не получают. Цепочка оборвалась на стороне международной расчетно-клиринговой системы. Деньги блокируются европейскими депозитариями Euroclear и Clearstream. 

В марте «Роснефть» погасила облигации на сумму $2 млрд. Ранее «Газпром» погасил долг иностранным инвесторам на сумму $1,3 млрд в долларах. Получение выплат иностранными держателями евробондов подтверждалось материалами Bloomberg и The Wall Street Journal. До российских держателей этих бумаг выплаты не дошли. В «Пульсе» инвесторы задаются вопросом: «На кого подать в суд?» — https://www.tinkoff.ru/invest/social/profile/troosheff/ef0fe4b7-b906-4318-abce-8a36f87a56f2?utm_source=share

Шанс получить выплаты еще есть

Российское правительство одобрило инициативу Минфина и ЦБ блокировать выплату купонов по евробондам, если они не будут доходить до российских держателей. Таким образом, европейский регулятор будет сам заинтересован в скорейшем восстановлении финансовой цепочки. Также рассматривается альтернативный вариант — досрочный выкуп еврооблигаций за рубли через российскую рыночную инфраструктуру.

Хотят но не могут 

Ряд российских компаний сообщили о технических трудностях при выплатах по своим еврооблигациям из-за введенных западных санкций — платежи замораживаются иностранными платежными агентами. О таких трудностях рассказали в АЛРОСА, Nordgold и ЧТПЗ. Компании готовы исполнить обязательства в полном объеме в установленный срок, но введенные санкции не позволяют им это сделать.

{$ALRS} {$CHEP} {$ROSN} {$GAZP}"
