time,text
2024-04-13T15:53:29.838+03:00,"✨Друзья! Уже совсем скоро состоится долгожданный розыгрыш акции Whoosh! 
🔥Но перед тем как победитель получит подарок, мы сразу запланируем подарок для следующего конкурса. 
💥Итак, на 3000 подписчиков мы можем разыграть: 

▫️Акцию ЛУКОЙЛ {$LKOH} 
▫️Акцию Татнефть {$TATN}
▫️Акцию Роснефть {$ROSN}
▫️Акцию Северсталь {$CHMF}

✨Путём голосования в комментариях мы выявим подарок для будущего конкурса. 

💥ПОНЕСЛАСЬ!"
2024-04-13T15:31:54.699+03:00,"Снова здрасьте! 
Брокерский счет составляет 1093398₽. Разница с прошлой неделей составляет +17000₽
Еженедельное пополнение на 7500₽
Также пришли дивиденды {$NVTK} 2028₽

Покупки на этой неделе:
•Новичок в моей команде {$SNGSP} 300 акций 20412₽ (понимаю что дороговато и еще не понятно будут ли дивиденды, но все мы ждем надеемся и верим. Размер дивов космический 18% прогнозируют, но взял я не только по этой причине, также ожидаю ослабление рубля к доллару. Как защитный актив от девальвации рубля+дивидендная история=welcome!!!

•{$NVTK} 2 акции 2575₽ (практически реинвестировал, то что получил с дивов. Добрал эту компанию до отметки в 50 акций и сей час эту историю временно ставлю на паузу. Жду хороших новостей и новых драйверов, либо нового дна🤪)

•{$TCSG} 3 акции 9394₽ ( докупаю по-немногу пока позиция в минусе)

•{$FLOT} 50 акций 6575₽ (вроде бы нашли они там иной путь транспортировки нефти: перегрузка с танкера на танкер в Омане. Думаю все будет впорядке и жду дивидендов)

•{$TATN} 3 акции 2130₽ (увеличиваю долю, а то менее 1% в портфеле)

•{$CHMF} 3 акции 5509₽ (С компанией все хорошо, дивиденды утверждены. Жду. Цены уже высокие)

•{$TGLD} 88 лотов 797₽ (смотрю цены на золото  и плачу🥺 вспомнил легендарную игру Warcraft 3 - «где работяги твердят нужно больше золота!», так что за мной не повторять😂)

Впервые поучаствовал в IPO {$ZAYM}  (из 20000₽ мне всего выделили 10 акций на сумму 2350₽🤷🏾 На данный момент небольшой минус)

Остаток свободного кеша 17687₽ вложу на следующей неделе!

#ИндексIMOEX к концу недели закрылся на отметке 3456 пунктов. Коррекцией и не пахнет. На следующей недели вероятно покорим отметку в 3500 пунктов. 

#BRENT на неделе цена на нефть превысила 92,5$ впервые с октября 2023 и 12 апреля 2024 закрылась на 2,17% ниже, 90,5$. Цены на нефть растут в ожидании перебоев с поставками на Ближнем Востоке.

#XAU золото продолжает обновлять исторические максимумы: $2423 за унцию. Но так же 12 апреля отскочила вниз и закрылась на отметке в $2343 (-3,41%).

#BTC с $70905 упал более чем на 7%, $66514.

#Антончик_инвестирует"
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T14:07:40.683+03:00,"Всем привет!
Продолжаю рассказывать про свою стратегию [&Fox strategy](https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254) .
За прошедшую неделю доходность стратегии составила +0,42%, а общая доходность почти за 3 месяца +12,52%. Эта неделя оказалась не богатой на доход, но с учётом того, что в целом по рынку наблюдали разнонаправленное движение по бумагам, диверсификация портфеля стратегии помогла избежать просадок и позволила немного заработать. Общая же доходность соответствует целям на год – 30-50%, без резких взлётов и падений с ориентацией на плавный рост.
Сегодня расскажу ещё про одну компанию, акции которой я держу в портфеле.
Акции компании Интер РАО ЕЭС {$IRAO} .
Как и акции компаний, о которых рассказывал в предыдущих постах, акции Интер РАО ЕЭС покупал в преддверии отчёта, а так же возможного объявления дивидендов, плюс докупал уже по факту, после объявления дивидендов. Напомню, что они составят 0,326р. на одну акцию, а доходность составит 7,65%, дата покупки для получения – до 31 мая. На сегодняшний день доля данных акций в портфеле стратегии составляет – 32,17%, а доходность +2,77%. Доход пока небольшой, несмотря на внушительную долю в портфеле, однако вижу хорошие перспективы для роста в течение ближайшего времени. К примеру аналогичная ситуация была в портфеле с обыкновенными акциями Сургутнефтегаз {$SNGS} , однако за две недели акции показали рост +5,32%, что было вполне ожидаемо и о чём я и писал.
Так же на прошедшей недели немного уменьшил позицию по акциям компании Московская Биржа {$MOEX} , зафиксировал прибыль +8,37%, средства от продажи пошли на покупку акций компании, о которой я расскажу в следующем посте.
Портфель стратегии:
Интер РАО ЕЭС: Доля – 32,17%, доход + 2,77%;
Московская Биржа: Доля – 20,46%, доход + 6,43%;
Сургутнефтегаз: Доля – 13,95%, доход + 8,71%;
Сбербанк {$SBER} : Доля – 13,46%, доход + 10,56%;
Северсталь {$CHMF} : Доля – 8,14%, доход + 15,57%;
ВИМ – Ликвидность {$LQDT} : Доля – 1,48%, доход + 0,46%;
Компания, о которой расскажу в следующем посте: Доля – 10,13%, доход + 1,29%;
Спасибо всем, кто дочитал до конца, всем удачи и зелёных портфелей!!!
Ознакомиться со стратегией, пока она находится в закрытом режиме, можно по ссылке https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254/
Не является ИИР!"
2024-04-13T12:23:35.132+03:00,"🔔📉 Северсталь: решение судебного спора с ФАС

🔍 Судебный спор между Северсталью и ФАС о монопольном положении на рынке черных металлов и завышении цен на горячекатаный прокат на внутреннем рынке получил свое развитие. Компания приняла решение урегулировать ситуацию через подписание мирового соглашения с антимонопольным органом.

❕ По сути, это означает, что Северсталь признала позицию ФАС и согласилась на выплату штрафа. Размер штрафа на данный момент остается неизвестным.

📜 Ранее суд уже принял сторону ФАС и вынес решение о штрафе в размере 8,73 млрд. рублей.

🤝 Предполагается, что компания решила не затягивать конфликт и выбрала путь сотрудничества с антимонопольным органом, возможно, с целью сохранения своего имиджа.

💡 По нашему мнению, даже если размер штрафа сохранится или будет снижен, это не окажет существенного влияния на финансовые показатели компании. Ее чистая прибыль за прошлый год составила почти 194 млрд. рублей.

Больше информации у меня в канале!

{$CHMF}"
2024-04-13T10:11:27.786+03:00,"📰 Новости 

X5 Group {$FIVE}  в 2024 году планирует двузначный рост выручки (Газпромбанк)

В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

Цены на золото снова обновили исторические максимумы 

Henderson {$HNFG}  рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

15 апреля Акрон решит по дивидендам за 2023 год

Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

«Займер» {$ZAYM}  провел размещение своих акций по нижней границе — 235 рублей

Лента не смогла договориться о ценах с ключевыми партнерами

Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

Российские угольные компании сократят добычу в 2024 году

Северсталь {$CHMF}  подала ходатайство о мировом соглашении по ""делу металлургов""

Цена на нефть поднялась выше 92 долларов за баррель 

Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

Источник: Russian_Stocks

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #рынок #дивиденды #новости"
2024-04-13T09:58:03.133+03:00,"🗞Утренний дайджест 🗞

☕Друзья, утро доброе. Делюсь с вами самым актуальным и интересным. С вас лайк как обычно😉❤

📊Пятничные торги российский рынок завершил с уверенным плюсом: индекс МосБиржи подрос на 0,5% - до 3456,24 пункта, с начла месяца прирост составил 2,5%; индекс РТС окреп на 0,3% - до 1165,53 пункта, с начала месяца индикатор окреп на 3,7%. 

‼️При этом стоит отметить, что рублевый индекс закрылся на локальных максимумах, выше 3450 пунктов, обновив максимумы с февраля 2022 года. «Бычий» настрой может сохраниться и на грядущей неделе.

🇷🇺Россияне с мая смогут переводить между своими счетами в разных банках до 30 миллионов рублей в месяц бесплатно через Систему быстрых платежей (СБП), соответствующие нормы закона вступят в силу с 1 мая. Воспользоваться новыми нормами смогут клиенты более 200 банков, пояснил РИА Новости глава регионального блока проекта ""За права заемщиков"" Народного фронта Галактион Кучава.

🇷🇺РФ планирует экспортировать на восток по ж/д 111 млн тонн угля в 2024 году - Минэнерго

📰ЦБ РФ считает, что банкам следует предупреждать клиента об изменении договора за 2 недели. 

📰""Северсталь"" {$CHMF}  просит апелляцию утвердить мировое соглашение с ФАС РФ по ""делу металлургов"".

✈️Авиакомпания {$AFLT}  ""Аэрофлот"" в I квартале увеличила перевозки на 32,3%, до 6,4 млн пассажиров

📰СМИ: глава Минэнерго Австрии хочет добиться отказа от газа {$GAZP}  из РФ к 2028г

📰Шольц заявил, что Россия остановила поставки газа, а не ФРГ — СМИ

📰МТС банк {$MTSS}  планирует выход в сегмент беспроцентной рассрочки, второе важное направление - выход в микрофинансовый сегмент

💎Успешно состоялся первый проект {$ALRS}  АЛРОСА и Альфа-банка по выпуску цифровых финансовых активов (ЦФА), привязанных к продажам бриллиантов инвестиционного класса. 100% ЦФА выкуплены инвесторами до официального срока завершения эмиссии.

🛴Whoosh {$WUSH}  разработал функцию мгновенного старта без открытия приложения. Функция wKey позволит арендовать самокат мгновенно, в одно касание, без сканирования QR-кода, что сократит время начала поездки. Стартовать можно будет за 2 секунды: для активации СИМ достаточно зажать оба тормоза — и можно ехать. Новинка станет доступна в апреле на всех самокатах и велосипедах сервиса.

🚗""Дочка"" {$DELI}  Делимобиля открыла представительство в КНР для прямых закупок запчастей — Интерфакс

🍞X5 {$FIVE}  в 2024г ожидает двузначного роста выручки, компания также готовится пересмотреть дивидендную политику — начальник управления по связям с инвесторами Мария Язева


•📝Ожидаемые события:
1⃣17.04.2024 Среда
ГОСА {$LSRG}  ЛСР. В повестке вопрос утверждения дивидендов. Ранее совет директоров рекомендовал дивиденды в размере 100 руб. акцию

2⃣18.04.2024 Четверг
Последний день для попадания в реестр акционеров, имеющих право на получение первой части дивидендов {$POSI}  Группы Позитив за 2023 г.


•📉Отчётность:
🛢Газпромнефть {$SIBN}  РСБУ 2023г: выручка 3,52 трлн руб (+3,1% г/г), чистая прибыль 637,5 млрд руб (-15,9% г/г)


•❌Санкции:
Администрация США в координации с британскими властями ввела запрет на импорт {$RUAL} алюминия, меди и никеля {$GMKN}  из России — американский Минфин

Минфин США поясняет, что в результате инициативы Вашингтона и Лондона «биржам металлов, таким как London Metal Exchange (LME) и Chicago Mercantile Exchange (CME), будет запрещено принимать новые партии алюминия, меди и никеля из России».

Ограничения коснутся металлов, произведенных после 13 апреля 2024 года. Кроме того, министерство отмечают, что в отдельных случаях ввоз партий алюминия, меди и никеля может быть в виде исключения разрешен.


•🏦Валюта:
💵Официальный курс юаня с субботы - 12,87 руб, доллара - 93,44 руб, евро - 99,73 руб - ЦБ РФ


📍БКС, Финам, Прайм
--------------------------------------------
Стратегии завершили неделю на следующих процентах доходности:
[&Грош цена. На пенсию внукам](https://www.tinkoff.ru/invest/strategies/a2c69f25-75fe-4e63-ae8c-bced590ce9bd) 75,05%
[&Национальное достояние](https://www.tinkoff.ru/invest/strategies/4cf7b9c8-19c3-4dc6-81ad-09779f0349fe) 72,09%
[&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199) 75,94%

👇Обучение торговле👇
https://www.tinkoff.ru/invest/social/profile/Batman_News_School/"
2024-04-13T09:55:59.920+03:00,"И снова голосуем! Раз в неделю закидываю 10к на #портфель_пульса, а вы выбираете что мне купить.

На этой неделе распределяем 15400 = 10000+ 5000 от закрытой {$RNFT} в +8,2% и 400р прибыли.

В голосах как всегда максимум 2 тикера!

Итог за 3 недели: +1,25% 

Действующий портфель:
{$ROSN} +0,98%
{$TRNFP} +0,56%
{$CHMF} -0,25%
{$NVTK} -1,73%

Голоса принимаются до 22:00 воскресенья."
2024-04-13T02:04:06.731+03:00,"🇷🇺 Главные новости для инвесторов:

✅ X5 Group {$FIVE} в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

❗Автор этого поста: @Russian_Stocks❗

✅ Цены на золото снова обновили исторические максимумы

✅ Президент компании «Астра» подтвердил планы провести SPO {$ASTR}

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10% 

✅ Henderson {$HNFG} рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» {$ZAYM} провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь {$CHMF} подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель 

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

❗Автор этого поста: @Russian_Stocks❗"
2024-04-13T00:58:53.962+03:00,"Есть слух, даже больше чем слух, стараюсь писать одним из первых, что Великобритания присоединилась к санкциям США против России в отношении торговли металлами.

Что будет с такими гигантами как {$MAGN} {$NLMK} {$RUAL} {$CHMF} {$GMKN}  предлагаю обсудить в комментариях.

Возможно, все было принято в виду и в цене акции есть такой прогноз, но по факту могут в понедельник и подбросить на несколько процентов, как считаете?

Коррекция, как будто напрашивалась сама собой, так как рынок уже долгое время закрывается в зелёном цвете, а тут такой вариант часть позиций прикрыть...

Всё это мои мысли, не ИИР, обсуждаем ниже!"
