time,text
2024-04-13T19:37:57.480+03:00,"Всем привет! Сплит каких акций вы бы хотели увидеть? Жду всех в комментариях! 

Разбор акций и новости фондового рынка у меня в канале📈

{$VSMO} {$RKKE} {$UDMN} {$AKRN} {$LNZL} {$PLZL} {$KRKNP} {$CHMK} {$UNKL} {$PHOR} {$MGNT} {$LKOH} {$PHOR}"
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T21:26:48.374+03:00,"#НОВОСТИ 
🆕 Сводка новостей.

🔹 {$MTLRP} {$MTLR} {$RASP} Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году.

🔹 {$FEES} ""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом.

🔹 {$CHMK} {$MTLRP} {$MTLR} ЧМК Мечела в I квартале сократил чистый убыток по РСБУ в 4 раза.

🔹 {$SOFL} {$YNDX} Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций.

🔹 {$OZON} ХОЛДИНГ ""ВОСТОК ИНВЕСТИЦИИ"" ПРИОБРЕЛ У ФОНДОВ BARING VOSTOK ОКОЛО 28% АКЦИЙ ОНЛАЙН-РЕТЕЙЛЕРА OZON ИЗ - СООБЩЕНИЕ OZON.

🔹 {$OKEY} Настоящим сообщаем, что Компания получила уведомление от своего банка-депозитария the Bank of NY Mellon о намерении расторгнуть действующий депозитарный договор в отношении ГДР Группы.

🔹 В последние несколько дней акции {$GMKN} ГМК привлекли моё внимание своим впечатляющим ростом. Котировки компании выросли на целых +9,08%, что стало одним из самых значительных показателей на рынке. Этот взлет цен связывается с ростом стоимости металлов из корзины продукции ГМК. Однако, существует риск, который следует учитывать: если цены на металлы начнут корректироваться, то и акции ГМК могут потерять свои позиции. Я выражаю опасения относительно перегретости сырьевого рынка и считаю, что входить в покупку акций ГМК с текущих уровней значительный риск. Считаю надо выждать коррекцию цен на металлы и лишь после этого принимать решение."
2024-04-12T20:28:55.331+03:00,"🗓 Пятница, 12.04.2024, ключевые новости и произошедшие события: 

👕 {$HNFG} — Совет директоров рекомендовал дивиденды по результатам I квартала 2024г. в размере 30 руб. на акцию. Акционеры примут решение 17 мая

🪨 {$MTLR} {$MTLRP} 🪨 {$RASP} — Минэнерго РФ отмечает небольшое снижение экспорта угля в I кв., но прогнозы не пересматривает и надеется на сохранение добычи и экспорта угля в 2024г. на прошлогоднем уровне

✈️ {$AFLT} — Группа «Аэрофлот» в марте увеличила перевозки на 21,2%, до 4 млн пассажиров

🛢 ОПЕК+ в марте добыла нефти на 500 тыс. б/с выше плана во главе с Ираком, Казахстаном, ОАЭ
- Россия в марте увеличила экспорт нефти почти на 400 тыс. б/с и сократила поставки нефтепродуктов на 200 тыс. б/с

💿 {$CHMF} — Направила ходатайство в Девятый арбитражный апелляционный суд о заключении мирового соглашения с ФАС по делу о завышении цен на горячекатаный прокат

🌾 {$AKRN} — Совет директоров 15 апреля даст рекомендацию по распределению прибыли за 2023г.

⚒ {$CHMK} — Чистый убыток по РСБУ сократился в 4 раза, до 1,363 млрд руб.
Выручка увеличилась до 41,809 млрд руб., против 36,746 млрд руб. годом ранее

🪨 $RASP — Покупатель бывших угольных активов Evraz «АВД-Капитал» приобрёл акции Распадской на 0,8 млрд руб."
2024-04-12T19:10:48.949+03:00,"{$CHMK} динамика вроде неплохая, а бумагу льют"
2024-04-12T19:06:56.859+03:00,"Челябинский металлургический комбинат (ЧМК) представил результаты деятельности за 2023 год по российским стандартам бухгалтерского учёта (РСБУ).
За отчётный период комбинат зафиксировал убыток в размере 1,364 млрд рублей, что в 4,3 раза меньше, чем убыток за предыдущий год, который составлял 5,918 млрд рублей.
Выручка ЧМК за 2023 год увеличилась на 13,8% и достигла 41,81 млрд рублей. Годом ранее выручка составляла 36,747 млрд рублей. {$CHMK}"
2024-04-12T17:46:13.114+03:00,"📁 {$CHMK} {$MTLRP} {$MTLR} #отчётность #рсбу 
⚒ ЧМК Мечела в I квартале сократил чистый убыток по РСБУ в 4 раза"
2024-04-12T15:11:41.931+03:00,"📒 Финотчет ЧМК за 2024, 3 месяца {$CHMK}"
2024-04-11T15:43:45.992+03:00,"{$MTLR}  вспомнил   несколько месяцев еще до  нг  писал про спред  между  ценой на сталь и   углем + жрс  о том что он минимальный.. 

Ну вот  пока цены на сталь +- так же.. 
А уголь и жрс упали.. В принципе было понятно что так и будет. 

Но Мечел это отыгрывает через металургический дивизион, но страдает в угольном..
Для {$RASP}  это намного хуже... 
Жаль что через {$CHMK}  это должным образом не отыграть.. 
А так была бы вообще хорошая идея продать Мечел купить чмк.. 
Жаль что там не совсем рыночное взаимоотношение. 

Можно через {$NLMK} и {$MAGN}  это попробовать ведь часть сырья они закупают на стороне - которое стало дешевле.."
2024-04-11T10:38:45.112+03:00,"{$CHMK} кому-то явно не выгодно, чтобы она сегодня начала рости) если держат, значит держат для чего-то, значит скоро (надеюсь очень скоро), будет очень хороший рост. Не ИИР, просто мнение не опытного инвестора))))"
2024-04-09T13:24:09.101+03:00,"{$CHMK} ждем объемы?)
Надо удержать выше 9130"
2024-04-08T17:26:04.357+03:00,"{$CHMK}  надо создавать братство кольца  !! 🤣

Чтобы мы смогли утащить эти кольца и бросить их в мордоре и там уничножить в этой лаве роковой по 20000 -30000 руб 

Путь начался от отметки 9200 метров 😂

Пока такая команда 😂😂 
415 штук 

@Grisha_che  - 70 

@ mtta -5     

@SDMIY -3 

@MoonDel -11

@ vivi4  -21

@GVR_3778  171

@MVladimirA - 87

@ zevs 9 

@Akhmedova2910 -4

@Trade_Lover 20

@Pes_so_Stroitelei_street 8

@bk17 -3 

@TaniaTania -1 


@Carpo -1"
2024-04-08T15:48:18.553+03:00,"{$MTLR}  {$CHMK}    поставим рельсы 😂

 Правительтсво предоставит 300 млрд рублей на строительство ВСМ Москва - Петербург

 Компания ""Российские железные дороги"", Сбербанк и госструктуры должны заключить с ООО ""ВСМ две столицы"" концессионное соглашение на строительство высокоскоростной магистрали (ВСМ) Москва - Санкт-Петербург до 15 июля, отмечается в поручении главы государства."
2024-04-08T15:24:58.018+03:00,"{$MTLR}  ну что вот я  и принял  решение  продать  -   мечел!

Продал 5000 штук сразу скажу продавал от 283 - до  287 руб 
Оставил 310 акций... + еще несколько лотиков   

Докупил {$CHMK}  как самую крупную дочку мечела  ) 

Считаю недооценка там сильная накопилась  сейчас  мечел стоит 165 млрд руб,  чмк только 29 млрд.. 
Думаю  35 -40 %  от папы мечела должна стоить чмк - это  60 -70 млрд руб. 


Думаю что иксануть там можно быстрее чем в мечеле.. 

В мечеле видится боковик  ,  небольшой рост потом опять коррекция  и тд.. 
Буду  искать точку входа позже.. 

Так же думаю что удвоится по текущим можно за 3 года в мечелк - те кто держат можно держать. 

Я пробую сделать в чмк икс 🤣  потом переложится в мечел - вообщем  рискую 😂  посмотрим что из этого выйдет.. 
Не советую..  Надо думать.. 


Про мечел тоже писать буду
Оставляю  его 1.5 %  портфеля 310 штук 
+ еще немного лотиков   на разных счетах чтобы следить.. 

Распадскую  {$RASP}  тоже оставил 1.5 % портфеля.

Чмк добрал 9000 -10000 тыщ с  целями 20000 -30000 ... Эхх😂

Думаю если упадет до 6000 -5000 -7000 усредню  еще до 15 %  депозита и хватит .. 

По распадской  тоже не жду подвижек.. 
Это наверное будет самая последняя компания и ее мама евраз которая переедет.. 🥲"
2024-04-08T13:24:36.282+03:00,"{$MTLR}   {$MTLRP}  спор!!! 
Что быстрее Мечел 285 -317   иксанет сдалет 100 %   До 600 -700 руб! 

то есть я даю срок 3 года на это дело!! 
Или {$CHMK}  9200 улетит на 20000 руб 

Кто быстрее сделает икс????"
2024-04-07T15:41:14.048+03:00,{$CHMK} взял
2024-04-05T20:38:25.014+03:00,"{$CHMK} 
•Выполнил первую цель в 4%, после чего вернулся к уровню. 
{$RUAL} 
•Остужается после бурного роста, первые цели также взял
{$SVAV} 
•Взял одну из теней, после чего слили
{$SMLT} 
Думаю, что нас ждет небольшая консолидация
•Актив отыграл 5 волн, а также 3 коррекционные
•Среднесрочная цель - 4000"
2024-04-05T17:13:10.861+03:00,"{$RKKE} пошла в рост перед днем космонафтики, на её фоне я дал идею на рост {$UNKL} , ЮУНК дал +7+8%, дальше я дал вам идею на рост {$CHMK}, она так же зашла, можно было легко зафиксировать 4,-4.5 %.
Конечно на фоне этих 3 бумаг, так же может ходить и {$KRKNP} , но она слишком тяжелая, много кто позастревал в ней, и как идею я не стал её вам давать"
2024-04-05T13:48:25.738+03:00,"{$UNKL}  как и писал 3 часа ранее, может пойти за {$RKKE} , кто участвовал забрали свои 7-8 %, так же не забываем смотреть как может отреагировать {$CHMK}"
2024-04-05T12:16:16.793+03:00,"{$CHMK}   у кого сколько акций   чмк  !!! 
Напишите  в коменты  
Посчитаем  сколько мы держишь Тинькофцы - пустята.. 
Соберем  пул  

И сделаем предложение зюзину  😂!!! 

У меня 50 акций  по 10000  с чем то  руб.. 

Держу дешевле 30000 продавать не планирую!!! 

Ищу таких же

Капа ~  28 млрд руб...  Цена 9400

Дешевле 100 млрд руб продавать нет смысла это 30000 акция!!

Капа мечела сейчас 160 млрд руб

Половина выручки делает чмк!

{$MTLR} {$MTLRP}"
2024-04-04T17:36:39.626+03:00,{$CHMK} поехали
2024-04-04T10:55:14.870+03:00,"{$CHMK}

•Актив поджимается к уровню, после пробоя которого открываются цели в 4%, 7% и 20%.
•Безопаснее всего входить после пробоя уровня и над красной линией
•Также видим на графике стопосъем, что также может свидетельствовать о начале роста

Всем профита!"
2024-04-03T14:03:49.141+03:00,"Челябинский металлургический комбинат {$CHMK}
Итоги 2023: отрицательные курсовые разницы помешали показать внушительную прибыль

ЧМК выпустил отчетность за 2023 г. по РСБУ.

Выручка комбината упала на 3,6%, составив 162,1 млрд руб. Компания не раскрыла операционные показатели. Со своей стороны мы можем предположить, что падение доходов компании вызвано, прежде всего, снижением  объемов реализуемой продукции.

Операционные расходы комбината сократились на 6,6%, составив 146,2 млрд руб. на фоне снижения себестоимости до 128,6 млрд руб. (-7,9%). В итоге операционная прибыль ЧМК выросла на 36,2% до 15,9 млрд руб.

В отчетном периоде финансовые вложения компании составили 50,7 млрд руб., сократившись за год почти на 15,0 млрд руб. Несмотря на это проценты к получению увеличились до 13,9 млрд руб. против 11,4 млрд руб. годом ранее на фоне возросших ставок. Процентные расходы увеличились с 13,3 млрд руб. до 15,9 млрд руб. при снижении долга со 167,4 млрд руб. до 158,1 млрд руб. Отрицательное сальдо прочих доходов/расходов составило 16,2 млрд руб. против положительной величины в размере 7,4 млрд руб. годом ранее, на фоне отражения отрицательных курсовых разниц по валютной части кредитного портфеля по причине ослабления курса рубля по отношению к евро.

В итоге чистая прибыль ЧМК составила 1,6 млрд руб. против значительной прибыли годом ранее. Балансовая стоимость акции на конец отчетного периода составила 26 106 руб.

По итогам внесения фактических данных, мы несколько снизили прогноз по чистой прибыли в текущем году, что связано с более высоким размером коммерческих и финансовых расходов. В последующие годы прогноз не претерпел серьезных изменений. В результате потенциальная доходность акций незначительно снизилась.

На данный момент акции ЧМК торгуются с P/BV 2024 0,3 и продолжают входить в число наших приоритетов.

💡 Фундаментальная аналитика"
