time,text
2024-04-13T08:44:20.798+03:00,"Ещё одна неделя позади. На счёте для краткосрочных спекуляций закрыл всего 5 сделок, из которых 3 прибыльных. Но даже при таком раскладе торговый капитал увеличился примерно на 1%.

Лучшим по профитности вышел трейд на {$LSRG} +14,29%.

По {$SOFL} получился прикольчик. Вечером вторника цена вдруг резко упала, буквально на минутку, и пробила мой стоп, после чего ушла в свой привычный боковик. Ладно, пофиг...

Неделя была вялая, на самом деле. По всем бумагам какой-то тяни-толкай. С позапрошлой недели 20% счёта висело в кэшэ, потому что не видел нигде точек на вход. К утру пятницы уже нашёл и всё бабло теперь в бумагах.

На следующей неделе, если что-то закроется, ожидаю хорошие моменты для торговли по {$BSPB} {$CIAN} {$OZON} и ещё нескольким. Раньше времени не лезу, научился ждать."
2024-04-12T19:22:21.092+03:00,"{$CIAN} начал изучение показателей компаний, как понимаю данная компания показывает устойчивое функционирование. Это недвижимость"
2024-04-12T15:15:20.965+03:00,"{$CIAN} 2 недели топчемся. Давайте уже пробьем 900 и полетим на 1000+
Кто за?🙌"
2024-04-12T10:25:15.123+03:00,"{$MOEX} {$OZON} {$CIAN} {$LKOH} {$VKCO} 
День взбалмошной космонавтики!:)
Мосбиржа в космос улетела, а инвесторов с акциями забыла. Эээээх…"
2024-04-12T01:47:14.474+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#sveta_fx даёт #прогноз. Как вам?
IMOEX продолжаем движение волной 3 в составе более старшей 3ки
Вполне возможно впереди рост усилится

{$IRKT} растяжения не будет
возможно цена продолжит рост через формирование более крупной боковой коррекции в рамках волны Х

{$CIAN} Откатывает предположительно в рамках 2рой пары заходных
Полагаю рост вскоре продолжится 
Кстати неплохой момент для добора

{$OZON} Здесь продолжаем движение наверх в соответствии с предположенной ранее разметкой

{$AFKS} Не смотря на отсутствие стопов, для меня лично такая коррекция = добор с прицелом на волну 5 в р-н верхней границе канaла (грубо 27)

{$ALRS} Вариативность большая, в том числе треуг-к может видоизмениться
Пока остановлюсь на том что он был сформирован и сейчас имеем 1-2 с откатом к уровню поддержки и 50МА
Если это так , уже в ближайшее время увидим рост волной 3

#XAUUSD В золоте пробито сопротивление которое держалось 4 года
Наверняка этот рост продолжится и до конца тут еще оч далеко
Другой вопрос что гармонично разметить его не получается 
Указанный участок как серия заходных выглядит неубедительно, как 2ная тройка тоже так себе
По итогу рост продолжится с коррекциями в 4ых волнах в составе текущей 3 
В моем видении имеет смысл удерживать лонги не смотря на то что стопы уже далеко позади
Полагаю что в текущей 3ке цена пройдет как минимум еще процентов 10

#XAGUSD здесь так же крышу прорвало и цена можети уйти далеко наверх
В разрезе ВА цена может изобразить импульс волной 1 с откатом в волну 2 как это изобразила я
Однако в таких историях важно понимать что сентимент явно бычий, а это означает что красивой книжной разметки может не получиться,
а цена продолжит рост растяжением без значимых откатов

{$RENI} Консолидация над скользящими, но какя-то неуверенная .
Если мощного выхода наверх не последует, значит вбок продолжится волна В

CHWY на текущих уровнях говорить о развороте конечно же рано
Но в целом структура на снижение выглядит законченной

{$NVTK} Пока канал не пробит на верх о развороте говорить бессмысленно , возможно дальнейшее снижение к уровням

{$SIBN} Есть смысл выставить стоп по волне 4 ибо ход ниже спровоцирует  более глубокую коррекцию в р-н 570

SELG Продолжит рост

{$PLZL} нужна более-менее значимая коррекция для понимания что цена перешла в волну 4 
Пока ее нет пропиливание наверх может продолжаться еще долго
https://www.tradingview.com/x/ssfPEym3/

{$VKCO} здесь здесь на 500ых уровнях
В целом предположение то же - продолжение формирования волны Х с выходом наверх

{$YNDX} Полагаю цена продолжит рост волной А примерно как нарисовано

{$NLMK} В металлургах все по ранее предположенной разметке

{$MAGN} Волна А либо уже идет либо скоро начнется

CHMF Так же все по плану
Предполагается дальнейший рост

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров""- уникальный проект в Пульсе"
2024-04-11T18:26:07.766+03:00,"Сидел я думал, размышлял. В итоге пришел к интересному умозаключению. Пришло время брать долгие ОФЗ. Они сейчас на самом низком уровне, а при понижении ставки, можно неприлично заработать. Для ребалансировки портфеля скинул {$CIAN}  {$RUAL} {$AFLT} . Оказалось не зря профит составил от 19 до 21 процента. Подобрал долгие ОФЗ. Почему то есть уверенность в своих действиях. Желаю себе и вам профита. Не ИИР"
2024-04-11T14:19:46.112+03:00,"{$CIAN} Когда будет рост, как думаете?"
2024-04-11T13:30:36.948+03:00,{$CIAN} прикольно
2024-04-11T13:10:14.899+03:00,"Жадность может погубить. Поэтому закрыл свою идею по {$CIAN} . Держал с 31 января. Профит составит 21.8 процента. Понимаю, что она легко до 1000 долетит, но чуйка говорит забирай что есть. Не ИИР"
2024-04-11T10:59:19.884+03:00,{$CIAN} будет рост
2024-04-10T23:33:00.356+03:00,"ВЫБОР МЕЖДУ КВАРТИРОЙ И АКЦИЙ: ЧТО ЛУЧШЕ❓

В данном случае, выбор между покупкой квартиры и акций зависит от ваших личных финансовых целей и предпочтений. Если вы хотите иметь стабильный доход от аренды квартиры, то покупка квартиры может быть более выгодным вариантом для вас. 

Однако, если вы хотите получить больший доход и готовы рискнуть, то покупка акций может быть хорошим вариантом. В любом случае, перед принятием решения необходимо тщательно изучить рынок и провести анализ рисков.

❌А ЧТО БЫ ВЫБРАЛИ ВЫ ? 
Покупку квартиры за 5.500.000 или покупку акций на сумму 5.500.000₽ ❓

#жизнь #квартира #акции 
{$SMLT} {$CIAN}"
2024-04-10T18:46:12.577+03:00,"{$CIAN} 866,6 отлично)"
2024-04-10T18:36:42.081+03:00,{$CIAN} ещё четверть процента и выхожу
2024-04-10T17:05:39.946+03:00,{$CIAN} даю установку на рост.
2024-04-10T14:53:21.318+03:00,{$CIAN} прорывай🙌🏻
2024-04-10T14:05:28.574+03:00,{$CIAN}  не ирр
2024-04-10T11:20:13.506+03:00,{$CIAN} ниже 837 не уходим на часовом. Так что вероятен рост снова на 890
2024-04-10T10:39:15.171+03:00,"{$CIAN} жесть ее укатывают 
Такой бред"
2024-04-10T10:33:26.517+03:00,{$CIAN} это перегрев акции? В честь чего она падает? Ждать последующего роста?
2024-04-10T10:09:11.434+03:00,{$CIAN} Роботы что ли торгуют?
2024-04-09T18:45:10.921+03:00,{$CIAN} вот так из трейдеров превращаются в инвестора
2024-04-09T16:46:03.132+03:00,"{$CIAN} наблюдаю за многими акциями, про циан меньше всего пишут в пульсе, растет без новостей, падает тоже 🤔"
