time,text
2024-04-12T11:06:35.474+03:00,"{$CNTL} интересно, кто так же, как и я засел в нем и какая у вас средняя? Чего ожидаете от акции или может скидывать надо?)"
2024-04-11T14:38:29.252+03:00,"{$CNTL} один раз прокатился , думал пониже взять и поторопился , теперь жду выхода в район 18.5 треугольник , край вил нисходящих , в общем ждем объемов"
2024-04-11T10:16:21.837+03:00,"*Технический анализ* 
 
System: {$CNTL} Up-trend analysis 
Реализация и развитие технического анализа предоставлено интерактивно. 
 
Короткая опись инфографики: Идея на up-реализацию крупной зоны консолидации, изменение динамики экстремумов, пробой ближайшего сопротивления.
Рассмотрен таймфрейм (4h). Указаны горизонтальные, трендовые уровни, зоны поддержки и сопротивления. Обозначена динамика взаимодействия минимумов и максимумов с горизонтальным и трендовым уровнями (HR|LS).
Начало реализации технического анализа происходит в случае пробоя зоны сопротивления и изменения текущих технических параметров. 
*В случае отсутствия технического пробоя и снижения ниже 16.38, системная идея отменяется.
 
**Публикация является частью системных идей для учета PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции

Исходный график ""ТА"" без снижения качества изображения -  https://www.tradingview.com/chart/CNTL/4r5U6Qr8-CNTL-Long/"
2024-04-10T10:35:15.438+03:00,"{$CNTL} Потом что-то мутят Сбер и Телеграф. Может Телеграф залетит под крыло ИТ Сбера. Никаких данных не расскрывают ссылаясь на закон правительства, вероятно, оттуда все и идет.
Многие телекомы сначала были только телекомы, а потом еще и банками стали, поскольку деньги сейчас электронные, то и ""обратно"" банкам нужны свои телекомы.
Разговоры про электронный рубль серьезные идут и такому банку как Сбер надо иметь свои возможности в телекоммуникациях. Я, пока, лонгово настроен.
Не ИИР.
Может кому интересны мысли, возможен срыв к 50 ЕМА (на неделе) в район 16,5, оттуда ждал бы откуп вплоть до 18, IMOEX немного ""придохнул"", но 3500 его притягивает :) , при каких-либо плохих геополитических новостях можем к 200 ЕМА (H) 15.5, там усреднюсь, если все пойдет плохо. Ну и потом, жду все-таки хороших новостей. Как уже писал где-то,  телекомам пришлось перекладываться в оснащение в предыдущие годы, теперь не вижу причин для плохих дел у них."
2024-04-09T15:29:31.461+03:00,{$CNTL} интересно что за заплыв?
2024-04-09T13:29:37.887+03:00,{$CNTL} ажаль
2024-04-09T12:56:18.706+03:00,"🔮 Торговые прогнозы по теханализу от тинькофф
 
📈 Потенциал роста
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.25%
🗓 Срок 15 дней
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал роста 2.94%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Башнефть {$BANE}
💰 Потенциал роста 2.1%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага КуйбышевАзот {$KAZT}
💰 Потенциал роста 1.23%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta
 
💼 Бумага Московская Биржа {$MOEX}
💰 Потенциал роста 1.08%
🗓 Срок 5 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Beta
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 1.83%
🗓 Срок 9 дней
💡 В 70% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 9.14%
🗓 Срок 20 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага СПБ Биржа {$SPBE}
💰 Потенциал роста 3.12%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
 
📉 Потенциал падения
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал падения 2.89%
🗓 Срок 5 дней
💡 В 94% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Казаньоргсинтез - акции привилегированные {$KZOSP}
💰 Потенциал падения 1.7%
🗓 Срок 4 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Gamma
 
💼 Бумага Россети Центр {$MRKC}
💰 Потенциал падения 1.56%
🗓 Срок 5 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Трубная Металлургическая Компания {$TRMK}
💰 Потенциал падения 1.65%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Центральный Телеграф {$CNTL}
💰 Потенциал падения 3.32%
🗓 Срок 4 дня
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta

Источник: Tinkoff trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам #рынок"
2024-04-09T09:44:21.360+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 8 апреля
 
📈 Потенциал роста
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.25%
🗓 Срок 15 дней
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал роста 2.94%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Башнефть {$BANE}
💰 Потенциал роста 2.1%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага КуйбышевАзот {$KAZT}
💰 Потенциал роста 1.23%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta
 
💼 Бумага Московская Биржа {$MOEX}
💰 Потенциал роста 1.08%
🗓 Срок 5 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Beta
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 1.83%
🗓 Срок 9 дней
💡 В 70% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 9.14%
🗓 Срок 20 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага СПБ Биржа {$SPBE}
💰 Потенциал роста 3.12%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
📉 Потенциал падения
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал падения 2.89%
🗓 Срок 5 дней
💡 В 94% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Казаньоргсинтез - акции привилегированные {$KZOSP}
💰 Потенциал падения 1.7%
🗓 Срок 4 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Gamma
 
💼 Бумага Россети Центр {$MRKC}
💰 Потенциал падения 1.56%
🗓 Срок 5 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Трубная Металлургическая Компания {$TRMK}
💰 Потенциал падения 1.65%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Центральный Телеграф {$CNTL}
💰 Потенциал падения 3.32%
🗓 Срок 4 дня
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta
 
💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-09T08:12:49.751+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 8 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.25%
🗓 Срок 15 дней
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага АбрауДюрсо {$ABRD}
💰 Потенциал роста 2.94%
🗓 Срок 11 дней
💡 В 69% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Башнефть {$BANE}
💰 Потенциал роста 2.1%
🗓 Срок 6 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Alpha
 
💼 Бумага КуйбышевАзот {$KAZT}
💰 Потенциал роста 1.23%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta
 
💼 Бумага Московская Биржа {$MOEX}
💰 Потенциал роста 1.08%
🗓 Срок 5 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Beta
 
💼 Бумага НМТП {$NMTP}
💰 Потенциал роста 1.83%
🗓 Срок 9 дней
💡 В 70% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
💼 Бумага Полюс {$PLZL}
💰 Потенциал роста 9.14%
🗓 Срок 20 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Delta
 
💼 Бумага СПБ Биржа {$SPBE}
💰 Потенциал роста 3.12%
🗓 Срок 4 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Alpha
 
 
📉 Потенциал падения
 
💼 Бумага Группа ЛСР {$LSRG}
💰 Потенциал падения 2.89%
🗓 Срок 5 дней
💡 В 94% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Казаньоргсинтез - акции привилегированные {$KZOSP}
💰 Потенциал падения 1.7%
🗓 Срок 4 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Gamma
 
💼 Бумага Россети Центр {$MRKC}
💰 Потенциал падения 1.56%
🗓 Срок 5 дней
💡 В 75% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Трубная Металлургическая Компания {$TRMK}
💰 Потенциал падения 1.65%
🗓 Срок 4 дня
💡 В 73% случаев в прошлом была прибыль
🔍 На основе индикатора Relative Strength Index | Alpha
 
💼 Бумага Центральный Телеграф {$CNTL}
💰 Потенциал падения 3.32%
🗓 Срок 4 дня
💡 В 80% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R | Delta
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-08T11:28:00.929+03:00,{$CNTL} прикупил чутка
