time,text
2024-04-12T13:12:23.175+03:00,{$DASB} https://news.mail.ru/incident/60639996/?frommail=1
2024-03-28T16:50:55.839+03:00,{$DASB} есть новости по внебиржевым торгам?
2024-03-23T14:43:45.918+03:00,"{$DASB} привет!!! Подскажите, а как эту бумагу просто удалить из портфеля, потеряв деньги???? Так она напрягает в портфеле, просто своим видом."
2024-03-13T10:10:54.493+03:00,{$DASB} Можно уже как-то закрыть позиции…
2024-03-11T22:16:22.369+03:00,{$QIWI} не зря заглянул в пульс по Киви. Самые интересные обсуждения всегда на таких бумагах. Попахивает дагестанской энергосбытовой {$DASB} 🤣
2024-02-29T16:07:06.401+03:00,{$DASB} есть какие-либо новости по этой бумаге?
2024-02-19T17:08:09.997+03:00,{$DASB} без новостей?
2024-01-16T23:02:48.947+03:00,"{$DASB} 
Народ, кто знает, как закрыть ИИС, если эти акции находятся на нём? Их же не продать. 
И в дополнение так же часть акций, которые заморозили всем два года назад уже, как с ними быть ?"
2024-01-14T01:24:22.707+03:00,"{$DASB} КУ Дагестанской энергосбытовой компании привлекает Россети к субсидиарке на 41 млрд .
Единоличным исполнительным органом ДЭСК являются «Россети Северный Кавказ». Ранее ДЭСК имела статус гарантирующего поставщика и занимала доминирующее положение на оптовом рынке электроэнергии Дагестана.
Исполняющий обязанности конкурсного управляющего АО «Дагестанская энергосбытовая компания» (ДЭСК) Денис Махов подал в Арбитражный суд Республики Дагестан заявление о привлечении к субсидиарной ответственности по долгам компании ПАО «Россети» и ПАО «Россети Северный Кавказ». Управляющий требует солидарно взыскать с ответчиков 41 млрд рублей.
Как сообщал портал PROбанкротство, Арбитражный суд Дагестана в декабре 2023 года признал ДЭСК банкротом. Конкурсное производство введено до 14 мая 2024 года. Конкурсным управляющим утвержден член Ассоциации Межрегиональная саморегулируемая организация арбитражных управляющих «Содействие» Денис Махов. В реестр ПАО «Дагестанская энергосбытовая компания» по итогам наблюдения были включены требования кредиторов на сумму более 42 млрд рублей. Признаки преднамеренного и фиктивного банкротства не выявлены. 
О должнике
ДЭСК является правопреемником в отношении части прав и обязанностей ОАО «Дагэнерго», а основной вид ее деятельности ― покупка и продажа электроэнергии на оптовом и розничном рынках. Единоличным исполнительным органом ДЭСК является ПАО «Россети Северный Кавказ», а на региональном рынке Дагестана ДЭСК имела статус гарантирующего поставщика и занимал доминирующее положение на оптовом рынке электроэнергии. В 2020 году Минэнерго РФ лишило компанию этого статуса, из-за чего она потеряла источник дохода.
Результатом стало накопление кредиторской задолженности, которая на 30 июня 2022 года, по подсчетам ДЭСК, составила более 44,68 млрд рублей. При этом еще до того, как Минэнерго отозвало у компании статус гарантирующего поставщика, ДЭСК накопила огромную задолженность.
ПАО «Дагестанская энергосбытовая компания» закончило 2019 год с выручкой 12,38 млрд рублей и убытком 7,92 млрд рублей. В 2020 году компания получила выручку 6,63 млрд рублей и убыток более 4,45 млрд рублей, в 2021-м выручка не зафиксирована, убыток составил 64,5 млн рублей.
О банкротстве
ПАО «Дагестанская энергосбытовая компания» (ДЭСК) в августе 2022 года обратилось в Арбитражный суд Республики Дагестан с просьбой признать ПАО банкротом из-за неспособности погасить обязательства в размере более 47 млрд рублей (А15-4421/2022). В октябре 2022 года в отношении компании было введено наблюдение.
Основные кредиторы компании: Росэнергоатом (9,84 млрд рублей), ПАО «Мосэнерго» (5,36 млрд рублей), ПАО «ОГК-2» (4,94 млрд рублей), ПАО «Т Плюс» (4,04 млрд рублей), АО «Интер РАО-Электрогенерация» (3,37 млрд рублей), ПАО «Юнипро» (3,2 млрд рублей), ПАО «Русгидро» (2,83 млрд рублей), ПАО «ЭЛ5-Энерго» (ранее – ПАО «Энел Россия») (2,07 млрд рублей), ПАО «ТГК-1» (1,27 млрд рублей), ПАО «Фортум» (1,04 млрд рублей), ООО «Башкирская генерирующая компания» (859,6 млн рублей), ООО «Коллекторское бюро «СРВ» (759,5 млн рублей), АО «Нижневартовская ГРЭС» (487 млн рублей) и другие."
2024-01-09T22:02:54.562+03:00,{$DASB} Есть какие-либо новости об этой компании ?
2023-12-22T21:18:40.733+03:00,{$DASB} Банкротство не всегда означает ликвидацию компании
2023-12-05T15:47:57.771+03:00,"{$DASB} есть какие-то новости по бумаге?
Будут на внебиржевую торговлю выпускать?"
2023-11-11T19:09:21.700+03:00,{$DASB} Думаю через месяц - полтора и эта бумага на внебиржу выйдет ✍️
2023-11-07T14:20:44.723+03:00,{$DASB} с внебиржи  выпустили городские технологии может наша скоро пойдет
2023-11-01T21:01:18.204+03:00,"{$DASB} Здравствуйте. К сожалению, пока новостей о возможном запуске торгов по бумагам «Дагестанская энергосбытовая компания» на внебиржевом рынке не было.

Следите за новостями в наших официальных каналах. 
Официальный канал Тинькофф Инвестиции в Пульсе
Официальный канал Тинькофф Инвестиции в Telegramm"
2023-11-01T20:40:26.450+03:00,{$DASB} 15 декабря последнее заседание в этом году
2023-10-31T11:35:08.318+03:00,"{$DASB} что будет с нашими замороженными деньгами, кто знает? Как дальше двигаться?))"
2023-10-08T14:39:19.532+03:00,"{$DASB} приветствую , есть новости по акции ?"
2023-09-30T20:47:14.197+03:00,"{$DASB} скажите пожалуйста у меня акций на 86 руб. Могу ли я приехать на банкротсво и забрать метр медного провода в виде компенсации? Как раз так стоит в магазине на 2,5 кв"
2023-09-25T16:21:27.073+03:00,{$MRKZ} кто-нибудь помнит {$DASB}?
2023-09-18T23:15:30.978+03:00,"{$DASB} никто не хочет пообщаться где-то,чтобы оповещать друг друга об информации?"
2023-09-14T22:57:31.373+03:00,{$DASB} наконец-то все забили?)
2023-09-05T17:27:12.316+03:00,"{$DASB} есть у меня, товарищи, немножко акций, которая научила пользоваться сайтом мосбиржи 😁🤪"
2023-09-05T16:48:04.369+03:00,{$DASB} чего ждём???
2023-08-25T20:05:05.872+03:00,"{$DASB} все это время в Дагестане нет света?
Тогда им повезло меньше чем нам("
2023-08-03T18:29:20.362+03:00,"{$DASB} август, до этого кто то говорил что суд будет, по дате не знаете ?"
