time,text
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-13T13:33:47.428+03:00,{$DELI} ждем тебя внизу! Удочки ждут!
2024-04-13T13:27:49.449+03:00,{$DELI} чумачечая ….🥴
2024-04-13T13:27:12.449+03:00,"Привет всем только начал, разбираться в этой теме , нужно мнение по поводу моего портфеля, насколько все плохо или же наоборот хорошо, подскажите пожалуйста что исправить, купить или продать😇
{$SBER} {$DELI} {$SOFL} {$GAZP}"
2024-04-13T12:22:54.635+03:00,{$DELI} стоит брать на 340?
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T12:19:52.957+03:00,{$DELI} сейчас был нервный тик?
2024-04-13T11:46:10.090+03:00,{$DELI} В понедельник 365 ?
2024-04-13T11:18:24.435+03:00,"Добрый день!
🤔 Статистика за эту неделю в фьючерсном эксперименте:

   - Золото {$GDM4}
     Статус: смешный
     За неделю +7.7%
     За всё время +57.75%

   - Юань/рубль {$CNYRUBF}
     Статус: лонг
     За неделю -0.38%
     За всё время -0.68%

   Комиссия за неделю - 0.13%


    📈Стратегия за неделю принесла +2.02%
 √ Обновленный состав портфель: 
 {$UGLD} {$ROSN} {$RTKMP} {$TATNP} {$MAGN} {$NLMK} {$MTSS} {$DELI}
 
  Друзья, у меня к вам пара вопросов:
 1. Нужна ли вам фьючерсная стратегия, у которой рекомендуемую сумму составляет 40 000–50 000 рублей и доходностью 50–100%?(Торговля фьючерсами на акции пока недоступна)
 2. Нужно ли выкладывать посты о сделках в стратегии, идеях и новостях?

Упомянули в @Tinkoff_Investments, написали о сделке {$WUSH}, принесшей 31% доходности, в которую было инвестировано 10-15% от депо.

[&Успех в одно касание](https://www.tinkoff.ru/invest/strategies/f9a975a1-c173-48aa-9fd7-9a41e821c711)

#инвестиции #рынок #стратегия #пульс #новичкам #фьючерс #автоследование #фьючЭксперимент #акции"
2024-04-13T10:09:49.595+03:00,{$DELI} тоже убрали с торгов выходного дня? Обидно...
