time,text
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-12T23:53:20.772+03:00,"Кто завтра идёт?
Слишком много залов и даже не знаю что поставить в приоритет.

А что бы выбрали вы? 

{$DIAS} {$MTSS} {$ETLN} {$HNFG} 
{$POSI} {$LEAS} {$SVCB} {$ASTR} 
Очень много спикеров мне не известных. Так же как и компаний."
2024-04-12T20:44:39.830+03:00,"Статистика по IPO подъехала от АТОН

Средний рост акций компаний после первичного размещения акций ~42%

Смотри табличку со статистикой по эмитентам 

{$ASTR} 
{$UGLD} 
{$SVCB} 
{$DIAS} 
{$HNFG}"
2024-04-12T18:27:31.816+03:00,"Первая запись, в моём профиле, есть идея, на ближайшие время, купить акции вышедшие на на рынок после IPO,  и ждать, смотреть что  получится из этого, я создам отдельный брокерский счёт и раз в месяц буду публиковать, какие результатов добились эти бумаги, ежемесячное пополнение 7000р, {$DIAS} , {$UGLD} , {$SVCB} , {$DELI} , {$ZAYM} , {$ASTR} , {$HNFG} ,  при необходимости буду продавать  {$LEAS}  бумаги, если они на пике или вообще исключать из списка, конечно чувствовать в новых IPO"
2024-04-12T17:58:05.291+03:00,"{$DIAS} Диасофт — крупнейший разработчик финансового ПО. Взгляд БКС

ПАО «Диасофт» — крупный разработчик программных продуктов для банков, страховых компаний и других игроков финансового рынка. Начинаем аналитическое покрытие бумаги с «Негативным» взглядом и целевой ценой 5900 руб. на акцию на 12 месяцев.

📌 Главное

• Диасофт разрабатывает, продает и поддерживает свои IT-продукты.

• Прибыль за 2022 г. достигла 2,5 млрд руб. без учета доли миноритариев.

• Прогноз на 2023 г: рост выручки на 30% году к году (г/г), до порядка 9,2 млрд руб.

• В планах выход на новые рынки — госсектор и ERP, системное ПО.

• Дивидендная политика: выплата 80% от EBITDA в 2024–2025 гг.

• Риски: рост конкуренции, регуляторные изменения, технологические вызовы.

• У нас «Негативный» взгляд с учетом наших прогнозов и текущей оценки.

📌 В деталях

Диасофт — высокая доля на рынке ПО для финсектора. По расчетам Strategy Partners, доля Диасофта в сегменте финансового ПО составляет 24% — в 2022 г. общий рынок финансового ПО оценивался в 28,1 млрд руб. К 2026 г. Диасофт нацелен увеличить долю до 32%. 

Менеджмент считает, что за счет дальнейшего роста рынка в денежном выражении и с учетом вклада других сегментов выручка может увеличиваться примерно на 30% в год. Диасофт более 30 лет разрабатывает решения на базе российских технологий. Компания работает с крупнейшими российскими банками и не видит рисков конкуренции с их собственными разработками. По данным Strategy Partners, общие затраты российских банков на цифровые решения в 2022 г. превысили 0,5 трлн руб.

Основные направления — автоматизация для финсектора, учет и отчетность. Диасофт фокусируется на ряде направлений: программное ядро для автоматизации работы финсектора (core banking) с долей рынка в 37,5% (здесь и далее по данным Strategy Partners на 2022 г.), учет и отчетность — 42,4%, цифровые решения — 30,3%, финансовые рынки — 20,5%, страхование — 26,5%, системная интеграция — 14,8%. 

Решения Диасофта позволяют клиентам проводить расчеты, автоматизировать бизнес-процессы, формировать отчетность и решать ряд других задач. В последнее время позиции компании укрепляются благодаря переходу на отечественное ПО. 

Диасофт активно работает над выходом на два других крупных рынка: ПО для госсектора и планирования ресурсов предприятия (ERP, потенциальный объем рынка — 100 млрд руб. за год). А также инфраструктурное ПО — СУБД и серверы приложений. Оба подсектора сильно сократились из-за ухода иностранных игроков, но будут восстанавливаться.

Высокая рентабельность и прибыльность. В 2022 г. рентабельность по EBITDA составила 42%, а скорректированная прибыль — около 2,4 млрд руб. Диасофт ежеквартально выплачивает дивиденды. За 2022 г. было выплачено 1,6 млрд руб., что составило 67% чистой прибыли. Компания планирует сохранить ежеквартальные выплаты, что может улучшить дивидендную привлекательность бумаги. 

Автоматизация разработки и максимальное переиспользование ранее созданного кода поддерживают высокую операционную эффективность и позволяют существенно снижать затраты на выпуск релиза в человеко-часах и на разработку — в 10 раз относительно 2017 г.

Оценка и ключевые риски. Наша оценка на основе дисконтирования будущих денежных потоков компании учитывает средневзвешенную стоимость капитала на уровне 21,3%, стоимость акционерного капитала — 21,3%, а также рост в постпрогнозном периоде — 8%. 

Диасофт намерен расширить портфель продуктов, выйти на новые рынки и сохранить фокус на снижении стоимости разработки и сокращении сроков вывода продукта на рынок. Считаем, что освоение новых рынков несет для Диасофта как возможности, так и риски. 

💡 БКС"
2024-04-12T17:29:55.243+03:00,"Если кто захочет пообщаться, завтра буду на конфе Профита. Думаю сходить там на {$DIAS} {$ETLN} {$GLTR} и МТСбанк, но большую часть времени буду в коридоре или в Хэратсе рядом с октябрем"
2024-04-12T16:35:04.613+03:00,"❗Что произошло на ipo {$ZAYM} ?❗

Почему при такой низкой аллокации цена не пошла вверх? Все видели заявки по 50к лотов на продажу сразу на аукционе открытия? Чьи же это могли быть заявки?🤷 

Если отмести версию, что кто-то получил акции по цене ниже размещения в 235₽(иначе зачем выставлять такой объем на продажу сразу на старте торгов) , то становится очевидно, что это акции из заявленного стабилизационного пакета в 200к лотов!

Абсолютно непонятное решение🤦 Если эти акции из стабилизационного пакета, так жгут им карман, что они выставляют их на продажу в аукцион, то они просто могли использовать их для увеличения аллокации. Так кстати делали в {$DIAS} , например!
Без этого странного решения, аллокации могла бы быть не 14%, а всего лишь 16%. А открытие бы прошло по цене, примерно в 260-270₽.

Короче говоря, осуждаю!😏

P.S. сам вышел в ноль

#прояви_себя_в_пульсе #хочу_в_дайджест #ipo"
2024-04-12T13:53:17.069+03:00,{$DIAS} кто-то что-то знает?
2024-04-12T13:28:00.577+03:00,"😏 Зайка прибыла... 
 Маааленькая такая, 
таки пожелаем роста 
 
_______________
PS/ Аллокация действительно 14% 
мало, очень мало 😔 но да ладно... 
тот же {$DIAS} прикупил позже, так что расстраиваться не из-за чего 

🗿 всё норм по определению

{$ZAYM}"
2024-04-12T12:53:38.139+03:00,"«Диасофт»: развитие и перспективы на рынке технологий.


🐬 ""Диасофт"" {$DIAS} - это высокорентабельная компания, работающая на устойчивом рынке программного обеспечения для финансового сектора. Она реализует лицензии, внедряет программное обеспечение и осуществляет его поддержку.


🔥 Управлением компанией занимаются мотивированные основатели-собственники.

✅ Основной и наиболее прибыльный бизнес ""Диасофта"" сосредоточен в финансовой сфере. В 2023 году объем этого рынка составил 32 миллиарда рублей, а прогнозируется, что среднегодовые темпы роста до 2028 года составят 13,5%. Компания планирует увеличить свою долю на этом рынке.

🏦 Крупные и средние банки и финансовые организации составляют клиентскую базу ""Диасофта"": 61% всей выручки в 2022 году приходилось на 16 крупнейших клиентов, 31% - на следующие по размеру 48 клиентов, а 8% выручки - на оставшиеся 95 клиентов.

📊 Ожидаемая оценка скорректированной EBITDA на 2023 год составляет около 4,1 миллиарда рублей. Предполагается, что темпы роста выручки могут достичь примерно 30% в год.

💸 Компания планирует выплачивать дивиденды в размере не менее 62% EBITDA за 2023 год, а в 2024-2025 годах эта цифра должна увеличиться до не менее 80%. Высокая операционная эффективность позволяет поддерживать высокую маржу.



⚠️ Среди рисков для инвестиционного кейса ""Диасофта"" можно выделить следующее:
* Возможное увеличение конкуренции со стороны других участников рынка в средне- и долгосрочной перспективе. Хотя вероятность этого события оценивается как низкая, оно может существенно повлиять на положение компании на рынке.
* Технологические и регуляторные изменения. Несмотря на то, что вероятность таких изменений оценивается как низкая, они могут серьезно повлиять на ситуацию. Например, ужесточение требований регулятора к программному обеспечению, сокращение расходов финансовых учреждений на ИТ и цифровизацию может изменить ландшафт рынка.


🎯 К активу пока присматриваемся. Потенциал, конечно, есть. Но сейчас из сектора более интересно выглядит Positive {$POSI} или Астра {$ASTR} 

#дайджест_пульса #пульс_оцени #прояви_себя__в_пульсе #пульс #прогноз #идея #идеи #что_купить #акции"
