time,text
2024-03-29T14:20:53.465+03:00,📒 Финотчет ДИОД за 2023 {$DIOD}
2024-03-29T14:20:29.146+03:00,"📒 Финотчет ДИОД за 2023 {$DIOD} 

● Годовая бухгалтерская отчетность (все формы) (https://www.e-disclosure.ru/portal/FileLoad.ashx?Fileid=1828331)"
2024-02-21T16:12:22.876+03:00,"Почему я в Сберинвестициях вижу акции фирмы {$DIOD} , а в Тинькофф нет их о.О ?
#Диод 
P.s. причем сперва он даже после публикации ошибочно перенаправил меня на зарубежную бумагу Diodes, через минуту нужный Российский актив отображается в цене за 17,.. рублей а не за 64$ но нажимая на иконку для перехода сделки отображает предупреждение, что мол торги с зарубежными активами атата и снова теже 64$ это Российская фирма по фарме алло о.О"
2024-01-24T23:50:05.507+03:00,"🚀👎 Акции « перевернутые ракеты» сегодняшнего дня : 
——————
🏆🔴Лидеры падений : (ТОП 10)
—
🔴{$MRKS} ➖ (-9,21%) ; 
—
 🔴{$OGKB} ➖ (-6,18%) ;
—
 🔴{$GTRK} ➖ (-3,04%) ;
—
 🔴{$MTLR} ➖ (-2,43%) ;
—
 🔴{$DIOD} ➖ (-2,17%) ;
—
 🔴{$APTK} ➖ (-2,07%) ;
—
 🔴{$SIBN} ➖ (-2,05%) ;
—
 🔴{$SOFL} ➖ (-1,99%) ;
—
 🔴{$VSMO} ➖ (-1,91%) ;
—
🔴{$GECO} ➖ (-1,78%) ;
—
🔴{$VTBR} ➖(-1,67%) .
————————————
❓В целом не самая удачная торговая сессия вышла сегодня , ваше мнение ?
—
🚀- Согласен.
👎- Не согласен."
2024-01-17T18:20:49.353+03:00,"Взглянем на акции здравоохранения РФ

Продолжаем тему: Выделим из Топа ТОП, прогноз по акциям РФ на 2024 год, а правда это будут ТОП в этом году? Часть 8

Бытует мнение, что список из этих акции, является действительно ТОПовым. Спорить с этим конечно мы не будем, акции в долгосрок действительно качественные, но есть одно НО. Если вы их положите в свой инвестиционный портфель 2024 года, вы обязательно окажетесь на бычьей волне 2024 года? Так ли это? Давайте разбираться.

😍 Акции здравоохранения

У всех компаний здравоохранения очень разный бизнес, так что обобщать их очень сложно, да и не правильно. Так что посмотрим общее мнение по каждой из них и посмотрим их цены и прогнозы инвестиционных домов.

Совокупная выручка 20 крупнейших медицинских компаний России за год выросла с 189 млрд рублей до 208 млрд. Растущие показатели обусловлены в первую очередь подорожавшим услугам из-за сложностей, которые появились после введения антироссийских санкций.
В 2022 году, по сравнению с предыдущем годом, количество приемов в коммерческой медицине снизилось на 6%. Аналитики агентства BusinesStat считают, что в прошлом году потребители стали чаще обращаться в клиники экономкласса, либо переходили на лечение по ОМС.
Мнение по Мать и Дитя: переезд, дивиденды, увеличение присутствия в регионах, рост числа медицинских учреждений. ГК «Мать и дитя» (MDMG) подтвердила, что необходимые для редомициляции документы готовы к подаче в регистрационный орган Кипра. Новая дивидендная политика увеличивает максимум дивидендных выплат с 50% до 100% чистой прибыли по МСФО
(GEMC) может вернуться к выплате дивидендов после редомициляции и заплатить 140 рублей или 17,5% дивидендной доходности к текущей цене. На данный момент торгов нет с 22.12.2023, редомициляция
(ABIO) К 2030 году Артген планирует инвестировать 4,7 млрд рублей в создание крупного производственного комплекса. Портфель компании включает 18 перспективных продуктов, 15 из которых проходят стадии доклинических испытаний. Ожидается, что успешный запуск препаратов приведет к значительному росту финансовых показателей: выручки в 15 раз, EBITDA в 32,3 раза, чистой прибыли в 102 раза к 2030 году. С учетом патентов и отсутствия конкуренции, препараты first-in class обещают высокую рентабельность. Основные риски связаны с возможными трудностями в выходе на рынок и ограниченностью операционного денежного потока для финансирования инвестиций, создавая потенциальные кредитные риски.
(GECO) Genetico рассматривает выход на рынки Казахстана и ОАЭ, внесен в перечень медицинских учреждений Росздравнадзора, имеющих право проводить исследования медицинских изделий для регистрации в странах ЕАЭС. В Medtech Moscow открыт новый медицинский центр. В отчете о финансовых результатах Genetico РСБУ за 9 месяцев 2023 года отмечается рост выручки до 250 млн рублей (+22,55% год к году) и снижение убытков до 18,28 млн рублей (в сравнении с 58,84 млн рублей годом ранее).
лидеры рынка РФ представленные на фондовом рынке: {$GEMC} {$MDMG} {$ABIO} {$GECO} {$DIOD} $GEMA
{$LIFE}

Рассмотрим акции самых крупных по капитализации до 10 млрд ₽, рассматривать будем в таком порядке:

Тикер - Цена; Прогноз по дивидендам / Справедливая стоимость / Цена при оценке EPS / Цена у аналитиков ( реком. аналитиков ), ₽

#gemc - 792; 0 / 150 / 187 / 1400, ₽. - нет торгов с 22.12.2023, редомициляция. EV/EBIT=9.86 ср за 4 года, текущая 12,4. Собственный капитал растет, обязательства сокращаются. Рентабельность увеличивается

#mdmg - 812; 58₽ за 2П 2023, 11.05.2024 / 320-400 / 353 / 875 ₽. По P/E оценена справедливо, но по EV/EBIT=8 ср за 6 лет, текущая 4.9, недооценена. Чистая прибыль растет, чистый долг отрицательный. Рентабельность увеличивается.

🌀Вывод: не поместился весь текст, дочитать можно в профиле 

‼️Сообщение носит информационный характер. Не является индивидуальной инвестиционной рекомендацией

#прояви_себя_в_пульсе"
2023-09-29T14:03:49.112+03:00,"{$SOFL} Как вам мои минусы ?😭когда зеленым загорится всё? {$SVAV} , {$IRKT} , {$GECO} {$DIOD} {$KLSB} {$NKHP} самый жирный минус( {$FEES} {$FLOT}"
2023-09-05T10:22:07.042+03:00,"Лидеры падения на сегодня на Московской Бирже 📉

Див Отсечка по ТМК 🔔

$NFAZ {$ROST} {$CNTL} {$TRMK}  $TUZA {$CNTLP} {$GTRK} {$YAKG} $NKSH $GAZAP {$DIOD} $TORS $AGRODR 

#инвестициивбудущее #финансоваяграмотность #неторгуюадержу 
#дивиденды #портфель #инвестиции #россия #денюжки #imoex #прибыль

Всем больших дивидендов и зеленых портфелей!  👍"
2023-09-03T20:34:56.013+03:00,{$DIOD} цель с текущих 50.
2023-09-01T12:27:42.931+03:00,"Лидеры роста на сегодня на Московской Бирже 🚀

{$GTRK} $IGSTP $IGST {$DIOD} $RGSS $URKZ {$UNAC} {$MRKS} {$UPRO} {$MSTT} {$NSVZ} $CIANDR $KCHEP  

#инвестициивбудущее #финансоваяграмотность #неторгуюадержу 
#дивиденды #портфель #инвестиции #россия #портфель #imoex #прибыль

Всем больших дивидендов и зеленых портфелей! 💼 😇"
2023-08-06T16:17:53.184+03:00,"🔹Россети Сибирь ( {$MRKS}) чистая прибыль в 1 пол.2023 г. составила +1,06₽ млрд (+391% г/г) против убытка -0,271₽ млрд годом ранее. 
 
🔹Лента ( {$LENT}) чистая прибыль в 1 пол.2023 г. составила +0,103₽ млрд против +2,6₽ млрд годом ранее. 
 
🔹Калужская сбытовая компания  ( {$KLSB}) чистая прибыль в 1 пол.2023 г. составила +55,4₽ млн (+9,2% г/г) против +50,7₽ млн годом ранее. 
 
🔹Магаданэнерго ( $MAGEP) чистая прибыль в 1 пол.2023 г. составила убыток -1,17₽ млрд (-214% г/г) против убытка -0,372₽ млрд годом ранее. 
 
🔹Диод ( {$DIOD}) чистая прибыль в 1 пол.2023 г. составила +0,705₽ млн (-2060% г/г) против +15,253₽ млн годом ранее. 
 
🔹Ашинский метзавод ( {$AMEZ}) чистая прибыль в 1 пол.2023 г. составила +5,48₽ млрд (-19,7% г/г) против +6,83₽ млрд годом ранее. 
 
🔹ДЗРД ( $DZRD) чистая прибыль в 1 пол.2023 г. составила +368,2₽ млн (+130% г/г) против +160,2₽ млн годом ранее. 
 
🔹ТРК ( $TORS) чистая прибыль в 1 пол.2023 г. составила +340,6₽ млн (+102,8% г/г) против +167,9₽ млн годом ранее. 
 
🔹Инград ( {$INGR}) чистая прибыль в 1 пол.2023 г. составила +69,47₽ млн (+954,1% г/г) против +6,59₽ млн годом ранее. 
 
🔹ТНС энерго Кубань чистая прибыль в 1 пол.2023 г. составила +1,64₽ млрд (+420,6% г/г) против +0,315₽ млрд годом ранее. 
 
🔹Россети Юг ( {$MRKY}) чистая прибыль в 1 пол.2023 г. составила +2,15₽ млрд (+277,1% г/г) против +0,570₽ млрд годом ранее. 
 
{$MXU3} {$USDRUB} Девальвация рубля вместе с ростом цен  на сырье и товары в мире на фоне сигнала ФРС об окончании цикла роста ставки создает предпосылки для высоких доходов основных бумаг индекса МосБиржи. У рынка остаются предпосылки для дальнейшего роста, даже если не учитывать индивидуальные драйверы роста в отдельных акциях – Солид
------------------------------------------------------------------------------
📉 Рекомендую его стратегии в Тинькофф:
👉В рамках стратегии [&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199)  акции подбираются на основе концепции диверсификации, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 

👉В рамках стратегии [&Грош цена. На пенсию внукам](https://www.tinkoff.ru/invest/strategies/a2c69f25-75fe-4e63-ae8c-bced590ce9bd)   мы удерживаем позиции более длительный  период времени. Подходит для консервативных инвесторов ввиду минимальных рисков. 

👉 [&Национальное достояние](https://www.tinkoff.ru/invest/strategies/4cf7b9c8-19c3-4dc6-81ad-09779f0349fe)   Моя новая, заключительная стратегия, базированная на сырьевой добыче. Россия обладает самым мощным в мире потенциалом минеральных ресурсов, занимая одно из первых мест на планете по разведанным запасам важнейших полезных ископаемых. На этом мы и будем зарабатывать. 
--------------------------------------------------------------------------------
📊Если понравился пост, мне будет приятно получить твою реакцию 👍 и подписку😉

📝Хештеги:
#пульс #пульс_оцени #прояви_себя_в_пульсе  #новичкам #аналитика  #новости #хочу_в_дайджест #учу_в_пульсе"
