time,text
2024-04-13T10:33:54.425+03:00,{$DSKY} https://fomag.ru/news-streem/kievskaya-ploshchad-ilieva-i-nisanova-kupila-tsentralnyy-detskiy-mir-v-moskve/
2024-04-12T21:39:39.456+03:00,"Эксперты: продажа Центрального детского мира на Лубянке могла дойти до 25 млрд рублей {$DSKY} 

Управляющий директор Союза торговых центров Сергей Платицын отметил, что такая сумма возможна, если это не пакетная сделка и без учета долгов"
2024-04-11T10:21:04.208+03:00,{$DSKY} Что здесь происходит?
2024-04-10T22:24:57.311+03:00,{$DSKY} хорошо вышел по 50. Потеря на лосе 70 000. Идём дальше.
2024-04-10T10:54:40.498+03:00,"Доброго дня, друзья!😎
Всем отличного, продуктивного дня!💪
 #study_right_now #дальше_больше

Сегодня поговорим про делистинг:

🏆Что такое делистинг?🏆

🔹Делистинг - это процесс снятия ценных бумаг компании с биржевой торговли, что означает, что акции компании больше не могут быть куплены или проданы на данной бирже. 
🔹Это может произойти по различным причинам и имеет свои особенности.

🏆Причины делистинга:🏆

📌1. Неудовлетворительное финансовое состояние компании: 
🔹Если компания испытывает серьезные финансовые трудности, ее акции могут быть делистированы с биржи. 
🔹Например, если компания не может выполнять свои финансовые обязательства или если ее финансовая отчетность не соответствует стандартам биржи.

📌2. Низкая ликвидность: 
🔹Если торговля акциями компании на бирже характеризуется низкой ликвидностью и невысоким объемом торгов, это может привести к принятию решения о делистинге. 
🔹Низкая ликвидность может сделать торговлю акциями компании неэффективной и неинтересной для инвесторов.

📌3. Мероприятия по реструктуризации: 
🔹В случае проведения корпоративной реструктуризации, слияния или поглощения, компания может принять решение о делистинге своих акций с биржи. 
🔹Это может быть обусловлено необходимостью ограничения доступа к акциям компании только для ограниченного круга заинтересованных сторон.

🏆Особенности делистинга:🏆

📌1. Уведомление инвесторов: 
🔹Когда компания принимает решение о делистинге своих акций с биржи, она должна уведомить своих инвесторов о данном решении и о сроках делистинга. 
🔹Это позволяет инвесторам принять соответствующие решения относительно их инвестиционных позиций.

📌2. Выкуп акций: 
🔹В некоторых случаях, компания может предложить своим акционерам 
выкупить их акции перед делистингом. 
🔹Это может быть сделано по цене, предложенной компанией или по рыночной цене акций.

📌3. Последствия для инвесторов: 
🔹Для инвесторов делистинг может иметь различные последствия, в зависимости от конкретной ситуации и причин делистинга. 
🔹Например, если акции компании были делистированы из-за плохих финансовых результатов, это может привести к снижению их стоимости. 
🔹Инвесторы должны тщательно оценить возможные риски и последствия делистинга для своих инвестиций.

🏆Заключение:🏆

🔹В целом, делистинг является важным этапом в жизни компании и может иметь значительные последствия для ее инвесторов и рынка в целом. 
🔹Компании и инвесторы должны быть внимательными к таким событиям и грамотно управлять своими инвестиционными стратегиями в соответствии с новыми обстоятельствами.

В прошлом, делистинг проводили такие компании как:
{$ORUP} {$GRNT} 
И планирует делистинг :{$DSKY}

Всем отличного дня! И продуктивных выходных!👍

Всех обнял!   ʕ´•ᴥ•`ʔ
С уважением, Ростислав (@ROLL1ST).




#хочу_в_дайджест 
#сердце_пульса 
#обучение
#новичкам
#цитата_дня
#прояви_себя_в_пульсе"
2024-04-09T16:15:01.354+03:00,"🍉 Мой дивидендный портфель (апрель 2024). Текущие результаты.

✔️ {$SNGSP} - закупал с декабря 2021 по сентябрь 2022 года. Средняя цена покупки 34,75 рублей. Дивидендов получено 5,53 рублей. Текущая доходность с учётом дивидендов 110%.
✔️ {$LSRG} - закупал в декабре 2021 года по 720,2 рублей. Дивидендов получено 78 рублей. Текущая доходность с учётом дивидендов 64%.
✔️ {$CNTLP} - закупал с декабря 2021 года по май 2022 года. Средняя цена покупки 6,65 рублей. Дивидендов получено 1,52 рублей. Текущая доходность с учётом дивидендов 102%.
✔️ {$GLTR} - закупал с января 2022 года по февраль 2023 года. Средняя цена покупки 321 рублей. Текущая доходность 138%.
✔️ {$MGTSP} - закупал с января 2022 года по июль 2022 года. Средняя цена покупки 823 рублей. Текущая доходность 65%.
✔️ {$FEES} - закупал с февраля по март 2022 года. Средняя цена покупки 0,09142 рублей. Текущая доходность 35%.
✔️ {$DSKY} - закупал с марта по май 2022 года. Средняя цена покупки 78,46 рублей. Текущая доходность -42%.
✔️ {$MRKV} - закупал с марта по октябрь 2022 года. Средняя цена покупки 0,02751 рублей. Дивидендов получено 0,0003231 рублей. Текущая доходность с учётом дивидендов 143%.
✔️ {$NLMK} - закупал в октябре 2022 года. Средняя цена покупки 77,66 рублей. Текущая доходность 179%.

❌ Больше не буду включать в портфель акции, которых нет хотя бы в индексе широкого рынка, а может быть даже ограничусь акциями, входящими в индекс ММВБ. В декабре начну распродавать свой дивидендный портфель с префов Сургутнефтегаза, ЛСР и префов Центрального Телеграфа.

Большая часть дивидендного портфеля 💰 приходится на акции Глобалтранса, Сургутнефтегаза и Центрального Телеграфа.

Дивидендные акции подбираются автоматически с помощью разработанной мной дивидендной таблицы 📑 Закупаюсь на сильных коррекциях рынка.

💼 Моя стратегия [&Портфель Миллионера](https://www.tinkoff.ru/invest/strategies/63384f79-fe58-4fd4-b8d9-ea7975cdffd1) со спекулятивной может перейти на дивидендную при слишком большом капитале в управлении. А может быть я и отдельную стратегию дивидендную создам."
2024-04-08T23:25:55.012+03:00,"{$DSKY} детский мир, я в тебя верю, изменись в товарной зоне выкладки и переходи с общего на детальный. Сделать перестановку и поднимешься выше момента входа."
2024-04-08T11:45:54.754+03:00,{$DSKY} 🐹 пока не откупили боссы
2024-04-07T13:41:38.821+03:00,"Лидеры падения за 1 квартал 📉

Даже в период боковика (как в целом и сейчас на рынке) - всегда есть акции, которые сильно растут и которые неплохо падают. 

Факторы могут быть разные и давайте рассмотрим анти-рейтинг из нашего фондового рынка. 

•Возглавляет наш анти список {$QIWI} . В феврале у банка отозвали лицензию и акции закономерно повалились вниз. Падение составило 62% 

•На ""почетном"" втором месте закрепился {$POLY} 😎 На компанию сильно давят различные внешние факторы 

•Замыкает тройку лидеров акции {$DSKY} . Уже несколько лет идёт неопределённость с данным эмитентом. То продают, то не продают. То ещё что-то. За ним почётное 3 место 😁

Также в данно анти-рейтинге есть акции Globaltruck и привелигиртванные акции {$MTLRP} . Которые потеряли по 17% за 3 месяца. 

Вот такой антирейтинг на нашей фондовой бирже за 3 первых месяца. 

У меня в портфеле не было и нет этих бумаг. А у вас? 🤔"
2024-04-07T10:23:23.726+03:00,"ТОП-🔟 худших акций за первый квартал 2024 года

Первый квартал 2024 года оказался умеренно благоприятным для рынка акций. {$IMOEXF} Индекс Московской биржи вырос на 7,53% — с 3099,11 пункта до 3332,53 пункта. Среднее изменение по 244 акциям и депозитарным распискам российских компаний, которые торговались как в конце 2023 года, так и в конце первого квартала 2024 года составило +16,94%. При этом по итогам первого квартала подешевело только 40 долевых бумаг российских компаний (акций и расписок) — их снижение в среднем составило 8,23%.

Среднее снижение топ-10 худших акций первого квартала составило 20,99% с разбросом от 62,48% до 10,13%.

Среди самых подешевевших акций трудно выявить какую-то общую причину или тенденцию снижения котировок. У каждой бумаги для этого были свои причины.

•QIWI
{$QIWI} Снижение: -62,48% с ₽557 до ₽209

•Polymetal
{$POLY} Снижение: -38,93% с ₽506,1 до ₽309,1

•«Детский мир»
{$DSKY} Снижение: -18,02% с ₽56,84 до ₽46,6

•Globaltruck
{$GTRK} Снижение: -17,21% с ₽541 до ₽447,9

•Привилегированные акции «Мечела»
{$MTLRP} Снижение: -17,08% с ₽369,7 до ₽306,55

•«Газпром нефть»
{$SIBN} Снижение: -12,49% с ₽847,65 до ₽741,8

•«Совкомфлот»
{$FLOT} Снижение: -12,4% с ₽145,86 до ₽127,78

•Обыкновенные акции «Мечела»
{$MTLR} Снижение: -10,92% с ₽311 до ₽277,04

•НОВАТЭК
{$NVTK} Снижение: -10,29% с ₽1463,2 до ₽1312,6

•«Славнефть-ЯНОС»
#JNOS Снижение: -10,13% с ₽30,6 до ₽27,5

💡 РБК

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #акции"
