time,text
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T10:17:35.820+03:00,{$DVEC}  3.600 снимайте выше ваши заявочки
2024-04-13T10:06:31.353+03:00,"{$DVEC} а что случилось то опять, что так упала без новостей?"
2024-04-12T09:08:27.629+03:00,"Среди наиболее ликвидных бумаг только {$PLZL} осталось в ТОП-12 акций по итогам 11 апреля🚀

№	Акция	% за День*      % Общий**
1	{$SPBE}          	5,24          	8,0
2	{$ROLO}         3,87          	3,9
3	{$PLZL}          	3,26          	3,3
4	{$HNFG}        	3,05          	3,1
5	{$BSPB}          	2,53          	2,9
6	{$GLTR}          	2,25          	4,0
7	{$SELG}          	2,15          	2,2
8	{$GCHE}        	1,86          	1,9
9	{$OGKB}         	1,75          	2,9
10	{$IRAO}          	1,49          	1,9
11	{$EUTR}          	1,31          	1,3
12	{$DVEC}         	1,27          	4,5
* прирост цены за последний торговый день, %
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12
#пульс_оцени"
2024-04-12T02:47:41.843+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня (среди акций 2-3 эшелона) 👇

📈 {$SPBE}    +5.1%
📈 {$HNFG}     +4.9%
📈 {$OGKB}     +3.9%.
📈 {$EUTR}   +3.4%.
📈 {$DVEC}     +2.9%.
📈 {$TRMK}    +2.1%.
📈 {$LENT}    +1.8%.

📉 {$RKKE}     -4.4%.
📉 {$SFIN}     -2.6%.
📉 {$TGKB}      -2.3%.
📉 {$TGKA}     -1.8%.
📉 {$VSMO}     -1.7%.
📉 {$LSRG}     -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Пульсе и Ютубе скоро выйдет разбор и этих акций и тех, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅"
2024-04-11T20:12:48.836+03:00,"💰💰💰

 Свой процент сегодня забрать удалось , но рынок выглядит странно , нет очевидного направления движения , от этого повышенная осторожность . 

{$EUTR} выглядел уверенно , любую просадку выкупали резкими свечками , посмотрим как поведет себя завтра. Если так же , там можно спокойно скальпить. 

{$KLSB} это конечно жесть , но у нее такая манера , на дневном графике видно , что очень часто импульс сливают не то что в ноль , а вообще в минус , поэтому главное там не засесть . 

{$DVEC} взяла после того , как калужская уже хорошо так выросла , и ждала движения , но меня два раза свозили в минус и в очередной раз выйдя хотя бы в ноль по позиции я закралась , и в эту же свечку пошел рост на 3 % , обидка😏 

{$SFIN} пришла к круглому уровню , пробой его конечно был , но может он ложный , если рынок будет положительный, можно обратить внимание, в расчете на небольшой отскок . 

{$GTRK} уже надоедает это затишье , думаю терпения хватит еще не надолго …


Чем вы торговали ?"
2024-04-11T16:58:22.575+03:00,"{$DVEC} Цена импульсным движением отскочила от поддержки в виде уровня 3.491 и в случае успешного закрепления выше данного значения появится возможность протестировать 4.202. Индекс относительной силы находится выше отметки 50, что говорит о возможности продолжить восходящее движение."
2024-04-11T13:01:51.277+03:00,{$DVEC}
2024-04-11T11:38:17.742+03:00,{$DVEC} Давай один раз хоть лети нормально на 20 процентов и всё больше ничего не надо 🤣🤣🤣
2024-04-11T11:32:35.393+03:00,"{$DVEC} - Публикация/идея закрыта вручную по зоне сопротивления для сценария восходящего тренда 3.768 (+3.42%), без кф. риска = 5.04% - 
https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

Исходный график ""ТА"" без снижения качества изображения -  https://www.tradingview.com/chart/DVEC/KNmvW4L2-DVEC-Long/

PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
