time,text
2024-03-11T10:32:52.936+03:00,"{$EELT} Принял решение временно расстаться с бумагой - полностью закрыл позицию. 
Профит составил достойные 118%. 
Пойдет ли выше? Вполне возможно. Могут кольнуть даже 30+. Но… 30+ это 30+, а 118% это 118%! Другими словами, лучше синица в руках), да и мой принцип «Жадный - Беден Всегда!» меня ещё никогда не подводил😉
Не ИИР🤝"
2024-02-29T14:45:42.048+03:00,"{$EELT} … Так в Тинькофф и не разрешена к покупке… прям боль / печаль… Отличная же компания, с великолепным потенциалом подкрепленным отчетностью + дивы платит + байбэк - по больше бы таких крепких компаний… эхххехенюшки… вот бы ещё сняли ограничения на покупку / продажу … вообще бы праздник был. (Пока вынуждено приобретена у других). Тинькофф - может быть всё же снимите ограничения? Было бы мега круто!👍"
2024-01-25T19:24:37.286+03:00,{$EELT} 🙄
2023-09-24T10:51:08.655+03:00,{$EELT} не пора ли добавить акцию для торговли? Что за ущемление прав? А?
2023-07-13T12:27:37.918+03:00,"{$EELT} закинул дивы обратно и еще немного увеличил позицию. Так как в Тиньке ее купить нельзя, то пришлось это делать в другом брокере 🤷🏼‍♂️"
2023-06-07T15:16:45.458+03:00,"По {$EELT} ожидались дивы 05.07.23г, но в Тинькофф по этому поводу пусто. У этого есть какое-то хитрое объяснение? 

Или это особенность акций, что заметаются под ковер🤔"
2023-05-22T21:05:35.711+03:00,"{$EELT} {$SVAV} сделал +200% на дивах
Сегодня СД ЕЭ посмотрим сколько она)))"
2023-04-27T18:27:01.765+03:00,{$EELT} этоооо что за цифры
2023-04-10T14:01:01.580+03:00,{$EELT}
2023-04-07T13:14:51.227+03:00,"{$EELT} думаю что глупо со стороны руководства брокера так себя вести и блокировать возможность покупки бриллианта оставляя лишь алмазы, хотя может руководство не хочет делиться чем-то хорошим с людьми"
2023-04-06T18:02:41.423+03:00,"{$EELT} воин, ты кто😂😂😂💥💥💥"
2023-04-06T10:47:28.832+03:00,{$EELT} 🤔
2023-03-27T19:10:19.270+03:00,"{$EELT} странное решение по ограничению операций, придется у конкурентов покупать, раз Тинькофф не дает 😐"
2023-03-24T12:08:43.327+03:00,{$EELT} по этой бумаге брокером @Tinkoff_Investments частично ЗАБЛОКИРОВАНЫ операции❗️
2023-03-21T11:39:53.650+03:00,"Долго не выходил на связь - радовался новостям!!!!😁🍋

Очень позитивные новости были на прошлой неделе! Многие компании из моего дивидендного портфеля объявили не просто дивиденды, а рекордные дивиденды! Это очень приятно, когда твое терпение окупается!

Дивиденды по моим компаниям (цифры указаны уже с учетом налога и по моим средним): 
-Сбербанк - дивиденды 13.8% 
- Новатэк - 11.4% 
- Позитив - ну там просто иксы 3% {$POSI} еще и опционы доступны 
- Белуга - 14.7%

На этой неделе добавил в портфель следующие бумаги:
{$EELT} -ожидаю позитивный отчет
{$NVTK} уже прекрасно показывает себя сегодня
{$ISKJ} - ожидаю ребрендинга
{$RU000A104KU3} - продолжаю набирать позицию, в связи с уходом ПНК РЕНТАЛ, аналогов становится все меньше 
9 неделя 
25667 рублей - пассивного дохода

#дивиденды #пассивныйдоход #fire #рантье"
2023-03-15T14:54:37.701+03:00,"{$EELT} интересная компания глубокого эшелона. Большое кол-во контрактов с крупными и ключевыми компаниями.
Интересный вариант для вложения в долгую в надежде на хх"
2023-02-15T19:15:21.066+03:00,{$EELT}
2023-02-15T10:31:35.259+03:00,"{$EELT}  никакой корреляции с рынком
{$TCSG} сливают на «санкциях»
 На самом деле думаю, что перебор. Новости преобладают"
2023-02-11T22:59:31.434+03:00,"{$EELT} Всем доброе субботнее!
Много чем хочу поделиться, но начну с рубрики «Пассивный доход»

1) Я решил увеличить сумму до 1000$/71-73к руб. Более круглая цифра и ей как-то проще можно распоряжаться, знаете вот на 1000$ уже можно много чего купить, кому-то айфон, кому-то отпуск, кому-то новые вещи, в общем есть где разгуляться
2) Возникли сложности с подсчетом и учетом, поскольку есть рублевые поступления, есть долларовые, а еще есть курс, который меняется и чтобы не запариваться, но и быть честным перед вами - решил добавить две шкалы(рубли/доллары)
3)Есть еще один важный момент, пассивный доход не всегда только от акций или облигаций, есть еще вклады, накопительные счета и для меня это дилемма. Не знаю показывать ли здесь динамику и по ним, но пока думаю это будет лишним. Возможно в будущем, но не сейчас
4) Дайте обратную связь по дизайну, зашло не зашло)

Веселья на этой неделе было много)))
-Я купил акции Европейской электротехники (это 85 эшелон). Есть в этом своя романтика - откапывать такие истории (дедушка Баффет и Линч - оценили бы)
- Продолжаю добирать ПАРУС НОРДВЕЙ
{$RU000A104KU3}
Итог: +4$
#дивидедны #пассивныйдоход #fire"
2023-02-10T11:10:14.001+03:00,"{$EELT} дивиденды не подгружаются, а может будет полезно кому-то 
#дивиденды #пассивныйдоход"
2023-02-10T10:21:05.422+03:00,{$EELT} как то там происходит кэш аут у мажора 😂
2023-02-10T10:17:40.692+03:00,{$EELT} блудняк)
2023-02-10T02:35:57.973+03:00,{$EELT} тикер временно оккупирован вредными инвестцыганами 😂
2023-02-10T01:30:15.593+03:00,{$EELT}  Поехали!
2023-02-09T23:10:31.509+03:00,"{$EELT} нашлась, родимая ))) всем Вредным привет! Фича просто бомба. Ребята - респект! 
Удачи ЕЭ и процветания!"
2023-02-09T22:51:18.283+03:00,"{$EELT} привет, вредные 😁"
2023-02-09T22:45:48.351+03:00,{$EELT} верим в будущее
2023-02-09T22:43:04.214+03:00,{$EELT} я думаю стоит подбирать этого лютого монополиста
