time,text
2024-03-04T10:11:21.942+03:00,{$ELTZ} когда рост?
2024-01-23T12:19:58.256+03:00,{$ELTZ} когда можно будет избавиться?
2023-12-18T13:05:57.897+03:00,{$ELTZ} оставлю пусть будут
2023-12-18T09:40:27.626+03:00,"Всем доброго дня друзья, желаю нам прибыльной торговой недели✅

Корпоративные события на этой неделе🖥:

18.12.2023 

🚢 {$FLOT} - ВОСА Совкомфлот. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 6,32 руб на акцию)

20.12.2023 
 {$ELTZ} - Последний торговый день в режиме Т+1 акциями Электроцинк в связи с прекращением торгов

21.12.2023 

 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос увеличения уставного капитала Общества путем размещения дополнительных акций посредством открытой подписки

 $MGKL - Завершается период приема заявок в рамках IPO Мосгорломбарда (МГКЛ)

22.12.2023 

 {$PHOR} - последний день с дивидендом 291 руб
 {$MOEX} - Меняется база расчета индексов Мосбиржи

$MGKL - Мосбиржа включит акции Мосгорломбарда (МГКЛ) в котировальный список Третьего уровня

{$TATN} - ВОСА Татнефть. В повестке вопрос утверждения дивидендов

{$ROSN} - ВОСА Роснефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 30,77 руб на акцию)"
2023-12-18T09:17:28.810+03:00,"18.12.2023 
{$FLOT}: ВОСА в повестке утверждение дивидендов 
$EELT: закрытие реестра по дивидендам 

19.12.2023
MOEX: Запуск торгов премиальными опционами на Индекс МосБиржи 
{$GAZP}: ВОСА, в повестке утверждение инвестпрограммы на 2024
{$LKOH}: Заседание совета директоров ЛУКОЙЛа. В повестке вопрос бюджета на 2024-2026 гг. 
{$VTBR}: Определение стратегических целей ВТБ на 2024-2026 годы 
 
20.12.2023
{$ELTZ}: Последний торговый день (в ""стакане Т+1"") акциями в связи с прекращением торгов 
RU: Инфляция производителей в ноябре 
 
21.12.2023
 {$LIFE}: ВОСА по вопросу об увеличении уставного капитала Общества путем размещения дополнительных акций 
RU: Последний день сбора заявок на IPO Мосгорломбарда 
RU: Квартальная экспирация фьючерсов на акции, индексы и валюту на Московской бирже
RU:Международные резервы Центрального банка (USD)

22.12.2023
{$TATN}: ВОСА по дивидендам за 3кв 2023г 
{$NOMP}: ВОСА. В повестке вопрос утверждения дивидендов 
{$ROSN}: ВОСА по дивидендам за 9 мес. 2023г. 
$GEMA: последний день с дивидендом
{$PHOR}: последний день с дивидендом . 
MOEX: Меняется база расчета индексов Мосбиржи 
Мосгорломбард (МГКЛ): Планируется старт торгов акциями на Мосбирже"
2023-12-18T09:03:14.123+03:00,"Приветствую всех дорогие коллеги! 
{$SOFL} 
Акции Софтлайн, заложили фундамент в мои начинания, в компанию не влюбляюсь но пристально наблюдаю за ней. 
Примерно в  конце сентября писал о ней и она оправдала все мои ожидания, дав 50% прибыли за короткое время. После бурного роста я писал о том что ожидаю снижения в район 150₽ многие конечно посмеялись тогда, но результат вы сами видите. 

Проводя ТА в выходные, она снова привлекла моё внимание и теперь, результат может превзойти предыдущие.
Важно помнить и о рисках, я предпочитаю работать со стопами. 
Прикрепил скриншот примерного хода и ссылки прошлых прогнозов. 
https://www.tinkoff.ru/invest/social/profile/GADZHIMURAD13/6b6bc852-6002-4534-abd5-207b1ed35652?utm_source=share

https://www.tinkoff.ru/invest/social/profile/GADZHIMURAD13/3bb8844b-3a7d-4c3b-8645-b565a5c0d21d?utm_source=share

https://www.tinkoff.ru/invest/social/profile/GADZHIMURAD13/0dca97fc-2e57-43bf-b181-400d83a31190?utm_source=share

Хорошего всем дня зелёных портфелей🤑 и конечно же максимум позитива🌞

Жду ваших бесценных реакций и  комментарии.
С вами был Гаджимурад

Не является Индивидуальной инвестиционной рекомендацией!

Ожидаемые корпоративные события на предстоящей неделе:

🚢 {$FLOT} - ВОСА Совкомфлот. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 6,32 руб на акцию)

❗️ {$ELTZ} - Последний торговый день в режиме Т+1 акциями Электроцинк в связи с прекращением торгов

💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос увеличения уставного капитала Общества путем размещения дополнительных акций посредством открытой подписки

🇷🇺 {$PHOR} - последний день с дивидендом 291 руб

🇷🇺 {$TATN} - ВОСА Татнефть. В повестке вопрос утверждения дивидендов

🇷🇺 {$ROSN} - ВОСА Роснефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 30,77 руб на акцию)"
2023-12-18T08:43:02.945+03:00,"🥇Твоя лучшая возможность... Мосбиржа - #ICG_анонс
 
🤔 IMOEX, ну что, идём покорять новые вершины или снова летим вниз?
Что ждёт рынок на этой неделе...🔮

📆 Что же будет происходить на мосбирже в ближайшие дни?👇

✅События предстоящей недели:

👉 18.12.2023 - ПОНЕДЕЛЬНИК 
{$FLOT} проведёт ВОСА, в повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года. 
 
👉 20.12.2023 - СРЕДА 
{$ELTZ} - последний торговый день в режиме Т+1 акциями Электроцинк в связи с прекращением торгов. 
 
👉 21.12.2023 - ЧЕТВЕРГ 
{$LIFE} проведёт ВОСА, в повестке вопрос увеличения уставного капитала Общества путем размещения дополнительных акций посредством открытой подписки. 
$MGKL завершается период приема заявок в рамках IPO Мосгорломбарда. 
 
👉 22.12.2023 - ПЯТНИЦА 
{$PHOR} торгуется последний день с дивидендом 291руб. 
{$MOEX} меняется база расчета индексов Мосбиржи. 
$MGKL - Мосбиржа включит акции Мосгорломбарда в котировальный список Третьего уровня. 
{$TATN} проведёт ВОСА, в повестке вопрос утверждения дивидендов. 
{$ROSN} проведёт ВОСА, в повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года.

📈 За неделю доходность стратегии [&ICG Банк](https://www.tinkoff.ru/invest/strategies/48dd4536-63b6-47a0-9fe2-f45c38576318) увеличилась на 0,4%. На сегодняшний день доходность портфеля составляет 19,5% за чуть более 7 месяцев. Что ж, посмотрим сможем ли перейти к росту в ближайшее время😉

💪 Всем бодрой и продуктивной недели. Принимайте только взвешенные решения, это поможет Вам достичь максимальных результатов.

«Торгуйте всегда, торгуйте везде и торгуйте с умом, не забывая о рисках.» - ICG
_ 
🚨Не пропускай важное! 
Оцени👍 и подпишись✅"
2023-12-17T23:16:27.572+03:00,"⚡️ Ожидаемые корпоративные события на предстоящей неделе:

*15 декабря 2023 не было сообщено о результатах события:
🛢 {$SIBN} - ВОСА Газпром нефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 82,94 руб на акцию)

▶️18.12.2023 - ПОНЕДЕЛЬНИК
🚢 {$FLOT} - ВОСА Совкомфлот. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 6,32 руб на акцию)

▶️20.12.2023 - СРЕДА
❗️ {$ELTZ} - Последний торговый день в режиме Т+1 акциями Электроцинк в связи с прекращением торгов

▶️21.12.2023 - ЧЕТВЕРГ
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос увеличения уставного капитала Общества путем размещения дополнительных акций посредством открытой подписки
🥇 $MGKL - Завершается период приема заявок в рамках IPO Мосгорломбарда (МГКЛ)

▶️22.12.2023 - ПЯТНИЦА
🇷🇺 {$PHOR} - последний день с дивидендом 291 руб
🏦 {$MOEX} - Меняется база расчета индексов Мосбиржи
🥇 $MGKL - Мосбиржа включит акции Мосгорломбарда (МГКЛ) в котировальный список Третьего уровня
🇷🇺 {$TATN} - ВОСА Татнефть. В повестке вопрос утверждения дивидендов
🇷🇺 {$ROSN} - ВОСА Роснефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 30,77 руб на акцию)"
2023-12-17T22:54:11.745+03:00,"Всем привет 🔥🔥🔥

🚨 Собрал важные события начинающейся недели:

📆 18.12.2023

🔶 ВОСА Совкомфлота {$FLOT} ⚓️🚢⛴️⚓️
В повестке вопрос утверждения дивидендов 💰💰💰

📆 19.12.2023

🔶 Заседание совета директоров Газпрома {$GAZP} 💨📰
В повестке вопрос инвестпрограммы на 2024 г.

🔶 Заседание совета директоров ЛУКОЙЛа {$LKOH} 🛢️🛢️🛢️
В повестке вопрос бюджета на 2024-2026 гг.

📆 20.12.2023

🔶 Последний день торгов в режиме Т+1 по акциям Электроцинк {$ELTZ}

📆 21.12.2023

🔶 ВОСА Фармсинтеза {$LIFE} 💊💊💊
В повестке вопрос увеличения уставного капитала путем допэмисии акций

🔶 Завершается период приема заявок в рамках IPO Мосгорломбарда {$RU000A104XJ9} ⚜️

🔶 Квартальная экспирация фьючерсов на акции, индексы и валюту на Московской бирже {$MOEX}

📆 22.12.2023

🔶 ВОСА Новошипа {$NOMP} {$NOMPP} 
В повестке вопрос утверждения дивидендов

🔶 ВОСА Роснефти {$ROSN}
В повестке вопрос утверждения дивидендов

🔶 ВОСА Татнефти {$TATN}
В повестке вопрос утверждения дивидендов

🔶 Вступят в силу новые базы расчета индексов Московской биржи

🔶 Планируется старт торгов акциями Мосгорломбарда на Московской бирже

🔶 Последний день для попадания в реестр акционеров, имеющих право на получение дивидендов ММЦБ за 9 месяцев 2023 г. {$RU000A105054}

🔶 Последний день для попадания в реестр акционеров, имеющих право на получение дивидендов ФосАгро {$PHOR}  за 9 месяцев 2023 г.

Подписывайтесь ✍️
Ставьте лайки 👍🚀
Пишите коммы 📝

Попробуйте тариф Премиум 👉 2 месяца бесплатно по моей ссылке - https://www.tinkoff.ru/baf/1yKxkQMN9eC

#новости #акции #прояви_себя_в_пульсе #новичкам #инвестиции #аналитика #пульс_оцени #россия #прогноз #что_купить"
2023-12-17T21:41:29.391+03:00,"Ожидаемые корпоративные события на предстоящей неделе:

*15 декабря 2023 не было сообщено о результатах события:
🛢 {$SIBN} - ВОСА Газпром нефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 82,94 руб на акцию)

▶️18.12.2023 - ПОНЕДЕЛЬНИК
🚢 {$FLOT} - ВОСА Совкомфлот. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 6,32 руб на акцию)

▶️20.12.2023 - СРЕДА
❗️ {$ELTZ} - Последний торговый день в режиме Т+1 акциями Электроцинк в связи с прекращением торгов

▶️21.12.2023 - ЧЕТВЕРГ
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос увеличения уставного капитала Общества путем размещения дополнительных акций посредством открытой подписки
🥇 $MGKL - Завершается период приема заявок в рамках IPO Мосгорломбарда (МГКЛ)

▶️22.12.2023 - ПЯТНИЦА
🇷🇺 {$PHOR} - последний день с дивидендом 291 руб
🏦 {$MOEX} - Меняется база расчета индексов Мосбиржи
🥇 $MGKL - Мосбиржа включит акции Мосгорломбарда (МГКЛ) в котировальный список Третьего уровня
🇷🇺 {$TATN} - ВОСА Татнефть. В повестке вопрос утверждения дивидендов
🇷🇺 {$ROSN} - ВОСА Роснефть. В повестке вопрос утверждения дивидендов по результатам 9 месяцев 2023 года (рекомендация СД в размере 30,77 руб на акцию)"
