time,text
2024-04-13T16:42:03.795+03:00,{$ENPG} ситуации похожи 30м таймфрейм и 4ч.
2024-04-13T16:34:14.601+03:00,{$ENPG}  что это ?
2024-04-13T16:22:28.462+03:00,{$ENPG} докупаю потихоньку
2024-04-13T15:57:56.276+03:00,"{$ENPG} сейчас хороша бы новость вышла бы и понедельник ракета ,) я думаю все санкции уже в цене были ! Жду роста 550 на след неделе ,"
2024-04-13T15:13:26.001+03:00,"{$ENPG}, очень хорошо, что негативная новость появилась под конец сессии, ещё и перед выходными. За выходные новость может угаснуть."
2024-04-13T14:16:16.668+03:00,"{$ENPG} чуйка говорит, не продавай в убыток! Но иногда она меня подводит..."
2024-04-13T14:09:11.561+03:00,"{$RUAL} в портфеле с последней рекомендации дает уже 20% 
{$ENPG} так же 20%  за пару недель 

{$YNDX} сегодня скажу цели 

После последней нашей встречи куча прогнозов сбылась, от 5 до 20%, всего пару недель 


Трансляция кстати сегодня в 15:00 🙏🙌🚀"
2024-04-13T14:06:02.614+03:00,{$ENPG} походу понедельник не прольют 👏
2024-04-13T13:11:08.654+03:00,{$ENPG} все салам алейкум да?
2024-04-13T13:11:07.940+03:00,"Тинёк на выходных торгуется вне биржи и, пользуясь маленькими объёмами и негативными новостями, опускают акции, чтобы закупиться, как было в прошлые выхи с {$RNFT} (предприятия владельца остановили работу в связи с затоплением), которую в понедельник с утра разогнали до трёхгодичного максимума🚀!!! (см.график)
Для примера: когда объёмы меньше в 100 раз, даже при помощи маленьких денег, акциями легко манипулировать. Я поддалась панике и, вместо того, чтобы озолотиться в понедельник, разорилась в воскресенье!😏
/Тем более, что коррекция на вечёрке была вызвана коррекцией растущего ПолюсЗолота, т.к. там были аномальные самые крупные в акциях объёмы. Сейчас в них снова разворот на рост. Да и в индексе под закрытие виден задёрг вверх./
{$ENPG} {$GMKN} {$RUAL}"
2024-04-13T13:01:41.407+03:00,{$ENPG} это я удачно купил
2024-04-13T12:42:26.858+03:00,"Добрый день итоги недели..
За неделю получилось прибавить к депозиту 8.3 % неделя была удачной..
Один из самых основных профитов дала {$LNZLP} по нему сделано сдело больше 300 спекулятивных,второй по величине дохода это {$ENPG} по нему можно было конечно куш сорвать во время коррекции рынка я его подбирал по 496 рублей а сдался в копейки если один день додержать было профита 5 раз больше..остальные профиты это маленькие {$UWGN} как обычно не много катал, {$RBCM} не много получилось взять, {$MVID} тоже самое по чуть чуть..
А самый большой лось по {$RNFT} последнее время не могу понять что происходит с этой бумажкой не какие уровни не работают..
А у вас как прошло неделя?
Всем профита 💤💤"
