time,text
2022-09-13T09:00:24.389+03:00,"#aspct_idea #top_daily_value_idea

13.09.2022

АКЦИЯ ДНЯ, которая максимально поднялась в РЕЙТИНГЕ ASPCT «НЕДООЦЕННЕННЫХ АКЦИЙ СТОИМОСТИ» и стала выгоднее к покупке

🏦 {$ENPL}
ГДР En+ Group

💰ФИНАНСОВЫЕ ПОКАЗАТЕЛИ:
P/E (за сколько лет окупается компания): 2.61
(средний по отрасли: 40.56)

ROE (способность компании генерировать прибыль на вложенный в нее капитал): 53.15%
(средний по отрасли: 9.89)

Долгов у компании: 247.33% от капитала
Дивиденды: 0

🔷 АКТУАЛЬНОЕ МЕСТО В РЕЙТИНГЕ ASPCT
«НЕДООЦЕННЕННЫХ АКЦИЙ СТОИМОСТИ»:
141 из 631"
2022-02-09T18:39:43.450+03:00,"🇷🇺ИНТЕРЕСНОЕ ЧЕРЕЗ ПРИЗМУ на 09.02.2022г 

Всё самое важное и актуальное из мира российских ценных бумаг:

✔🇷🇺 1. Россияне за год стали больше доверять рублевым сбережениям - за год число тех, кто копит в российской валюте, выросло с 87% до 92%.

✔🇷🇺 2. Структуры сервиса по продаже и аренде недвижимости ЦИАН ( {$CIAN}) подали заявку на вступление в реестр операторов финансовых платформ. Группа планирует создавать нишевой ипотечный маркетплейс, которых на российском рынке пока нетнет.

✔🇷🇺🇪🇺 3. Страны ЕС выступили против отключения России от SWIFT.

✔🇷🇺 4. В Госдуме предложили отключать электричество майнерам. Кроме отключения нелегальных майнеров от электричества в Госдуме предложили обязать интернет-провайдеров передавать информацию о расположении IP-адресов, с которых осуществляется майнинг.

✔🇷🇺 5. Производитель алмазов Алмар планирует IPO в марте на СПБ бирже.

✔🇷🇺 6. Еn+ ( {$ENPL}): производство электроэнергии в 4 квартале 2021 года составило +5,1%.

✔🇷🇺 7. Минтранс ожидает в 2022 году роста перевозок авиакомпаний РФ к допандемийному уровню.

✔🇷🇺🇺🇸 8. Байден назвал Путина «парнем с ядерным оружием и без друзей».

✔🇷🇺 9. У 76% школьных учителей оклад ниже МРОТ. К слову, в 2021 году составил 12800₽.

✔🇷🇺 10. В России новый рекорд по числу выявленных заражений короной за сутки — 183 103 человека.

✔🇷🇺 11. Акрон ( {$AKRN}) в 2022 году проиндексировал зарплаты сотрудников на +11%.

✔🇷🇺 12. ММК ( {$MAGN}) вошёл в Sustainability Yearbook 2022 – международный рейтинг компаний, добившихся выдающихся результатов в обеспечении устойчивого развития.

✔🇷🇺 13. С начала года россияне стали в два раза чаще брать кредитные карточки.

✔🇷🇺 14. Аэрофлот ( {$AFLT}) наймет консультантов по устойчивому развитию компании.

✔🇷🇺 15. ОАК ( {$UNAC}) планирует поставить в этом году 32 SSJ-100 и 3 МС-21.

✔🇷🇺 16. Расписки VK ( {$VKCO}), подешевевшие за год в 3,5 раза, могут покинуть индекс MSCI Russia уже по итогам февральского пересмотра, итоги которого объявят сегодня ночью.

✔🇷🇺 17. Русснефть ( {$RNFT}) в 2021 году обеспечила восполнение добычи нефти приростом запасов на 100%.

✔🇷🇺 18. СД Фосагро ( {$PHOR}) рекомендовал дивиденды за 2021 год в размере 390₽ на акцию. Доходность 6,7%.

✔🇷🇺 19. Сбер ( {$SBER}) сильнее рынка уже 6 дней из 9, несмотря на геополитику и санкции. Бумаги банка который кризис подряд быстрее всех восстанавливаются после падения.

✔🇷🇺 20. Мосбиржа повысила границу ценового коридора для акций Распадской ( {$RASP}).

✔🇷🇺 21. Брокер Тинькофф ( {$TCSG}) теперь показывает сделки инсайдеров.

✔🇷🇺 22. BCS рекомендует покупать акции Самолета ( {$SMLT}). Таргет 6700₽. Апсайд 46%.

💡 Больше информации Вы можете найти на моëм канале."
2022-02-09T11:05:12.531+03:00,"НА СЕГОДНЯ - 2022.02.09
📌ЭКОНОМИКА
🇺🇸США - Wholesale Inventories - 18:00мск
🇷🇺РФ - потребинфляция CPI (янв) - 19:00мск
🇷🇺РФ - безработица (янв) - 19:00мск
📌ЦЕНТРОБАНКИ
спикеры:
🇬🇧Pill - 16:10мск
🇺🇸Bowman - 18:30мск  
🇺🇸Mester - 20:00мск  
🇨🇦глава ЦБ Канады - 20:00мск
📌КОМПАНИИ
🌎РФ, США, Европа - сезон отчетностей 
🇷🇺изменения в индексе MSCI Russia - подробнее 
🇷🇺ENRU Энел Россия -сд утвердит бизнес-план компании на 2022-2024 гг
попсовые отчетности:
🇷🇺ENPL En+ операционные результаты 4кв и 2021г
🇯🇵TM - Toyota
🇺🇸CVS - CVS Health - 14:40мск
🇺🇸CGC - Canopy Growth - 15:00мск
🇺🇸TEVA - Teva - 15:00мск
🇺🇸CCJ - Cameco - 15:00мск
🇺🇸YUM - Yum Brands - 15:00мск
🇺🇸CME - CME Group - 15:00мск
🇺🇸DIS - Disney - 00:05мск
🇺🇸UBER - Uber - 00:05мск
🇺🇸TWLO - Twillio - 00:05мск
🇺🇸MGM - MGM Resorts - 00:15мск
📌НЕФТЬ и ГАЗ
🛢нефть США - запасы EIA - 18:30мск
📌ДРУГОЕ
🇷🇺Минфин на аукционах предложит ОФЗ 26240 и 52004
🇺🇸отчет WASDE - 20:00мск
🌎мировые рынки в моменте
🇨🇳акции китай 
китайские акции после интервенций
🇨🇳китай ликвидность 
ЦБ Китая сегодня опять вывел из системы 130 млрд юаней  через операции 7-дневного reverse repo
🇺🇸  {$LYFT}   {$CMG}   {$YUMC} после отчетностей
⚠️🇺🇸  {$NKLA} 
Electrek выпустил кошмаринг-статью про Nikola, выражая мнение, что компании возможно конец:

Electrek’s Take: I think we might be seeing the end for Nikola here

Nikola потеряла почти все свое лидерство в цепочке поставок за последние несколько месяцев.  Компания перестала нанимать. Ситуация в компании начинает выглядеть ужасной. Они отказались от разработки многих своих основных технологий, начали полагаться на поставщиков, и теперь, когда лидерство в цепочке поставок ушло, это может стать для них последней каплей - Electrek

24 февраля - отчетность
🇺🇸  $MNDT 
Microsoft ведет переговоры о покупке Mandiant 
MSFT
💥🇺🇸  {$TSLA}  Жорик
Байден наконец-то произнес слово Tesla и упомянул компанию как крупнейшего производителя электромобилей в США
🇺🇸🇪🇺  {$FB}   $MVRS 
Meta отрицает, что угрожала покинуть Европу
☢️🇺🇸  {$PYPL}  
PayPal создает консультативный совет по крипте и блокчейну
🌎алюминий today металлы
{$RUAL} Рост цен на руку «Русалу», EBITDA которого может вырасти на треть, до $4,2–4,3 млрд, по итогам 2022 года - Ъ
⚠️🇫🇷  {$AIR}   отчетность 
заказы Airbus в январе упали в 4,5 раза к декабрю, поставки - в 3 раза - Прайм
🇯🇵  {$TM}   отчетность 
Toyota Q3 Earnings
 - Q3 Net Income ¥791.74B (est ¥619.24B)
 - Still Sees FY Net Income ¥2.49T (est ¥2.76T)
💥🇳🇴  $EQNR отчетность 
Equinor рекордно отчитался, увеличивает дивиденды и buyback 
💵MT FRONT PAGE
- крипте в России еще как быть!
- Макрон провел предвыборную деэскалацию, Европа захотела переговоров, СП2 отдыхает, SWIFT наш
- сезон отчетностей в США уже не тот 
- в китайских акциях интервенции 
- США могут увеличить продажи нефти
- Forex в РФ набирает обороты 
- Байден произнес слово ""Tesla""
- Макар Цукер опять всех обманул
- Nikola капут?  Леня Маск
- алюминий улетает 
- первый живой аукцион NFT
☢️🇺🇸  $GME 
Gamestop на слухах в соцсетях о партнерстве с Microsoft по NFT и метавселенным 
 {$MSFT} 
🇺🇸  {$DIS} 
Disney ищет специалиста в области метавселенных
⚡️🇷🇺  {$ENPL} отчетность 
EN+ ПРОИЗВОДСТВО ЭЛЕКТРОЭНЕРГИИ ( 4 КВ) = + 5,1% ДО 24,7 МЛРД КВТЧ
❗️🇺🇸 
JPMorgan: настроения в бондах США = негатив на экстремуме

🇷🇺акции РФ в моменте

❗️🇪🇺ЕВРОПА - АКЦИИ - ОТКРЫТИЕ - 11:00МСК"
2022-02-09T10:25:44.839+03:00,"#Отчетность #Америка #Россия #МСФО #РСБУ #Китай 
Сегодня отчетности опубликуют: 
{$ENPL} En+ операционные результаты 4кв и 2021г 
{$TM} Toyota 
{$CVS} CVS Health - 14:40мск 
{$CCJ} Cameco - 15:00мск 
{$YUM} Yum Brands - 15:00мск 
{$CME} CME Group - 15:00мск 
{$DIS} Disney - 00:05мск 
{$UBER} Uber - 00:05мск 
{$TWLO} Twillio - 00:05мск 
{$MGM} MGM Resorts - 00:15мск"
2020-09-21T10:42:57.361+03:00,{$ENPL} а получается те кто не поменял уже в пролёте ? Просто деньги потеряны ?
2020-08-13T17:41:50.783+03:00,{$ENPL} по какому курсу конвертация? 1:1?
2020-07-02T12:51:40.647+03:00,{$ENPL} кому-нибудь уже обменяли акции?
2020-06-29T11:17:18.273+03:00,{$ENPL} подскажите сейчас Тинькофф инвестиции комиссию у всех взимают ???
2020-06-10T10:19:48.830+03:00,{$ENPL} начался долгий процесс конвертации.....
2020-05-27T10:33:34.777+03:00,{$ENPL} не пойму почему по этой акции биржа закрыта. Глюк?
