time,text
2023-03-28T11:21:20.694+03:00,ждем {$ENRU}
2023-03-27T23:10:16.199+03:00,"📌 Важные события текущей недели на фондовых рынках

👉27  марта

🔸 {$GLTR} опубликует финансовые и операционные результаты за 2022 г.

👉28 марта 

🔸 Micron Technology и еще ~10 компаний раскроют Отчетность за 2 квартал 2023 финансового года

👉 29 марта 

🔸 В Нью-Дели пройдёт деловой форум 

🔸 {$LENT} опубликует финансовые результаты по МСФО за IV квартал 2022 г.

🔸 {$ENRU} Смена тикера на Мосбирже с ENRU на ELFV

🔸 Xerox 
Последний день покупки для получения дивидендов 
Размер - 0,25 $ 
Период - 1 кв. 2023 фискального года

👉30 марта

🔸 Территориальная генерирующая компания № 14 Отчетность по МСФО за 4 квартал и полный 2022 год

👉 31 марта 

🔸 Башинформсвязь Отчетность по МСФО за 4 квартал и полный 2022 год (предположительно)

🔸 {$AGRO} Акционеры примут решение по дивидендам за 2022 год

🔸 {$SGZH} Отчетность по МСФО за 4 квартал и полный 2022 год

🔸 {$PHOR} Последний день покупки для получения дивидендов 465 ₽ на обыкновенную акцию за 2022 г.

🔸 {$ENPG} Отчетность по МСФО за 4 квартал и полный 2022 год (предположительно)

🔸 Будут раскрыты данные по инфляции в Еврозоне

Ранее разбирал часть активов, а так же держу в [&MSZ Fund Сбалансированная](https://www.tinkoff.ru/invest/strategies/916aa62a-013c-4c18-bb5f-e9f80205950c)


@aboutdiv"
2023-03-27T11:39:47.408+03:00,"{$ENRU} 

Ребята, привет. Вижу идею в ЭЛ5-Энерго ПАО. 

На ТФ Д перевернутая голова и плечи, пробой перепонки был. Хочется сбросить перекупленность по RSI и на отбое (от перепонки/или от локальной трендовой) взять это движение. 

Если берёте на отслеживание и сами торгуете подобные идеи, то вход лимиткой (НЕ по рыночной), и тейк ставьте сразу (~0,7938) на высоту фигуры, потому что может быть и свечкой 😉.

Стоп под правое плечо. Риск очень высокий - не более 1% от вашего депо."
2023-03-27T11:27:23.817+03:00,{$ENRU} 0.5 не?)
2023-03-24T13:27:51.907+03:00,{$ENRU} да🤔 скорее всего на выход и до понедельника.
2023-03-24T11:57:11.681+03:00,{$ENRU} вниз по тени нальют
2023-03-24T10:20:04.306+03:00,{$ENRU} ваша песенка спета
2023-03-23T17:23:08.191+03:00,"{$ENRU} Скрин сделал (для тех кто не понимает на чем она растёт ) на сайте TraidindView. Её плавно скупают как перспективную на долгосрок. Причин хватает. Даже в Тинькофф есть описание Идеи вот ссылка: https://tinkoffinvest.page.link/9YA2zStXkuVzVtb56
Любители хапануть и нытики можете меня послать и на долго. Но то что компания 5Млрд. дивидендов 21года перенесла на 23 год и планирует вернутся к дивидендной политике есть по всему интернету. 22 году завершили инвестпроекты по продаже одной ГРЭС на погашение долгов и ввод в строй ВЭС с мощностью 90МВт. Больше мощностей больше прибыли. Думайте сами. Не ИИР."
2023-03-23T17:05:07.259+03:00,{$ENRU} давай уже в космос 🚀
2023-03-23T14:44:10.022+03:00,"{$ENRU} 
Если полезная информация поставь 👍🏻
Меня это мотивирует🫶🏻
О компании
**ЭЛ5-Энерго** — российская энергетическая компания, созданная в результате реформы РАО «ЕЭС России». Компания зарегистрирована в Екатеринбурге, центральный офис находится в Москве. 56 % компании принадлежит итальянской группе Enel.
Дивидендная политика
Существующая дивидендная политика не устанавливает уровень выплат дивидендов.

КОЛИЧЕСТВО АКЦИЙ 
35,37 млрд.
АКЦИЙ В ЛОТЕ
1 000
КАПИТАЛИЗАЦИЯ, МЛРД. ₽ 
21,0
ПЕРИОДИЧНОСТЬ, В ГОД 
1,0

АКЦИИ НА МОСКОВСКОЙ БИРЖЕ

https://www.moex.com/ru/issue.aspx?board=TQBR&code=ENRU

РАСКРЫТИЕ ИНФОРМАЦИИ

http://e-disclosure.ru/portal/company.aspx?id=5732

ОФИЦИАЛЬНЫЙ САЙТ

https://www.el5-energo.ru/investors/"
2023-03-23T14:43:31.915+03:00,{$ENRU} встал в шорт как думаете хорошее решение или нет ?
2023-03-23T12:56:53.829+03:00,"{$ENRU} О, как быстро переобуваються, а где 0.75, загнали и поменяли  ,"
2023-03-23T12:37:08.235+03:00,{$ENRU} поехали 🚀
2023-03-23T12:22:16.523+03:00,{$ENRU} 57.72 пробивает и летит дальше в пропасть:)
2023-03-23T12:16:27.349+03:00,"{$ENRU} плечи порезали, что-ли? 🤔"
2023-03-23T11:29:42.289+03:00,{$ENRU} полетел🫡
2023-03-23T10:34:36.246+03:00,{$ENRU} не плохо
2023-03-23T10:33:43.422+03:00,"{$ENRU} Поздравляю заранее всех, кто в шорте, щас час дурака пройдет и она рухнет:)"
2023-03-23T10:17:53.353+03:00,"{$ENRU} интересная бумажка вчера по 0.58 уже не брали, а сегодня и 0.59 зашла🤔"
2023-03-23T10:08:28.212+03:00,"{$ENRU} 0.637 жду
Мб выйду пораньше"
2023-03-23T10:06:53.144+03:00,"{$ENRU} докупаем, фиксируем"
2023-03-23T08:18:05.550+03:00,{$ENRU} полетим вниз или вверх!? Ваши предположения?
2023-03-22T19:58:20.076+03:00,{$ENRU} На чем такой рост сегодня?
2023-03-22T18:50:28.588+03:00,{$ENRU} ой завтра весело будет )
2023-03-22T18:45:57.105+03:00,"{$ENRU} 

На вечерке торгуется ?"
2023-03-22T18:38:09.943+03:00,"{$ENRU} втб пример рост без причины, признак знаете кого)"
2023-03-22T18:34:21.947+03:00,{$ENRU} бай бай)
2023-03-22T18:29:17.066+03:00,{$ENRU} завтра прольют такое чувство)
2023-03-22T18:26:15.614+03:00,{$ENRU} кажись все наигрались)
2023-03-22T18:18:57.730+03:00,"{$ENRU} 
Мой первый пульс 
Чтобы не сидеть на месте, начинаю изучать инвестиции и  буду определенную часть своих средств вливать сюда
Использую первое время плечи, чтобы цена моих ошибок была больше и понимал я все быстрее 

{$ENRU} Сегодня я не поверил в его рост, нет причин и пошел в шорт  на 0.56
Он начал показывать рост, я докупил и усреднил на 0.58
Жду либо 0.6+ , чтобы снова докупить в шорт , либо падения, чтобы зафиксировать часть прибыли, а дальше посмотрим что будет:)"
2023-03-22T17:44:40.956+03:00,"{$ENRU} объем заходит, походу улетит"
2023-03-22T17:36:42.384+03:00,{$ENRU} шорт
2023-03-22T16:19:39.269+03:00,"{$ENRU} может зашортить, что думаете?"
2023-03-22T15:50:48.880+03:00,{$ENRU} дают докупить
2023-03-22T15:47:30.376+03:00,"{$ENRU} ей нв давал расти выкуп по 0.48, а теперь его нет"
2023-03-22T15:36:35.457+03:00,"{$ENRU} здесь кто то что знает цену держат, закупаются похоже?"
2023-03-22T15:35:42.735+03:00,"{$ENRU} купил как только открылась биржа. Сказать честно, немного в шоке от мгновенного роста"
2023-03-22T15:20:48.123+03:00,"{$ENRU} Шортисты, не переживайте, сейчас набегут грызуны, облепят её, и она сложится, аки карточный домик на этих безбилетниках:)"
2023-03-22T15:20:23.822+03:00,{$ENRU} такой кринж только тут. Взлет и сразу вниз
2023-03-22T15:16:40.696+03:00,{$ENRU} кто то скоро будет про дивы говорить )
2023-03-22T15:12:04.935+03:00,"{$GEMC} GEMC-гдр 
🔹Аномальный объем!
1,1М₽ (3 004 лот.)
Изм. цены +0,38% Цена 374₽
Покупки 97% Продажи 3%
22.03.23  14:27

{$ENRU} ЭнелРос ао 
🔹Аномальный объем!
4,1М₽ (6 914 лот.)
Изм. цены -0,34% Цена 0,5882₽
Покупки 22% Продажи 78%
22.03.23  14:28

{$MTSS} МТС-ао 
🔹Аномальный объем!
12,3М₽ (4 833 лот.)
Изм. цены 0% Цена 254,5₽
Покупки 100% Продажи 0%
22.03.23  14:31

#ENPG ЭН ГРУП ао 
🔹Аномальный объем!
6,3М₽ (15 560 лот.)
Изм. цены -0,61% ⚡ Цена 404,5₽
Покупки 0% Продажи 100%
22.03.23  14:43

#URKZ УрКузница 
🔹Аномальный объем!
5,0М₽ (215 лот.)
🔸Изм. цены +8,84% ⚡⚡ Цена 24 000₽
Покупки 100% Продажи 0%
22.03.23  14:57

{$ENRU} ЭнелРос ао 
🔹Аномальный объем!
6,9М₽ (11 708 лот.)
Изм. цены +1,15% Цена 0,5962₽
Покупки 96% Продажи 4%
22.03.23  15:08

{$CBOM} МКБ ао 
🔹Аномальный объем!
34,9М₽ (50 104 лот.)
Изм. цены 0% Цена 6,977₽
Покупки 0% Продажи 100%
22.03.23  15:09"
2023-03-22T14:55:37.769+03:00,"{$ENRU} 0,65 первая цель"
2023-03-22T13:51:14.766+03:00,{$ENRU} выше 0.58 бумага идёт неохотно. Попробую аккуратно пошортить
2023-03-22T12:38:27.768+03:00,"{$ENRU} ещё одна бумага, с хорошим фиксом, но фиксанул только часть, возможен полёт и дальше"
2023-03-22T12:10:22.156+03:00,{$ENRU} скорее всего закупали для скорого полёта
2023-03-22T11:43:04.190+03:00,{$ENRU} смотрите где вход давал 20% даёт уже хороший потенциал
2023-03-22T11:42:09.514+03:00,"{$ENRU} Ну и соответственно две такие же свечи, только красного цвета, абсолютно симметрично (на часовом таймфрейме разумеется)"
2023-03-22T11:33:35.530+03:00,{$ENRU} в планку !!!
2023-03-22T11:30:44.526+03:00,"{$ENRU} терпение на бирже это золото)) со средней 0.53 сдал, по 0.56, печель беда... Ну ничего играем дальше"
2023-03-22T11:11:22.851+03:00,"{$ENRU} ждем 0,6"
