time,text
2024-04-13T16:32:34.144+03:00,"ЭХХХ НАСТОЛЬГИЯ 🥲😌💰

{$UWGN} {$LNZL} {$ROSN} {$AFLT} {$ETLN}"
2024-04-13T10:47:17.844+03:00,"{$ETLN} {$FIXP} {$AFLT} {$POSI} {$AFKS} {$VTBR} {$BSPB} 
почему биржа закрыта? Кто в курсе?

Заявки обнулили..."
2024-04-13T10:42:27.015+03:00,"‼️Чуток пополнил баланс, все что не идет в конкретные позиции, пока будет аккумулироваться в {$LQDT} 

А вы не забыли про главный риск для Российского рынка в этом году ?

По многим инвест идеям тейки на покупку расставлены, с рынка не тороплюсь брать 😎🤞🏻

{$SVCB} - Раставил ступенчато тейки на покупку, на случай коррекции. Из банков выделяю. Но и про потенциальную частичную мобилизацию не забываю, в виде самого большого риска для нашего рынка🤞🏻

{$GLTR} - Также дешевая по мультипликаторам компания, откуп запланировал лишь в случаи серьезного отката. На нашем рынке основной триггер роста это дивиденды потенциальные, но до них не скоро. И есть риск не выплаты Россиянам в связи с инфраструктурным поводом. 

{$FIVE} - Тут у меня на текущий момент самая крупная позиция. И самая уверенная в долгосрочном плане, даже с учетом потенциальной мобилизации. Внутренний рынок, продуктовый ритейл будет иметь спрос даже в самые сложные периоды. И триггер к росту в виде огромного потенциального дивиденда сохраняет апсайд😎🤞🏻


{$AFKS} - Тут после фиксации большей части, оставил небольшую позицию. При прогреве ближайших ipo, допускаю полную фиксацию😎

{$SNGS} - С учетом всех рисков с мобилизацией, девальвацией рубля во второй части года. На мой взгляд это одна из лучших инвест идей. Расставлены тейки на покупку, но допускаю что рынок может не дать купить сильно ниже. Несколько раз продавал спекулятивно, и пока нет позиции 😎🤞🏻

{$ETLN} - Из застройщиков конечно же Эталон, самый быстро растущий застройщик страны. Есть позиция небольшая, Добор ступенчатый, лишь при коррекции 😎🤞🏻

⁉️И вы мне расскажите коллеги, в какую инвести идею больше всего верите сейчас, что должно вырасти больше всего до осени этого года ?😎🤞🏻


‼️Если прочли до конца, просьба поддержать своим душевным и добрым лайком заряженным на взаимный успех❤️🤞🏻🤞🏻🤞🏻


#новичкам #пульс #инвестиции #акции #валюта #доллар #рубль #идеи #идея #россия"
2024-04-13T00:41:58.937+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из 2-3 эшелона:

📈 Энергия ркк -5.3% {$RKKE} 
Всмпо -3.4% {$VSMO} 
Евротранс -2.7% {$EUTR} 
Делимобиль -2.3% {$DELI} 
Хендерсон -1.9% {$HNFG} 
Чмк -1.8% {$CHMK}  
Русснефть -1.4% {$RNFT}  
Эталон -1.3% {$ETLN} 
Новабев -1.1% {$BELU}  
Лср -1.1% {$LSRG} 
Фикспрайс -0.9% {$FIXP} 
Соллерс -0.7% {$SVAV}  
Куйбышев -0.6% {$KAZT} 


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:53:20.772+03:00,"Кто завтра идёт?
Слишком много залов и даже не знаю что поставить в приоритет.

А что бы выбрали вы? 

{$DIAS} {$MTSS} {$ETLN} {$HNFG} 
{$POSI} {$LEAS} {$SVCB} {$ASTR} 
Очень много спикеров мне не известных. Так же как и компаний."
2024-04-12T22:24:56.298+03:00,"{$ETLN} офигеть, оказывается эталон сотку пробивал 
Ракета 🚀"
2024-04-12T20:07:40.225+03:00,"🔥Итоги дня: IMOEX +0,5% ( 3.457 п.)

🛢Нефть марки Brent: +1,5% (91,08$)
🛢Нефть марки WTI: +1,7% (86,47$)

📈 {$PLZL} Полюс +3,8%.
📈 {$MDMG} MD Medical +3,6%.
📈 {$GMKN} Норникель +3%.
📈 {$POLY} Polymetal +2,6%.
📈 {$LENT} Лента +2,6%.
📈 {$SFIN} SFI PAO +2,3%.
📈 {$RUAL} Русал +2,2%.
📈 {$ENPG} En+ Group +2,1%.
📈 {$SNGS} Сургутнефтегаз +1,6%.
📈 {$VTBR} ВТБ +1,3%.

📉 {$ETLN} Эталон -1,3%.
📉 {$OZON} Ozon -1,3%.
📉 MTLRP Мечел преф -1,2%.
📉 {$ASTR} Астра -1,1%.
📉 LSRG Группа ЛСР -1,1%.

🇷🇺🇺🇦🌍🛢МЭА предупреждает, что атаки украинских беспилотников на российские НПЗ могут нарушить работу мировых рынков нефтепродуктов

🌍🛢💰Нефть подскочила до самого высокого уровня с октября на новостях о том, что Израиль готовится к возможному нападению со стороны Ирана или его сторонников

🇪🇺🛢ЕК: «Газовые хранилища ЕС на конец отопительного сезона 31 марта 2024 года были заполнены почти на 60%, это абсолютный рекорд для этого сезона»

🇪🇺🏦ЕЦБ придерживается плана по снижению ставок, несмотря на последствия горячих данных по инфляции в США. Чиновники отмахнулись от опасений по поводу трансатлантических расхождений и ожидают более мягкой ДКП с июня – Bloomberg

🇪🇺🏦💰По словам бывшего главы ЕЦБ Жан-Клода Трише, государственный долг вырос до уровня, вызывающего большее беспокойство, чем до банкротства Lehman Brothers в 2008 году

🇬🇧🏦Экономика Великобритании выросла второй месяц подряд в феврале благодаря росту сектора услуг

🇨🇳🏦Экспорт Китая упал в марте, что подрывает надежды на то, что мировой спрос продолжит способствовать росту второй по величине экономики мира
🔝Китайский экспорт стали достиг максимума с 2016 года из-за слабого местного спроса. Поставки за рубеж в марте достигли 9,9 млн. тонн | ~ +25% г/г.

Чтож, хороший день, отдыхаем и готовимся к конфе.
Препати идет, народу уже много)"
2024-04-12T18:52:12.663+03:00,"⏳⏰⬆️🎯💵
Эти ""₽ебятки"" засиделись
И по домашнему усреднялись потому и цену удалось сбить за которую изначально купил. 
  {$ETLN}               {$WUSH}               {$QIWI}
   93.18.                 323.                  207.5
   92.4.                 317.37.               202.5."
2024-04-12T17:29:55.243+03:00,"Если кто захочет пообщаться, завтра буду на конфе Профита. Думаю сходить там на {$DIAS} {$ETLN} {$GLTR} и МТСбанк, но большую часть времени буду в коридоре или в Хэратсе рядом с октябрем"
2024-04-12T12:06:02.569+03:00,{$ETLN} не зря продал по 96. Ждем 91. Не ИИР
