time,text
2024-04-13T16:33:28.118+03:00,"Чтобы так топили компанию напомню 1 эшелона, это естественно манипуляция, ну всем это очевидно я же не вру, вы сами видите.

И это делает Бкс! Посмотрите Газпром стакан и этот.

Одно и тоже, алгоритм один и тот же! Чтобы у них вся аппарутра у мм сгорела в этом году и чтобы они все убытках были.

Потом посмотрим.

А я на своём буду стоять! А пока пытаюсь собрать людей и написать коллективное обращение уже не цб, а в органы.

Скрины, записи все есть.

Да цена по та двигается соглашусь, но её слишком уже долго держат реально.

•На 245 была покупка, фонды давно зашли, блогеры лапшу пусть себе на уши вешают.

Я держу, и новые люди будут заходить, так как тут будут дивы обещали.

Я думаю планка будет рано или поздно.

Так что терпение.


Не иир

{$EUTR}"
2024-04-13T15:28:16.564+03:00,{$EUTR} Понаставили плит продажу
2024-04-13T15:22:39.750+03:00,"{$EUTR}

Ещё одно наблюдение. Тут на дневке наблюдается паттерн ""Дракон"". Причём наблюдается он как на очень глобальной картине, так и на более мелкой. Такая вот фрактальность... Тейк-профит в таком случае ставится на уровне максимума головы. Можно сказать, что это вариация двойного дна. 

Не знаю, сработает ли. Но это в любом случае любопытно."
2024-04-13T14:50:47.314+03:00,{$EUTR} в понедельник 200?
2024-04-13T14:23:58.710+03:00,"{$EUTR} вызываю лонх на понедельник, двестиписятдваписят для начала 🤔🤔🤔🫶🫶🫶"
2024-04-13T14:17:58.051+03:00,{$EUTR} есть у кого средняя выше 249.5? Что думаете делать?
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-13T14:07:45.320+03:00,"{$EUTR}

А что у нас там по Евротрансу чисто с точки зрения техники? Давайте уж разглядывать эту многострадальную историю. 

👉ТФ 1Ч. СМ. ПЕРВЫЙ СКРИНШОТ. Видна устойчивая бычья дивергенция по A/D. Практика показывает, что реализуется она в этой бумаге в виде задёргов по утрам или по вечерам. В иной бумаге я бы это трактовал как признак накопления позиций крупными игроками. Здесь уж затрудняюсь такое сказать. Скорее набор позиции крупного спекулянта, который собрался выходить на задёрге. А может ММ ликвидность нагребает. 

👉ТФ. 1Ч. СМ ТАКЖЕ ПЕРВЫЙ СКРИНШОТ. Активность продавца по Аруну на 78,57%, но и покупатель тут отменный есть — 35,71%. В целом это говорит об эдакой борьбе бобра с ослом за то, чтобы бумага всё-таки отскочила. Активность покупателя на 35,71% в такой ситуации действительно свидетельствует о наборе позиций.

👉На втором скриншоте видно, что CCI находится в зоне перепроданности, считается, что это классический сигнал на продажу. Однако виднеется небольшой разворот вверх. Со скепсисом смотрю на этот разворот конечно. 

👉На втором же скриншоте интересное явление можно увидеть по Моментуму: бычья дивергенция, причём классическая. В то время как цена достигает новых минимумов, новые минимумы индикатора расположены выше. Так-то это классический сигнал на покупку. 

👉На 3 и 4 скриншотах уровни Фибоначчи. На часовике легли на поддержку 248,15 и отскочили, на дневке идеальный пробой в сторону поддержки 238,50. @LAFurs правильно подмечала в комментариях, что с точки зрения волновой теории Эллиотта последний минимум был на 238,40 в моменте, поэтому учитывая зигзаги везут нас на обновление этой точки (скорее всего опять в моменте только и шипом). 

👉На скриншоте номер 5 виднеется классическое медвежье поглощение на 4Ч ТФ. Очередной сигнал для роботов на продажу.

ВЫВОД: в понедельник дивергенции должны отыграть очередной раз в виде задёрга, а дальше всё по плану шортиста/манипулятора/кукла — поездка на 238,50 с высадкой пассажиров на лоях. Дальше уже вероятен отскок. Это как раз совпадает с идеей о том, что оферта должна пройти максимально вяло и неинтересно (провалиться). Потом будем наблюдать набор позиций. И уже дальше к отчёту полёт на пресловутые 300. Верится пока что с трудом. Но я так вижу."
2024-04-13T14:05:19.443+03:00,{$EUTR}
2024-04-13T13:48:58.063+03:00,"Итого по недели. Неделя ознаменовалась новыми вершинами индекса Мосбиржи. Который в моменте превышал 3460п. Соответственно росли и большинство активов.

Газпром {$GAZP} по ТА двигался в восходящем канале, однако к концу недели развернулся вниз и пробил нижнюю границу в районе 165р. Краткосрочно ожидаю продолжения коррекции после которой возобновление роста к 168р.

Русал {$RUAL} продолжил рост вслед за ценами на алюминий поднявшись выше моей цели в 42р. Позицию закрыл в +2%

Евротранс {$EUTR} забуксовал с возобновлением роста в начале недели, а к её концу и вовсе развернулся вниз. В связи с этим закрыл позицию забрав +6%. Повторно зайду с уровня 240р.

Фармсинтез {$LIFE} продолжил боковую торговлю. А в фироком диапазоне торгуется в канале 4.8÷5.5р. Краткосрочно ожидаю продолжения боковой торговли.

Новатэк {$NVTK} выпустил неплохой отчет. Выручка и добыча увеличились не смотря на санкции и фактическую заморозку Арктик-СПГ2. По ТА актив на месячном графике потерял уже около 25%. И на мой взгляд негатив уже отыгран в цене. Кроме того на месячном графике формируется редкая формация из 8 последовательных красных свечей, что повышает вероятность смены тренда или хорошего отскока. Набрал позицию по активу с целью 1400р.

Эл5-Энерго {$ELFV} по ТА на недели показал отскок на дневном графике после падения. Однако я его пропустил и к концу недели актив вернулся обратно. Открыл спекулятивную позицию с целью 0.65р. 

Не ИИР. Берегите нервы и депозиты. Помните рынок цикличен."
