time,text
2024-04-13T15:14:12.774+03:00,"Анализ Акций по вашему запросу
Россети и Совкомфлот

Россети {$FEES} (1скрин)
Классическая схема пробоя наклонной и ретеста сверху. Что, собственно, сейчас и происходит.
Возможно увидим акцию чуть ниже, в указанном диапазоне. Оттуда уже вполне вероятно можем стартануть на перехай.

Совкомфлот {$FLOT} (2скрин)
Вплотную подобрались к нисходящей трендовой линии. 
Пробой будет осуществляться с объемом, а если закрепимся выше, то с ретестом актуальны длинные позиции.

Напомню, что в большинстве случаев сначала ретест происходит на меньшем тайфрейме, а потом уже на дневке. Поэтому точек входа может быть две. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-12T22:58:22.137+03:00,"🎀 {$FEES} Эксперт РА» присвоило ПАО «Россети» рейтинг на уровне ruАAA со стабильным прогнозом {$SOFL} {$YNDX} {$IEX}
👨‍💻🔍 ГК Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций 🪨 {$MTLRP} {$MTLR} {$RASP} 
Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году {$OZON}  Инвестфонд «Восток Инвестиции» стал владельцем доли Baring Vostok в маркетплейсе OZON в размере около 28% - сообщение OZON {$RKKE}(косвенно)
🚀 Россия до конца года запустит более 100 космических аппаратов для наращивания орбитальной группировки - Мантуров 💵Всем хороших выходных🧘🏼‍♀️ )))) #вечернийкекс  🍌🫦💅"
2024-04-12T22:34:27.345+03:00,"Всем привет

•Россия успешно запустила способную уничтожить небольшой город ракету

•В Оренбурге началась массовая эвакуация жителей из-за паводков, в городе включили сирену

•В Белгороде БПЛА врезался в административное здание {$GAZP} , 2 человека пострадали

•Минтранс поручил усилить защиту аэропортов от атак БПЛА

•Исполняющий обязанности генконсула Китая сравнил аэропорт города Иркутска с автобусной остановкой в китайском уезде

•Суд в Дагестане арестовал девятерых бывших и действующих сотрудников {$FEES} , Дагэнерго и подрядных организаций по обвинению в хищении 2,8 млрд руб

•Крупнейший производитель вина Кубань-Вино перешел в собственность государства

•Власти собираются заменить курортный сбор туристическим налогом (3% от цены проживания) и распространить его на всю страну

•Обществознание уберут из программы 6-8 классов с 1.09.25 - Минпросвещение

•В Госдуме предложили оснастить сотрудников авиакомпаний алкотестами для проверки подозрительных пассажиров

•Миронов объявил о создании общественного движения «МЫ ЕСТЬ РУССКИЕ»

•Израиль готовится к полномасштабному нападению Ирана в течение следующих 48 часов — Bloomberg

•Из Ливана в сторону Израиля запустили ракеты

•США перемещают авианосец на север через Красное море в сторону Израиля для сдерживания Ирана

•Цена золота впервые в истории превысила $2400 за унцию

•Китай в январе-марте нарастил импорт нефти на 0,7% и газа на 22,8% — таможня КНР

•Товарооборот КНР-РФ (янв-март) +5.2% г/г, до $56.68 млрд. Товарооборот КНР - США (янв-март) -4% г/г, до $150.04 млрд - таможня КНР

•Кыргызстан хочет, чтобы Россия открыла в республике свой банк

•Платежи российских компаний через банки КНР еще больше осложнились весной

•Доля китайского юаня в мировых валютных резервах упала до самого низкого уровня за последние три года

•Минэнерго рассчитывает на сохранение показателей угольной отрасли в 2024 г на уровне 2023 г

•Российские угольные компании стоят перед перспективой сокращения добычи в этом году из-за снижения цен этой весной до уровней апреля—мая 2021 г

•Минск заплатит по евробондам всем российским инвесторам

•Прирост запасов нефти в 2023 г стал минимальным за последние 6 лет - данные Роснедр

•Гендиректора и крупные акционеры компаний стали все чаще участвовать в собеседованиях с кандидатами, в том числе не претендующими на позиции топ-менеджеров из-за попыток в режиме ручного управления решить проблемы с кадрами, которые сейчас возникают у большинства компаний

•Объем поддержки компаний, поставляющих несырьевые товары за рубеж, может составить порядка 1 трлн руб, но финальных сумм еще нет

•{$LENT} пытается добиться изменения отпускных цен на товары нескольких крупных поставщиков, в противном случае угрожают остановкой закупок

•Процесс возобновления торгов акциями {$FIVE}  может занять 4-5 месяцев

•FIVE в 2024 г планирует двузначный рост выручки, изучает вопрос пересмотра дивполитики

•{$CHMF} подала ходатайство о мировом соглашении по ""делу металлургов""

•Объем выдачи льготной ипотеки в этом году может упасть на 10-20%

•{$ALRS} разместила первые в РФ ЦФА, привязанные к продаже инвестиционных бриллиантов

•Чистая прибыль {$SIBN} в 2023г по РСБУ снизилась на 16% - до 637,5 млрд руб

•POLY еще не удалось восстановить доступ к крупным источникам заемного финансирования, в связи с чем СД считает, что выплата дивидендов за 2023 г нецелесообразна

•MTSS Банк объявил о намерении провести IPO на MOEX

•{$ZAYM} провел IPO https://ir.zaymer.ru/news/company-news/post-56

•96,7% рынка кикшеринга в России делят WUSH, MTSS Юрент и {$YNDX} . Общая выручка всех сервисов в 2023 году превысила 22 млрд рублей.

•СД {$HNFG} рекомендовал дивиденд за 1кв 30 руб

•Группа {$AFLT} в марте увеличила перевозки на 21,2% до 4 млн пассажиров

Что на графиках?

Индекс {$MOEX} новый локальный максимум, {$USDRUB} без изменений

""Торгуй праведно, в барышах будешь"" 
*Не является инвестиционной рекомендацией"
2024-04-12T21:26:48.374+03:00,"#НОВОСТИ 
🆕 Сводка новостей.

🔹 {$MTLRP} {$MTLR} {$RASP} Минэнерго РФ рассчитывает на увеличение поставок угля на восток до 111 млн т в этом году.

🔹 {$FEES} ""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом.

🔹 {$CHMK} {$MTLRP} {$MTLR} ЧМК Мечела в I квартале сократил чистый убыток по РСБУ в 4 раза.

🔹 {$SOFL} {$YNDX} Softline заключила стратегическое партнерство с Яндексом для расширенной дистрибуции Яндекс Браузера для организаций.

🔹 {$OZON} ХОЛДИНГ ""ВОСТОК ИНВЕСТИЦИИ"" ПРИОБРЕЛ У ФОНДОВ BARING VOSTOK ОКОЛО 28% АКЦИЙ ОНЛАЙН-РЕТЕЙЛЕРА OZON ИЗ - СООБЩЕНИЕ OZON.

🔹 {$OKEY} Настоящим сообщаем, что Компания получила уведомление от своего банка-депозитария the Bank of NY Mellon о намерении расторгнуть действующий депозитарный договор в отношении ГДР Группы.

🔹 В последние несколько дней акции {$GMKN} ГМК привлекли моё внимание своим впечатляющим ростом. Котировки компании выросли на целых +9,08%, что стало одним из самых значительных показателей на рынке. Этот взлет цен связывается с ростом стоимости металлов из корзины продукции ГМК. Однако, существует риск, который следует учитывать: если цены на металлы начнут корректироваться, то и акции ГМК могут потерять свои позиции. Я выражаю опасения относительно перегретости сырьевого рынка и считаю, что входить в покупку акций ГМК с текущих уровней значительный риск. Считаю надо выждать коррекцию цен на металлы и лишь после этого принимать решение."
2024-04-12T19:47:07.047+03:00,"{$FEES} какашка которая никому не нужна,  кроме  меня главного хомы"
2024-04-12T18:57:41.217+03:00,"#Россети {$FEES}

Классическая схема пробоя наклонной и ретеста сверху. Что, собственно, сейчас и происходит.

Возможно увидим акцию чуть ниже, в указанном диапазоне. Оттуда уже вполне вероятно можем стартануть на перехай.

💡 Московская биржа. Обзор"
2024-04-12T17:45:51.213+03:00,"{$FEES}  ᅠ
🇷🇺 ""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом"
2024-04-12T16:43:35.433+03:00,"{$FEES}  
🇷🇺 «Эксперт РА» присвоило ПАО «Россети» рейтинг на уровне ruАAA со стабильным прогнозом — PN Alert
@Stocksi | @prioritynews_bot"
2024-04-12T16:18:46.073+03:00,"""Эксперт РА"" присвоило ПАО ""Россети"" рейтинг на уровне ruАAA со стабильным прогнозом {$FEES}"
2024-04-12T13:14:50.823+03:00,"{$FEES} Ребята подскажите пожалуйста может я не прав, но если мы освобождаем территории Украины, а там отсутствуют генерующие станции, то мы в любом случае в будущем воспользуемся сетями, чтобы проложить путь энергии для возобновления подачи электроэнергии на новые территории, а это тысячи километров. Так ли?"
2024-04-12T12:55:42.170+03:00,"🛢 {$FEES} #нефть
 Россети обеспечили внешнее энергоснабжение Ковыкты
🔹 Реконструирована подстанция 500 кВ ""Усть-Кут"", построены две линии электропередачи протяженностью 518 км.
🔹 ""МЭС Сибири"" завершил строительство энергетической инфраструктуры для Ковыктинского месторождения ""Газпрома"".
🔹 В ходе строительства также созданы два спецперехода через реку Лену.
🔹 Подстанция ""Усть-Кут"" расширена для подключения новых линий, установлены ячейки с разъединителями и выключателями российского производства.
🔹 Ковыктинское месторождение с запасами газа 1,8 трлн кубометров стало опорным для Иркутского центра газодобычи в декабре 2022 года.

➡️ подписывайтесь на @newsignals_ai
⚡ важные новости без задержек"
2024-04-12T12:51:09.958+03:00,"{$FEES} это дно вообще расти будет, уже -3,11% по ней за пару дней((( печаль"
2024-04-12T12:46:48.390+03:00,"{$FEES} {$GAZP} 
«Россети» обеспечили внешнее электроснабжение Ковыктинского месторождения «Газпрома» в Иркутской области. Энергетики выполнили реконструкцию подстанции 500 кВ «Усть-Кут» и осуществили строительство двух линий электропередачи общей протяженностью 518 км. 
_ _ _
Ковыктинское газоконденсатное месторождение — крупнейшее на Востоке России по запасам газа. Является базовым для формирования Иркутского центра газодобычи и ресурсной базой для газопровода «Сила Сибири» наряду с Чаяндинским месторождением в Якутии."
2024-04-12T12:27:19.594+03:00,"Россети обеспечили внешнее электроснабжение Ковыктинского месторождения {$FEES} 

Энергетики выполнили реконструкцию подстанции 500 кВ ""Усть-Кут"" и осуществили строительство двух линий электропередачи общей протяженностью 518 км"
