time,text
2024-04-13T15:28:46.300+03:00,"{$FESH} подскажите, пожалуйста, когда у них отчетность , дата может быть точная известна?"
2024-04-13T15:18:04.470+03:00,"Анализ Акций по вашему запросу
ДВМП и Астра

ДВМП {$FESH} (1скрин)
Цена не смогла преодолеть поддержку в виде уровня со значением 90.51 и в случае успешного закрепления выше данного значения появится возможность протестировать следующий сильный уровень сопротивления 105.35. 

Астра {$ASTR} (2скрин)
Цена подходит к сильному уровню поддержки в виде наклонной трендовой линии красного цвета. В случае успешного закрепления выше значения 601.90 появится возможность протестировать сопротивление 705.50.

Индекс относительной силы находится ниже уровня 50, что говорит о возможности продолжить нисходящее движение. Перекупленности нет. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-13T14:43:59.041+03:00,{$FESH} когда ракета ?
2024-04-13T13:05:05.598+03:00,"{$FLOT} {$FESH} 
Вооруженные силы Ирана взяли под контроль корабль возле Ормузского пролива с помощью вертолета.

Associated Press сообщает, что захваченный контейнеровоз ARIES частично принадлежит израильскому бизнесмену Эялю Оферу"
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T09:44:51.690+03:00,"Грузооборот портов России по итогам января-марта текущего года сократился на 1,7% до 220 млн тонн. 

При этом порты Балтийского бассейна нарастили перевалку контейнеров в первом квартале 2024 года в 2 раза до 409 тыс. TEU. Оборот Азово-Черноморского бассейна вырос на 7% к уровню годом ранее до 278 тыс. TEU. Контейнерооборот прочих бассейнов остается в минусе: Дальневосточный (-3,5%), Арктический (-7%), Каспийский (-33%).

Перевалка наливных грузов упала на 1% год к году до 116 млн тонн, сухих – на 2,5% до 104 млн тонн. В разрезе портов: Балтийский (+4%), Каспийский (+40%), Азово-Черноморский бассейн (-4%), Арктический (-4%), Дальневосточный (-5%).

{$FLOT} {$NMTP} {$FESH} {$NOMP}"
2024-04-13T07:18:40.484+03:00,"{$FESH} ждём роста, уже есть хороший плюс, но ТП выставил на цене 102, хотя можно и попробовать на 104 выставить."
2024-04-12T23:38:20.751+03:00,{$FESH} Феско - прям молодцом в такую то пятницу вечерком !!! Пальцы крестом :)
2024-04-12T23:29:49.647+03:00,"{$FLOT} {$FESH} 
Действия США - главный риск для потребителей нефти в планируемом военном ответе Ирана Израилю. Если Иран таки ударит по Израилю, как предполагают Штаты, а США не послушают Иран и впишутся в конфликт, то риски перекрытия Ормузского пролива растут в прогрессии. Вот тогда и поступит ответ на главный вопрос: понянут или нет."
2024-04-12T20:57:13.669+03:00,"{$FESH} ну как так можно, су.. а.. Опять её гонят  в жо... 800, 1600, 800 даже не шифруются, слов нет, ММ гандо..."
