time,text
2024-04-13T15:31:54.699+03:00,"Снова здрасьте! 
Брокерский счет составляет 1093398₽. Разница с прошлой неделей составляет +17000₽
Еженедельное пополнение на 7500₽
Также пришли дивиденды {$NVTK} 2028₽

Покупки на этой неделе:
•Новичок в моей команде {$SNGSP} 300 акций 20412₽ (понимаю что дороговато и еще не понятно будут ли дивиденды, но все мы ждем надеемся и верим. Размер дивов космический 18% прогнозируют, но взял я не только по этой причине, также ожидаю ослабление рубля к доллару. Как защитный актив от девальвации рубля+дивидендная история=welcome!!!

•{$NVTK} 2 акции 2575₽ (практически реинвестировал, то что получил с дивов. Добрал эту компанию до отметки в 50 акций и сей час эту историю временно ставлю на паузу. Жду хороших новостей и новых драйверов, либо нового дна🤪)

•{$TCSG} 3 акции 9394₽ ( докупаю по-немногу пока позиция в минусе)

•{$FLOT} 50 акций 6575₽ (вроде бы нашли они там иной путь транспортировки нефти: перегрузка с танкера на танкер в Омане. Думаю все будет впорядке и жду дивидендов)

•{$TATN} 3 акции 2130₽ (увеличиваю долю, а то менее 1% в портфеле)

•{$CHMF} 3 акции 5509₽ (С компанией все хорошо, дивиденды утверждены. Жду. Цены уже высокие)

•{$TGLD} 88 лотов 797₽ (смотрю цены на золото  и плачу🥺 вспомнил легендарную игру Warcraft 3 - «где работяги твердят нужно больше золота!», так что за мной не повторять😂)

Впервые поучаствовал в IPO {$ZAYM}  (из 20000₽ мне всего выделили 10 акций на сумму 2350₽🤷🏾 На данный момент небольшой минус)

Остаток свободного кеша 17687₽ вложу на следующей неделе!

#ИндексIMOEX к концу недели закрылся на отметке 3456 пунктов. Коррекцией и не пахнет. На следующей недели вероятно покорим отметку в 3500 пунктов. 

#BRENT на неделе цена на нефть превысила 92,5$ впервые с октября 2023 и 12 апреля 2024 закрылась на 2,17% ниже, 90,5$. Цены на нефть растут в ожидании перебоев с поставками на Ближнем Востоке.

#XAU золото продолжает обновлять исторические максимумы: $2423 за унцию. Но так же 12 апреля отскочила вниз и закрылась на отметке в $2343 (-3,41%).

#BTC с $70905 упал более чем на 7%, $66514.

#Антончик_инвестирует"
2024-04-13T15:14:12.774+03:00,"Анализ Акций по вашему запросу
Россети и Совкомфлот

Россети {$FEES} (1скрин)
Классическая схема пробоя наклонной и ретеста сверху. Что, собственно, сейчас и происходит.
Возможно увидим акцию чуть ниже, в указанном диапазоне. Оттуда уже вполне вероятно можем стартануть на перехай.

Совкомфлот {$FLOT} (2скрин)
Вплотную подобрались к нисходящей трендовой линии. 
Пробой будет осуществляться с объемом, а если закрепимся выше, то с ретестом актуальны длинные позиции.

Напомню, что в большинстве случаев сначала ретест происходит на меньшем тайфрейме, а потом уже на дневке. Поэтому точек входа может быть две. Не иир. Хорошего вам дня!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-13T14:44:33.125+03:00,"{$NGJ4} {$FLOT} {$NVTK} {$GAZP} {$EURRUB}  Канцлер, который войдёт в историю :)"
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T14:06:47.220+03:00,"{$FLOT}
В прошлом году флот дал рекомендации по дивам 12 апреля, ждём, верим что в этом году это произойдёт на след неделе)"
2024-04-13T13:05:05.598+03:00,"{$FLOT} {$FESH} 
Вооруженные силы Ирана взяли под контроль корабль возле Ормузского пролива с помощью вертолета.

Associated Press сообщает, что захваченный контейнеровоз ARIES частично принадлежит израильскому бизнесмену Эялю Оферу"
2024-04-13T10:08:41.737+03:00,"{$FLOT} ты то куда пошел, тебя уже называли."
2024-04-13T09:44:51.690+03:00,"Грузооборот портов России по итогам января-марта текущего года сократился на 1,7% до 220 млн тонн. 

При этом порты Балтийского бассейна нарастили перевалку контейнеров в первом квартале 2024 года в 2 раза до 409 тыс. TEU. Оборот Азово-Черноморского бассейна вырос на 7% к уровню годом ранее до 278 тыс. TEU. Контейнерооборот прочих бассейнов остается в минусе: Дальневосточный (-3,5%), Арктический (-7%), Каспийский (-33%).

Перевалка наливных грузов упала на 1% год к году до 116 млн тонн, сухих – на 2,5% до 104 млн тонн. В разрезе портов: Балтийский (+4%), Каспийский (+40%), Азово-Черноморский бассейн (-4%), Арктический (-4%), Дальневосточный (-5%).

{$FLOT} {$NMTP} {$FESH} {$NOMP}"
2024-04-13T09:39:42.337+03:00,"Россия стала лидером по поставкам нефти в Китай и Индию в феврале

Несмотря на все старания западных партнеров по ограничению российского экспорта нефти, Россия в феврале осталась лидером по поставкам нефти в Китай с долей в почти 21%, в Индии также была первым по объемам поставщиком, следует из апрельского доклада ОПЕК. 

Китайский импорт нефти в феврале составил в среднем 11,1 миллиона баррелей в сутки, что на 713 тысяч баррелей или 7% больше, чем месяцем ранее. По сравнению с февралем 2023 года закупки Китаем нефти выросли на 493 тысячи баррелей в сутки, или около 5%.

Что касается импорта нефти по источникам, то, по данным Kpler, доля России в общем объеме индийского импорта нефти в феврале составила 33%, за ней следуют Саудовская Аравия с 19% и Ирак с 17%

Конечно, считается, что стратегическим партнерам нефть продается со скидкой, причем неплохой. Хотя тот же Bloomberg пишет, что российская нефть марки Urals стоит около $75 за баррель, что примерно на $15 выше предельной цены в $60, установленной G7. Так что можно сказать, что торговля идет не в убыток себе. На этой неделе Минфин сообщил, что объем доходов федерального бюджета в первом квартале 2024 года составил 8,7 трлн руб., что на 53,3% выше показателя за аналогичный период 2023 года. При этом ненефтегазовые доходы в первом квартале составили 5,7 трлн руб. (+43,2%), соответственно, нефтегазовые – 3 трлн рублей, и тоже с неплохим ростом. А тем временем Bank of America прогнозирует рост цен на нефть в этом году на 23% к текущим котировкам до $112 за баррель.

{$FLOT}"
2024-04-13T00:52:04.661+03:00,"Какая из ракет 🚀 будет лететь Выше ? А какой суждено упасть? Вы все знаете, что я профессионально провожу каждый теханализLDVR а главное – сверхточно 🔮✨

Предлагаю Вам выбрать в комментариях, кого я разберу в следующий раз, но, есть 2 условия 👇

Во-первых, выбирать можно будет только из списка лидеров худшего движения за эту неделю из индекса мосбиржи:

📈 Озон -1.2% {$OZON} 
Аэрофлот -1.0% {$AFLT}  
Мечел -1.0% {$MTLR} 
Газпром -0.9% {$GAZP} 
Тиньк -0.7% {$TCSG} 
Самолет -0.6% {$SMLT}  
РусАгро -0.6% {$AGRO}  
ИнтерРАО -0.6% {$IRAO} 
СовкомФлот -0.5% {$FLOT}  
Мтс -0.4% {$MTSS}  
Юнипро -0.4% {$UPRO}  
Мосэнерго -0.3% {$MSNG}   
Ммк -0.3% {$MAGN}  


Во-вторых, разборов будет столько, сколько десяток ракет 🚀 Вы наберёте в реакциях на этом посте:

Будет 10 ракет 🚀 – будет один разбор.
Будет 23 ракет 🚀 – будет два разбора.
Будет 130 ракет 🚀 – разберу все 13.
Не забудь подписаться, чтобы не пропустить пост!

Жду ваших комментариев, разборы будут у меня в Профиле и на Ютубе, поэтому, подписывайтесь, чтобы не пропустить пост 😌 #ТОПнедели"
2024-04-12T23:29:49.647+03:00,"{$FLOT} {$FESH} 
Действия США - главный риск для потребителей нефти в планируемом военном ответе Ирана Израилю. Если Иран таки ударит по Израилю, как предполагают Штаты, а США не послушают Иран и впишутся в конфликт, то риски перекрытия Ормузского пролива растут в прогрессии. Вот тогда и поступит ответ на главный вопрос: понянут или нет."
2024-04-12T22:25:15.944+03:00,{$FLOT} интересно с текущих?
2024-04-12T20:52:16.117+03:00,"{$FLOT} Иран предупреждает США, чтобы они держались подальше от войны с Израилем или подвергнутся нападению на их войска.
Об этом пишет Axios (американский новостной сайт). 
Согласно информации издания, Тегеран передал Вашингтону сообщение, что при вмешательстве США в конфликт между Израилем и Ираном американские силы в регионе будут атакованы.
CBS News сообщил, что Иран  в ближайшие дни может атаковать Израиль сотнями дронов и десятками ракет.
АFP тем временем сообщает, что США перебрасывают подкрепление на Ближний Восток в ожидании атаки Ирана на Израиль.

Цены на нефть, газ и золото взлетят, и некое государство падет к ногам победителя, но победитель окажется не тот!"
2024-04-12T19:34:20.730+03:00,"Начался мой путь к 0 на бирже после глупости на Яндексе с озоном) 

Открыл аккуратные шорты по {$OZON} закрыл все в небольшой плюс. По цене 3700. Думаю сходим еще ниже, на следующей недели отторгуют думаю до района 3600, буду смотреть по ситуации.

{$BANE} часть позиций Лонг так же закрыл в +. Оставил часть на дальнейший рост. Думаю на рублей 200-250 еще вырастем

{$MAGN} жду так же роста, буду закрывать позиции в районе 64 рублей.

{$MGNT} в рамках дня купил по 7945, мог закрыться на 8000, но забыл поставить тейк. Закрыл в плюс, но все же обидно немного. 

 {$FLOT} взял на среднесрок, тейк на 180 поставил. 

{$ZAYM} участвовал в ipo. Тоже долго думал, смотрел на показатели, часть не большая у меня его, долго в ней сидеть не буду, в течении 2 недель думаю продам

{$NVTK} попытался отторговать, но что то после утреннего запрыга не удержался и пошел вниз под вечер, закрыл в небольшой минус.

Всем добра и плюса, надеюсь дорога к 0 все-таки удастся 🫡"
2024-04-12T19:09:03.171+03:00,{$FLOT} надеюсь не одной свечой…💀
2024-04-12T19:07:57.850+03:00,{$FLOT} мне кажется сейчас обвал будет… может лимитку поставить🥲🥲
2024-04-12T19:07:15.371+03:00,{$FLOT} летим вниз?)))
