time,text
2024-04-13T15:41:42.888+03:00,"{$GAZP} смысл сидеть с катлетой, когда нет движа, раздели и торгуй 🤔🧐😆"
2024-04-13T15:16:11.056+03:00,"{$GAZP}  папира  на отдыхе 😉до пониделника, восходящий тренд 🧐🤔✅✅✅"
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:44:33.125+03:00,"{$NGJ4} {$FLOT} {$NVTK} {$GAZP} {$EURRUB}  Канцлер, который войдёт в историю :)"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:39:41.129+03:00,"{$GAZP}
Акции Газпрома демонстрировали сигналы в пользу дальнейшего падения, что может указывать на возможность входа в позицию на уровне 158 рублей за акцию. Этот уровень выглядит как сильная поддержка, и после его достижения ожидается отскок.

Точкой выхода из позиции может быть уровень 170-220 рублей за акцию, где ожидается рост цен в соответствии с позициями трейдеров на срочном рынке. Это дает потенциал для прибыли в размере от 3% до 33%.

Важно:
Прогноз основан на техническом анализе и не является гарантией.
Перед принятием торговых решений необходимо провести фундаментальный анализ компании.
Не является индивидуальной инвестиционной рекомендацией!"
2024-04-13T14:09:09.090+03:00,"{$GAZP}  Подскажите, кто пользуется услугами Сбера. Открыл счёт и сразу решил проверить вывод, в итоге заявка принята, срок исполнения 11.45 15. 04. Два дня на вывод?"
2024-04-13T14:03:18.572+03:00,"Яндекс {$YNDX}  с конца мая находится в состоянии боковой коррекции. В тоже время неудачная попытка пробоя линии дневной скользящей и последующее движение над ней, а также формирование 5-ти дневной конструкции ""Треугольник"", указывают на возможность возобновления восходящего тренда с обновлением дневных максимумов.

По итогу пятницы котировки формируют концентрацию над часовым индикатором что способствует началу реализации конструкции в течении торгов новой сессии.

Ближайшей целью выступит коридор цен 4100 - 4150 руб., дальней целью - цена 4300 руб.


Сбербанк {$SBER}  не смог закрыть торги выше цены 308 руб., что на фоне негативного сочетания крайних двух дневных свечей, а также игнорирования линии часового индикатора, будет способствовать снижению в понедельник к цене 305,5 руб., около которой проходит восходящая линия поддержки, параллельно являющаяся линией шеи в потенциальной конструкции ""Голова и плечи"".

Как уже было описано во вчерашнем посте с разбором Сбербанк, при негативном варианте с реализацией данной конструкции, котировки рискуют снизиться к цене 301,5 руб., около которой проходит дневной уровень поддержки.


Сургут обычка {$SNGS}  в течении новой недели имеет шанс на начало движения в коридор цен 34 - 34,5 руб., в районе которого установлены дневные максимумы октября прошлого года. 

Технически на это указывает наличие конструкции ""Треугольник"" и закрепление над линией часового индикатора по итогу торгов пятницы.


ГАЗПРОМ {$GAZP}  вторую неделю торгуется около своих ближайших дневных максимумов. В результате чего котировки формируют конструкцию ""Восходящий треугольник"". 

Текущее формирование часовой концентрации около верхней линии конструкции способствуют её дальнейшей реализации в результате чего котировки могут отрасти к дневному уровню сопротивления, который проходит около цены 169 руб. 

Аэрофлот {$AFLT}  смог обновить свои прошлые дневные максимумы. В тоже время сессию котировки закрывают коррекцией в результате которой произошло новое закрепление под линией часового индикатора.

Технически картинка вновь способствует снижению, где ближайшей целью выступит восходящая линия тренда, которая в моменте проходит около цены 49,7 руб.

Индекс #imoex продолжил торговлю около верхней границы дневного торгового коридора. Я думаю что при отсутствии дополнительного позитива, российский рынок в течении новой недели перейдёт к фазе коррекции нижней границей которой может выступить цена 3400 руб.

Закрытие текущей вечерней сессии под линией часового индикатора увеличит шансы на описанный выше сценарий.

Источник: Тех. Анализ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #теханализ"
2024-04-13T13:52:39.359+03:00,"{$GAZP} 
Небольшой разбор по отчету за 2023 год и размерам дивидендов 
Основные показатели , такие как выручка и прибыль  снизились .
Так же удалось сократить немного и расходы.
По дивидендной политике компания может выплатить по 20-22 рубля на акцию уже этим летом и более 20 рублей в последующие годы .( ориентировочно дивиденды  могут быть уже в июле этого года )
Есть небольшие проблемы с растущим долгом , но это все не существенно.
Для меня остается самой недооцененной компанией из большой пятерки . Многие инвест-агентства прогнозирую цену в диапазоне от 190-200 рублей , то есть + 20% процентов уже в этом году ."
2024-04-13T13:52:37.833+03:00,"{$SOFL} {$GAZP} котировки идут вровень, откого ждать сюрприза в понедельник."
