time,text
2024-04-13T15:37:46.716+03:00,{$AGRO} {$GCHE}  Первая партия невинно убиенных пятачков прибыла в Поднебесную.
2024-04-13T11:12:01.395+03:00,"Заходите в профиль подписывайтесь 🥝 🥝 🥝 
На следующей неделе нас ожидают #корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК
 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
 {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T10:42:14.788+03:00,"📈 Внимание, инвесторы и финансовые энтузиасты! На следующей неделе нас ожидает насыщенная агенда ключевых событий на рынке акций. Вот что вас ждет:

🗓 ПОНЕДЕЛЬНИК, 15.04.2024:
💰 {$AKRN}: Компания Акрон объявит свои рекомендации по дивидендам. Держите руку на пульсе!

🗓 ВТОРНИК, 16.04.2024:
🤐 {$FIVE}: X5 Retail Group представит операционные результаты за первый квартал 2024 года. Обязательно стоит обратить внимание!

🗓 СРЕДА, 17.04.2024:
😄 {$LSRG}: Группа ЛСР анонсирует ВОСА по дивидендам за 2023 год на уровне 100 рублей на акцию.
😏 {$LIFE}: Фармсинтез проведет ВОСА по вопросу допэмиссии акций.
🧩 {$PMSB}: Пермэнергосбыт обсудит распределение прибыли и выплату дивидендов за 2023 год.
☺️ {$EUTR}: «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты, при этом последний день акцепта – 17 апреля.

🗓 ЧЕТВЕРГ, 18.04.2024:
🚂 $POS I: Группа Позитив объявит последний день с дивидендом в размере 47,3 рублей на акцию.
💨 {$TGKN}: ТГК-14 рассмотрит вопрос дивидендов за 2023 год.
🔨 {$TRMK}: ТМК также обсудит вопрос дивидендов за 2023 год.
🫤 {$MGKL}: Мосгорломбард поднимет вопрос дивидендов за 2023 год.

🗓 ПЯТНИЦА, 19.04.2024:
😏 {$GCHE}: Группа Черкизово проведет последний день выплаты дивидендов за 2023 год в размере 205 рублей на акцию.

Эта неделя обещает быть горячей для всех, кто интересуется инвестициями и финансовым рынком. Не упустите возможность обновить свой инвестиционный портфель или сделать стратегические шаги, основываясь на последних новостях и аналитике! 

#инвестиции #финансы #дивиденды #рынокакций #финансоваянеделя"
2024-04-13T10:40:34.382+03:00,"След. Неделя. События.

15.04.2024 - ПОНЕДЕЛЬНИК
💰 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
🤐 {$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
😄 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
😏 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
🧩 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
☺️ {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
🚂 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
💨 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
🔨 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
🫤 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
😏 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) .

Пожалуйста!"
2024-04-12T09:08:27.629+03:00,"Среди наиболее ликвидных бумаг только {$PLZL} осталось в ТОП-12 акций по итогам 11 апреля🚀

№	Акция	% за День*      % Общий**
1	{$SPBE}          	5,24          	8,0
2	{$ROLO}         3,87          	3,9
3	{$PLZL}          	3,26          	3,3
4	{$HNFG}        	3,05          	3,1
5	{$BSPB}          	2,53          	2,9
6	{$GLTR}          	2,25          	4,0
7	{$SELG}          	2,15          	2,2
8	{$GCHE}        	1,86          	1,9
9	{$OGKB}         	1,75          	2,9
10	{$IRAO}          	1,49          	1,9
11	{$EUTR}          	1,31          	1,3
12	{$DVEC}         	1,27          	4,5
* прирост цены за последний торговый день, %
** непрерывный прирост цены со дня первого закрытия акции в ""+"", %

#ТОП12
#пульс_оцени"
2024-04-11T22:35:40.151+03:00,"ЕЩЁ РАЗ НАПОМИНАЮ, что не надо  смотреть на рост акций без привязки к сырью и отчётам, заходить в ракету не зная почему ракета, тоже не стоит, примеры:
{$PLZL} {$SELG} {$UGLD} растут очень быстро потому что ЗОЛОТО в долларах сейчас на максимальных значениях за все годы, хаи то есть🚀
Нефтяники {$SIBN} {$LKOH} {$TATN} {$SNGSP} {$NVTK} будут расти на среднесроке если будет расти нефть, нефть выросла с 73$ до 90$ и рубль девальвироваться начал опять, значит нефтянка в рост пошла или пойдёт в скором времени😉
{$RUAL} начал расти, потому что алюминий начал расти сильно🚀
{$GMKN} начал расти потому что медь, платина, палладий, никель начали расти
{$FLOT} будет расти при девальвации рубля, потому что он получает валютную выручку
#русолово будет расти при росте олова на мировом рынке
{$AGRO} и {$GCHE} будут расти при росте свинины, говядины, сахара, пшеницы на мировых рынках
И другое
Не надо привязывать рост, где его не должно быть, смотрите сырье, валюту, продовольствие, продукты переработки😉 кому понравился пост, лайк, подписка, в тренд ленты👍"
2024-04-11T20:50:15.269+03:00,"Добрый день, дорогие друзья!  снова с вами золотой бобёр, и хочу извиниться за то, что меня не было так долго.

Отпуск такой отпуск😊

Я хотел бы напомнить вам, что 21 февраля я создал свой инвестиционный портфель с целью достичь 250 000 рублей к 2025 году. Я не знаю, с какой скоростью я достигаю этой цели, но мои результаты на сегодняшний день меня полностью устраивают.

В начале апреля я решил войти в рынок и купил акции $PLZL. В какой-то момент я вошел на самом высоком уровне, и цена начала падать. К счастью, я сохранил холодную голову и не стал продавать акции, что привело к хорошему плюсу более 18 000 рублей. Если бы я не входил и не выходил из позиций несколько раз, потенциал был бы больше, но лучше плюс, чем минус!

В итоге, с самого начала мой плюс к депозиту составляет 26,04%. Спасибо маржинальной торговле!

По портфелю:

- На вырученные средства я увеличил позиции в следующих акциях: Магнит – 1 штука 
Роснефть – 2 штуки, Транснефть – 2 штуки.

Портфель золотого бобра:

- {$BELU} – 1 штука +420 рублей,
- {$SMLT} – 2 штуки +294 рубля,
- Астра Групп– 5 штук -293 рубля,
- {$GCHE} – 1 штука +442 рубля, Дивиденды +205,38 рубля
- {$LEAS} – 5 штук +650 рублей,
- {$LKOH} – 2 штуки +1280 рублей,
- {$MGNT} – 3 штуки +796,5 рубля,
- {$MAGN} – 20 штук +76,21 рубля,
- {$NVTK} – 7 штук -344,19 рубля, Дивиденды +88,18 рубля
- {$ROSN} – 12 штук +228,61 рубля,
- {$SBER} – 30 штук +397,81 рубля,
- {$TATN} – 30 штук +867 рублей,
- {$TRNFP} – 8 штук +223 рубля,

Всем спасибо! Не ИИР. Удачной торговли, бодрого настроения и отличного дня!"
2024-04-11T16:26:54.559+03:00,"{$AGRO} {$NKHP} {$AFKS} {$GCHE} 
#Индия #МТК #Север_Юг
📈 Перспективы развития
экспорта российской продукции АПК на рынке Индии

Составитель: Дмитрий Краснов,руководитель Федерального центра «Агроэкспорт»"
2024-04-11T15:10:26.259+03:00,{$GCHE}
2024-04-11T15:04:44.671+03:00,{$GCHE} ракетим
