time,text
2024-04-13T12:28:56.650+03:00,{$GECO} я зашел на 53р и усреднил на 51р.
2024-04-13T11:23:27.766+03:00,"{$GECO} в этой шлачине абсолютно бессмысленная торговля в выходные. Ни стакана, ни объёмов. Ничего. Популизм"
2024-04-12T16:43:01.856+03:00,{$GECO} 🚀🚀🚀
2024-04-12T15:28:29.114+03:00,"{$GECO} Дело идёт медленнее, чем я рассчитывал, но цель всё такая же, 57. В лонг можно увидеть и 60"
2024-04-12T10:40:55.980+03:00,"{$GECO} уже третья попытка закрепиться выше 50 , но двигаемся в канале, если все будет продолжаться в том же духе , планирую зафиксировать часть позиции по 55, очень долго все тянется 🤦‍♂️"
2024-04-12T10:06:22.736+03:00,{$GECO} не сегодня
2024-04-12T09:31:03.697+03:00,"Доброе утро, коллеги. Вот и пятница. Вчера день был таким нудным , что ужас, даже вечерний пост не писал, так как сказать было нечего)) весь день стояли , утром пару торгов и все, но день закрылся в 0. 
В портфеле держу {$SFIN} пока наблюдаю дальше 
{$VKCO} так же держу и наблюдаю дальше
{$SVAV} вчера прикупил, но из за того что на рынке не было ликвида 3 раза не смог продать в плюс. Оставил 
{$GECO} пока в боковике , держу дальше
По индекс все так же, торгуемся внутри цикла , ничего нового увы. Рынок перегрет. Акции пеоеуплены, а остыть не дают. 
Буду наблюдать сегодня за {$ASTR} {$MTSS}"
2024-04-11T18:13:04.763+03:00,"Анализ Акций по вашему запросу
Генетико и Русал

Генетико {$GECO} (1скрин)
Тренд растущий.Цена не смогла преодолеть поддержку в виде наклонной трендовой линии красного цвета, что говорит о силе покупателей.
Индекс относительной силы находится выше отметки 50(говорит о возможности продолжить рост). Перекупленности нет, поэтому запал рост еще имеется.

Русал {$RUAL} (2скрин)
Цена поеодолела сопротивление в виде верхней границы восходящего канала.
И закрепилась.На данный момент сильным уровнем поддержки выступает отметка 40.035 Согласно Коррекции Фибоначчи возможен ретест зоны для входа.

Индекс относительной силы находится в зоне перекупленности (говорит о возможности отработки сценария). Поэтому с лонгами я пока не тороплюсь. Не иир. Хорошего вам вечера!)
❤️В профиле дал список акций с потенциалом роста 50%. Подпишись"
2024-04-11T17:48:51.594+03:00,{$GECO}  ))) как аккуратно потрогали
2024-04-11T13:26:20.092+03:00,"#отэмитента 🧬

ЦГРМ Генетико {$GECO} — инновационная компания в сфере медицинской генетики с сервисом в области генетической диагностики, профилактики и разработки новых препаратов для лечения редких (орфанных) заболеваний 🔬  

В портфеле разработок компании тест-системы пренатального скрининга беременных, преимплантационного скрининга при ЭКО и генетического профилирования опухолей 🩻

Якорным инвестором и индустриальным партнёром, инвестировавшим более миллиарда рублей в направления компании является Артген {$ABIO} (бывш. ИСКЧ) 🧬

В недавней статье компании можем найти инфографику, демонстрирующую, что доля российских рожениц старше 35 лет за менее чем 10 лет выросла на 9,4 п. п. — с 11% до 20,4% (сейчас, определенно, еще выше). Кроме того, число родов с 2014 г. неуклонно снижается 🤱"
2024-04-11T11:12:47.297+03:00,{$GECO}  проверим
2024-04-11T09:24:53.449+03:00,"Доброе утро, коллеги. Сегодня утром немного порисовал на графике индекса , обновил чутка анализ, в принципе пока что вижу так... ( смотреть на картинку)
В портфеле со вчера перенсеь {$SFIN} 1650 удержали , это хорошо. Жду импулься до 1680-1700
{$UWGN} вчера не удержался и взял немного поглядим что будет. 
{$EUTR} вроде как пытаемся нарисовать ПГИП , пока что все к этому идет, осталось дорисовать плечо вверх. Посмотрим что выйдет в итоге. Позу держу , вчера перезаходил, надо прокол дать 260 вверх и закрепится обратно.
{$VKCO} не знаю почему держу, чисто ради интереса, но акция стала слишком нудной 
{$GECO} держу дальше, хочется все так и 60 увидеть, все шансы есть 
Рынок слишком перегрет, надо остыть, по хорошему надо дать 3370-3350 и дальше в рост , не люблю такой рынок, индекс растет, большинство акций стоят из за перекуплености. Кароче шлак ))"
