time,text
2024-03-01T10:21:11.211+03:00,"Инвестиции это просто говорили они, почему весь мой портфель идёт на дно, штош докупаю {$GEMA} по 193.8 👑"
2024-02-28T04:14:00.361+03:00,{$GEMA}
2024-02-14T18:54:46.017+03:00,{$GEMA} интересно сколько они теперь будет дивиденды платить
2024-02-13T02:36:14.213+03:00,{$GEMA} как думаете завтра откроется ?
2024-02-08T17:37:59.097+03:00,{$GEMA} Какие мысли по сегодняшнему событию? Акций на продажу в стакане даже не осталось 😁
2024-01-31T11:24:38.035+03:00,{$GEMA} почему нельзя купить?
2023-12-21T22:57:54.259+03:00,{$GEMA} для себя
2023-12-13T18:16:49.767+03:00,"{$GEMA} Гемабанк³
Цена: +0.2% (988.5 ₽)
🟩🟩Объём: 1.5M ₽ (1.5K лот)
Покупки: 87%, Продажи: 13%
За день цена: +2.92%
Объём: пок. 3.3M ₽, прод. 582.2K ₽
2023-12-13 18:14"
2023-08-11T12:15:09.118+03:00,{$GEMA}
2023-07-25T12:34:06.586+03:00,{$GEMA} пришли дивиденды))
2023-05-18T22:21:58.652+03:00,{$GEMA} Одна из дочек {$ISKJ} на рынке.
2023-05-02T15:06:51.929+03:00,{$GEMA} 👀
2023-04-10T14:02:00.256+03:00,{$GEMA} не всем можно купить?
2023-03-23T18:52:46.807+03:00,"{$GEMA} Не могу купить , кто знает почему?"
2023-02-24T01:17:24.876+03:00,{$GEMA}
2023-02-17T18:32:11.411+03:00,{$GEMA}
2023-02-16T17:25:11.532+03:00,{$GEMA}
2023-01-31T00:00:37.357+03:00,{$GEMA} Гема-банк (для себя)
2022-11-26T10:11:09.394+03:00,"Вчера (25 ноября) впервые за достаточно долгое время пополнился список акций, котируемых на Мосбирже — в третий уровень листинга включили компанию Genetico, про IPO которой говорили минимум с прошлого года, тикер {$GECO}.


На довольно нешироком рынке публичных эмитентов РФ, тем более на фоне последних тенденций, претендует на событие)

Сейчас, напомню, на всех уровнях листинга на Мосбирже всего 260 акций (не считая иностранные с суффиксом RM).

Кстати, на последней конференции НАУФОР, Ирина Кривошеева, гендиректор УК Альфа-Капитал, тоже приводила эти цифры в сравнении с дореволюционной биржей России конца XIX и начала XX веков:
в 1893г  торговались акции 853 компаний, в 1913 — 4081, а речь шла про то, что сейчас из публичных эмитентов фондам особо и торговать нечем))


20 октября состоялась государственная регистрация выпуска, точные условия IPO и дата начала торгов, насколько понимаю, пока неизвестны, но процесс очевидно идёт)

 
Также есть шансы, что компания попадёт в сектор РИИ, более того, в льготный список, как и сам ИСКЧ (ЛДВ год, а не стандартные три).

Правда, не факт, что даже после IPO компания будет доступна в ТИ — для других компаний группы пока счёт 1:1 ({$ISKJ} доступен, а {$GEMA} как бы не совсем)).

Ещё у эмитента есть выпуск облигаций 2020 года объёмом 145М (RU000A101UL7), сейчас кстати торгуется даже выше номинала — по 102%, но тут он недоступен вообще наглухо)"
2022-07-06T10:48:35.013+03:00,"{$GEMA}  есть ещё, кто дивиденды платят, в столь непростое время)  пришли)"
2021-11-10T13:40:56.553+03:00,{$GEMA} чего так в верх рванула?
2021-10-15T13:54:07.938+03:00,{$GEMA} {$TCS} {$TSLA} что скажете про гемабанк?
2021-10-13T16:06:32.327+03:00,{$GEMA}
2021-10-13T15:53:04.900+03:00,{$GEMA}
2021-10-13T15:19:36.135+03:00,{$GEMA}  для себя
2021-10-13T15:10:51.876+03:00,"{$GEMA} {$TCSG} ребята, а вы слышали про такую акцию Гемабанк? И почему не нельзя найти в поиске?"
2021-10-13T15:06:39.739+03:00,{$GEMA}
2021-08-08T18:11:42.092+03:00,{$GEMA} кто то может подсказать когда планируется выплата дивидендов?
2021-07-06T21:37:54.399+03:00,{$GEMA} может быть интересно
2021-06-15T11:21:34.329+03:00,{$GEMA}
2021-06-05T11:24:51.029+03:00,"{$GEMA} чтобы не потерять , для себя пишу"
2021-06-01T14:16:30.264+03:00,{$GEMA} сейчас дороговата после дивов опять припадёт?
2021-06-01T11:51:50.787+03:00,{$GEMA} для себя🌟
2021-05-29T01:32:57.268+03:00,{$GEMA} интересно почему при поиске тинькофф не выдаёт эту бумагу. Однако интересная компания с(к сожалению) очень низкой ликвидностью. Присмотрюсь к ней
2021-05-07T20:10:54.509+03:00,"{$GEMA} Ещё одна компания-призрак с хорошей идеей деятельности. Тоже неликвид.

Это дочка ИСКЧ, которая занимается хранением пуповинной крови и выделением из неё стволовых клеток, которые могут пригодиться при заболеваниях крови.

По текущий год платят дивиденды 4 раза в год. Как будет далее, пока не знаю. Не изучал подробнее. Финансовое состояние, на первый взгляд, хорошее."
2021-05-05T13:15:25.794+03:00,"{$GEMA} господа, вот, что попалось на глаза совершенно случайно. Есть мысли?"
