time,text
2024-04-13T16:36:13.361+03:00,{$GLTR} Хорошо бы брать его по 750
2024-04-13T16:23:46.942+03:00,"{$GLTR} как считаете ""дуракам"" сильно везёт? Подключил маржиналку.
Потренировался 1 неделю на 10000, вторую на 500000, вчера добрал, на 805 р были красивые числа. Хотел уйти. Не ИИР."
2024-04-13T14:11:55.718+03:00,"Торговый дневник MOEX. Неделя 16: 08.04. – 12.04.24

Что было на неделе.
Отчитались по МСФО 2023 г.: Globaltrans {$GLTR}, Магаданэнерго (MAGE), МГКЛ {$MGKL}, Славнефть-Янос (JNOS), АФК Система {$AFKS}, Ozon {$OZON}, Позитив {$POSI}, Южный Кузбасс (UKUZ).

Globaltrans продолжаю держать, доля не изменилась, остальное вне моего портфеля.

Плюс отчитался в конце прошлой недели ЦМТ (WTCM). Бумага проходит в портфель по цифрам. Начал набор позиции ЦМТ п (WTCMP).

Кроме того, поучаствовал в ППР компании Займер {$ZAYM}, распределение составило 13% от заявки, докупил на открытии по цене размещения. Бумага проходит в портфель по цифрам, буду держать. 

Итого в портфеле сейчас 18 акций.

В портфеле осталось 3 компании, которые еще не отчитались за 2023 г. по МСФО: Сургут, ДВМП и АМЗ.

Сделок по продаже бумаг на этой неделе не было, таблица без изменений. Потихоньку наращиваю позицию в бумагах в соответствии со своей стратегией."
2024-04-13T13:26:48.738+03:00,"Результат за две недели ~ 738667 рублей (39% к депозиту) .   
 
{$LSRG}  «Спасибо Этому Дому Пойду К Другому» 
 Набрал позицию по 930 рублей и планировал сидеть до дивидендов , а остальными средствами спекулировать .   Когда цена была 930 рублей кто то «Переливал -  передавал» между собой , незаметные айсберги - любой пролив тут же откупали роботом  

По текущим пошла раздача что набрана снизу и поэтому я решил закрыть позицию +21% ~ 500 тысяч рублей . 

Позицию восстановлю после охлаждения индекса в районе 1000-1050

{$GLTR}  Держал позицию в 5000 лотов со средней 690 за 11 дней до отчета  . Выкладывал таблицу что БКС крупно шортят эту акцию перевес был 1 Лонг на 10 шортов и сам не поверил что вынос будет такой сильный и быстрый  . Позицию закрыл быстро и немного пожалел ~ Результат 151 тысяча

{$PIKK} Очень странные движенения происходят , Одновременно давят вниз чтоб набрать шорты , а так же подставляют плиты кто разом выкупает по 10-15 тысяч лотов 
 Физики шортят  - Юрики Лонгуют . 
Сидел неделю в позиции - Результат ~ 124 тысячи 
 На следующей неделе буду следить за Данной акцией 

{$BRK4} Брал  под конфликт Израиль - Иран  по 90,15 , а сдал   по 92,21 ~ Примерно 80 тысяч рублей 
Взял снова позицию по 90,88 .  Новой горячей точке может не быть , но я ожидаю ограничения на Ормузским пролив для некоторых стран. Это переставит котировки нефти на 93-94 
При цене нефти 94+ и выше вероятно что начнутся словесные интервенции со стороны ОПЕК+ о возможном выходе из добровольных ограничений"
2024-04-13T13:20:41.398+03:00,"Участвую в конкурсе от @Alex_Chep #я_выиграю_50000_рублей 

На бирже торгую менее года и моя самая прибыльная сделка на сегодня в процентном соотношении это покупка акций глобал транс {$GLTR} 

Более 30% прибыли. Купила мне её авто стратегия. 

Считаю эту сделку самой прибыльной и интересной. 

А самая убыточная у меня сделка это {$TRUR} всего 8% прибыли на сегодняшний день. 

Планирую инвестировать до старости, докупая позиции на просадках. 

Рекомендую принять участие в этом конкурсе @Vhtr и @sfhhwshb"
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T11:19:03.262+03:00,"В последнем выпуске ""Деньги не спят"" Ира с Васей разбирали {$GLTR} 🤓

Сошлись на том, мол ""бесперспективняк"" на этот и на следующий год. Да, не плохо отчитались, НО вагоны нужно обновлять, стоимость угля падает, бизнес не растёт, дивидендов в этом году не ждите...

Как итог - всё как-то негативненько у них, и идеи в бумаге не видят 🙅‍♂️

Я предлагаю вам своё более позитивное альтернативное мнение 👇

Идея в бумаге - это снижение дисконта в ней, который на сегодня составляет 50% от своих нормальных мультипликаторов. А они показывают, что компания оценивается примерно как в 2022 году, даже после роста котировок более чем на 150% 🤓

Произойти это может уже к сентябрю 2024 года. Именно к осени, я считаю, могут выплатить дивиденды 🤞

Моё понимание ситуации таково, что компания ХОЧЕТ заплатить и осталось только реализовать рабочую финансовую схему. И время до сентября вполне может хватить, чтобы успеть к своему традиционному периоду по выплатам, как это было раньше 🤞

И вот тут уже должна быть переоценка. Сколько тогда может стоить компания уже платящая дивиденды? 😉

Конечно же это не значит, что так будет, но все мои наблюдения за компанией и логика подсказывают, что это рабочий вариант. На него я и ставлю 🤞

А вы что думаете? И напишите, плиз, если уже надоели мои посты про Глобалтранс. А то мне кажется, что я слишком много про него пишу 🙃

Вот ссылочка с привязкой ко времени на шоу:
https://youtu.be/FHv2L91jwD0?t=4458

#идея 
#аналитика 
#дивиденды"
2024-04-13T11:05:47.218+03:00,{$GLTR} ахахаха)) чивоооо)) двумя лотами 6% вниз? 😂
2024-04-13T10:56:37.246+03:00,"{$GLTR} ребята, вы это видели?"
