time,text
2024-04-13T16:35:37.875+03:00,"{$GMKN} Целый день в пульсе пишут только про санкции и запреты , сколько уже можно этих запретов всё это временно , а вот если попробовать рассуждать на другую тему , тему сплита Норникеля , думаю что людей (инвесторов) у которых в кармане 1600 рублей больше чем когда надо 16000 р .на Лот акций ,  Так если на вскидку то раза в  три  потенциальных покупателей на акции теперь больше , тем более много сейчас говорят и пишут что частных инвесторов много на бирже . Извиняюсь за выражение ,,Толпа щас Норникель скупит ) ."
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T16:11:41.427+03:00,"#норка #норникель #норильский_никель
В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Обещанный обзор {$GMKN} и превращение его в ЛЕГЕНДАРНОГО ""ТИНОРОС"", то есть объединение норки + {$TCSG} + #росбанк
Гмк норникель добывает медь, палладий (1 место в мире 40% от мировой), никель (1 место в мире), платина (4 место в мире), золото, серебро, кобальт и другие цветные металлы, гигант на рынке мировом, САНКЦИИ поэтому так долго не вводят
ОТЧЁТ ЗА 2023 год к 2022 году
Добыча осталась на уровнях прошлых лет
Выручка выросла на 4%( в основном от девальвации рубля, акции норки хэдж от девальвации)
Операционная прибыль снизилась на 13% до 474 млрд
Чистая прибыль снизилась в 2 раза до. 210 млрд руб (долги компании в валюте, поэтому переоцены в сторону роста), но прибыль есть, это не убыток
Чистый долг 679 млрд руб
Рентабельность 48%, очень высокая!!!
ПЕРСПЕКТИВЫ: инвестиционная программа предусматривает увеличение добычи всех металлов более 25% к 2030 году, большие капексы в 2023 и 2024 предусматривают отдачу уже в 2025 году и далее
Покупка  ткс ИНТЕРРОСОМ предусматривает за собой ПРОДАЖУ драгоценных металлов через банк физикам и рост показателей, ТКС будут доить на дивы в скором времени для доходов ИНТЕРРОСА ПОТАНИНА, норникель занялся добычей лития и будет делать батареи для элетротранспорта совместно с РОСАТОМ,
литий тоже будет продавать в Китай и другие страны
МИНУСЫ: истёк срок соглашения мажоритарных акционеров ПОТАНИНА 37%  И ДЕРИПАСКИ 26.4%, поэтому дивиденды нестабильны, и врят ли будут в 2024 году, дальнейшее падение цен на металлы, САНКЦИИ не считаю минусом, а даже плюсом для компании
Объединение ТКС и НОРКИ считаю НЕВОЗМОЖНЫМ потому что ПОТАНИН не имеет контрольную долю акций, будет  просто доить на дивы тинек
Мой взляд на норникель позитивные,👍 цены на металлы на дне (платина, палладий) дальше только вверх на росте мировой инфляции🚀 докупаю норку на просадках, как и другие голубые фишки РФ {$NVTK} {$ROSN} {$TATN} {$SIBN} {$LKOH}  , санкции на норникель приведут к х2х3х4 на в цене на металлы, а сбыть такие ценные ресурсы не составляет проблем, тем более сейчас более 50% идёт уже в Азию👍 лайк, подписка, попадание в топ ленты #пульс"
2024-04-13T15:47:19.214+03:00,{$GMKN} а новые методички разве не с понедельника? 🤔 Что-то уже бред понесли.
2024-04-13T15:27:47.308+03:00,"{$GMKN}  не дрогнет русский инвестор💪 от запретов поганых,  Сибирь Енисей  и Север наши ! Удобная логистика Норникеля ( рядом порт Дудинка)о грузят куда захотят  , цены на сырьё сейчас вырастут и всё ! Сам запрет это для политики , по факту шило на мыло поменяли."
2024-04-13T14:58:45.442+03:00,"Итог недели 08 марта – 14 марта 

Понедельник: 10 000 руб.
#AGRO отмена дивидендов из-за технических проблем с выплатой. {$NLMK} СД по дивидендам сегодня, но пока ничего не объявили, возможно, на вечерке появится инфа, либо на днях. #TRMK СД по дивидендам 18 апреля. #AQUA проливы ловил. #ENPG разгоняют из-за роста цены алюминия. {$ALRS} СД по дивидендам 12 апреля. #UPRO за объемом зашел, а когда уже вышел вышла новость: Путин поручил до 1 июня представить предложения по господдержке организаций, имущество которых находится во временном управлении - кремль. {$MAGN} думал за НЛМК пойдет, но как-то вяло, поэтому вышел. #AFKS заходил на пробитие уровня, но как-то постоянно откатывали, поэтому выходил из позиции, потом зачем-то шортил, но ладно, убыток допустимый.

Вторник: 3 000 руб.
{$POSI} отчет шортанул, хоть в целом отчет хороший. {$OZON} шортил после отчета. #OGKB поймал выстрел после публикации: электростанции огк-2 в 1 квартале увеличили выработку электроэнергии на 19,1%, до 16,8 млрд квт.ч. {$ASTR} начали все писать про будущее SPO, только вот мне очень обидно, когда на конференции прямо заявили, что в будущем могут рассмотреть SPO, но реакция в тот была слабая. {$GMKN} гонят наверх после сплита, но пока заработать не получается. {$GAZP} красивая формация была, но потом вставили айсберг и движение заглохло.

Среда: 4 300 руб. 
RKKE в 12:00 был запланирован пуск ракеты, но что-то поломалось. {$BANE} шортил от уровня  3415. SGZH погасили облигации. #MGKL СД по дивидендам 18 апреля. {$SNGSP} подобрал на откате, но надо было смело сидеть дальше и забирать хорошее движение. $SCVB шорт на будущей допке для покупки банка. IRKT зашел объем. {$MTSS} быстрый шорт. #MVID в моменте заходил объем, но движение дальше не было. 

{$NLMK} рекомендовали дивиденды в размере 25,43 руб. на акцию, я в этом принимать участие не стал. На мой взгляд в рамках ожидаемого объявили размер дивидендов, поэтому принял решение просто посмотреть со стороны.

Четверг: -1 200 руб
#AQUA Производственное подразделение ""Инарктики"" в 2023 г. увеличило выручку на 18,5%, до 28,2 млрд руб. #OGKB, #LIFE и ##GRO в моменте заходил объем. {$GAZP} хороший уровень 166 рублей, пока еще в сделке, но есть определенные ожидания. LIFE Мишустин призвал  увеличить долю российских лекарств на рынке до 70% к 2030 г. {$ASTR} завтра истекает lock-up период.

Пятница: -500 руб
Очень много сделок, но движений нет... На вечерке многих {$VKCO} поразил.

Итог: 16 000 руб."
2024-04-13T14:36:06.088+03:00,"{$GMKN} Bloomberg: новые санкции против РФ не повлияют на продажу металлов
Запреты со стороны Великобритании и США на импорт алюминия, меди и никеля российского происхождения не помешают России продавать
ero. URA.Ru
Новые ограничения, скорее всего, повлияют на цены на LME. URA.Ru Великобритания, вслед за США, ввела ограничения касательно торговли металлами из
России. URA.Ru
По данным заявления американского Минфина, санкции против импорта российской металлопродукции в США не распространяются на поставки, которые были произведены до 13 апреля текущего года."
2024-04-13T14:19:05.214+03:00,"⚡️Еженедельный обзор и выводы по ключевым событиям

#новости, #новичкам, #акции, #пульс, #мнение, #идея, #портфель, #опыт, {$IMOEXF}, {$GMKN}, {$RUAL}

—————

👆Бóльшая часть информации из сми (слухи,новости) - запускается чтоб переполнить, отвлечь и поселить нужные мысли, вытащить эмоции (жадность, страх и др), посеять хаос и управлять человеком в итоге.

Здесь я собираю и ⚡️делаю вывод только по нужным для торговли событиям (по опыту). Перегруз лишней инфо только вредит. ⚡️Использовать данные выводы лучше только для долгосрочного портфеля.


—————

⚡️Россия

1. Управление по контролю над иностранными активами (OFAC) Минфина США ⚡️ввело запрет на импорт алюминия, меди и никеля российского производства. Из-за санкций Лондонская биржа металлов (LME) и Чикагская товарная биржа (СME) ⚡️не смогут пополнять запасы алюминия, меди и никеля за счет поставок из России.  ⚡️США не запретили импорт товаров из других стран, произведенных из указанных российских металлов.

⚡️Норникель (не под санкциями) по итогам 2022 г: на Европу пришлось 47% продаж компании, еще 15% — на Северную и Южную Америку, на Россию и СНГ — 8%. ⚡️В числе лидеров по производству алюминия в России и в мире — компания UC Rusal, которая также не включена в санкционные списки США. 

⚡️Эти российские компании ⚡️переориентируют поставки в дружеские страны и на внутренний рынок. ⚡️Держу эти компании в долгосрочном портфеле.

⚡️Цены на металы вырастут из-за таких мер США.

2. ⚡️Глава ЦБ РФ о застройщиках - что касается ситуации с застройщиками, мы смотрим за ней. В принципе они накопили неплохую финансовую подушку — цены росли и у них прибыль кратно выросла за четыре года . Мы считаем, что у них есть возможности для сокращения цен на жилье. Они могут это выдержать. ⚡️Это снизит прибыли застройщиков. ⚡️Негатив для акций застройщиков."
2024-04-13T14:08:49.057+03:00,{$GMKN} А почему никто не сливает ? Чего ждут?
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
