time,text
2024-04-13T15:56:16.318+03:00,"Хочу поделиться негативным опытом.
Я новичок и инвестициях, поэтому обжегся на сигналах инсайтеров в ТГ канале. По сигналу купил {$GTRK} с аналитикой, что вырастет на 15%. Сегодня продал, надежды иссякли. Больше на это не куплюсь."
2024-04-13T14:47:26.114+03:00,{$GTRK} на 30 идет?
2024-04-13T14:32:59.605+03:00,{$GTRK} rsi 27
2024-04-13T14:20:02.847+03:00,"{$GTRK} у меня - 13% 
В понедельник видимо будут ещё сливать. 
Но отрасти ведь она все равно должна 😅 
Кто с какой средней застрял ?"
2024-04-13T10:18:14.973+03:00,{$GTRK} https://forbes-ru.turbopages.org/forbes.ru/s/investicii/506932-gruzoperevozcik-globaltruck-prodast-cast-kuplennyh-v-ramkah-bajbeka-akcij?turbo_uid=AAAd0DYlj8VaZSpqhqUwd0Q5UEnieIkoaFXUOveRykIQv9xhXdLxx_y0yDKxfbizCEbQh5G2ooDfm5sp9Bq9OxN8xa6Lpyfqallc1Sd351yUfa8rGEttt6iMAaisnTgihg%2C%2C&turbo_ic=AAB6RA1nPuy1wuWWxtgaABa261lYwmbd0ZWiIR6sWAcKxYfsxf7SS1zxvGg3dQj9X5LDexsukO-f9tKKbLOCfXEr2nqaDH98f_-ZYPCI5g9qiARstfDSY0PqE1jSLg8A8A%2C%2C&sign=abe5d923bd3a90b622d89a71a7d2f3c87992876094589a8e15111aa03a1cede3%3A1712992557&parent-reqid=1712992557550310-2360430280796672544-balancer-l7leveler-kubr-yp-sas-180-BAL&trbsrc=wb
2024-04-13T09:36:45.897+03:00,"{$GTRK} вот такую инфу  нашел 
Прогноз на акции ГТМ (GTRK) в апреле 2024 года
апр. 12, 21:23 
Источник https://xvestor.ru/assets/gtrk?ysclid=luxq06t45x298229825"
2024-04-12T23:52:59.337+03:00,"{$GTRK} такое ощущение, что акцию специально под кубок РИЧ мариновали, который с понедельника начинается (в переди май, поэтому не большим количеством подзакупаюсь, а в понедельник посмотрим)."
2024-04-12T23:32:00.514+03:00,{$GTRK} старт
2024-04-12T22:45:39.063+03:00,{$GTRK} надеюсь на следующей неделе разворот вверх 👆🤞
2024-04-12T22:37:02.708+03:00,{$GTRK} надо гэп на 130 закрывать туда и прийдет
2024-04-12T22:10:36.395+03:00,"Сегодня {$GTRK} пришел на локальную поддержку, где его откупали уже два раза.

В рамках челленджа #папагтм докупил позицию 12-ти дней.
Иногда нужно покупать больше, когда дают покупать больше☝️

Все еще верю в рост и иксы🚀"
2024-04-12T21:34:37.142+03:00,{$GTRK} идём к 300?
2024-04-12T20:29:14.311+03:00,{$GTRK} знатно гасят
2024-04-12T20:28:39.112+03:00,{$GTRK} бум
2024-04-12T20:25:01.237+03:00,"{$GTRK}  шортисты, бойтесь!!!!"
2024-04-12T20:19:12.619+03:00,"{$GTRK} ладно, надоело…
Готовьтесь! Сейчас продам свои 4 штуки (с убытком –300р.) сразу же заракетит))
🚀🚀🚀"
2024-04-12T20:19:07.270+03:00,"{$GTRK} падает-усредняю, падает-усредняю, и так без конца... 
Последнее предупреждение, 
в понедельник буду резать лося!

*может, испугается?! ))))"
2024-04-12T20:18:10.640+03:00,"{$GTRK} да что за дела,зачем продаете?трудно до понедельника подождать ракеты?всё вот этот нисходящий тренд не пробить?где ликвидность то?"
2024-04-12T20:13:54.420+03:00,{$GTRK} Смешные ребята сидят) Вопрос только до куда давить будут
2024-04-12T19:57:58.187+03:00,"{$GTRK} эх, куда ты родненькая путь держишь"
2024-04-12T19:43:30.007+03:00,{$GTRK}
2024-04-12T19:37:54.014+03:00,"{$GTRK} -34% , ещё в январе я говорил что сольют, есть посты у меня, просто обсирали меня, ораторы вам терпение, надолго вас разули, обувать будет с 300₽+ если не 250₽, так что, всем терпения и профита🤝"
2024-04-12T19:24:04.317+03:00,{$GTRK} ну когда-то же должен уже произойти памп?! Сколько месяцев уже прошло…
2024-04-12T19:07:57.969+03:00,{$GTRK} дорогая наша любимая давай уже прекращай падать и крепись вверху
2024-04-12T18:26:17.032+03:00,{$GTRK} лидеров рынка стало теперь трое ...евротранс...гтм..и прибавился займер
2024-04-12T18:01:04.756+03:00,"Ну что, господа и дамы, ещё один хомяк решил покинуть этот казиныч, пока депо не стало ещё меньше.

Решил поделиться с вами опытом и рассказать на чем в основном сливал. Ну и заодно разбавить ленту другой стороной биржи. Ведь я уверен, что многие с этим сталкиваются, но молчат, т.к. принято говорить только о доходе.

Не стану говорить вам об отсутствии торговой стратегии, риск менеджменте и т.п., т.к. это база, которая должна быть и ее нужно соблюдать. Была она у меня? Нет.

Перечислю просто основные человеческие факторы, которым не место на бирже.

И так, основные причины сливов:

1. Неуверенность.
Заходишь в сделку и начинаешь искать причины из нее выйти: уходит ниже средней, портфель краснеет, каждая последующая свеча рисует тебе развороты и т.п.
Чтобы такого не было, продумывай свою логику входа: тут ты войдешь, тут ты выйдешь, при достижении такой-то цены или пробитии такого-то уровня логика входа потеряет смысл и т.п. Поставил стопы, тейки и в пекло закрыл терминал.

Часто бывало такое, что я выходил прямо перед ракетой и актив доходил до цели.

2. Премия Дарвина.
Торговля на кредитные деньги с плечами. Никогда, никогда этого не делайте. Торгуйте только на свои. Это очень сильно давит и заставляет закрыться и недождаться прибыли.

3. Желание отыграться. На этом тильте я за день спокойно мог слить 60+к. Словили большой убыток или 3 стопа подряд по вашему риск менеджменту - закрыли терминал. Отдохни, успокойся, сделай паузу до следующей торговой сессии.

4. Отсутствие терпения. Все мы хотим много бабла и в моменте, а в моем случае еще и погасить заемные средства у банка. Отсутствие иксов за 5 секунд вынуждает выходить из сделки, а буквально через пару дней актив улетает в космос.

5. Упущенная прибыль. Например, не досидел в сделке и она пошла еще выше твоей цели. Или ты вчера смотрел график какого-то актива и думал его прикупить, а он на следующий день улетает в космос. Все это провоцирует тебя на необдуманные действия и заход в лонг там, где люди уже фиксируют прибыль.
Не торопись. Рынок цикличен. Через час - два, день, неделю он вернется туда повторно, там и ищи вход на сделку.

6. Хомяк, не шорти. Мало опыта на рынке - не шорти. Особенно когда активы скупают как сумашедшие на хороших новостях или их ожиданиях. Плюс опять же, это маржинальная торговля, нервы, необдуманные действия и т.п.
P.S. очень ""хорошо"" меня прокатили на шортах в {$YNDX} и {$OZON}. Со второго еще умудрился в микроплюс выйти.

7. 3 эшелон - красивое. Да, красивое, но там сегодня ликвидность есть, завтра и в течении полу года ее там нет, а ты закупился на хаях)

Этот опыт стоил мне 320к (с копейками). Из которых:
- 220к заемные у банка (общая сумма кредита 600, 400 сегодня вывел, пока не поздно);
- 100к личные.

И нет, не скажу что у меня были одни убытки, иначе депо кончилось еще раньше. Была и прибыль, разумеется. Но убытки на данные момент превышают прибыль.

Вернусь ли я еще на рынок? - Думаю, да. Как только выплачу кредит, эх. И думаю это еще будет не скоро.

По крайне мере этот пост будет служить будушему мне не быть мудаком и самое главное - не брать премию Дарвина.

Последние активы на которых в сумме сегодня закрыл -80к: {$GTRK}, {$VTBR}, {$SNGS}, {$EUTR}

P.S. кто-то скажет это мелкие деньги. Пусть будет так, но для меня большие.

Всем удачи и добра в этом непростом деле."
2024-04-12T17:57:29.720+03:00,{$GTRK} бесит гнила
2024-04-12T17:56:07.117+03:00,"{$GTRK} есть дивидендные акции , есть акции роста , а есть акции падения . 😉"
2024-04-12T17:05:12.012+03:00,{$GTRK} с-а сколько падать будешь.
2024-04-12T15:59:21.808+03:00,{$GTRK} проста 2 недели по 1% скидывает когда уже обратно
2024-04-12T15:44:48.807+03:00,"{$GTRK} ну что падаем  думали дно , но с низу постучали ."
2024-04-12T15:40:43.592+03:00,{$GTRK} тут кардиолог нужен🤣
2024-04-12T15:07:32.177+03:00,{$GTRK} вот и отскок!
2024-04-12T14:52:24.663+03:00,{$GTRK} гтм так манит.. . Но когда же у неё слом тренда?
2024-04-12T14:24:44.888+03:00,{$GTRK} отскок уже близко😁
2024-04-12T14:18:18.924+03:00,{$GTRK} 😂😂😂
2024-04-12T14:07:15.930+03:00,"{$GTRK} да она в поддержку ударилась, успокойтесь"
2024-04-12T14:06:08.027+03:00,"{$GTRK} все растут, здесь падаем"
2024-04-12T14:02:37.038+03:00,{$GTRK} вчера вышел полностью...объема нет совсем
2024-04-12T13:59:23.329+03:00,"{$GTRK} нормальная акция подождём, всё будет правельно."
2024-04-12T13:54:23.848+03:00,{$GTRK} свинство
2024-04-12T13:51:12.849+03:00,"{$EUTR} {$GTRK}
Это просто жесть. Две самые плачевные акции на бирже.
Вы же понимаете, что если мы на растущем который день индексе падаем, что с нами будет, когда индекс пойдет в коррекцию. Это просто минус депозит..."
2024-04-12T13:49:45.532+03:00,{$GTRK} интересно до скольки укатают сегодня?
2024-04-12T13:49:07.237+03:00,{$GTRK} скучно
2024-04-12T13:48:06.380+03:00,{$GTRK} пациент безнадёжен?
2024-04-12T13:22:37.983+03:00,"{$GTRK} да уж! На 300 , идет"
2024-04-12T13:22:25.404+03:00,{$GTRK} ВСЕ-ГО ХО-РО-ШЕ-ГО!!!!!
2024-04-12T13:18:36.331+03:00,"{$GTRK} вместе с этой бумагой, такое ощущение, что все грузовики в России встали и стоят!)))"
2024-04-12T12:14:59.189+03:00,{$GTRK} через месяц где то 600+ будет по тихоньку рисует чашку😎
2024-04-12T12:12:03.149+03:00,"{$GTRK} {$EUTR} {$UWGN} С вами что? Там все что торгуется летает, а вы всё вниз и вниз, пружина сжимается сильнее и сильнее?"
