time,text
2024-04-13T12:07:09.733+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.
💡 Аналитический Центр ПСБ

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-13T09:09:18.581+03:00,"🤑 Заработал 🆚 Потерял 😠 

Доброе утро 👋 

Делись своими успехами / неудачами, которые у тебя были на этой неделе, отмечай в комменте компанию тикером и рассказывай как все было, почему совершил ту или иную покупку или продажу, всем будет интересно, заодно и пообсуждаем 🤗 

В пятницу закрыли идею по HH {$HHRU} с профитом более чем 60% менее чем за 4 месяца для подписчиков закрытого канала @MegaStrategy_VIP 🦾 

А сегодня мчим на конференцию Profit в Москве, а какие у вас планы на день❓️ 

Ставьте лайк 👍 

#заработалпотерял"
2024-04-13T08:18:47.943+03:00,"🇷🇺 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. {$IMOEXF} Индекс МосБиржи старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции {$GMKN} НорНикеля, {$RUAL} РУСАЛа и {$PLZL} Полюса. Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация {$NLMK} СД НЛМК выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях {$LKOH} ЛУКОЙЛА, {$GAZP} Газпрома и в бумагах {$BANE} Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции {$LSRG} ЛСР и расписки {$HHRU} HeadHunter, а также Банк Санкт-Петербург, Магнит, МТС, Аэрофлот. 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля {$MTLR} Мечел и откатившиеся от пиков {$OZON} и {$VSMO} ВСМПО.

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.

💡 Аналитический Центр ПСБ

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #итогинедели"
2024-04-13T01:46:28.537+03:00,"{$HHRU} если придем раньше августа к 6000, то нам рост до 12000 к декабрю. 

Сначало придем к 6000, потом откат вниз немного. Потом дальнейший рост к 12000. А все потому, что цена привлечения сотрудника возрастает с 20000 рублей до 100000 за нанятого и адаптированного сотрудника. Вот такой у нас рынок труда. Удачи."
2024-04-13T01:41:45.183+03:00,"🌟 В подборку лучших акций добавлены: бумаги Positive Technologies, HeadHunter и Южуралзолото 

❗️С момента последнего изменения списка лучших российских акций, которое было в начале апреля, индекс МосБиржи продолжил расти и превысил отметку в 3400 пунктов впервые с февраля 2022 года. 

📌 В начале апреля аналитики ""SberCIB Investment Research"" убрали из подборки лучших акций две компании – X5 Group и Ozon {$OZON} , а теперь вместо них были добавлены бумаги Группы Позитив, HeadHunter и Южуралзолота.

1️⃣ Positive Technologies {$POSI}, лидер рынка в сфере результативной кибербезопасности в РФ, недавно изменила параметры программы мотивации, которые стали более благоприятными для акционеров. В связи с этим её акции были добавлены в подборку.

2️⃣ HeadHunter {$HHRU} выгодна текущая конъюнктура на рынке труда России. Аналитики ожидают, что в 2024–2026 годах клиентская база компании продолжит расти двузначными темпами. После редомициляции, намеченной на вторую половину 2024 года, HeadHunter может вернуться к выплате дивидендов с доходностью около 13%.

3️⃣ Также в топ были добавлены акции {$UGLD} Южуралзолото. Цены на золото достигли $2350 за унцию и обновили свои исторические максимумы. EBITDA компании примерно в два раза более чувствительна к динамике цен на золото, чем EBITDA Полюса. При повышении цены на золото на $100 за унцию чистая прибыль Южуралзолото за 2024 год может увеличиться примерно на 20%

🔥 Полный список лучших акций, по мнению аналитиков SberCIB, с указанием целевых цен, а также потенциалом роста этих акций вы можете увидеть в таблице, прикреплённой к этому посту. 

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗



#акции #россия #пульс #новости {$IRAO}  #аналитика #трейдинг #инвестиции {$YNDX} {$LKOH} {$SBER} {$MOEX} {$NLMK} {$GLTR} {$TRNFP} {$SBERP}"
2024-04-12T22:02:50.789+03:00,"ИТОГИ ДНЯ 🇷🇺
Российский рынок продолжает расти

📈 Растут

  {$HHRU} HeadHunter +3,30%
  {$PLZL} Полюс +2,67%
  {$GMKN} Норникель +2,20%

📉 Падают

  {$AFLT} Аэрофлот -1,16%
  {$OZON} Ozon -1,03%
  {$MTSS} МТС -0,59%

⚪️ В пятницу {$TMOS} индекс МосБиржи (плюс 0,5%) достиг рекордных с 2022 года значений и в течение дня превысил 3 460 пунктов.

⚪️ {$BRK4} Поддержку российскому рынку оказывает рост цен на нефть и драгоценные металлы. Цена барреля Брент сегодня превысила $92 на фоне эскалации на Ближнем Востоке.

⚪️ {$GDU4} Котировки золота обновили исторический максимум: они преодолели $2 400 за унцию. Основной причиной также стал рост геополитической напряжённости на Ближнем Востоке.

В лидерах по объёму торгов на Московской бирже — акции {$PLZL} Полюса. Выросли котировки золотодобытчиков: {$UGLD} ЮГК и {$SELG} Селигдара. Также в лидерах роста бумаги {$GMKN} Норникеля: подорожали палладий, платина, никель и другие металлы.

⚪️ {$ZAYM} Акции МФК «Займер» в рамках IPO были размещены по нижней границе ценового диапазона — 235 рублей за штуку. Таким образом, капитализация компании составила 23,5 млрд рублей.

В ходе IPO было привлечено 3,5 млрд рублей. Доля акций в свободном обращении — около 15%. Торги начались в 15:00 мск, к вечеру бумаги компании остались на уровне 235 рублей.

⚪️ {$MTSS} МТС Банк объявил о намерении провести IPO. Листинг и начало торгов акциями на Московской бирже ожидаются в апреле 2024 года.

⚪️ Совет директоров {$HNFG} Henderson рекомендовал выплатить дивиденды за первый квартал 2024 года в размере 30 рублей на акцию. Дивидендная доходность может составить около 4% с учётом текущих котировок. Акционеры проголосуют по вопросу дивидендов 17 мая.

⚪️ {$AFLT} Группа «Аэрофлот» в первом квартале 2024 года увеличила пассажиропоток на 21,7% год к году (г/г), до 11,5 млн пассажиров. В марте количество перевезенных пассажиров выросло на 21,2% г/г, до 4 млн человек.
💡 SberInvestments

🎁Тинькофф Премиум БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/2sAG2S4QnYY"
2024-04-12T21:35:33.648+03:00,"​​ИТОГИ ДНЯ 🇷🇺
Российский рынок продолжает расти

📈 Растут

• {$HHRU} HeadHunter +3,30%
• {$PLZL} Полюс +2,67%
• {$GMKN} Норникель +2,20%

📉 Падают

• {$AFLT} Аэрофлот -1,16%
• {$OZON} Ozon -1,03%
• {$MTSS} МТС -0,59%

⚪️ В пятницу {$TMOS} индекс МосБиржи (плюс 0,5%) достиг рекордных с 2022 года значений и в течение дня превысил 3 460 пунктов.

⚪️ {$BRK4} Поддержку российскому рынку оказывает рост цен на нефть и драгоценные металлы. Цена барреля Брент сегодня превысила $92 на фоне эскалации на Ближнем Востоке.

⚪️ {$GDU4} Котировки золота обновили исторический максимум: они преодолели $2 400 за унцию. Основной причиной также стал рост геополитической напряжённости на Ближнем Востоке.

В лидерах по объёму торгов на Московской бирже — акции {$PLZL} Полюса. Выросли котировки золотодобытчиков: {$UGLD} ЮГК и {$SELG} Селигдара. Также в лидерах роста бумаги {$GMKN} Норникеля: подорожали палладий, платина, никель и другие металлы.

⚪️ {$ZAYM} Акции МФК «Займер» в рамках IPO были размещены по нижней границе ценового диапазона — 235 рублей за штуку. Таким образом, капитализация компании составила 23,5 млрд рублей.

В ходе IPO было привлечено 3,5 млрд рублей. Доля акций в свободном обращении — около 15%. Торги начались в 15:00 мск, к вечеру бумаги компании остались на уровне 235 рублей.

⚪️ {$MTSS} МТС Банк объявил о намерении провести IPO. Листинг и начало торгов акциями на Московской бирже ожидаются в апреле 2024 года.

⚪️ Совет директоров {$HNFG} Henderson рекомендовал выплатить дивиденды за первый квартал 2024 года в размере 30 рублей на акцию. Дивидендная доходность может составить около 4% с учётом текущих котировок. Акционеры проголосуют по вопросу дивидендов 17 мая.

⚪️ {$AFLT} Группа «Аэрофлот» в первом квартале 2024 года увеличила пассажиропоток на 21,7% год к году (г/г), до 11,5 млн пассажиров. В марте количество перевезенных пассажиров выросло на 21,2% г/г, до 4 млн человек.

💡 SberInvestments

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #итогидня"
2024-04-12T20:45:43.823+03:00,"💤 Итоги дня 12 апреля

🥃 Bogdanoff на связи: если ты купишь нефть, то за выходные ничего не случится, и она упадёт. Если шортанешь — Ближний Восток вспыхнет, и она улетит на 200 долл. Судьба мира в твоих руках, но твой депозит обречён в любом случае 😂

🤑Индекс вечером продолжает путь — 3 457 (+0,52%).
💲Доллар тоже немного подрос — 93,43 руб. (+0,17%).

📈 Растут

• {$HHRU} HeadHunter +3,30%
• {$PLZL} Полюс +2,67%
• {$GMKN} Норникель +2,20%

📉 Падают

• {$AFLT} Аэрофлот -1,16%
• {$OZON} Ozon -1,03%
• {$MTSS} МТС -0,59%

🗞Новости

🟠Акции Займера после начала первых торгов упали на 0,92% по сравнению с ценой размещения. Планки не случилось — РБК

🟠Чистая прибыль Газпром нефти по РСБУ за 2023 год снизилась на 15,9% и составила 637,5 млрд рублей — ИНТЕРФАКС
 
🟠Восток Инвестиции стал владельцем доли Baring Vostok в маркетплейсе Ozon — ИНТЕРФАКС"
2024-04-12T20:31:07.378+03:00,"📆 Итоги недели 8-12 апреля

Российский рынок завершает неделю на позитивной ноте. Индекс МосБиржи #imoex  старается закрепиться выше 3450 пунктов, обновляя максимумы с февраля 2022 года, ведомый спросом на ликвидные бумаги сырьевых секторов.

☝️ Лидеры роста ☝️

Наиболее сильно выглядел ряд бумаг металлургического сектора - в первую очередь акции НорНикеля {$GMKN}  , РУСАЛа {$RUAL}  и Полюса {$PLZL}  . Их переоценке способствовал уверенный рост цен на драгоценные и промышленные металлы. 

Рекомендация СД НЛМК {$NLMK}  выплатить дивиденды по итогам 2023 года в размере 25,43 руб. вернула бумаги в число привлекательных дивидендных идей. 

В нефтегазовом секторе рост был более сегментированным, фокусируясь в «весовых» акциях ЛУКОЙЛА {$LKOH}  , Газпрома {$GAZP}  и в бумагах Башнефти, обновивших максимумы с 2017 года.
Подросли дивидендные бумаги, в частности, акции ЛСР {$LSRG}  и расписки HeadHunter {$HHRU}  , а также Банк Санкт-Петербург {$BSPB}  , Магнит {$MGNT}  , МТС {$MTSS}  , Аэрофлот {$AFLT}  . 

👇Снижались на этой неделе👇 

В аутсайдерах недели – безыдейный на фоне слабости рынка угля Мечел {$MTLR}  и откатившиеся от пиков OZON #OZON  и ВСМПО #VSMO  .

📍Сохраняем позитивный взгляд на российский рынок акций. Ключевой поддержкой рынку выступают стартующий дивидендный сезон, ожидания отчетностей за l квартал, а также дорогая нефть. Рассчитываем на движение индекса МосБиржи на следующей неделе в зону 3500+ пунктов.

💨 Аналитический Центр ПСБ

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #рынок #дивиденды"
2024-04-12T19:21:18.000+03:00,"{$HHRU}
Пасиба, отсыпали от души! ❤️"
