time,text
2024-04-13T14:10:08.426+03:00,"Мои итоги последних IPO

Бум первичных размещений на Мосбирже набирает обороты. Объем привлеченных средств в ходе IPO в прошлом году составил более 40 млрд рублей. Как вы уже могли заметить, я остаюсь в тренде и много времени уделяю разборам бизнесов новичков на бирже. Сегодня хочу подвести промежуточные итоги, которых удалось добиться с подписчиками моего закрытого канала в Пульс @Vladimir_Litvinov_Plus

Итак, начну пожалуй с Астры {$ASTR}, которая в ходе первого дня торгов умудрилась сделать несколько планок и вырасти на 90%. С подписчиками зафиксировали более 60% профита, правда учитывая низкую аллокацию сумма оказалась небольшой. Котировки на текущий момент торгуются практически выше цены размещения на 85+%. 

Аналогичный трейд удалось сделать и на размещении Диасофта {$DIAS} Профит по закрытой позиции составил 40%. Уйдем недалеко от IT-сектора и обратимся к Делимобилю {$DELI} Мне импонирует компания, котировки которой торгуются выше цены размещения на 30+%. В IPO не участвовал, но активно разбирал компанию перед листингом. 

Далее у нас Henderson {$HNFG} и Евротранс {$EUTR} Несмотря на мою любовь к фэшн-ритейлеру, по позиции я получил единственный убыток, и то за счет необходимого ребаланса портфеля. Сейчас акции торгуются выше цены размещения на 12+%. А вот до Евротранса я так и не добрался. Котировки сейчас торгуются вблизи IPO, так что отсутствие трейда - тоже результат. 

Далее сразу комбо положительных сделок. С подписчиками отлично прокатились на IPO Совкомбанка {$SVCB} и Южуралзолото {$UGLD} Причем эти компании я продолжаю удерживать. Накопленной прибыли набежало безумные 50% и 90% соответственно. На это ушли считанные месяцы. 

По Европлану {$LEAS} результаты тоже считаю отличными. Всего за несколько минут удалось забрать 13% прибыли по спекулятивной части позиции, а вот инвестиционную продолжаю держать в плюс. Успешная реализация формализованных стратегий, позволяет нивелировать низкую аллокацию. Теперь еще жду предстоящие размещения МТС Банка и Элемента. 

❗️Аналогичных, а порой и лучших результатов, удается достичь подписчикам @Vladimir_Litvinov_Plus Мы не только «прожариваем» компании, но и готовим стратегию по работе в первый день торгов. Это позволяет кратно отбивать любые расходы на подписку на закрытый канал. Сразу при подключении, вы поймете насколько выгодно и полезно работать в команде. 

Всем хороших выходных!"
2024-04-13T12:28:11.187+03:00,"{$HNFG} как вам 4% дивидендов, когда китайская рубашка стоит 300 рублей, а в магазине у Ашота с логотипом Хендерсон 3500?"
2024-04-13T11:59:38.449+03:00,"{$HNFG}, ждем роста по стратегии 10% 
Да и дивиденды хорошие вроде 🤔"
2024-04-13T10:11:27.786+03:00,"📰 Новости 

X5 Group {$FIVE}  в 2024 году планирует двузначный рост выручки (Газпромбанк)

В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

Цены на золото снова обновили исторические максимумы 

Henderson {$HNFG}  рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

15 апреля Акрон решит по дивидендам за 2023 год

Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

«Займер» {$ZAYM}  провел размещение своих акций по нижней границе — 235 рублей

Лента не смогла договориться о ценах с ключевыми партнерами

Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

Российские угольные компании сократят добычу в 2024 году

Северсталь {$CHMF}  подала ходатайство о мировом соглашении по ""делу металлургов""

Цена на нефть поднялась выше 92 долларов за баррель 

Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

Источник: Russian_Stocks

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #рынок #дивиденды #новости"
2024-04-13T08:15:28.509+03:00,"👕  {$HNFG} Henderson: СД утвердил рекомендацию по дивидендам за l кв. 2024 г.

• Размер дивиденда: 30 руб./акция
• Дивдоходность от текущих уровней: ~ 4%
• ВОСА по утверждению выплаты: 17 мая
• Дивидендная отсечка: 3 июня

Инвесторы положительно отреагировали на новость: в моменте бумаги компании подскочили на 5,4% до 805 руб./акция. Дивиденды оказались выше ожиданий — ранее менеджмент сообщал о намерении выплатить 25 руб./акцию.

Кроме того, в среду Henderson раскрыл сильные результаты по выручке:
за l кв.: 4,5 млрд руб. (+35% г/г), 
за март: 1,4 млрд руб. (+36% г/г). 
25 апреля компания опубликует операционные показатели за l кв. 

Считаем, что по итогам l кв. компания покажет сильные финансовые результаты, в первую очередь, за счет развития онлайн-ритейла.

💡 Аналитический Центр ПСБ"
2024-04-13T07:59:37.005+03:00,"Мои золотые правила:

- всегда покупать на спаде
- не складывать все яйца в одну корзину
- помнить про диверсификацию

Мужчины 🫠(голосом Макаровой).
 Они мне нравятся, но больше всех мне нравится мой муж), поэтому...

Добро пожаловать в мою семью Хендерсон)

Из потенциалов роста:
🔹планирует расширяться, 
🔹плюс хороший рост в предыдущие периоды и показатели рентабельности из-за ухода конкурентов из России,
🔹Активно размещаются на маркетплейсах 
🔹хорошие показатели выручки, выплата дивидендов и ещё несколько незначительных, но приятных плюсов

Поэтому {$HNFG} теперь в моей семье)

Купила на долгосрок, так как сверх показателей роста в короткую не ожидаю 

#инвестиции
#новичкам
#финансы
#акции
#цитата_дня 
#пульс
#тинькофф 
#акции

{$HNFG}"
2024-04-13T07:26:19.971+03:00,"Субботний обзор главных событий. Выпуск 15

Индекс Мосбиржи обновил двухлетние максимумы, 4 компании рекомендовали дивиденды, новая компания провела IPO, Сбербанк представил результаты за март, разместились новые облигации: об этом и многом другом читайте в обзоре главных событий недели.

Индекс Мосбиржи, дивиденды
🔹Индекс Мосбиржи вырос за неделю на 1,8% до 3456 пунктов. Восходящий тренд по индексу продолжается, росту способствуют ослабление рубля, ожидания новых дивидендов. В дальнейший рост пока ключевая ставка высокая особо не верю, покупаю больше облигаций.

🔹Рекомендованы дивиденды: 
- Позитив {$POSI}  51,89 ₽ (1,8%). Последний день покупки 21 мая;
- НЛМК {$NLMK}  25,43 ₽ (11%). Последний день покупки 24 мая;  
- Росбанк 2,9 ₽ (2,4%). Последний день покупки 24 мая;
- Henderson {$HNFG}  30 ₽ (4%). Последний день покупки 31 мая.  

🔹Стартовали торги акциями ""Займер"" {$ZAYM}  в рамках IPO. Цена размещения на IPO составила 235 ₽ за акцию. Торги открылись небольшим ростом, но к завершению первого торгового дня подешевели до 234,9 ₽. Следующее IPO будет в апреле у МТС-банка. 

Облигации, новые выпуски 
🔹Индекс гособлигаций RGBITR за неделю практически не изменился. 596,38 пунктов. Доходность длинные ОФЗ составляет 13,5...13,8%, коротких 13,9...14,5%.

🔹Собрали заявки на размещении/разместились облигации: 
- Сегежа 3Р4R (купон переменный RUONIA+4,3%);
- Ульяновская область (9 апреля на 5 лет);
- Селектел 1Р4R (купон 15% на 2 года);
- Русал 1Р7 (купон 7,9% в юанях на 2,5 года);
- Гидромашсервис 02 (купон 15,25% на 3 года).

🔹На очереди следующие размещения:
- Альфа-Банк (15 апреля, на 3 года);
- Интерлизинг 1Р08 (16 апреля, купон не выше 16,25% на 3 года);
- Контрол лизинг 1Р2 (19 апреля, купон не выше 18,5% на 5 лет);
- Дарс-девелопмент 1Р2 (16 апреля, купон не выше 18% на 2 года);
- Балтийский лизинг БП10 (18 апреля, купон не выше 18,5% на 3 года);
- Элемент лизинг 1Р8 (23 апреля, купон не выше 16,25% на 3 года);
- Ресо лизинг БП25 (24 апреля, купон не выше 15,9% на 3 года);
- НовабевБП6 (конец апреля, на 2 года).

Что еще?
🔹Сбербанк {$SBER}  в 1 квартале 2024 г. увеличил чистую прибыль по РСБУ до 364,0 млрд руб. (+3,9% г/г). Чистая прибыль банка в марте выросла до 128,5 млрд руб. (+2,6% г/г). Кстати, Сбербанк в этом году будет рекомендовать дивиденды только в июне.

🔹Маркетплейс Ozon по итогам IV квартала 2023 года нарастил оборот в 2,1 раза - до 625,7 млрд ₽.
Скорректированная EBITDA составила 0,1 млрд ₽ против 3,9 млрд рублей в IV квартале 2022 года. Выручка увеличилась на 37% год к году - до 128 млрд ₽. Ozon в этом году планирует начать процесс редомициляции компании с Кипра. 

🔹НОВАТЭК {$NVTK}  в I квартале 2024 г. увеличил объемы добычи и реализации жидких углеводородов. 
Добыча газа выросла, а вот объемы реализации газа и переработки жидких углеводородов упали.
В I квартале 2024 г. добыча газа выросла на 1,2% г/г, до 21,12 млрд куб. м, в то время как добыча жидких углеводородов — на 12,2%, до 3,46 млн т. Добыча углеводородов в целом увеличилась на 2,7% г/г. Нейтрально смотрю на Новатэк. Всё-таки есть трудности с проектом СПГ-2.

🔹Норникель {$GMKN}  после сплита возобновил торги акциями. +9% за неделю, это Fomo-эффект не иначе. 

🔹Золото  обновляет максимумы, {$GLDRUB_TOM} стоит уже 7265,3 ₽ (+5% за неделю).

#субботний_обзор"
2024-04-13T03:28:13.711+03:00,"📰Совет директоров #Henderson 11 апреля утвердил рекомендацию о выплате дивидендов за I квартал 2024 г. в размере 30 руб. на одну обыкновенную акцию. 

❌А Вы держите #акции данной компании 👉 {$HNFG} ❓

#дивидедны #дивы"
2024-04-13T02:04:06.731+03:00,"🇷🇺 Главные новости для инвесторов:

✅ X5 Group {$FIVE} в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

❗Автор этого поста: @Russian_Stocks❗

✅ Цены на золото снова обновили исторические максимумы

✅ Президент компании «Астра» подтвердил планы провести SPO {$ASTR}

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10% 

✅ Henderson {$HNFG} рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» {$ZAYM} провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь {$CHMF} подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель 

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

❗Автор этого поста: @Russian_Stocks❗"
2024-04-13T01:56:45.860+03:00,"Пятничные торги на российском рынке завершились с уверенным ростом. Индекс МосБиржи поднялся на 0,5%, достигнув отметки 3456,24 пункта. С начала месяца прирост составил 2,5%. Индекс РТС окреп на 0,3%, достигнув 1165,53 пункта. С начала месяца индикатор вырос на 3,7%.

Стоит отметить, что рублевый индекс закрылся на локальных максимумах выше 3450 пунктов, впервые с февраля 2022 года. Такой ""бычий"" настрой может сохраниться и на следующей неделе.

Котировки золота обновили исторический максимум, преодолев отметку $2400 за унцию. Основной причиной этого стал рост геополитической напряженности на Ближнем Востоке.

В лидерах по объему торгов на Московской бирже были акции Полюса {$PLZL} , которые выросли на 3,8%. Также выросли котировки золотодобытчиков ЮГК {$UGLD}  и Селигдара {$SELG} . В лидерах роста были акции Норникеля {$GMKN} , так как цены на палладий, платину, никель и другие металлы также выросли. Но уже после закрытия вышла новость, что США запретили импорт алюминия {$RUAL} , меди и никеля из России. Запрет не распространяется на металлы, произведенные до 13 апреля 2024 года. К санкциям присоединилась Великобритания.

Акции МФК ""Займер"" {$ZAYM} в рамках IPO были размещены по нижней границе ценового диапазона – 235 рублей за акцию. Таким образом, капитализация компании составила 23,5 млрд рублей. В ходе IPO было привлечено 3,5 млрд рублей. Доля акций в свободном обращении составила около 15%. Торги начались в 15:00 мск, и к вечеру бумаги компании остались на уровне 235 рублей.

МТС Банк {$MTSS}  объявил о намерении провести IPO. Листинг и начало торгов акциями на Московской бирже ожидаются в апреле 2024 года.

Инвестиционная компания ""Восток инвестиции"" выкупила у компании Baring Vostok около 28% акций маркетплейса Ozon {$OZON} .

Совет директоров Henderson {$HNFG}   рекомендовал выплатить дивиденды за первый квартал 2024 года в размере 30 рублей на акцию. Дивидендная доходность может составить около 4%. Акционеры проголосуют по вопросу дивидендов 17 мая.

Группа ""Аэрофлот"" {$AFLT} увеличила пассажиропоток на 21,7% в первом квартале 2024 года по сравнению с аналогичным периодом прошлого года. В марте количество перевезенных пассажиров выросло на 21,2%.

Снижение показали бумаги ""Мечела"" {$MTLR}  на фоне снижения экспортных цен на уголь.

Чистая прибыль ""Газпром нефти"" {$SIBN}  по РСБУ за 2023 год снизилась на 15,9% и составила 637,5 млрд рублей.

Российский рынок закрылся в ""зеленой зоне"" на фоне небольшой девальвации рубля и роста цен на нефть из-за геополитической напряженности. Привлекательность российского рынка акций остается высокой на фоне роста цен на сырьевые товары, особенно на нефть. Выплаты дивидендов также способствуют реинвестированию полученных доходов снова в фондовый рынок.

✅Подписывайтесь, будем торговать и учиться вместе, будет интересно 😊
Лайкаем👍, так я вижу, что вы прочитали, а значит есть для кого стараться
Помним, что карма все, что пожелаешь другому, возвращает вдвойне
#обучение #пульс_оцени #учу_в_пульсе #новичкам2023 #трейдинг #акции #новичкам
#расскажу_что_купить #прояви_себя_в_пульсе #хочу_в_дайджест"
