time,text
2024-04-13T14:33:41.757+03:00,{$HYDR} спасибо за подарок 😎
2024-04-13T13:15:42.876+03:00,{$HYDR} 3 место. Спасибо за 🎁
2024-04-13T12:38:06.264+03:00,{$HYDR} движений в выходной больше чем в торговые дни 🤷
2024-04-13T12:25:36.518+03:00,"🔥Торговая неделя закончилась, а значит пришло время подвести итоги [&Портфель акций роста](https://www.tinkoff.ru/invest/strategies/ca502e58-0d44-418a-be06-5369c5e5bab4). По итогам недели доходность стратегии составила 0,32 %, выглядит не очень особенно по сравнению с предыдущей неделей. Но напомню, что внутри стратегии в основном средне- и долгосрочные идеи. А рынок цикличен и за снижением всегда последует рост.

💸На этой неделе закрыли сделки:
• {$VTBR} - пока что закрыли, при подтверждении восходящего тренда возможно вернусь в позицию;
• {$SBMX} - как говорил ранее, не собирался долго сидеть в позиции, закрыл с целью высвобождения кэша;
• {$AQUA} - дополнительно открывал спекулятивную позицию, цена ушла в противоположную сторону, сработал стоп-лосс. 
📈Были открыты позиции по: {$ASTR}, {$FESH}, {$UPRO}, {$HYDR}.
🚀Наибольшую доходность в портфеле обеспечивают: {$GLTR}, {$SNGS}, {$ENPG}.
☝️В отрицательной зоне пока что: {$MTLR}, {$ASTR}, {$UPRO}.

🔥Основа портфеля это акции со средне- и долгосрочными целями, поэтому большую часть роста они ещё покажут. А небольшие застои в росте стратегии это отличное время для пополнения стратегии, либо входа в неё.
#стратегия"
2024-04-13T12:21:46.972+03:00,"Недельный отчет по публикациям: WEEK_29
За прошедшую неделю было опубликовано 24 системных идей.
Google таблица с учётом PNL ( https://docs.google.com/spreadsheets/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/edit#gid=897654646&range=A1 )

Системные идеи:
На текущий момент закрыто 7 из 24 идеи, 5 идей со статусом (Profit), 1 идея со статусом (Loss), 1 идея (отменена). 10 идей ожидают активации и 7 идей активированы.

MTLR идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/73fcee11-c0f2-4066-b036-68764ca3d997/

LKOH идея отменена.

{$MGNT} закрыта вручную (+1.47%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/333fdb26-257e-4548-af63-b95c337fd3e9/

{$PIKK} закрыта вручную (+1,87%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/d1f75f76-05f2-4cad-9cef-4228f4f5c624/

{$RTKMP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

AQUA закрыта по стопу (-2.98%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/67a6b724-a0d4-4e0e-aec7-a93a899cc46e/

{$TGKA} закрыта вручную (+1,87%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$YNDX} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a015b8da-f22c-451c-81eb-5199bf090ccb/

{$YAKG} закрыта по тейку (+5.15%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/770e36ac-f483-4cd6-8743-87d26acf6a3c/

{$MRKS} закрыта вручную (+2.73%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/7cf26b58-15db-41f4-8c2e-7921b39de83b/

LSNG идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

{$AFLT} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a856694f-fc03-48be-891b-88c06cbe255b/

{$NVTK} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4fe51b53-a311-4b5f-8b9f-08c66c2d6d7c/

FIVE идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e4226de8-e6d5-4e61-b64d-d451d03adf9b/

ROLO идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5779159d-dd08-46c7-9577-12ff115a47c2/

{$SVAV} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3572894f-b426-4e57-8c11-6331e3ff6aaf/

{$HYDR} идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4eca26d6-fa74-438d-97d6-e81d1781233e/

CNTL идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/6995762f-e237-4eb8-9941-91828c15d09e/

ELFV идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a24c4fcf-4ed2-4a46-8a26-e42f6e1a44d8/

PIKK идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a57a13e7-da9a-4808-8fc9-66ea4cb334b4/

{$DELI} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48c6a700-f576-4a97-b8c7-53c89a971084/

{$VKCO} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8bd2f5e9-153a-40e7-b1f5-da4f134961b5/

NKNC идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/f946c9bc-f4d6-453f-b366-3adf1d262893/

KZOS идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/48a1a530-5de3-4af3-a6d1-b4c39911e0f1/

Итого: 10.48% суммарного показателя положительных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 5.15%, отрицательный % -2.98%
* Обновление для WEEK_29 будет опубликовано в следующем недельном отчете.
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #система #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-13T11:55:28.066+03:00,"Неделька удалась 😎спасибо {$NLMK} , маржинальной торговле и дивидендам ☺
Из подарков, как всегда {$IRAO} и {$HYDR} ☺
Всем успехов на следующей недели 😉"
2024-04-13T10:46:53.396+03:00,"Вчера наш любимый брокер, #тиньков_инвестиции  дал возможность
поучаствовать в турнире! 
Не знаю, как давно это работает, но решила поучаствовать в #турнир_дня , и о чудо....
Вошла в тройку лидеров и получила приятный приз акцию #русгидро_в_подарок 
{$HYDR} мелочь конечно, но приятно.
@Pulse_Official"
2024-04-13T09:01:59.077+03:00,"На этой неделе, наш любимый брокер, #тиньков_инвестиции  дал нам возможность, почувствовать себя настоящими рыцарями.
Не знаю, как давно это работает, но решил поучаствовать в #турнир_дня , и о чудо....
Вошёл в тройку и получил приятный приз акцию #русгидро_в_подарок 
{$HYDR} мелочь конечно, но приятно.
@Pulse_Official 
Вы уже испытали себя, на прочность?
Как относитесь к {$HYDR} держите?"
2024-04-12T20:58:54.299+03:00,{$HYDR} не стрельнет🤔…
