time,text
2024-04-03T15:43:15.062+03:00,📒 Финотчет ИНГРАД за 2023 {$INGR}
2024-03-28T09:15:56.875+03:00,"📅 Ваш календарь предстоящих событий на 28 марта 2024 г.

•Последний день под дивиденды

🇺🇸 Raymond James Financial {$RJF} - 0,45 $ на акцию, доходность ~0.4%
🇺🇸 🔥 Micron Technology {$MU} - 0,115 $ на акцию, доходность ~0.1%
🇺🇸 First Financial #THFF - 0,45 $ на акцию, доходность ~1.2%
🇺🇸 Pegasystems {$PEGA} - 0,03 $ на акцию, доходность ~0.1%
🇺🇸 Ingredion {$INGR} - 0,78 $ на акцию, доходность ~0.7%
🇺🇸 Commercial Metals {$CMC} - 0,18 $ на акцию, доходность ~0.3%
🇺🇸 Stryker {$SYK} - 0,8 $ на акцию, доходность ~0.2%
🇺🇸 Encompass Health #EHC - 0,15 $ на акцию, доходность ~0.2%
🇺🇸 Cardinal Health {$CAH} - 0,5006 $ на акцию, доходность ~0.5%
🇺🇸 Andersons {$ANDE} - 0,19 $ на акцию, доходность ~0.3%
🇺🇸 State Street {$STT} - 0,69 $ на акцию, доходность ~0.9%
🇺🇸 Calavo Growers {$CVGW} - 0,1 $ на акцию, доходность ~0.4%

💡 BlackTerminal.com
 "
2024-03-27T15:01:54.672+03:00,"ИНГРАД Информация об иных (https://www.e-disclosure.ru/portal/event.aspx?EventId=EwgxrQLS-CUaJpT6kSvOA4w-B-B) событиях (действиях), оказывающих, по мнению эмитента, существенное влияние на стоимость или котировки его ценных бумаг {$INGR}"
2024-03-20T17:32:27.150+03:00,"💵 Пассивный доход от гаража.

🛖 В самых первых постах, когда я только начинал вести канал, я рассказывал о своих источниках дохода, и одним из них был гараж, который я сдал за 10.000₽/месяц предпринимателю, который занимается монтажом окон. 
Но по закону подлости,как это всегда случается, на следующий день после публикации поста он позвонил мне и сказал, что больше не нуждается в моём гараже, так как ему больше не требуется хранить материалы и инструменты. 

⌛️Поэтому нужно было срочно искать нового арендатора доходного гаража. 
Я выставил объявления во все местные сайты по сдаче недвижимости и буквально через неделю нашёлся новый арендатор, который сразу внёс оплату за месяц вперёд и таким жестом забронировал гараж, но проблема была в том, что человек был из другого региона и по приезде гараж мог ему не понравиться, тогда я бы вернул ему деньги и потерял целых 3 недели… 
Но к счастью, все обошлось! Когда человек прилетел и приехал смотреть гараж, ему все понравилось и он «заселился». Оконного предпринимателя сменил мастер по ремонту кондиционеров и холодильников, гараж ему нужен для хранения ремонтируемой техники.

🧮 Гараж удалось сдать за прежние 10.000₽.

Что касается доходности, то рыночная цена нашего гаража сейчас варьируется от 1 млн до 1,5 млн рублей. Возьмём самую нижнюю цену: 

💎10.000₽ х 12 месяцев = 120.000₽ ГАП (годовой арендный поток) 

💎1.000.000₽ : 120.000₽ = 8.3 лет (Арендная доходность составляет 12%) 

💭 Не каждая коммерческая недвижимость может похвастаться такой доходностью.
Однако, многие смеются над кладовками и гаражами, а они приносят отличный пассивный доход ☺️

Подписаться - Инвестиции бакалавра 🎓

{$PIKK} {$ETLN} {$LSRG} {$CIAN} {$SMLT} {$INGR} {$MSTT}"
2024-03-18T10:08:03.954+03:00,"☁️ Настало время поговорить про компании, которым выгоден сильный рубль.

📈В данном посте я расскажу какие компании выигрывают от сильного рубля:

🟣В первую очередь это строительные компании. Для них важен крепкий курс национальной валюты. Связано это с тем, что выручка - рублёвая, а закупочные материалы - импортные. Рост стоимости доллара може негативно сказаться на рентабельности бизнеса.

Строительные компании:
🏗 Самолёт ( {$SMLT} )
🏗 Эталон ( {$ETLN})
🇷🇺 ЛСР ( {$LSRG})
🇷🇺 ПИК ( {$PIKK})
🏗 ИНГРАД ( {$INGR})
📏📏📏📏📏📏📏📏📏📏📏
🟣Во вторых это ритейлеры. Значительная часть их товаров - импортная, это значит, что компаниям важен крепкий рубль. Меньше валютных расходов - позитивный фактор при крепком рубле.

Ритейлеры:
🇷🇺 М.Видео ( {$MVID})
🇷🇺 Детский мир ( {$DSKY}) 
🇷🇺 Fix Price ( {$FIXP})
🇷🇺  Лента ($LENT)
🇷🇺 X5 Retail group ( {$FIVE})
🛍 O’key ($OKEY)
🇷🇺 Магнит ( {$MGNT})
🍾 НоваБев групп ( {$BELU})
📏📏📏📏📏📏📏📏📏📏📏

📌 Таким образом, приходим к выводу, что при укреплении национальной валюты стоит присматриваться к акциям из строительного и ритейлерского сектора.

Если пост был интересен, с вас лайк 👍"
2024-02-15T11:44:02.497+03:00,"ИНГРАД #INGR #новости #акции #биржа

Продажи «Инграда» в 2023 году выросли на 12%

Продажи недвижимости девелопером «Инград» в 2023 году составили 243 тыс. кв. м, увеличившись на 12% по сравнению с предыдущим годом. Ввод недвижимости в эксплуатацию вырос на 76,4%, до 628 тыс. кв. м. Компания получила разрешения на строительство на 267 тыс. кв. м жилой площадь, что на 84% больше, чем годом ранее. В текущем году «Инград» планирует вывести на рынок четыре проекта, а также новые очереди в действующих жилых комплексах.

Источник: tass.ru {$INGR}"
2024-01-26T23:43:06.157+03:00,"🚀🚀🚀Акции «ПЕРЕВЕРНУТЫЕ РАКЕТЫ» сегоднешнего дня : 
——————
🏆Лидеры ПАДЕНИЯ : (ТОП 10)

🔴{$APTK} ➖ (-7,55%) ;
—
🔴{$TGKB} ➖ (-3,44%) ;
 —
🔴{$MRKS} ➖ (-3,35%) ;
—
🔴{$MGKL} ➖ (-2,21%) ;
—
🔴{$LIFE} ➖ (-1,96%) ;
—
🔴{$KZOS} ➖ (-1,95) ;
—
🔴{$LSRG} ➖ (-1,82%) ;
—
🔴{$ROST} ➖ (-1,50%) ;
—
🔴{$KROT} ➖(-1,48%);
—
🔴{$INGR} ➖(-1,44%);
—
🔴{$UGLD} ➖ (-1,43%).
—————————
❓В целом не самая плохая торговая сессия вышла сегодня , Вы как думаете ?
-
🚀- Согласен.
👎 - Не согласен.
🛋️- Отдыхаю )))"
2024-01-08T10:32:16.982+03:00,"​Взглянем на акции от застройщиков, девелоперов РФ

Продолжаем тему: Выделим из Топа ТОП, прогноз по акциям РФ на 2024 год, а правда это будут ТОП в этом году?  Часть 5

5) Застройщики (девелоперы) РФ.

Мнение по Самолёту: грандиозные планы по операционному и финансовому
росту бизнеса, земельный банк, обратный выкуп акций.

- Сбербанк с 11 января 2024г будет выдавать льготную ипотеку на покупку квартиры только у аккредитованных банком застройщиков. Новые условия применяются к программам: «Господдержка», «Семейная ипотека», «Дальневосточная ипотека», «Арктическая ипотека», «Ипотека для IT»
- Увеличение требования по первоначальному взносу до 30% и уравнивание максимального размера льготного ипотечного кредита до RUB 6 млн для всех регионов окажут давление на продажи застройщиков, но в меньшей степени затронет застройщиков с высокой долей в массмаркете 
- Ввод жилья в эксплуатацию в РФ за 10 месяце 2023 года сократилось до 6,5 млн кв.м с среднего значения 8,3 за предыдущих 6 месяцев.
- Первые звоночки: В Санкт-Петербурге выручка застройщиков в ноябре сократилась на7,6млрд рублей
- Тройка лидеров: Самолет, Пик, Холдинг Setl Group. В десятку также вошли компании ЛСР, ГК ФСК, ГК А101, ГК Гранель, DOGMA и ЦДС
- Сбербанк сразу после новогодних каникул вводит комиссию 7,5–11,5% от суммы кредита для девелоперов, чьи покупатели воспользуются льготными займами. На фоне высокой ключевой ставки ЦБ и роста стоимости депозитов льготная ипотека становится для банков убыточной, а у застройщиков после летнего ажиотажного спроса есть запас доходности

- лидеры рынка РФ представленные на фондовом рынке: {$ETLN} {$PIKK} {$SMLT} {$LSRG} {$INGR} 

Некоторых из наших застройщиков (девелоперов), рассматривать будем в таком порядке: 
Тикер - Цена; Прогноз по дивидендам / Справедливая стоимость / Справедливая стоимость по EPS / Цена у аналитиков, ₽

#pikk - 673; 0 / 535 / 119 / от 755 до 1200 , ₽
#smlt - 3890; 0 / 527 / 1280 / от 4180 до 5245, ₽
#lsrg - 650; 43-78₽ за 2023, 08.07.2024; / 886 / 374 / 854, ₽
#etln - 86; 0 / 188 / 8.5 / от 88 до 130, ₽
#ingr - 1850; 0 / 246 / 186 / нет данных

🌀Вывод: 
Принятые меры оказались жестче ожидаемых. После ужесточения условий выдачи льготной ипотеки, негативнее всего в ближайшей перспективе новые меры повлияют на рынок всех публичных девелоперов Москвы и СПБ. 
Это окажет негативное воздействие на Группу компаний ПИК, по нашим оценкам, стало более 90% общих продаж в физическом объеме, приходящихся на Москву в 2023 году. В отличие от этого, для других застройщиков отрицательные последствия оказались менее существенными. Например, для Группы ЛСР доля продаж в Москве составила 24% после 9 месяцев 2023 года, в Санкт-Петербурге - 63%, а в Екатеринбурге - 13%. У Группы ""Эталон"" доля продаж в Москве составила 39%, в Санкт-Петербурге и Ленинградской области - 27%, в регионах - 34%. В отношении Группы ""Самолет"" точные цифры по доле продаж в Москве не разглашаются, однако, учитывая, что примерно 83% продаж приходится на Москву и область, с уклоном в сторону Московской области, недавно приобретенная ГК МИЦ, ориентированная на предоставление жилья в Москве, может иметь важное значение.
Застройщики после заметного роста продаж квартир в новостройках приготовились к снижению спроса. В октябре доля компаний, сокративших вывод на рынок новых проектов, достигла 33% — это максимальное значение с начала 2023 года. Сами девелоперы приготовились к длительности этого тренда, называя основными причинами снижение доступности участков под застройку и увеличение ЦБ первоначального взноса до 30%
По эффективности и рентабельности выделяют самолет, пик, лср. Но по мультипликаторам лучше всех выглядит пик, эталон, лср, среди них недооценены эталон и лср.
Если вам интересно, где я планирую входить в Эталон и ЛСР, пишите в комментарии «хочу точку входа»

🌟Поставьте 💟 и подпишитесь 🧲

Предыдущие посты смотри в моем профиле 

‼️Сообщение носит информационный характер. Не является индивидуальной инвестиционной рекомендацией"
2024-01-07T21:21:04.843+03:00,"{$INGR} Инград Девелоперская компания

• Инград - девелоперская компания, которая строит жилые комплексы комфорт и бизнес-класса в Москве и Подмосковье.
• Входит в десятку российских девелоперов по объему строящегося жилья в московском регионе.
• Занимается комплексным освоением территорий, а не точечными застройками.
• Один из наиболее известных и масштабных проектов - обустройство территории стадиона ""Торпедо"" площадью 27 гектаров в Даниловском районе Москвы.

Конкурентные преимущества и риски

• Компания имеет хорошую репутацию из-за высокого качества строительства и отсутствия долгостроев.
• Взаимодействует с государством при завершении строительства проблемных объектов и в проектах комплексного развития территорий.
• Программа рассрочки и трейд-ин дополнительно привлекает покупателей.
• Риски: возможное снижение спроса на недвижимость из-за высоких процентных ставок, уменьшение реальных доходов населения, логистические проблемы с поставками оборудования и материалов, усиление конкуренции с другими крупными игроками.

#учу_в_пульсе, #обучение, #новичкам, #разбор_компании,#акции, #прояви_себя_в_пульсе, #пульс, #инвестиции, #аналитика, #пульс_оцени"
2023-12-29T08:58:17.214+03:00,"📅 Ваш #календарь предстоящих событий на 29 декабря 2023 г.

•Последний день под #дивиденды

🇬🇧 Consolidated Water #CWCO - 0,095 $ на акцию, доходность ~0%
🇺🇸 Wolverine World Wide {$WWW} - 0,1 $ на акцию, доходность ~1.1%
🇺🇸 Republic Services {$RSG} - 0,535 $ на акцию, доходность ~0.3%
🇺🇸 Federal Realty Investment Trust {$FRT} - 1,09 $ на акцию, доходность ~1%
🇺🇸 First Financial #THFF - 0,45 $ на акцию, доходность ~1%
🇺🇸 Raymond James Financial {$RJF} - 0,45 $ на акцию, доходность ~0.4%
🇬🇧 Consolidated Water #CWCO - 0,095 $ на акцию, доходность ~0.3%
🇺🇸 Ventas {$VTR} - 0,45 $ на акцию, доходность ~0.9%
🇺🇸 Andersons {$ANDE} - 0,19 $ на акцию, доходность ~0.3%
🇺🇸 🔥 Comcast {$CMCSA} - 0,29 $ на акцию, доходность ~0.7%
🇺🇸 Ingredion {$INGR} - 0,78 $ на акцию, доходность ~0.7%
🇺🇸 🔥 Realty Income {$O} - 0,2565 $ на акцию, доходность ~0.4%
🇺🇸 Pegasystems {$PEGA} - 0,03 $ на акцию, доходность ~0.1%
🇺🇸 🔥 Micron Technology {$MU} - 0,115 $ на акцию, доходность ~0.1%
Limoneira #LMNR - 0,075 $ на акцию, доходность ~0.4%

💡 BlackTerminal.com

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/AM5N3zcfRz4

🎁 ВСЕ продукты Тинькофф с бонусами для Вас 👉 www.tinkoff.ru/baf/2ubL1z7fOsx

 "
