time,text
2024-04-13T14:07:40.683+03:00,"Всем привет!
Продолжаю рассказывать про свою стратегию [&Fox strategy](https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254) .
За прошедшую неделю доходность стратегии составила +0,42%, а общая доходность почти за 3 месяца +12,52%. Эта неделя оказалась не богатой на доход, но с учётом того, что в целом по рынку наблюдали разнонаправленное движение по бумагам, диверсификация портфеля стратегии помогла избежать просадок и позволила немного заработать. Общая же доходность соответствует целям на год – 30-50%, без резких взлётов и падений с ориентацией на плавный рост.
Сегодня расскажу ещё про одну компанию, акции которой я держу в портфеле.
Акции компании Интер РАО ЕЭС {$IRAO} .
Как и акции компаний, о которых рассказывал в предыдущих постах, акции Интер РАО ЕЭС покупал в преддверии отчёта, а так же возможного объявления дивидендов, плюс докупал уже по факту, после объявления дивидендов. Напомню, что они составят 0,326р. на одну акцию, а доходность составит 7,65%, дата покупки для получения – до 31 мая. На сегодняшний день доля данных акций в портфеле стратегии составляет – 32,17%, а доходность +2,77%. Доход пока небольшой, несмотря на внушительную долю в портфеле, однако вижу хорошие перспективы для роста в течение ближайшего времени. К примеру аналогичная ситуация была в портфеле с обыкновенными акциями Сургутнефтегаз {$SNGS} , однако за две недели акции показали рост +5,32%, что было вполне ожидаемо и о чём я и писал.
Так же на прошедшей недели немного уменьшил позицию по акциям компании Московская Биржа {$MOEX} , зафиксировал прибыль +8,37%, средства от продажи пошли на покупку акций компании, о которой я расскажу в следующем посте.
Портфель стратегии:
Интер РАО ЕЭС: Доля – 32,17%, доход + 2,77%;
Московская Биржа: Доля – 20,46%, доход + 6,43%;
Сургутнефтегаз: Доля – 13,95%, доход + 8,71%;
Сбербанк {$SBER} : Доля – 13,46%, доход + 10,56%;
Северсталь {$CHMF} : Доля – 8,14%, доход + 15,57%;
ВИМ – Ликвидность {$LQDT} : Доля – 1,48%, доход + 0,46%;
Компания, о которой расскажу в следующем посте: Доля – 10,13%, доход + 1,29%;
Спасибо всем, кто дочитал до конца, всем удачи и зелёных портфелей!!!
Ознакомиться со стратегией, пока она находится в закрытом режиме, можно по ссылке https://www.tinkoff.ru/invest/strategies/b4a42b8f-634f-4e1f-82f7-6096bae72254/
Не является ИИР!"
2024-04-13T13:25:14.831+03:00,{$IRAO} че сиськи мнем? Где торговля? Норм папира ✅✅✅🧐
2024-04-13T13:23:09.427+03:00,"{$IRAO}  Купил 5400 акций, чтобы получить дивиденды ,купить нужно до 31 мая с доходностью 7,65% . В рублях это 0,32600.


Так же аналитики предсказали рост на 30%+"
2024-04-13T13:07:58.595+03:00,"За 1-е место в турнире недели получила 🎁 - акцию {$IRAO} 
Есть мысли докупить немного и понаблюдать за динамикой

*Не ИИР"
2024-04-13T12:43:59.568+03:00,"400K в {$IRAO} на 2 месяца.
Есть перспективы?
#помощь_новичкам"
2024-04-13T11:55:28.066+03:00,"Неделька удалась 😎спасибо {$NLMK} , маржинальной торговле и дивидендам ☺
Из подарков, как всегда {$IRAO} и {$HYDR} ☺
Всем успехов на следующей недели 😉"
2024-04-13T11:09:06.765+03:00,"{$IRAO} хорошая точка входа 🤔плечи 5,5х"
2024-04-13T11:01:06.645+03:00,"{$IRAO} дивы 7,6% 🧐🤔"
2024-04-13T10:55:36.698+03:00,"Решил создать второй счëт и понабрать акций с ближайшими диведендами. 

Купил у брата информацию об акциях за доширак, взял одни из прибыльных акций, а точнее ЛСР и ЛУКОЙЛ и начал ждать. 
Сам счëт показывает себя вполне неплохо, где то падает, где то растëт, но в сильный минус не входит. 

В мае, получу 2к+, если темка сработает, как минимум, диведенды не надуманны. 
Если всë прогорит, придëтся думать без какой почки я смогу жить. 

{$LKOH} {$LSRG} {$POSI} {$IRAO}"
2024-04-13T10:52:07.427+03:00,"{$IRAO} 👀 нет торга, работает???"
2024-04-13T10:12:06.094+03:00,{$IRAO} привет энергетики 😉✅
2024-04-13T09:59:53.336+03:00,"Добрый день
Открыла ИИС(старый закрыла)
Начинаю по тихоньку собирать портфель
Пополнила 3300 рублей 
Купила 
{$TATN} ( хорошая перспективная компания с частыми дивами)
{$IRAO} ( хорошая цена, дивы раз в год)
{$MVID} (чтоб была) 🤣
{$MAGN} ( во первых все ждут объявления дивидендов, да и в долгосрок хорошая бумажка)
{$NVTK} ( цена для долгосрочной покупки очень хорошая, буду ещё покупать)
{$GMKN} (купила после дробления, можно позволить , за одно и посмотрим)
{$UWGN} ( много брать не буду, но набирать обороты должна)
{$TRNFP} ( после дробления я думаю все покупают, так же дивиденды платят)
Так же купила облигацию {$RU000A106R79} (погашение через 4,5 года, как раз к закрытию иис)
{$LQDT} ( буду набирать на сдачу, темболее после двух лет держания освобождается от налогов)

Фонды выбрала 3 вида которые буду набирать в равных пропорциях {$TMOS} {$TDIV} {$TGLD} 

Для начала выберу все интересные компании потом буду наращивать объем.
Не иир. Не против если подпишитесь , спасибо."
2024-04-13T08:44:40.860+03:00,{$IRAO}  выиграл в турнире 5 штучек. Приятно 🥰
2024-04-13T06:50:02.943+03:00,{$IRAO} 🍾
2024-04-13T06:17:05.824+03:00,"Занял первое место в недельном турнире 😊😏 Пришлось продать {$IRAO}, чтобы добавить очков , но за победу насыпали кэшбеком, видимо 😆 Первая победа в недельном турнире."
