time,text
2023-03-07T05:00:09.635+03:00,{$IRGZ} мосбиржа прекращает листинг на бирже
2023-03-01T10:50:42.791+03:00,"•{$VTBR} 
""ВТБ увеличивает ставки по вкладам в юанях для всех розничных сегментов… Ставки по депозитам в юанях зависят от пакета услуг, которым пользуется клиент, и сроков размещения. Наибольший доход можно получить при размещении средств на 1,5–2 года. Для пользователей с базовым пакетом услуг доходность по ""Вкладу в будущее"" составит 2,7% годовых, для владельцев пакета услуг категории ""Привилегия"" – 2,91% годовых, для премиальных клиентов – 3,01%"", - сказано в сообщении.

•{$GAZP} 
""Газпром"" подает газ через Украину в подтвержденном украинской стороной объеме через газоизмерительную станцию (ГИС) ""Суджа"" - 42,2 миллиона кубометров на 1 марта, на ГИС ""Сохрановка"" заявка отклонена, сообщил официальный представитель российской компании Сергей Куприянов.

•{$MOEX} 
Новая редакция правил листинга Московской биржи, которые приведены в соответствие с новым регулированием, вступит в силу 6 марта, сообщается в пресс-релизе биржи.

В правилах скорректирована структура Сектора устойчивого развития в связи с появлением в стандартах эмиссии новых типов ESG-облигаций. Сектор устойчивого развития теперь будет включать три сегмента: сегмент облигаций устойчивого развития (зеленые, социальные облигации и облигации устойчивого развития), сегмент облигаций, связанных с целями устойчивого развития (облигации, связанные с целями устойчивого развития, и облигации климатического перехода) и сегмент национальных и адаптационных проектов.

•{$SELG} 
Рост цен на золото способствует удорожанию акций золотодобытчиков, в частности Polymetal на открытии рос на 0,78%, а в первые минуты торгов в лидеры повышения вышел «Селигдар», который прибавляет более 1%.

•{$IRGZ} 
В среду, 1 марта, Мосбиржа прекратит листинг акций ""Иркутскэнерго"". Компания получила уведомление о том, что биржей 24.01.2023 принято решение об исключении с 1 марта 2023 года обыкновенных акций ПАО ""Иркутскэнерго"" из раздела ""третий уровень"" списка ценных бумаг, допущенных к торгам.





📍БКС, Прайм

📊Мои стратегии в Тинькофф:
👉В рамках стратегии [&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199)     акции подбираются на основе концепции диверсификации, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 
Вход в стратегию всегда актуален! 

👉В рамках стратегии [&Грош цена. На пенсию внукам](https://www.tinkoff.ru/invest/strategies/a2c69f25-75fe-4e63-ae8c-bced590ce9bd)   мы       удерживаем позиции более длительный период времени. Подходит для консервативных инвесторов. 

👉 [&Национальное достояние](https://www.tinkoff.ru/invest/strategies/4cf7b9c8-19c3-4dc6-81ad-09779f0349fe)    Моя новая, заключительная стратегия, базированная на сырьевой добыче. 
Россия занимает ведущее место в мире по запасам нефти, газа, угля. На этом мы и будем зарабатывать. 


🎁Бонусы от меня:

✅Бесплатно 2 месяца премиум обслуживания и привилегий от Тинькофф инвестиции
https://www.tinkoff.ru/sl/2grljQro1BK

Вы сможете торговать с особыми условиями по комиссии за сделки, получить крутую аналитику, персональные рекомендации и прогнозы от экспертов Тинькофф , а так же самые квалифицированные специалисты в службе поддержки и много других приятных бонусов 😉  

✅👉Акция до 20 000 рублей за открытие ИИС
https://www.tinkoff.ru/sl/5PVUAKUDoQR

✅👉Другие бонусы от банка Тинькофф, которые могут быть интересны (на особых условиях: вклад, карты с бесплатным обслуживанием, связь, авиабилеты, отели и многое другое) 
https://www.tinkoff.ru/sl/1iPuR76JSxE


#псвп   #пульс #пульс_оцени
#прояви_себя_в_пульсе #пульс_оцени
#новичкам #аналитика #новости"
2023-03-01T09:44:53.872+03:00,"С сегодняшнего дня акции Иркутскэнерго {$IRGZ} исключены из котировального списка Московской биржи {$MOEX} 😢

Ранее, в декабре прошлого года, акционеры «Иркутскэнерго» приняли решение внести в устав компании изменения, согласно которым она перестанет быть публичной. Кроме того, они обратились в Банк России 🇷🇺 с заявлением об освобождении компании от обязанности раскрывать информацию, а также на Московскую биржу с заявлением о делистинге акций 🤷‍♂️

P.S. Кейс {$IRGZ} - отличный пример того, что стоимость акций даже в случае делистинга не падает до нуля☝️ 

Торги {$IRGZ} завершились на отметке 14₽, тогда как всего пол года назад акции стоили 11₽, а в январе 2023 и вовсе достигали 16₽ (на тот момент уже было известно о предстоящем делистинге) 🚀

Это Мы к чем❓К тому что, не стоит слушать тех, кто в Пульсе кричит о том, что «акции {$GRNT} и {$ORUP} упадут до нуля» 🤣

Эти «пастухи» лишь хотят снова и снова устраивать панику, во время которой они опять смогут купить Ваши акции дешево, перед взлетом 😎

Заходите в профиль и подписывайтесь, чтобы получать больше идей, обзоров и мнений раньше других‼️

#новости #новичкам #акции #рынок #трейдинг #аналитика #теханализ #инвестиции #обзор"
2023-03-01T08:08:23.669+03:00,"Бумаги «Иркутскэнерго» будут исключены из котировального списка Московской биржи с 1 марта 2023 года. Соответствующее сообщение было опубликовано компанией.

Компания получила уведомление о том, что публичным акционерным обществом «Московская Биржа ММВБ-РТС» 24.01.2023 принято решение об исключении с 1 марта 2023 года обыкновенных акций ПАО «Иркутскэнерго» (регистрационный номер 1-01-00041-А от 17.06.2003) из раздела «третий уровень» списка ценных бумаг, допущенных к торгам.

Ранее, а именно в декабре прошлого года, акционеры {$IRGZ} в ходе собрания приняли решение внести в устав компании изменения, согласно которым она перестанет быть публичной. Кроме того, они обратились в Банк России с заявлением об освобождении компании от обязанности раскрывать информацию, а также на Московскую биржу с заявлением о делистинге акций."
2023-02-28T21:23:33.478+03:00,"В среду, 1 марта, «ФосАгро» {$PHOR} закроет реестр акционеров для участия в ГОСА. Оно состоится 4 марта.

«Юнипро» {$UPRO} опубликует отчетность по РСБУ за 2022 год. Выручка компании за 2021 год выросла на 17%, чистая прибыль - на 9,8%.

Мосбиржа прекратит листинг акций «Иркутскэнерго» {$IRGZ} Компания получила уведомление о том, что биржей 24.01.2023 принято решение об исключении с 1 марта 2023 года обыкновенных акций ПАО «Иркутскэнерго» из раздела «третий уровень» списка ценных бумаг, допущенных к торгам.

Мосбиржа {$MOEX} начнет торги фьючерсами на турецкую лиру и гонконгский доллар. Запуск новых контрактов обусловлен ростом интереса клиентов к этим валютам."
2023-02-28T16:58:46.861+03:00,"{$UPRO} {$HYDR} {$PHOR} {$IRGZ} 

События на 1 марта

Юнипро - финансовая отчетность по РСБУ за 4кв2022/2022
РусГидро - финансовая отчетность по МСФО за 4кв2022/2022
Фосагро - закрытие реестра для участия в ГОСА (24.03.2023, в заочной форме, повестка пока не определена)
Иркутскэнерго - прекращение листинга акций на Московской бирже

-------------------------------
Тебе подарок🤓 за подписку и твои успехи
https://www.tinkoff.ru/sl/8CWoGPc4HMw
Два месяца Тинькофф premium совершенно бесплатно
 ⁃ Комиссия в инвестициях 0.04 вместо 0.3
 ⁃ ЛИЧНЫЙ менеджер по инвестициям 😱
 ⁃ аналитика бумаг от Тинькофф 🫶🏼
 ⁃ бесплатное обслуживание счетов
 ⁃ 6% на остаток по карте, 7% на накопительный счет и 8% на вклад 
 ⁃ Повышенный кэшбек (за месяц на 1к-1.5к точно будет выходить)
 ⁃ Очень крутой тариф в Мобайле, а именно полный безлимит по минутам и 30гб инета за 189₽🔥 (до этого платил за связь чуть меньше 1к) 
 ⁃ Скидка 50% на Тинькофф Журнал
 ⁃ Премиальная поддержка оператора (реально отличается от обычного)
 ⁃ Очень много других интересных сервисов, в том числе проходы в бизнес залы в аэропортах (2 раза/месяц)
 ⁃ Ну и конечно металическая карта"
2023-02-26T01:19:06.573+03:00,"{$IRGZ}  
Компания получила уведомление о том, что публичным акционерным обществом «Московская Биржа ММВБ-РТС» 24.01.2023 принято решение об исключении с 1 марта 2023 года обыкновенных акций ПАО «Иркутскэнерго» (регистрационный номер 1-01-00041-А от 17.06.2003) из раздела «третий уровень» списка ценных бумаг, допущенных к торгам."
2023-02-24T08:51:03.560+03:00,"Hello 👋 пульсяне 💛 

Вчера писал , напоминаю 🧑‍💻

💼 Корпоративные события на ближайшие дни

{$TGKN} 26.02.23 Закрытие реестра акционеров «ТГК-14» для участия в ВОСА

🗓 27.02.23 27 февраля состоится заседание совета директоров « #Россети Сибирь»

Состоится заседание совета директоров «Россети #Сибирь». 

На повестке внесение изменений в инвестиционную программу на период 2022-2026 годы.

{$FIXP} 27.02.23 Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года

Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года.

В 2021 году выручка увеличилась на 21,3%, до 230,5 млрд рублей благодаря расширению сети магазинов и росту сопоставимых продаж. Чистая прибыль за 2021 год увеличилась на 21,7% и составила 21,4 млрд рублей, при этом рентабельность по чистой прибыли составила 9,3%.

{$LSNG} 27.02.23 27 февраля состоится заседание совета директоров «Россети Ленэнерго»

27 февраля состоится заседание совета директоров «Россети Ленэнерго».

На повестке одобрение проекта изменений, вносимых в инвестиционную программу на период 2021-2025 годы.

27.02.23 Закрытие реестра акционеров «Нижнекамскнефтехима» для участия в ВОСА

{$TATN} 🗓 27.02.23 Заседание совета директоров «Татнефти» пройдет 27 февраля

Совет директоров «Татнефти» обсудит 27 февраля создание представительства компании в Турции, следует из материалов компании.

Компания в июне 2021 года сообщала о подписании с министерством промышленности и технологий Турции меморандума о сотрудничестве на территории страны в нефтехимической отрасли. Кроме того, документ, как уточняли в «Татнефти», предусматривает в случае совместной реализации проектов меры государственной поддержки со стороны турецкого правительства.

Также на заседании совета директоров «Татнефти» планируется обсудить выполнение инвестиционной программы за 2022 год и подвести итоги исполнения бюджета за январь, а также утвердить бюджет на март.

{$AFLT} 27.02.23 27 февраля совет директоров «Аэрофлота» обсудит долгосрочную программу развития компании

Участники СД обсудят актуализацию долгосрочной программы развития «Аэрофлота» на период до 2026 года, актуализацию регламента повышения инвестиционной и операционной эффективности и сокращения расходов.
 
Также в повестке заседания – вопрос об актуализации порядка согласования плановых и программно-целевых документов «Аэрофлота» по реализации мероприятий на территории Дальневосточного федерального округа.
 
Кроме того, будет обсуждаться положение о порядке доступа к инсайдерской информации «Аэрофлота», определение позиции в отношении сделки АО «Авиакомпания «Россия» по изменению условий сделок аренды воздушных судов Boeing 747-400, Boeing 777-300 и другие вопросы.

{$SELG} 28.02.23 Внеочередное общее собрание акционеров «Селигдара»

28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового год

{$SFTL} 28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового года

{$PHOR} 🗓 01.03.23 Закрытие реестра акционеров «ФосАгро» для участия в ГОСА

☢️ {$IRGZ} 🗓 01.03.23 Мосбиржа {$MOEX} прекратит листинг акций «Иркутскэнерго»

{$HYDR} 🗓 01.03.23 Публикация финрезультатов «РусГидро» по МСФО за 2022 год

🗞 Финам + 📕

#псвп #прояви_себя_в_пульсе #псвп #новичкам
#учу_в_пульсе #обучение #аналитика
#финансы #пульс_оцени"
2023-02-23T11:38:44.445+03:00,"⚠️ Важные события для Российского рынка 🇷🇺 

{$TGKN} 26.02.23 Закрытие реестра акционеров «ТГК-14» для участия в ВОСА

🗓 27.02.23 27 февраля состоится заседание совета директоров « #Россети Сибирь»

Состоится заседание совета директоров «Россети #Сибирь». 

На повестке внесение изменений в инвестиционную программу на период 2022-2026 годы.

{$FIXP} 27.02.23 Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года

Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года.

В 2021 году выручка увеличилась на 21,3%, до 230,5 млрд рублей благодаря расширению сети магазинов и росту сопоставимых продаж. Чистая прибыль за 2021 год увеличилась на 21,7% и составила 21,4 млрд рублей, при этом рентабельность по чистой прибыли составила 9,3%.

{$LSNG} 27.02.23 27 февраля состоится заседание совета директоров «Россети Ленэнерго»

27 февраля состоится заседание совета директоров «Россети Ленэнерго».

На повестке одобрение проекта изменений, вносимых в инвестиционную программу на период 2021-2025 годы.

27.02.23 Закрытие реестра акционеров «Нижнекамскнефтехима» для участия в ВОСА

{$TATN} 🗓 27.02.23 Заседание совета директоров «Татнефти» пройдет 27 февраля

Совет директоров «Татнефти» обсудит 27 февраля создание представительства компании в Турции, следует из материалов компании.

Компания в июне 2021 года сообщала о подписании с министерством промышленности и технологий Турции меморандума о сотрудничестве на территории страны в нефтехимической отрасли. Кроме того, документ, как уточняли в «Татнефти», предусматривает в случае совместной реализации проектов меры государственной поддержки со стороны турецкого правительства.

Также на заседании совета директоров «Татнефти» планируется обсудить выполнение инвестиционной программы за 2022 год и подвести итоги исполнения бюджета за январь, а также утвердить бюджет на март.

{$AFLT} 27.02.23 27 февраля совет директоров «Аэрофлота» обсудит долгосрочную программу развития компании

Участники СД обсудят актуализацию долгосрочной программы развития «Аэрофлота» на период до 2026 года, актуализацию регламента повышения инвестиционной и операционной эффективности и сокращения расходов.
 
Также в повестке заседания – вопрос об актуализации порядка согласования плановых и программно-целевых документов «Аэрофлота» по реализации мероприятий на территории Дальневосточного федерального округа.
 
Кроме того, будет обсуждаться положение о порядке доступа к инсайдерской информации «Аэрофлота», определение позиции в отношении сделки АО «Авиакомпания «Россия» по изменению условий сделок аренды воздушных судов Boeing 747-400, Boeing 777-300 и другие вопросы.

{$SELG} 28.02.23 Внеочередное общее собрание акционеров «Селигдара»

28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового год

{$SFTL} 28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового года

{$PHOR} 🗓 01.03.23 Закрытие реестра акционеров «ФосАгро» для участия в ГОСА

📛 {$IRGZ} 🗓 01.03.23 Мосбиржа {$MOEX} прекратит листинг акций «Иркутскэнерго»

{$HYDR} 🗓 01.03.23 Публикация финрезультатов «РусГидро» по МСФО за 2022 год


#прояви_себя_в_пульсе #новичкам
#отчеты #аналитика
#финансы #пульс_оцени #события #акции"
2023-02-23T09:00:11.244+03:00,"💼 Корпоративные события на ближайшие дни

{$TGKN} 26.02.23 Закрытие реестра акционеров «ТГК-14» для участия в ВОСА

🗓 27.02.23 27 февраля состоится заседание совета директоров « #Россети Сибирь»

Состоится заседание совета директоров «Россети #Сибирь». 

На повестке внесение изменений в инвестиционную программу на период 2022-2026 годы.

{$FIXP} 27.02.23 Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года

Fix Price опубликует финансовые результаты за 4 квартал и 12 месяцев 2022 года.

В 2021 году выручка увеличилась на 21,3%, до 230,5 млрд рублей благодаря расширению сети магазинов и росту сопоставимых продаж. Чистая прибыль за 2021 год увеличилась на 21,7% и составила 21,4 млрд рублей, при этом рентабельность по чистой прибыли составила 9,3%.

{$LSNG} 27.02.23 27 февраля состоится заседание совета директоров «Россети Ленэнерго»

27 февраля состоится заседание совета директоров «Россети Ленэнерго».

На повестке одобрение проекта изменений, вносимых в инвестиционную программу на период 2021-2025 годы.

27.02.23 Закрытие реестра акционеров «Нижнекамскнефтехима» для участия в ВОСА

{$TATN} 🗓 27.02.23 Заседание совета директоров «Татнефти» пройдет 27 февраля

Совет директоров «Татнефти» обсудит 27 февраля создание представительства компании в Турции, следует из материалов компании.

Компания в июне 2021 года сообщала о подписании с министерством промышленности и технологий Турции меморандума о сотрудничестве на территории страны в нефтехимической отрасли. Кроме того, документ, как уточняли в «Татнефти», предусматривает в случае совместной реализации проектов меры государственной поддержки со стороны турецкого правительства.

Также на заседании совета директоров «Татнефти» планируется обсудить выполнение инвестиционной программы за 2022 год и подвести итоги исполнения бюджета за январь, а также утвердить бюджет на март.

{$AFLT} 27.02.23 27 февраля совет директоров «Аэрофлота» обсудит долгосрочную программу развития компании

Участники СД обсудят актуализацию долгосрочной программы развития «Аэрофлота» на период до 2026 года, актуализацию регламента повышения инвестиционной и операционной эффективности и сокращения расходов.
 
Также в повестке заседания – вопрос об актуализации порядка согласования плановых и программно-целевых документов «Аэрофлота» по реализации мероприятий на территории Дальневосточного федерального округа.
 
Кроме того, будет обсуждаться положение о порядке доступа к инсайдерской информации «Аэрофлота», определение позиции в отношении сделки АО «Авиакомпания «Россия» по изменению условий сделок аренды воздушных судов Boeing 747-400, Boeing 777-300 и другие вопросы.

{$SELG} 28.02.23 Внеочередное общее собрание акционеров «Селигдара»

28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового год

{$SFTL} 28.02.23 Softline Holding опубликует отчетность за 3 квартал 2022 финансового года

{$PHOR} 🗓 01.03.23 Закрытие реестра акционеров «ФосАгро» для участия в ГОСА

☢️ {$IRGZ} 🗓 01.03.23 Мосбиржа {$MOEX} прекратит листинг акций «Иркутскэнерго»

{$HYDR} 🗓 01.03.23 Публикация финрезультатов «РусГидро» по МСФО за 2022 год

🗞 Финам + 📕

#псвп #прояви_себя_в_пульсе #псвп #новичкам
#учу_в_пульсе #обучение #аналитика
#финансы #пульс_оцени"
