time,text
2024-04-13T13:37:29.100+03:00,"{$IRKT} итак, господа, акция зависла а шатком равновесии. Ваше мнение! 62 или 81 в ближайшее время?"
2024-04-13T07:28:35.615+03:00,{$IRKT} сходим ближе к 70?
2024-04-13T00:08:22.947+03:00,"{$TCSG} Сегодня до закрытия тут ловил дно
Наконец-то закрыли эту биржу 😁 небольшой минус переношу на выходные. 
{$IRKT} Тут в принципе поймал, вообще считаю неплохой потенциал у таких бумаг сейчас по сравнению с теми кто уже иксанул. 

Не ИИР!) Всем отличных выходных, весна на улице, проведите их на природе с близкими людьми!"
2024-04-12T23:04:30.264+03:00,{$IRKT} саанина
2024-04-12T22:51:40.152+03:00,"{$IRKT} петушиная бумажка, слов нет"
2024-04-12T21:00:06.031+03:00,"{$IRKT} Рост был зигзагами, сейчас светиться ГИП. Пришлось выскочить в плюс. Смотрит вниз. Могу и ошибиться.
Не ИИР."
2024-04-12T20:51:43.155+03:00,{$IRKT} ребзи у кого какая средняя ?
2024-04-12T18:18:14.773+03:00,{$IRKT}  Вероятней коррекция до 70
2024-04-12T15:49:52.199+03:00,{$IRKT} Космос за нами. Только вперёд!!!
2024-04-12T15:02:21.895+03:00,{$IRKT} 74!
2024-04-12T13:24:21.722+03:00,{$IRKT} комментируйте мое рисование … кстати я не один склоняюсь к тому что в ближайшее время увидим 82-84р
2024-04-12T12:33:07.195+03:00,{$IRKT} прости Юра мы все просрали.
2024-04-12T11:43:39.355+03:00,"{$IRKT} Путин поручил «Роскосмосу» и «Росатому» совместно с правительством найти деньги на развитие космической ядерной энергетики. Срок исполнения поручения — июнь 2024 года, ответственным назначен Мишустин. Ранее президент заявлял, что строительство ядерной энергоустановки в космосе — та сфера, в которой у России «есть компетенции, которыми другие страны не обладают»"
2024-04-12T11:38:59.725+03:00,"{$IRKT} а че ОАК растёт, а мы нет"
2024-04-12T10:36:22.226+03:00,{$IRKT} день торпедиста - подводника
2024-04-12T10:15:17.058+03:00,{$IRKT} Вот тебе и день 🚀 Космонавтики 🤷
2024-04-12T10:13:19.012+03:00,"{$IRKT} не , не хочет она расти …"
2024-04-12T10:10:46.383+03:00,{$IRKT} {$UNAC}  масштабы работ сейчас по производству самолетов. Свежий репортаж из Хабаровска. https://youtu.be/TnD96V9OUlw
2024-04-12T10:07:07.506+03:00,"Добрый день, Господа инвесторы!☀️


Хочу поздравить всех причастных и себя в том числе🤓 со Всемирным днём авиации и космонавтики🚀🛫. 
Желаю обладать всеми необходимыми качествами, чтобы каждый день совершать свой достойный полёт. И пусть всегда будет, чем гордиться, куда стремиться, к кому возвращаться и во что верить. Желаю здоровья, мужества, сил и огромных успехов в покорении высот и пространства!
И он сказал: ""Поехали""🚀
И немного компаний из этого сектора, которые я бы возможно использовала для тактических идей⬇️⬇️⬇️
{$UNAC} {$IRKT} {$AFLT} {$RKKE} 

P.S поставила себе цель на этот год выкладывать минимум один пост в неделю, итого 52 поста в год, восьмой пошел 8/52🚀 (хоть и с большим перерывом🤪 но у меня уважительная причина, заканчивала обучение по составлению финансовых планов для инвесторов 💪💰📚📈📉📊
#прояви_себя__в_пульсе 
#пульс_оцени 
#хочу_в_дайджест 
#новичкам 
#яумужааналитик"
2024-04-12T09:21:48.182+03:00,"{$IRKT} {$UNAC} 

Поехали! (с)

🚀Человек всегда стремился преодолеть земное притяжение. Авиация - это путь в космонавтику. Юрий Гагарин сделал непостижимый космос доступным для исследователей. Авиастроители делают небо доступным для всех нас. Рука об руку больше шести десятилетий. С праздником, покорители стихий!

На фото Ил-76МДТ, на борту которого проводятся тренировки в невесомости 🚀"
2024-04-12T08:16:07.572+03:00,"{$IRKT} {$UNAC} 
Приветствую всех участников Пульса!

Первая в этом году партия новых многофункциональных истребителей Су-35С передана Минобороны России. Самолеты поколения 4++ прошли цикл наземных и летных испытаний в различных рабочих режимах и совершили перелет с аэродрома Комсомольского-на-Амуре авиационного завода им. Ю.А. Гагарина к месту несения службы.

«Перед нашими авиастроителями стоит задача обеспечить ритмичность производства и поставок новых самолетов, востребованных Минобороны России. Также специалисты ОАК занимаются поддержанием исправности и восстановлением летной годности строевых машин. Переданные в войска самолеты отличают высокие летно-технические и маневренные характеристики. Су-35С оснащены самым передовым оборудованием и информационно-прицельными системами большого радиуса действия. Современные бортовые комплексы позволяют устанавливать связь и высокоскоростной информационный обмен как между самолетом и наземными пунктами управления, так и между самолетами», - сказал первый заместитель генерального директора Госкорпорации Ростех Владимир Артяков.

Сегодня КнААЗ им. Ю.А. Гагарина обеспечен загрузкой до 2028 года включительно. Предприятие продолжает выполнение государственного оборонного заказа на поставку боевых машин Су-35С и Су-57 для ВКС России.

«Мы производим самолеты Су-35С на самом высоком технологическом уровне благодаря масштабной модернизации производства, которая была проведена на комсомольском заводе за последние несколько лет и еще продолжается. Это и поточная линия, и новые российские станки, и испытательная база. Оперативная адаптация производства к растущим потребностям ВКС стала возможной благодаря значительным государственным инвестициям в развитие завода», - сказал генеральный директор ОАК Юрий Слюсарь.

Рост загрузки производственных мощностей ставит перед КнААЗ вопросы повышения квалификации действующих работников и привлечения новых кадров по основным рабочим и инженерным специальностям. К концу 2024 года численность авиастроителей должна увеличиться еще на 800 человек.

Всем профита!

⚠️Не является индивидуальной инвестиционной рекомендацией.

👉Подписывайтесь на мой профиль в Пульсе.
Чтобы не упустить важное.✅

#новичкам #пульс #пульс_оцени #прояви_себя_в_пульсе #учу_в_пульсе #хочу_в_дайджест"
