time,text
2023-08-31T12:56:52.940+03:00,"{$ISKJ} Что происходит с бумагой, этот вопрос к брокеру Тинькофф?"
2023-08-18T12:30:57.709+03:00,{$ISKJ} это в Сбербанке
2023-08-18T12:21:43.913+03:00,{$ISKJ} это как вообще? Просто пропали из портфеля.... и увели в минус
2023-08-18T12:20:54.132+03:00,{$ISKJ} Исчезли акции из портфеля что за х...
2023-08-18T12:13:02.994+03:00,"{$ISKJ} Вопрос, сколько дней (месяцев/лет) займёт замена"
2023-08-18T12:12:21.458+03:00,{$ISKJ} а когда торги откроют?смена тикера это ведь в плюс?)
2023-08-18T11:41:13.241+03:00,"🔄 Изменение тикера 

🫢 Сегодня на Московской бирже изменился тикер акций Артген биотех {$ISKJ}

🆕 Новый тикер эмитента – $ABIO 

💰 Мы анализируем акции по концепту SmartMoney, если хотите увидеть больше аналитики и научиться торговать по SmartMoney, подписывайтесь на мой профиль!"
2023-08-18T11:28:18.777+03:00,{$ISKJ} пора
2023-08-18T11:25:12.898+03:00,{$ISKJ}
2023-08-18T11:16:58.474+03:00,{$ISKJ}
2023-08-18T11:15:48.750+03:00,"{$ISKJ} почему закрыли торги? Подскажите пожалуйста,  кто знает?"
2023-08-18T11:10:37.285+03:00,"{$ISKJ} Он к польки присоединился,будет 3 года менять стикер. А акции то иностранные, то российские потихоньку потихоньку или блокируются или уходят на вечный тех. ремонт"
2023-08-18T10:46:54.687+03:00,{$ISKJ} тикер поменять это вообще сложно ?)
2023-08-18T10:42:11.998+03:00,{$ISKJ}
2023-08-18T10:28:23.167+03:00,{$ISKJ} НАТЕ! Получите!😂
2023-08-18T10:19:07.618+03:00,"Сегодня нас ожидают #корпоративные_события :

18.08.2023 - ПЯТНИЦА
😄 {$ISKJ} $ABIO : У компании ПАО «Артген» (ранее ИСКЧ) сменится тикер на Мосбирже: с ISKJ на ABIO
😊 {$CIAN} - АДР ЦИАН, финансовые результаты за II квартал"
2023-08-18T10:17:41.744+03:00,"{$ISKJ} в альфе торгует, а здесь опять приколы? Все для людей!"
2023-08-18T10:15:46.706+03:00,"{$ISKJ} почему пишите что биржа закрыта?
Если это брокер Тинь закрыт? Биржа работает нормально!"
2023-08-18T10:11:06.476+03:00,{$ISKJ} блин на втб купила по 108 тут тишина 😣
2023-08-18T10:09:13.803+03:00,{$ISKJ}
2023-08-18T10:04:30.428+03:00,{$ISKJ} а чего случилось?
2023-08-18T10:04:07.529+03:00,{$ISKJ} алло. @Tinkoff_Group . Альфа банке все работает что тут не так?
2023-08-18T10:03:34.649+03:00,"Российский рынок акций постепенно переварил фактор высокой ключевой ставки и адаптировался к волне укрепления рубля. Индекс МосБиржи в четверг прибавил 0,8%. Все отраслевые индексы завершали день в плюсе, кроме строительного сектора.

Долларовый РТС растет уже четвертую сессию подряд. Однако это движение пока просто укладывается в рамки устоявшегося боковика. Никакого выраженного тренда здесь пока нет.

Обороты в акциях нормализовались и вернулись к средним значениям последних недель. В четверг объем торгов составил 68 млрд руб., что в 2,5 раза ниже пикового уровня этого понедельника. Сегодня активность инвесторов может еще снизиться при стабильном фоне.

‼️Власти РФ должны создать условия для ускорения перевода активов российского бизнеса в отечественную юрисдикцию, в том числе преодолеть блокировку таких действий зарубежными странами. Соответствующий пункт содержится в перечне поручений президента Владимира Путина, пишет ТАСС. Новость позитивна для многих компаний, у которых существует перспектива редомициляции, например {$FIVE}  X5 Group, {$HHRU}  HeadHunter, {$TCSG}  TCS Group и др. Данный процесс может ускориться, что повысит привлекательность их акций на бирже.

‼️Бумаги в фокусе:
• {$NKHP}  НКХП (+12,2%). 
Акции взлетали в моменте на 20% на повышенных оборотах до нового максимума. Триггером могла послужить новость о том, что Япония увеличила импорт зерновых из России в июле на 5680% год к году. НКХП осуществляет перевалку зерновых культур на экспорт водным транспортом в черноморском бассейне, так что столь бурная реакция выглядит спекулятивной.

•{$MOEX}  Московская биржа (+4,4%). 
Акции снова в лидерах роста индекса. Их подъем оправдан и выглядит справедливым. После решения ЦБ РФ по повышению ставки во вторник мы уже много раз отмечали, что самый очевидный фаворит в этой ситуации — это именно Московская биржа.

•{$VTBR}  ВТБ (+4%). 
Показана один из лучших результатов среди голубых фишек по скорости восстановления после прошедшей коррекции. Акции отыграли более половины потерь, что воспринимается в качестве сигнала в пользу высоких шансов на последующее обновление предыдущих максимумов. 

•{$GCHE}  Черкизово (+5%). 
Совет директоров рекомендовал выплатить промежуточные дивиденды за I полугодие 2023 г. в размере 118,43 руб. Доходность 2,9%. Напомню, что ранее в понедельник акции взлетали на 20% на анонсе этого заседания, но на исходные позиции не вернулись. Тот рост выглядит спекулятивным.

•{$BSPB}  Банк Санкт-Петербург-ао (-0,6%). 
После почти 10%-го роста в среду вчера акции показали нейтральный результат. Инвесторы ждут решения по дивидендам по итогам вчерашнего заседания совета директоров.

•{$ENPG} 
""Эн+"" в I полугодии сократила производство электроэнергии на 9,4% - до 39,5 млрд кВт.ч

•События сегодня:
У компании ПАО «Артген» {$ISKJ}  (ранее ИСКЧ) сменится тикер на Мосбирже: с ISKJ на ABIO.

{$CIAN}  ЦИАН может опубликовать финансовые результаты по МСФО за II квартал 2023 г.

‼️Ставки вкладов в банках растут вслед за ключевой ставкой ЦБ РФ, но пока не обгоняют её. Так, {$SBER}  {$SBERP}  Сбербанк в четверг объявил о повышении ставок по рублевым вкладам, максимальная теперь составляет 12%. Не остались в стороне и другие участники рынка.
----------------------------------------------------
Рекомендую его стратегии в Тинькофф:
👉В рамках стратегии [&Абсолютная величина](https://www.tinkoff.ru/invest/strategies/a30a5e5d-0478-4f6c-8c01-9693c4ef3199)  акции подбираются на основе концепции диверсификации, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 

👉В рамках стратегии [&Грош цена. На пенсию внукам](https://www.tinkoff.ru/invest/strategies/a2c69f25-75fe-4e63-ae8c-bced590ce9bd)   мы удерживаем позиции более длительный  период времени. Подходит для консервативных инвесторов ввиду минимальных рисков. 

👉 [&Национальное достояние](https://www.tinkoff.ru/invest/strategies/4cf7b9c8-19c3-4dc6-81ad-09779f0349fe)   Моя новая, заключительная стратегия, базированная на сырьевой добыче. Россия обладает самым мощным в мире потенциалом минеральных ресурсов, занимая одно из первых мест на планете по разведанным запасам важнейших полезных ископаемых. На этом мы и будем зарабатывать."
2023-08-18T10:02:32.650+03:00,{$ISKJ} хм. Биржа закрыта
2023-08-18T10:02:22.666+03:00,"{$ISKJ}
Где торги?"
2023-08-18T09:59:19.396+03:00,"{$ISKJ} народ, какой теперь у этой рапиры тикер на трейдинг вью??"
2023-08-18T09:57:14.860+03:00,{$ISKJ} почему стакан не работает
2023-08-18T09:55:34.415+03:00,"Доброе утро! Новости и небольшая аналитика к открытию:

{$BSPB} - совет директоров рекомендовал выплату дивидендов в размере 19 руб. 08 коп. Также Банк Санкт-Петербург в I полугодии получил 28.4 млрд руб. чистой прибыли по МСФО, во II квартале - 13,7 млрд руб.

{$CIAN} - предоставят международны стандарты финансовой отчётности (МСФО) за 2кв 2023г

{$MOEX} - рынок отскакивает и приближается к отметке 3100 по IMOEX, валюта в боковике, падение приостановилось, вроде пока все успокоились. 

{$MTSS} - запустили платформу для обучения нейросетей

{$AFKS} - входящая в АФК «Система» компания «CLT девелопмент» займется строительством в России деревянных мини-отелей

{$SPBE} - СПБ биржа увеличит количество ETF на торгах до 195

{$ISKJ} - у компании Артген сменится тикер с ISKJ на ABIO

{$MTLR}, {$MTLRP}, {$RASP} - Погрузка угля на железной дороге в ДФО выросла на 4,4% по сравнению с прошлым годом

Объем отгруженного за семь месяцев угля на Дальневосточной железной дороге (ДВЖД) увеличился до почти 20 млн тонн, что 4,4% больше показателей за аналогичный период прошлого года. Об этом сообщила пресс-служба ДВЖД.

Власти предложили решение проблемы дефицита валюты. Федеральному казначейству могут разрешить проводить операции свопа с юанем, следует из проекта постановления правительства. До этого казначейство могло проводить такие операции только с долларами и евро. У Минфина в резервах накоплено значительное число юаней, а у банков периодически возникает дефицит ликвидности в этой валюте.

ЦБ сообщил, что продажи валютной выручки экспортерами в июле составили $6,9 млрд по сравнению с $16,7 млрд в июле прошлого года.

Всем успешной торговли!

#инвестиции #трейдинг #торговля #скальпинг #скальпер #интрадей #новости #открытие"
