time,text
2023-08-25T14:32:14.283+03:00,"{$KBTK} интересный вопрос меня посетил,
Да не торгуется. Но я все еще держатель горемычных 20 штук акций.
За 2022 год компания по данным Спарк показала очень хорошую прибыль но в 2021 отказалась от раскрытия информации. Были ли дивиденды и где мои крошки со стола?"
2023-02-27T21:27:22.359+03:00,{$KBTK} для себя
2023-02-10T03:38:44.137+03:00,{$KBTK} для себя.
2023-01-18T12:28:41.158+03:00,"{$KBTK} подскажите что делать? Биржа закрыта, как вернуть свои деньги?"
2022-01-12T11:51:49.970+03:00,{$KBTK} Она торговаться то начнет когда нибудь?
2022-01-05T18:43:22.087+03:00,"💥 Бабах
{$MTLR} {$MTLRP} 

Встречаем очередной драйвер для усугубления энергокризиса:
{$RASP} {$KBTK} 
/////
Индонезия остановила экспорт угля из-за энергетического кризиса, что может взвинтить цены на мировом рынке

Остановка поставок крупнейшего экспортера угля на мировой рынок незамедлительно вызовет ужесточение дефицита топлива в соседнем Китае и углубление энергетического кризиса по всему миру.

Индонезия остановила экспорт энергетического угля с 1 января 2022 года, чтобы отвлечь поставки на внутренние коммунальные предприятия, которые борются с острой нехваткой топлива, и избежать повсеместных отключений электроэнергии, которые могут подорвать экономическую активность в стране.

Беспрецедентный шаг крупнейшего в мире экспортера энергетического угля усилил неопределенность на морском рынке, поскольку это решение заблокирует поставки ключевым потребителям, таким как Китай, в преддверии пикового зимнего сезона спроса, даже с учетом уже заключенных сделок по обеспечению своевременных грузов. Этот шаг может вызвать еще один виток волатильности цен после того, как спотовые цены упадут более чем вдвое после достижения многолетних максимумов в конце октября 2021 года.

Решение о запрете экспорта последовало за призывом властей в последние недели к производителям угля выполнить свои обязательства на внутреннем рынке, согласно которым поставщики должны отправлять не менее 25% своей продукции на внутренний рынок. Запрет на экспорт был введен в связи с тем, что ряд коммунальных предприятий, как сообщается, располагают запасами угля всего на четыре дня после того, как проливной дождь в некоторых частях основного добывающего региона Индонезии Калимантан еще сильнее ограничил добычу.

Поставки угля для коммунальных предприятий в настоящее время критически важны и очень низки и могут повлиять на национальную электроэнергетическую систему, заявило поздно вечером 31 декабря министерство энергетики Индонезии (ESDM). В нем говорится, что энергетический уголь, который уже загружен на суда или лежит в портах погрузки, должен быть направлен в коммунальные службы.

Угледобывающая промышленность назвала это решение нецелесообразным, поскольку оно может нарушить ежемесячную добычу угля на 38-40 миллиона тонн и повлиять на денежный поток производителей, заявила Индонезийская угледобывающая ассоциация (APBI).

Ряд индонезийских поставщиков угля уже объявили форс-мажор со ссылкой на запрет. Решение также повлияет на грузоотправителей, поскольку они могут нести от 20 до 40 тыс. долларов в день в виде затрат на простой, в то время как правительство может столкнуться с убытками от курсовой разницы в размере около 3 миллиардов долларов в месяц помимо убытков в виде роялти и других доходов, сообщает APBI.

APBI призывает Джакарту найти способы решения основных проблем на внутреннем рынке угля после принятия решения о прекращении экспорта на этот месяц. По его словам, запрет на экспорт — это лишь временное решение, которое не решает структурных проблем, которые привели к дефициту предложения.
/////

Что касается решения по перенаправление на внутренний рынок угля погруженного на суда и лежащего в портах это вообще жесть. По сути этот уголь уже продан другим комраниям, а если поставка на FOB то после пересечения поручней судна груз уже принадлежит покупателю.

До встречи на нашем месте, сами знаете где📍.
 А если остались силы, наколдуй 🌱☘️🍀🌿 - Шеф будет только раД  входящей капельке  на сон грядущий, а то коньяк 🥃 сам себя не купит _)."
2021-12-15T17:29:38.439+03:00,"Марафон накопления (день 23) Горнодобываюшие России на фондовом рынке (ч2) 

Продолжим? Сейчас будут компании с капитализацией меньше 100 млрд ₽ Если не очень понятны как интерпретировать цифры показателей, посмотрите посты ниже про Показатели, станет в разы понятнее

6⃣ Мечел. {$MTLR} 
P/E 0,58 (о боже😱) рост выручки за 5 лет 0,45 ,маржа 20%, Beta 1,77
Дивиденды не платит 

В составе 20 промышленных компаний - горнодобыча + металлургия, есть свои 3 торговых порта, собственная транспортная сеть, а так же сбытовая и сервисная сеть. 

И вроде должно быть все хорошо, но компания по уши в долгах. Из-за этого ее называют ""компания-зомби"". Когда выплаты по долгам превышают всю прибыль. Это как если бы у вас платеж по кредиту был больше, чем ваша зарплата

Большинство принадлежащих Мечел компании находятся в залоге у кредиторов (от 33 до 80%) 
Ну, говорят, последний год дела компании чуть начинают выправляться, хотя, конечно, даже до окупаемости в 0 еще далеко

7⃣ Русолово {$ROLO} 
Р/Е 98 , рост выручки 2,2, долг 166, маржа 9,9, Beta 0,9 
Дивидендов нет

✔️единственный в России, добывающих оловянный концентрат. Олово называют металлом будущего, его отличает низкая токсичность, применяется в производстве упаковки и чипов
✔️Попутно добывает медный, серебряный и вольфрамовый концентраты
✔️97,79% акций принадлежат компании Селигдар
✔️с 2017 года капитал снижается, обязательства растут. 

С этой компании начинаются компании, которые на рынке называются Неликвид. Это обозначает, что в Стакане (см картинке ниже) разница между ценой покупки и продажи может доходить до 100 руб. Это раз, и второе количество акций для покупки и продажи очень маленькое (сравните с Мечел в стакане) 

8⃣Белон (уголь) {$BLNG} 
Р/Е 37,76 рост выручки 79%, долг 0, дивидендов нет, Beta 1,09

✔️ акционеры ММК 95,3%
✔️добыча и переработка коксующегося угля, производство гравия и стали
✔️компании удалось закрыть обязательства, а капитал растет с 2016 года

9⃣ КТК (Кузбасская топливная компания) {$KBTK} 
Рост выручки за 5 лет 9,58%, , EBITDA  минус 913 млн ₽ , маржа ➖12%, Beta 0,47
✔️ энергетический уголь
✔️ находится в Кемеровской области
✔️акционеры 
18,9% Михаил и Саид Гуцериевы (Сафмар) 
23,35% Искандер Халилов
24,6% Виктор Пичугов
✔️ дочки Кузбасстопливосбыт, Транс уголь, Алтайский топливный комбинат
✔️Есть проекты по строительству Погрузочной станции Брянская на 3-5 млн тонн в год и Третьей углеобогатительной фабрики на 5 млн т, но пока мощностей хватает

🔟 ЮУНД (Южно-Уральский никелевый комбинат) {$UNKL} 
84,09% акций принадлежит Мечел
EBITDA ➖ 259 млн ₽, рост выручки 6,88, маржа 21,59, долг 0,  Beta 1, дивидендов нет
✔️2  рудника по добыче никеля и кобальтовой соли
✔️ горнодобывающая и металлургическая компания
✔️ с 2012 года деятельность компании приостановлена, но, как ни странно это не мешает ей торговаться на бирже 😁
✔️ сейчас зарабатывает на аренде и сдаче лома

Ну и. Бонусом компания
1⃣1⃣Evraz 
 Акции торгуются на Лондон бирже, в каталоге {$TCSG} есть только Еврооблиги 
✔️ добывает железную руду и производит сталь в России и Украине
✔️добыча коксующегося угля
✔️производит стальные балки, ж/д рельсы, бронированные и трубные изделия
✔️ поставляет продукцию в Россию, Сев и Юж Америку, Украину, Чехию, Италию
✔️Владеет Распадской

Мои выводы по Отрасли
✔️ Прибыль компаний зависит от цен на отдельные металлы и, если у компании большая доля экспорта зарубеж, то и от курса доллара
✔️ часть компаний убыточны или в долгах, для их модернизации требуются большие вложения
✔️По добыче ископаемых Россия занимает лидирующие позиции, но некоторые еще только в самом начале, например, добыча олова
✔️хорошо, когда у компании хорошая диверсификация по металлам, как у {$GMKN} , благодаря этому она сильнее стоит на ногах
✔️Beta у всех около 1, а значит движение их цены практически совпадает с рынком
✔️При покупке учитывайте низкую ликвидность некоторых, а то, чтобы продать хотя бы по такой же цене, придется долго ждать

🔅🔅🔅
Мои покупки сегодня 
+100₽
{$USDRUB} +2 ➖ 147,76₽
#учу_в_пульсе"
2021-11-16T11:34:17.875+03:00,"🤑 КТК {$KBTK} ДО РЕШЕНИЯ СУДА НЕ БУДЕТ ВЫПЛАЧИВАТЬ ШТРАФ В РАЗМЕРЕ 4,5 МЛРД РУБ ЗА РАЗЛИВ НЕФТИ ПОД НОВОРОССИЙСКОМ - ГЛАВА КТК"
2021-11-11T11:42:59.037+03:00,"{$KBTK} подскажите, что делать есть немного акций ехать в офис тинькофф не имело смысла, теперь всё будет потеряно?"
2021-10-13T15:53:59.197+03:00,"{$KBTK} уголь ушел в космос а она не растёт потому что её выкули и не продают вся прибыль себе🤗 вот это правильная политика управления, а то Мечел, распадская, дивиденды"
