time,text
2024-04-13T21:45:58.961+03:00,{$KLSB} ждём профит!!!
2024-04-12T17:40:19.171+03:00,"{$KLSB} Зайка пора уже, все знают что и как ты можешь разнести этот рынок❤️"
2024-04-12T15:58:11.776+03:00,"{$KLSB} Калуга , жми педаль газа ... 🚀  40+"
2024-04-12T05:58:22.539+03:00,"{$KLSB}

Уважаемая Калуга , вы сегодня планируете взлететь? 🚀

Авиацонное топливо Вам в помощь 
🤑"
2024-04-12T00:03:01.492+03:00,"•Сейчас захотелось поискать ещё прибыльную идею и вот нашёл {$ROLO} 🚀🚀 🚀Завтра дам график по ней, ну и саму идею опубликую💸🤝😁
•Очень напоминает {$KROT} и {$KLSB} по которым я жду вынос вверх 17-25 апреля, если смотреть по графику☝️
•( НЕ ИИР )"
2024-04-11T20:12:48.836+03:00,"💰💰💰

 Свой процент сегодня забрать удалось , но рынок выглядит странно , нет очевидного направления движения , от этого повышенная осторожность . 

{$EUTR} выглядел уверенно , любую просадку выкупали резкими свечками , посмотрим как поведет себя завтра. Если так же , там можно спокойно скальпить. 

{$KLSB} это конечно жесть , но у нее такая манера , на дневном графике видно , что очень часто импульс сливают не то что в ноль , а вообще в минус , поэтому главное там не засесть . 

{$DVEC} взяла после того , как калужская уже хорошо так выросла , и ждала движения , но меня два раза свозили в минус и в очередной раз выйдя хотя бы в ноль по позиции я закралась , и в эту же свечку пошел рост на 3 % , обидка😏 

{$SFIN} пришла к круглому уровню , пробой его конечно был , но может он ложный , если рынок будет положительный, можно обратить внимание, в расчете на небольшой отскок . 

{$GTRK} уже надоедает это затишье , думаю терпения хватит еще не надолго …


Чем вы торговали ?"
2024-04-11T18:00:36.662+03:00,"{$KLSB}

Пуля в башке у этой бумаги ...
Несёт в не туда ...

🤢"
2024-04-11T17:55:40.128+03:00,"{$KLSB}
Ууууффф"
2024-04-11T17:45:11.568+03:00,"{$KLSB}

Всё уже понятно с данной бумагой ...

Так она ещё ко всему , очень медленная,  что вверх что вниз ...

Черепаха 🐢"
2024-04-11T17:01:36.258+03:00,"{$KLSB}

Калуга , давай уже взлетай !!!🤑
На месте топчишься !!!
Достигни высоты !!!🤑"
2024-04-11T16:47:17.075+03:00,"{$SOFL} что же спасибо всем, ребят, с Вами было весело. 

Я вышел всем 👋 
Теперь жду {$KLSB} и пока Ру фонда 👋"
2024-04-11T16:07:40.460+03:00,"{$KLSB} 

У  кого какое мнение ?

Предвидится рост до 40 , или нет ?"
2024-04-11T13:36:32.675+03:00,"{$KLSB}  8 апреля писал, что ожидаю увидеть шип по калуге, так как бумага любит время от времени прострелить, и время уже пришло,  вот и отработала идея, для тех кто вошел от 8 апреля и не испугался коррекции, мог забрать более 7%"
2024-04-11T13:07:03.830+03:00,{$KLSB} ну никак 35 не пробьет.
2024-04-11T11:25:53.754+03:00,"{$DVEC} с учетом информации об укрупнении  энергоснабжающих организаций , полетели все, ждем и здесь когда начнется уже 🤔
Сегодня полетел {$KLSB}"
2024-04-11T11:16:31.358+03:00,{$KLSB} и на 31
2024-04-11T11:15:20.309+03:00,{$KLSB} В планочкую чую седня будет
2024-04-11T11:11:58.593+03:00,{$KLSB} а что происходит?
