time,text
2024-04-13T12:03:38.246+03:00,"🔮 Торговые прогнозы по теханализу
от Тинькофф
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

Источник: Tinkoff_Trading

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #прогноз"
2024-04-12T21:47:23.126+03:00,"{$KMAZ} Прогнозные дивиденды КАМАЗ за 2023 год. Что это значит? Это значит, что дивиденды, доходность и дата реестра, которые вы видите, всего лишь прогноз, всё может поменяться. Купить до 10 июля 2024 [Т+0] — последний день для покупки под дивиденды. Дата, до которой включительно можно приобрести акции, чтобы получить дивиденды. Используется дата начала торгов. Можно продавать (реестр 11 июля 2024) [Т+1] — экс-дивидендная дата. Это значит, что акция торгуется без дивидендов. В этот день происходит отсечка (дивидендный гэп). Вы получите дивиденды даже если продадите акцию в эту дату. Используется дата начала торгов. С 1 августа 2023 года эта дата также является реестром в режиме торгов Т+1. Дата выплаты — номинальные владельцы получают в течение 10 рабочих дней с даты реестра. Зависит от вашего брокера. Ориентировочно 25 июля 2024."
2024-04-12T13:47:22.219+03:00,"{$KMAZ}
Новый сервис «Топливо+» от КАМАЗ, к которому можно подключиться всего за 15 минут! С ним ваши водители, ни на секунду не отвлекаясь от дороги, смогут быстро и легко определить, где ближайшая заправка, а главное — где самое выгодное топливо!📱
https://kmzpro.ru/?utm_source=telegram&utm_medium=post&utm_campaign=promo&utm_content=link&utm_term=gruz0potok&erid=LatgBVv2n
С его помощью можно:
✅ оплачивать топливо сразу с корпоративного счета, что избавляет профессиональных водителей от лишней отчетности о расходах;
✅ руководителю – отслеживать историю заправок, контролировать баланс и остаток лимита у водителей;
✅ не беспокоиться о сервисных сборах (как в топливных картах) и скрытых комиссиях по договор."
2024-04-12T13:46:37.050+03:00,{$KMAZ} а что никто не в курсе что он должен расти 😎
2024-04-12T13:17:37.765+03:00,{$KMAZ} пора расти 🙂
2024-04-12T12:03:12.660+03:00,"{$KMAZ} я не понимаю 4 апреля поднялись на 192 после долгого времени снижения, и опять  месяц ждать"
2024-04-12T11:22:06.272+03:00,{$KMAZ} ну родной🚀🙂
2024-04-12T11:08:16.468+03:00,{$KMAZ} вот 202
2024-04-12T10:42:06.422+03:00,"{$KMAZ}
Не ивестционная рекомендация!
Пологаю, что цена пойдет сегодня,  или на следующей неделе в низ до 177,00, а там дальше посмотрим."
2024-04-12T09:49:29.405+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 11 апреля
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma

💡 Tinkoff_Trading

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM"
2024-04-12T08:05:01.316+03:00,"Лучшие торговые прогнозы по теханализу
по итогам торгов 11 апреля
RUB бумаги
 
 
📈 Потенциал роста
 
💼 Бумага Globaltrans Investment PLC {$GLTR}
💰 Потенциал роста 5.71%
🗓 Срок 14 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index | Zeta
 
💼 Бумага Whoosh {$WUSH}
💰 Потенциал роста 5.56%
🗓 Срок 24 дня
💡 В 93% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Россети Московский регион {$MSRS}
💰 Потенциал роста 3.84%
🗓 Срок 11 дней
💡 В 90% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага РусГидро {$HYDR}
💰 Потенциал роста 7.96%
🗓 Срок 20 дней
💡 В 92% случаев в прошлом была прибыль
🔍 На основе индикатора Aroon | Gamma
 
💼 Бумага Эн+ {$ENPG}
💰 Потенциал роста 2.1%
🗓 Срок 12 дней
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
📉 Потенциал падения
 
💼 Бумага Аэрофлот {$AFLT}
💰 Потенциал падения 9.08%
🗓 Срок 17 дней
💡 В 81% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Банк ВТБ {$VTBR}
💰 Потенциал падения 7.73%
🗓 Срок 23 дня
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага ГК Самолет {$SMLT}
💰 Потенциал падения 7.23%
🗓 Срок 13 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага КАМАЗ {$KMAZ}
💰 Потенциал падения 9.73%
🗓 Срок 13 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
💼 Бумага Русолово {$ROLO}
💰 Потенциал падения 1.47%
🗓 Срок 8 дней
💡 В 68% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Beta
 
💼 Бумага Сегежа {$SGZH}
💰 Потенциал падения 2.39%
🗓 Срок 10 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator | Gamma
 
💼 Бумага Таттелеком {$TTLK}
💰 Потенциал падения 5.92%
🗓 Срок 10 дней
💡 В 65% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI | Gamma
 
 
❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.
 

#теханализ #теханализ_в_пульсе"
2024-04-11T21:43:32.070+03:00,{$KMAZ}  калонна  просто а не свеча 🧐🤔
2024-04-11T21:40:35.934+03:00,"{$KMAZ} зашла в  Камаз, пока боковик, надеюсь, даст старт лонга, по obv странное положение, по трендовому графику положение по 30 мин, ""прибыль"", так что надеюсь, что будет start лонга, считала  паттерн ""арахис"" по Чайкину, надеюсь, что пойдем  в мою сторону. Будни трейдера:  завтракаю в Маке, подошел бомж и  попросил у меня купить ему  фишбургер, меня удивил его выбор, я его спросила, а почему именно эту булку? Он - мне ее папа покупал....блин, так грустно.😭
(Пост для тех кто может перепроверить, кто не  умеет не рекомендация! Могу ошибаться и никогда не рекомендация в шорт.) Люблю всех ♥️"
2024-04-11T21:19:17.597+03:00,"#добрейшего_дня_и_вечера друзья! Те, кто уже давно со мной, могли заметить изменения стоимости моего портфеля в Тинькофф инвестиции. С недавних пор, я снова в строю и готов покорять новые вершины и ставить для себя новые рекорды по доходности. 

Я не отхожу от своего крайнего прогноза https://www.tinkoff.ru/invest/social/profile/Sergei_Gold_Invest/5a62c551-be45-4fcc-8dfb-45d93ec5781b/ 😎 И делаю крайние поблажки компаниям на их рост. 
• {$TATN} покупка первым эшелоном 150 акций по 709.6 ₽ на сумму 106 тыс. ₽
• {$KMAZ} 600 шт. по 188.4 на сумму 113 тыс. ₽
И по-прежнему делаю очень перспективные ставки на:
• {$SGZH} 30 тыс. по 3.811 на сумму 114 тыс. ₽
• {$GAZP} 650 по 163.78 на сумму 106 тыс. ₽
Как закрою сделки с Татнефтью и Камазом буду делать шорты первого эшелона на такие акции, как: {$LKOH} {$SBER} {$ALRS} {$RTKM} {$AGRO} {$WUSH} {$NLMK} по 70-100 тыс. на каждую для начала. Ожидаемая доходность суммарно составит более 70% за третий-четвертый квартал. И разумеется результаты будут опубликованы в моем Пульсе. 
Ни разу моя формула, по которой я работаю с 18 года, меня не подводила в квартальной перспективе. 97% точности прогноза и изредка время прогнозирования увеличивалось, но не более, чем на квартал. 

Из нового в своей жизни могу отметить тот факт, что я начал обучение на новую категорию ВУ - А. Мотоциклы были моей давней детской мечтой и вот настала пора воплотить ее в реальность. Снова придется зазубривать ответы на тесты ПДД😎 Те, у кого есть права, напишите в комментариях к этой записи, согласны ли вы, что учить правила, проходя билеты ПДД намного проще, чем читать эту книжку?

Всем хорошего настроения и удачного завершения торговой недели! У нас еще пятница на носу...📈🔥

#хочу_в_дайджест #дайджест_пульса #цитата_дня #пульс_оцени #прояви_себя_в_пульсе #новости #новичкам  #инвестиции"
2024-04-11T17:49:03.730+03:00,"{$KMAZ}
В столице представили новую модель семейного семиместного кроссовера «Москвич 8». Производство и продажи начнутся в конце 2024 года, пишут РИА Новости."
2024-04-11T17:34:54.722+03:00,{$KMAZ} По всему рынку еле еле шевеления. Интерес из за этого казино к народным бумагам падает. Странно почему ЦБ на это внимание не обращает.
2024-04-11T15:29:53.537+03:00,"{$KMAZ} какого жуя? Ты расти должен, а не в агонии биться!"
2024-04-11T14:22:24.056+03:00,"{$KMAZ} 
Бумага двигается строго по детскому стишку:
- я машина - бибизи, метр еду - два вези 🤪😂😂😂"
2024-04-11T12:14:24.077+03:00,"{$KMAZ} читаю ветки разные - пишут что хотят Энергию фиксануть так как ракета улетела уже и залить бабло для разгона в КамАЗ, я взял"
2024-04-11T11:07:47.042+03:00,"Камаз 🚗. Как дела у автомобильного гиганта?

Вышел отчет за 2023 от одного из бенефициаров последних лет - компании Камаз. Коротко пройдемся по отчету и отмечу основные моменты.

📌 Что в отчете?

— Выручка и валовая прибыль. Компания показала отличный результат по выручке, которая выросла на 26% до 370 млрд, но вот валовая прибыль выросла всего на 20% до 60 млрд. Себестоимость реализации растет опережающими темпами относительно выручки 🚫 

— Рост расходов съел весь рост. Если не брать в расчет разовой списание дебиторской задолженности на 6 млрд, то компания осталась на том же уровне по операционной прибыли в 30 млрд, несмотря на рост выручки в 20%.

— Прибыль и дивиденды. Если убрать разовое списание, то компания способна зарабатывать +-20 млрд в год, что дает P/E = 7, но вот толку от этого немного, так как в виде дивидендов компания насыпет около 2 рублей (1-1.5% доходности).

— Растущий долг. У компании рекордный долг в 144 млрд, с чистым долгом ситуация получше (83 млрд), поэтому на его обслуживание уходит треть операционной прибыли, но если начнутся проблемы в бизнесе, то мультипликатор NET DEBT/EBITDA опять улетит в космос ‼️

📌 Интересные нюансы по бизнесу

— Китайцы душат 🇨🇳. Если посмотреть на продажи грузовиков в 2023 году, то у Камаза появилась серьезная конкуренция в виде китайских компаний: Sitrak, Shacman, Faw, которые активно осваивают российский рынок. Думаю, что Камазу будет тяжеловато дальше удерживать свою долю рынка, не говоря уже о ее росте.

— Daimler ауфидерзейн. Один из основных акционеров Daimler продал в 2024 году свою 15% долю в компании, но вопрос кому? Наверное, структурам Ростеха. 

📌 Мое мнение по компании

Камаз, наверное, лучшая компания на фондовом рынке в машиностроительном секторе с точки зрения финансового здоровья, но зачем ей нужны в капитале миноритарии? Вопрос открытый. Если Вы любитель и мастер разгонов акций из третьего эшелона, то акции Камаза один из самых лучших вариантов. Я в этом несилен, поэтому акций в портфеле никогда не было.

Вывод: ниже среднего, неплохой вариантов для разгонов, но не более того.

Подпишись, мне будет приятно!

{$KMAZ} #мнение #акции #обзор #пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест"
2024-04-10T21:51:26.342+03:00,"{$KMAZ} дневной объём по КамАЗу увеличился в 3 раза, а результат тот-же, как стояли на стоянке, так и стоим. Даже не завели ещё двигатель)"
2024-04-10T20:57:51.296+03:00,"{$KMAZ} почему с октября только вниз? Что тогда произошло, кто знает?"
2024-04-10T13:09:53.875+03:00,{$KMAZ} куда поехал камазик?
2024-04-10T13:04:30.781+03:00,"Фундаментальная оценка располагает к росту акций:
- акции сейчас недооцены;
- АФК Система совместно с Камаз планируют развивать новые технологии;
- выручка за 2023г увеличилась на 25%;
- агенство АКРА повысило рейтинг;
- программа льготного лизинга с господдержкой.

Цели:
- Первая 206,5;
- Вторая 219;
- Третья 236;

Горинзонт 3-4 месяца.

 {$KMAZ}"
2024-04-10T11:10:06.755+03:00,"{$KMAZ} 
Максим Ликсутов рассказал, что в городе уже более 1 600 электробусов российского производства. Новая техника повышает комфорт поездок и снижает негативное влияние на экологию. 

Электробусы КАМАЗ прибывают на московский завод СВАРЗ. Там их собирают, проводят испытания на герметичность батарей и устанавливают оборудование в салоне. 

* 🌱На СВАРЗе уже три месяца кипит работа: в новом максимально безотходном цехе собираются электробусы — такие же eco-friendly, как и сам завод. 

На маршруты города уже вышли 60 московских экоавтобуса, а до конца года цех выпустит ещё 200. 
 
В карточках приоткрываем завесу и показываем, как проходит сборка. 

«Москва входит в число мировых лидеров по использованию и развитию электротранспорта. За 3 месяца в парки Мосгортранса поступило почти 200 современных электробусов, а до конца года ожидаем еще около 600. Продолжаем делать поездки пассажиров комфортнее и безопаснее, как поручил Мэр Москвы Сергей Собянин», — добавил Максим Ликсутов."
2024-04-10T10:04:52.519+03:00,"{$YNDX} {$KMAZ} {$SVAV} {$FEES} {$AFKS} 
{$VOW3@DE} {$TSLA}
Спрос на электромобили в России будет расти в среднем на 38 процентов ежегодно в течение ближайших десяти лет и к 2033-му достигнет уровня в 340 тысяч машин в год. Об этом сообщает газета «Ведомости» со ссылкой на базовый прогноз аналитиков компании Strategy Partners.
https://lenta.ru/news/2024/04/10/rossii-sprognozirovali-rezkiy-rost-prodazhi-elektromobiley/

* В марте россияне активно покупали электрокары. 

«Автостат» сообщил, что в марте россияне купили почти 2500 электромобилей, по сравнению с прошлым годом показатель вырос в 3,5 раза. Самым часто покупаемым авто стал китайский электромобиль Zeekr (1216 штук). Далее — Volkswagen (269 штук), Tesla (152 штук), Avatr (140 штук) и Evolute (138 штук)."
2024-04-09T13:48:16.402+03:00,"{$KMAZ} где тот бульдозерист, что разгребёт 190? 😄"
2024-04-09T13:30:54.867+03:00,"{$KMAZ} обьемчики появляются, уровень прошли. Идейка среднесрок месяц- два"
2024-04-09T13:13:30.481+03:00,{$KMAZ}  ох когда я тебя продам уже (( пол года валяется
2024-04-09T13:07:44.412+03:00,{$KMAZ} нужно закрепиться на 195 и покорять 225
2024-04-09T12:57:07.429+03:00,{$KMAZ} кто б сомневался 🤡😂
2024-04-09T12:49:39.392+03:00,"{$KMAZ} Ангара не взлетела, запустим КамАЗ!"
2024-04-09T12:41:17.677+03:00,{$KMAZ} илон маск купил камаз?🤣
2024-04-09T12:40:11.060+03:00,{$KMAZ} памп?
