time,text
2023-07-14T16:46:08.277+03:00,{$KUZB} 👍🏻
2023-06-08T14:16:55.850+03:00,{$KUZB} 📝
2023-05-19T10:46:56.317+03:00,{$KUZB} для себя
2023-03-28T11:55:50.704+03:00,{$KUZB} Для себя
2023-03-24T11:32:57.610+03:00,{$KUZB} 🤔
2023-03-24T11:01:04.437+03:00,{$KUZB} ц
2023-03-11T04:04:34.946+03:00,{$KUZB} на заметку
2023-03-10T11:05:26.515+03:00,"{$KUZB}   Банк «Кузнецкий» расширил перечень валют для проведения переводов клиентов участников внешнеэкономической деятельности и ввел услугу – обслуживание текущих счетов в казахстанских тенге. Для совершения операций в казахстанской валюте клиентам необходимо открыть счет. Данная услуга предоставляется бесплатно.
Помимо казахстанских тенге Банк продолжает осуществлять валютные переводы в китайских юанях и белорусских рублях."
2023-03-09T12:35:13.519+03:00,{$KUZB} дальше выше📈
2023-03-07T17:21:06.835+03:00,"{$KUZB} Банк «Кузнецкий» поддержал проведение хоккейного турнира имени Александра Кожевникова

        Хоккейный турнир имени Александра Кожевникова – воспитанника пензенской школы хоккея, золотыми буквами вписавшего свое имя в историю отечественного и мирового спорта, проходит в Пензе уже второй раз. Нынешний, второй сезон стартовал осенью прошлого года и объединил семь любительских команд: «Арслан», «Дионис», «Рубин», «Динамо», «Вольный», «Молния» и «ПЛХЛ».
        Председатель Правления Банка «Кузнецкий» Михаил Дралин отмечает, что: «Этот турнир собрал более двухсот участников. И, возможно, нынешние увлеченные спортом любители завтра станут настоящими профессионалами, отстаивающими честь нашего региона на соревнованиях более высокого уровня».
        Главный трофей турнира – Кубок А.В. Кожевникова – будет разыгран весной нынешнего года. 
        Календарь и результаты соревнований можно посмотреть на"
2023-03-07T17:16:41.348+03:00,{$KUZB} 🚀🚀🚀
2023-03-05T11:24:24.164+03:00,"{$KUZB} Михаил Дралин принял участие в Совете Ассоциации банков России

        2 марта на заседании Совета Ассоциации банков России обсуждалось стимулирование участия банков в кредитовании проектов технологического суверенитета и структурной адаптации экономики, а также регулирование цифровых финансовых активов.
        Председатель Совета Ассоциации банков России, глава комитета Госдумы по финансовому рынку Анатолий Аксаков отметил, что банковское сообщество настроено на финансирование приоритетных для экономики проектов, если будут созданы условия для расширения потенциала кредитования. Президент Ассоциации банков России Георгий Лунтовский обратил внимание на то, что смещение фокуса регулирования с ограничений риск-аппетитов и возможностей роста на регулирование, стимулирующее модернизацию и трансформацию экономики, позволит минимизировать последствия введенных санкций.
        Сейчас Ассоциация проводит опрос кредитных организаций относительно проекта Постановления Правительства РФ «Об утверждении приоритетных направлений проектов технологического суверенитета и проектов структурной адаптации экономики РФ и порядке определения соответствия проектов требованиям к проектам технологического суверенитета и проектам структурной адаптации экономики РФ». Его результаты будут направлены в Банк России и Правительство.
        На заседании Совета обсудили также тему регулирования и учета цифровых финансовых активов (ЦФА). Подводя итоги, Анатолий Аксаков отметил, что прозвучавшие предложения банкиров будут включены в протокол Совета и направлены в Правительство Российской Федерации для учета в регулирующих документах."
2023-02-24T01:18:12.881+03:00,{$KUZB}
2023-01-31T00:15:28.517+03:00,{$KUZB} для себя
2022-04-06T22:00:53.589+03:00,{$KUZB} данную акцию в поиске не найти
2022-04-06T21:59:43.552+03:00,{$KUZB} Данная Компания отсутствует в поиске
2022-02-07T19:42:00.493+03:00,"ЦБ усилит контроль за переводами граждан и начнет принимать доносы.

По инструкции ЦБ, банки должны будут блокировать «подозрительные» транзакции и расторгать договор с клиентом. Помимо этого, теперь можно писать доносы на теневых собственников кредитных организаций.
{$SBER} {$VTBR} {$USBN} {$RU000A0JXQ85} {$MTB} {$BSPB} {$KUZB} {$RU000A102G01} {$AVAN} {$RU000A1034T9} {$PRMB} {$RU000A103760}"
2021-05-26T12:19:36.205+03:00,"{$KUZB} в календаре инвестора дата отсечки 20 мая, а в сообщение банка, размещённого на сайте, 24 мая"
2021-05-24T15:18:43.065+03:00,"{$KUZB} у кого какие мысли, будет ли рост в ближайшее время?"
2021-05-20T22:13:08.073+03:00,{$KUZB} надо брать!
2021-05-14T14:19:17.707+03:00,"{$KUZB} А теперь все плавно перейдёт в Росдорбанк $RDRB , также находится через календарь дивидендов, 4 июня 4% дивов,"
2021-05-13T18:45:17.857+03:00,"{$KUZB} ещё один отличный день.

Ещё в начале дня писал

{$MSST} {$SPCE}"
2021-05-13T13:20:45.900+03:00,"{$KUZB} 1 кВ. 2021:
✅балансовая прибыль до налогообложения увеличилась на 79% или на 11,4 млн.руб.;
✅чистая прибыль увеличилась на 36% или на 5 млн. рублей;
✅чистые процентные доходы снизились на 3% или на 1,9 млн. рублей."
2021-05-13T11:44:07.088+03:00,"{$KUZB} вот где летают ракеты  {$SPCE} 
{$GTHX}"
2021-05-13T11:14:54.089+03:00,{$KUZB} кто ещё тут?))
2021-05-12T21:27:24.011+03:00,{$KUZB} ну все я скинул. Маленький региональный банк не может прибавлять 100% стоимости за месяц
2021-05-12T17:29:12.422+03:00,"{$KUZB} пожалуй, пора уносить ноги... что-то напрягает такой рост за три недели, как бы потом с такой же скоростью не хлопнулась... а то и так сижу по горло в биотехе и бабе"
2021-05-12T14:33:27.565+03:00,{$KUZB} что за дикий рост
2021-05-12T13:02:28.392+03:00,{$KUZB} действительно только через стакан даёт купить
2021-04-15T21:36:38.228+03:00,"{$KUZB} был клиентом данного банка. С точки зрения удобства, просто кошмар. С точки зрения финансовой устойчивости твёрдая 4ка. Обслуживает много крупные предприятия Пензенской области. Я добавил себе в портфель"
