time,text
2024-04-12T09:42:34.206+03:00,"*Технический анализ* 
 
System: {$KZOS} Up-trend analysis 
Реализация и развитие технического анализа предоставлено интерактивно. 
 
Короткая опись инфографики: Идея на up-реализацию крупной зоны консолидации, изменение динамики экстремумов, пробой ближайшего сопротивления.
Рассмотрен таймфрейм (4h). Указаны горизонтальные, трендовые уровни поддержки и сопротивления.  Обозначена динамика взаимодействия минимумов и максимумов с горизонтальным и трендовым уровнями (HR|LS).
Начало реализации технического анализа происходит в случае пробоя зоны сопротивления и изменения текущих технических параметров. 
*В случае отсутствия технического пробоя и снижения ниже 101.5, системная идея отменяется.
 
**Публикация является частью системных идей для учета PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции 

Исходный график ""ТА"" без снижения качества изображения -  https://www.tradingview.com/chart/KZOS/X8vNEoSD-KZOS-Long/"
2024-04-10T19:20:42.082+03:00,"Всем доброго времени суток ))
Небольшой отчет за период 1.03.24 - 10.04.24.
Куплено акций на сумму 112 852₽

{$ALRS} - 130 шт.
{$TATN} - 14 шт.
{$ROSN} - 27 шт.
{$WUSH} - 2 шт.
{$LKOH} - 1 шт.
{$SBER} - 20 шт.
{$KZOS} - 90 шт.
{$BELU} - 2 шт.
{$PHOR} - 2 шт.
{$UGLD} - 18 000 шт.

Стоимость портфеля на текущий момент составляет 414 892₽, потихоньку двигаемся к поставленной цели ))"
2024-04-10T16:35:19.285+03:00,"Народ всем привет! Первый пост в пульсе, хотя читаю уже около года вас всех)
Инвестирую в акции и облигации уже около года, стратегия самая простая, раз в неделю кидаю 5000 рублей, на них что то покупаю, купоны и дивиденды реинвестирую, плюс иногда закидываю доп денежку всякие бонусы кэшбэки и т. д.
Вопрос такой... Если рассматривать стратегию купил и держи, без трейдинга и спекуляции, то какой из эмитентов дал вам самый большой плюс в процентах? У меня самый большой плюс это #moex +92% и #lsrg +46,5%, а минус это #nvtk - 10,5%% и #kzos - 10,5%. Новатэк и Казань докупать буду)
П. С как указывать бумаги в постах? {$NVTK} {$MOEX} {$KZOS} {$LSRG}"
2024-04-09T22:37:07.760+03:00,"{$KZOS}
Всякие помойки на 400% летают. А тут что то тихо)) 
Чувствую скоро будет жарища)"
2024-04-09T11:12:50.995+03:00,"🗣️ Дивидендные мнения 💰

💬 Сбер Инвестиции {$KZOS}
По нашим расчетам, сейчас акции Казаньоргсинтеза торгуются выше их фундаментальной стоимости. Однако потенциальных инвесторов могут ожидать неплохие дивиденды в ближайшие годы.

💬 Freedom Finance Global {$HHRU}
На годовом общем собрании 27 марта акционеры Headhunter. ru одобрили редомициляцию группы компаний в Калининградскую область. И это значит, что группа компаний сделала ещё один важный шаг к смене юрисдикцию на российскую, а значит – к будущей выплате дивидендов, хотя юридические процедуры «переезда» компании в Россию завершатся, как компания первоначально планировала, только в 3 квартале 2024 года.
 
💬 Мои Инвестиции {$ALRS}
Набсовет «Алросы» 12 апреля рассмотрит рекомендации по дивидендам за 2023 год. Напомним, что по итогам 1-го пол. 2023 г. компания выплатила 3,77 руб. на акцию, что эквивалентно 50% чистой прибыли и соответствует дивидендной политике. По нашим оценкам, дивиденд за второе полугодие может составить около 2 руб. на акцию.

💬 Алор Брокер {$GLTR}
Взгляд на Globaltrans нейтральный до решения вопроса по дивидендам. Компания редомилировалась в ОАЭ, но это не решает вопрос беспроблемной выплаты дивидендов.

💬 Атон  {$DELI}
Дивидендная политика Делимобиля предполагает коэффициент выплат не менее 50% при соотношении чистый долг/EBITDA не выше 3,0x. Компания может выплатить свои первые дивиденды во 2-м полугодии 2024, если финансовые результаты за первое полугодие окажутся достаточно сильными.

💨 investmint

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

☝🏿60 + 60 🧮 Суммарно 120 дней премиум тарифа Вам БЕСПЛАТНО 

#акции #инвестиции #пульс #новичкам #рынок #дивиденды"
2024-04-08T12:41:44.163+03:00,"В принципе, компании уже могут начинать мне платить, чтобы я их не покупала😂
{$TRMK} {$KZOS} {$NVTK} {$IRAO} {$OKEY} {$GTRK}"
2024-04-08T00:47:31.592+03:00,"💰 Прогнозы по дивидендам за неделю

📌 Магнит ( {$MGNT})
Размер дивидендов: 965,0 руб
Дивидендная доходность: 12,15%
Период: 2023 (реестр 19 июня 2024)

📌 Роснефть ( {$ROSN})
Размер дивидендов: 29,0 руб
Дивидендная доходность: 5,1%
Период: 2023 (реестр 1 июля 2024)

📌 Сургутнефтегаз-ап ( {$SNGSP})
Размер дивидендов: 12,3 руб
Дивидендная доходность: 18,39%
Период: 2023 (реестр 1 июля 2024)

📌 Группа Астра ( {$ASTR})
Размер дивидендов: 6,9 руб
Дивидендная доходность: 1,01%
Период: 9 месяцев 2023 (реестр 30 июня 2024)

📌 КазаньОргСинтез ( {$KZOS})
Размер дивидендов: 9,1 руб
Дивидендная доходность: 8,48%
Период: 2023 (реестр 11 июля 2024)

📌 РусГидро ( {$HYDR})
Размер дивидендов: 0,079 руб
Дивидендная доходность: 10,78%
Период: 2023 (реестр 11 июля 2024)

📌 Также еще аналитики прогнозируют дивиденды у {$FIVE} X5 Group под 430 рублей на акцию. Думаю, необходимо дождаться переезда и ждать уже официальной информации от менеджмента компании

🎁Тинькофф Премиум 2 месяца БЕСПЛАТНО👉👉👉 https://www.tinkoff.ru/baf/7Nif3Uy9eaS"
2024-04-07T21:25:30.291+03:00,"Дивидендный календарь. Что интересного произошло на российском фондовом рынке за неделю? 💰

Четырнадцатая неделя 2024 года получилась неделей не выплачиваемых дивидендов от всех локальных энергетиков, индекс растет, рубль отдыхает, все ближе IPO МТС банка, ждем информации, и обо всем интересном в сегодняшнем выпуске, поехали!

•🟢 Рекомендации и утверждения 
Утверждений не было, а вот КуйбышевАзот рекомендовал выплаты, небольшие, но все же.

•🎯 КуйбышевАзот. 
Размер дивидендов: 15,0 руб  
Дивидендная доходность: 2,2% 
Период: 2023 (реестр 24 мая 2024)

Скромная неделя в плане объявлений, зато рекомендаций не выплачивать было хоть отбавляй. Мать и Дитя, первая дала команду не выплачивать дивиденды, после них ЭЛ-5 Энерго,  ТНС Энерго (НН, Ростов- на-Дону, Ярославвль, Марий Эл, Воронеж, Кубань) оставят инвесторов без дивидендов.

🟡 Прогнозы по дивидендам за неделю 

•🏪 Магнит. 
Размер дивидендов: 965,0 руб  
Дивидендная доходность: 12,15% 
Период: 2023 (реестр 19 июня 2024)

•⛽ Роснефть. 
Размер дивидендов: 29,0 руб  
Дивидендная доходность: 5,1% 
Период: 2023 (реестр 1 июля 2024)

•🛢️ Сургутнефтегаз АП. 
Размер дивидендов: 12,3 руб  
Дивидендная доходность: 18,39% 
Период: 2023 (реестр 1 июля 2024)

•🖥️ Группа Астра. 
Размер дивидендов: 6,9 руб  
Дивидендная доходность: 1,01% 
Период: 9 месяцев 2023 (реестр 30 июня 2024)

•💨 КазаньОргСинтез. 
Размер дивидендов: 9,1 руб  
Дивидендная доходность: 8,48% 
Период: 2023 (реестр 11 июля 2024)

•⚡ РусГидро. 
Размер дивидендов: 0,079 руб  
Дивидендная доходность: 10,78% 
Период: 2023 (реестр 11 июля 2024)

Также еще аналитики прогнозируют дивиденды у 🏪 X5 Group под 430 рублей на акцию. Думаю, необходимо дождаться переезда и ждать уже официальной информации от менеджмента компании

•Что еще?

•📈 Индекс Мосбиржи штурмует новые высоты, в моменте даже прибавлял выше 3 400 пунктов, но закончил неделю на уровне 3 395 пунктов, поднявшись с 3 332.

•🪙 Рубль притаился, стабильно держится на уровне 92,4-92,6 за доллар. Неделю закрыл на уровне 92,5.

•🛢 Нефть марки Brent 90,87$ за бочку, дисконт российской нефти становится минимальным к мировым ценам, российская нефть торгуется выше потолка, установленного странами G7, и это не может не радовать. Проблемы, которые были с поставками нефти в Индию, по косвенным причинам, вроде как разрешаются, а все потому, что некоторые из наших нефтяников, осознали, что работать как раньше не получится (уже никогда) и придется отрывать жопу от кресла, переставать быть придатком западных трейдеров, соблюдать ограничения ОПЕК+, кто держит акции нефтяников, могут быть рады. Дальше-больше!

• 💿 Поддержка устойчивости компании в приоритете перед выплатой дивидендов, заявил менеджмент Норникеля. Также компания завершила сплит акций 1 к 100. Переживают не самые лучшие времена, дивидендов пока не видать, как своих ушей, но зато акции стали доступнее. 

•📱 Впереди нас ждет из самых знаковых IPO 2024 года, МТС Банк планирует выйти на биржу, предполагаемая оценка компании 100-110 млрд. Ждем или не ждем?

#аналитика #рынок #мнение #новости #дивиденды

{$KAZT} {$MDMG} {$ELFV} {$VRSB} {$MGNT} {$ROSN} {$SNGSP} {$ASTR} {$KZOS} {$HYDR} {$FIVE} {$MOEX} {$GMKN}"
2024-04-07T18:20:43.281+03:00,Достойна ли  компания {$KZOS} быть в долгосрочном дивидендном портфеле?
2024-04-07T16:30:44.243+03:00,"💰 Прогнозы по дивидендам за неделю

📌 Магнит ( {$MGNT})
Размер дивидендов: 965,0 руб
Дивидендная доходность: 12,15%
Период: 2023 (реестр 19 июня 2024)

📌 Роснефть ( {$ROSN})
Размер дивидендов: 29,0 руб
Дивидендная доходность: 5,1%
Период: 2023 (реестр 1 июля 2024)

📌 Сургутнефтегаз-ап ( {$SNGSP})
Размер дивидендов: 12,3 руб
Дивидендная доходность: 18,39%
Период: 2023 (реестр 1 июля 2024)

📌 Группа Астра ( {$ASTR})
Размер дивидендов: 6,9 руб
Дивидендная доходность: 1,01%
Период: 9 месяцев 2023 (реестр 30 июня 2024)

📌 КазаньОргСинтез ( {$KZOS})
Размер дивидендов: 9,1 руб
Дивидендная доходность: 8,48%
Период: 2023 (реестр 11 июля 2024)

📌 РусГидро ( {$HYDR})
Размер дивидендов: 0,079 руб
Дивидендная доходность: 10,78%
Период: 2023 (реестр 11 июля 2024)

📌 Также еще аналитики прогнозируют дивиденды у {$FIVE} X5 Group под 430 рублей на акцию. Думаю, необходимо дождаться переезда и ждать уже официальной информации от менеджмента компании

💡 dividends, yeah!

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #прогноз #псвп 
#прояви_себя_в_пульсе #дивиденды"
2024-04-04T20:46:02.076+03:00,"🏭 Что там у нас по 3 ЭШЕЛОНУ КазаньОргСинтез? 

❗️НОВОСТЬ от 1 апреля 2024 года (это не шутка, если что😁): 

""НКНХ во 2 квартале приступит к основным пусконаладочным работам на строящемся этиленовом комплексе «Этилен-600» (ЭП-600), чтобы в 4 квартале получить первые тонны продукции - сообщил генеральный директор предприятия Марат Фаляхов.""

👆Также стоит отметить, что сроки выхода комплекса на полную мощность варьируются от 1 года до 3х лет.

Причем здесь НКНХ и ЭП-600?

По обещаниям Сибура, ЭП-600 поможет с сырьем не только НКНХ, но и {$KZOS}, решив проблему с хронической недозагрузкой сырья.

📊Результаты КОСа за 2023 год по МСФО:
▪️Выручка 99,6 млрд руб. (снижение около 13%, исходя из данных по РСБУ)
▪️EBITDA 30,5 млрд руб.
▪️Рентабельность по EBITDA 30,6%
▪️Операционная прибыль 19,9 млрд руб.
▪️Чистая прибыль 15,9 млрд руб.

Это не рекордные результаты, но весьма достойные в связи со снижением цен на пластики и модернизации производства.

🛡Компания финансово устойчивая, так как долговая нагрузка отсутствует, а запас маржинальности позволяет преодолевать снижение цен на продукцию и рост себестоимости. 

💰Компания стабильно выплачивает дивиденды - на префы по 25 копеек, а на обычки не менее 30% от ЧП по МСФО (часто платили 70% от ЧП)
Минимальный дивиденд на обычки за 2023 год - 2,65 руб. или 2,5% див. доходности.
Прогнозируемый, исходя из 70% от ЧП - 6,2 руб. или 5,8% див. доходности. Да - немного, но идея в акциях заключается не в дивидендах.

💡Идея: Вывод на полную мощность ЭП-600, который решит проблему недозагрузки сырьем, за счет чего произойдет рост производства, что должно отразится на финансовых показателях и оценке акций.

‼️При этом идея имеет повышенные риски - непонятно, когда выйдет на полную мощность ЭП-600 (разброс с 2025г по 2027г), действительно ли он решит проблемы с сырьем КОС (может Сибур опять поступит недобросовестно), плюс компания цикличная.

Но если готовы рискнуть, то можно рассмотреть акции компании КазаньОргСинтез (обычки) на небольшую долю от своего капитала.

Жду лайков за такой контент 🤝❤️🔥

#мнение #анализ"
2024-04-04T17:43:29.897+03:00,"Потенциальных инвесторов {$KZOS}  Казаньоргсинтеза могут ожидать неплохие дивиденды в ближайшие годы - СберИнвестиции

#SIBR #KZOS"
2024-04-04T15:29:53.538+03:00,{$KZOS} скажите пожалуйста а Казань дивиденды выплачивает или нет?
2024-04-04T13:17:56.070+03:00,"{$KZOS} На 36 лямов одной заявкой кто то влетел по рынку
За 20 минут объем в два раза больше среднедневного
В {$NKNCP} тоже странности какие то принт на покупку по 23 млн"
2024-04-04T01:53:10.121+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров ВЧЕРАШНЕГО дня 👇

📈 {$RNFT} +10%
📈 {$VSMO}  +4.2%
📈 {$DELI}  +3.9%.
📈 {$BELU} +3.7%.
📈 {$TTLK} +2.8%.
📈 {$KZOS} +2.8%.
📈 {$MDMG} +2.3%.

📉 {$ELFV}  -4.4%.
📉 {$RASP}  -2.6%.
📉 {$WUSH}   -2.3%.
📉 {$AQUA}   -1.8%.
📉 {$RTKMP}  -1.7%.
📉 {$ASTR}   -1.7%.


Как мы с Вами видим, большинство из этих акций резко превратились из ракет в метеориты, летящие на землю ☄️ <– метеорит

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет или метеоритов 🚀☄️

В Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅

#красавчики_мосбиржи"
2024-04-03T23:01:51.789+03:00,"💰 Потенциальных инвесторов Казаньоргсинтеза могут ожидать неплохие дивиденды в ближайшие годы - СберИнвестиции

Чем примечательны Нижнекамскнефтехим и Казаньоргсинтез «Дочки» СИБУРа

Мы продолжаем исследовать компании малой и средней капитализации за пределами индекса МосБиржи, и сегодня делимся обзорами о Нижнекамскнефтехиме и Казаньоргсинтезе с капитализацией 192 млрд руб. и 196 млрд руб.

Похожие и разные. Обе компании производят нефтехимическую продукцию, Нижнекамскнефтехим – ориентирован на синтетические каучуки, а Казаньоргсинтез – на полиэтилен. При этом компании совершенно разные в качестве инвестиционного кейса.

📌 {$NKNC} {$NKNCP} 
Нижнекамскнефтехим

Амбициозный проект. Нижнекамскнефтехим сейчас строит нефтехимический комплекс по производству этилена и пропилена (ЭП-600), который увеличит производственные мощности компании на треть и обойдется, по нашим оценкам, в 220 млрд руб.

Долг компании будет расти. Проект «ЭП-600» профинансирован пока только наполовину. Для его завершения необходимо привлечь еще около 100 млрд руб. под высокие ставки, из-за чего долговая нагрузка вырастет.

Потенциала роста у акций компании нет. Акции компании сейчас торгуются с достаточно высокими коэффициентами относительно предыдущих лет.

📌 {$KZOS} {$KZOSP} 
Казаньоргсинтез

Финансовые показатели компании стабильны. В среднем за период с 2022 по 2029 годы EBITDA будет в районе 32 млрд руб., а рентабельность по этому показателю будет в ближайшие годы превышать 20%, что на 5 п.п. больше, чем у капитализации Нижнекамскнефтехима.

Дивидендная доходность – более 8%. Держателям обыкновенных акций компании выплачивается не менее 70% чистой прибыли по МСФО. По итогам 2023 года дивидендная доходность по ним может превысить 8%, а по итогам 2024 года – достигнуть 6%.

Обыкновенные акции переоценены рынком. По нашим расчетам, сейчас акции компании торгуются выше их фундаментальной стоимости. Однако потенциальных инвесторов могут ожидать неплохие дивиденды в ближайшие годы.

💡 СберИнвестиции

🎁ПРЕМИУМ от Тинькофф БЕСПЛАТНО
Тариф🔥 www.tinkoff.ru/baf/9AazI9Yk7Cg

🎁 ВСЕ продукты Тинькофф с бонусами 
Вам 👉 www.tinkoff.ru/baf/5JfiHbzmmiM

#новости #пульс #новичкам #псвп 
#прояви_себя_в_пульсе #мнение"
2024-04-03T22:43:13.966+03:00,"Неделя 27 из 250:

Цель - узнать, сколько можно накопить за 250 недель, учитывая, что я типикал студент. Покупать буду так, как смогу (раз в неделю или две).

Внезапно портфель вырос на 3К за 2 недели, кайф😎

Изменения за 2 недели:

•Пришли выплаты купонов по облигациям «Нафтатранс Плюс выпуск 5» {$RU000A106Y21} и «Гарант-Инавест 002Р-07» {$RU000A106SK2} (суммарно примерно 50₽) 

•Покупка  2 лотов акции «Татнефть» {$TATN}  и 1 акции «Астра» {$ASTR} 

•Все таки решил продать весь «Казаньоргсинтез» {$KZOS} и докупить акции (вдобавок ещё одну облигацию) , которые имеются у меня в портфеле. Были докуплены: 1 акция «Северсталь» {$CHMF} , 1 акция «Мать и дитя» {$MDMG} , 10 лотов акции «Сбербанк» {$SBER} , 1000 штук (по сути одна акция) «Южуралзолото ГК» {$UGLD}  и решил докупить облигацию «ИЛС БО-01-001Р» {$RU000A107BH2} 

#инвестиции #акции #облигации #копилка #250недель #псвп"
2024-04-03T00:44:27.614+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров сегодняшнего дня 👇

📈 {$RNFT} +10%
📈 {$VSMO}  +4.2%
📈 {$DELI}  +3.9%.
📈 {$BELU} +3.7%.
📈 {$TTLK} +2.8%.
📈 {$KZOS} +2.8%.
📈 {$MDMG} +2.3%.

📉 {$ELFV}  -4.4%.
📉 {$RASP}  -2.6%.
📉 {$WUSH}   -2.3%.
📉 {$AQUA}  X5 Retail -1.8%.
📉 {$RTKMP}  -1.7%.
📉 {$ASTR}   -1.7%.

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет 🚀

В Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅

#красавчики_мосбиржи"
2024-04-02T13:24:32.602+03:00,"{$KZOS} 🧪

Прошло три торговых дня, профит около 5%🤑

Сегодня дам новую идею в открытый доступ, с вас 2️⃣0️⃣0️⃣👍

Больше идей в @PKN_VIP ⭐️

——————————————————
А если еще не подписан на PKN, то жду тебя в профиле пульс❗️

Топовые идеи с высоким профитом, ежедневные новости и обучение 📚

#обзор #пульс #новости #инвестиции #россия #рынок #пульс_оцени #акции #идея #новичкам"
2024-04-02T12:38:49.115+03:00,{$KZOS} 125?
2024-04-01T09:54:37.779+03:00,"Квартал закончился, пора подвести итоги за 3 месяца.

Доходность спекулятивного портфеля составила 164.5% (не годовых)
Общая доходность по портфелям составила 69%

Спекулятивный счет за март заработал 17%
В этом месяце без призов за турнир, но как то и без акций за 300 рублей переживу) Да и с теми у кого прошла разморозка в этом месяце тяжеловато тягаться.

Основной результат принесли:
- Лонг позиции: {$YNDX}, {$ROSN}, {$PLZL} 
- Шорт позиции: {$KZOS}, {$MTLR}, {$MTLRP}

Из ошибок, ранний заход в шорт по {$PIKK} , на шортсквизе начал слишком рано набирать позицию, недооценил величину отскока. Но лимиты по портфелю на эту позицию еще есть, пока наблюдаю.

Доходность меньше чем в предыдущих месяцах, так как котировки все выше, а риски никуда не делись и торговать так же агрессивно как в январе-феврале весьма опрометчиво. 

Торговля на этих отметках напоминает сбор монеток перед катком и я этим с удовольствием занимаюсь, так рынок растет и нельзя мешать прибыли течь. Но, при всем при этом, следует быть осторожным и задача минимум на апрель-не потерять то, что заработано."
2024-03-29T16:26:20.040+03:00,"Казаньоргсинтез {$KZOSP} {$KZOS}
Итоги 2023: деньги уходят на модернизацию мощностей

Компания Казаньоргсинтез опубликовала бухгалтерскую отчетность по РСБУ за 2023 г.

Выручка компании сократилась на 13,8% до 99,5 млрд руб. Компания не раскрыла ключевые операционные показатели. На наш взгляд, основной причиной снижения доходов стало снижение цен на продукцию.

Операционные расходы снизились только на 8,2% и составили 72,7 млрд руб.

В итоге прибыль от продаж упала более чем на четверть до 26,8 млрд руб.

Объем полученных процентов по остаткам на счетах вырос на 9,6% и составил 1,2 млрд руб. Скромные процентные выплаты были обусловлены практически полным погашением долга.

Отрицательное сальдо прочих доходов/расходов составило 716 млн руб. против убытка 2,9 млрд руб. в аналогичном периоде прошлого года. Подобная динамика была вызвана отражением положительных курсовых разниц, а также доходов от продажи основных средств в размере 683,7 млн руб. Помимо этого, на величину прочих расходов в 2022 г. повлияло начисленние обесценений основных средстив в размере 3,4 млрд руб.

В итоге компания показала чистую прибыль в размере 20,6 млрд руб. (-24,7%).

Из прочих моментов отчетности отметим внушительный рост основных средств (с 66,2 млрд руб. до 85,3 млрд руб.) и связанное с этим сокращение свободных денежных средств и финансовых вложений. Существенное увеличение основных средств может объясняться завершением масштабной модернизацией установки синтеза изопропилбензола, а также внушительными вложениями компании в повышение экологичности своих производств.

По итогам вышедшей отчетности мы повысили прогноз финансовых показателей казанского Оргсинтеза на текущий и будущие годы, отразив начавшееся увеличение производственных мощностей компании. В результате потенциальная доходность акций несколько возросла.

В настоящий момент обыкновенные акции казанского Оргсинтеза торгуются исходя из P/BV 2024 около 1,6 и не входят в число наших приоритетов.

💡 Фундаментальная аналитика"
2024-03-29T10:46:43.153+03:00,"Разбираюсь с сектором Химии 🧪 у себя в портфеле. Решила оставить только 💰 дивидендных, остальных потихоньку распродать. Компаний много, составила табличку интересных для меня показателей. Почему в одном случае я покупаю префы, а в другом обычку 🤦‍♀️ пока для меня загадка, буду отслеживать лучше доходность.

🍀 Докуплю больше {$PHOR} – преобладает у меня в данном секторе, хорошая доходность
🍀 Не покупала и не планирую $HIMCP {$KZOSP} {$AKRN} {$NKNC} – дивов нет не вижу смысла.
🍀 Продам через год если не изменится доходность {$NKNCP}, т.к с доходность 1,22% не нужна. Опубликовали фин результаты 2023, прибыль снизилась вдвое, выручка уменьшилась 🥺
🍀 Буду держать {$KAZT} чтобы в секторе у меня не только ФосАгро было, тут хоть дивдоходность ~ 7,37%
🍀 Купила бы на пробу {$KZOS} разбавить Куйбышев и Нижнекамскнефтехим, но компания сейчас стоит дорого. Отчет такойже плохой как у Нижнекамска.
🍀 Посмотрю со стороны {$KAZTP}, покупать не буду так как есть {$KAZT} с теми же показатели

А Вы какие то компании держите из этого сектора ❓


Не ИИР
#дивы #портфель  #что_купить #акции #прояви_себя_в_пульсе #сектор  #хочу_в_дайджест #дивиденд #доход #пассивныйдоход"
2024-03-29T08:21:13.583+03:00,"Казаньоргсинтез"" опубликовал финансовые результаты за 2023 год по международным стандартам финансовой отчетности (МСФО). Чистая прибыль компании за этот период составила 15,89 миллиарда рублей, что на 88,5% больше, чем в 2020 году, когда она достигла 8,431 миллиарда рублей. Выручка компании также увеличилась на 58,2% и составила 99,56 миллиарда рублей по сравнению с 62,935 миллиарда рублей в 2020 году. {$KZOS} {$KZOSP}"
2024-03-28T19:25:30.979+03:00,{$KZOS}  почему удаляет пост
2024-03-26T13:51:48.201+03:00,"{$KZOS} {$NKNC} стоят одинаково, обе входят в группу Сибур, обе из Татарстана. Кого лучше выбрать ? 🤔

Хотя я предпочел не выбирать вообще и купил обе 😃✌️"
