time,text
2023-02-17T11:39:29.848+03:00,{$LNTA} похоже что остались мы без акций и без вложенных в них денег
2023-01-13T22:36:16.346+03:00,{$LNTA} что случилось с Лентой?
2023-01-04T11:31:01.600+03:00,{$LNTA} до сих пор не выдали акции
2022-10-04T18:14:57.040+03:00,{$LNTA} Как же долго
2022-09-16T01:55:06.575+03:00,"{$LNTA} Пользователи Пульса, у кого-нибудь заблокированы (под замочком) сконвертированные акции Ленты?! Много нас таких? 
По слухам, рано или поздно сконвертированные акции разблокируют, но когда - никому не известно 🤷‍♀️ 250+ акций не так уж много, но и балласт - напрягает..."
2022-09-13T14:17:18.958+03:00,{$LNTA} когда конвертация то ужо?🙄 Есть у кого-то результаты?
2022-09-07T21:20:07.468+03:00,{$LNTA} 48 покупал по 103 руб значит 1 акция обошлась в 515 руб. заметка для себя
2022-09-06T16:44:03.814+03:00,"{$LNTA} зашёл в Ленту, спросил, когда расписки конвертнут в акции, сказали, возьмите кофе по акции и не злите"
2022-09-06T11:27:14.775+03:00,{$LNTA} а почему нельзя продать акции?
2022-09-05T19:35:54.515+03:00,"{$LNTA} 

Интересная конечно ситуация - все эмитенты - которые конвертировали - покупали бумаги на бирже и мы видели скачок цены вверх .

Тут скачок по цене в верх был давно - последнее время только падение .

И остаётся - интрига - они уже раньше покупали или это ещё впереди !😊"
2022-09-05T10:55:37.295+03:00,"{$LNTA} уже Сбер конвертнулся, а ты всё мнёшь груди спекулянтов 😏"
2022-09-02T15:30:12.128+03:00,{$LNTA} ничего не думаю
2022-08-31T18:50:51.041+03:00,"{$LNTA} не понимаю людей которые пишут «блиин, мне кажется ничего не конвертируют», «эх нас обманули»
вы внатуре биба и боба, у нас есть официальное заявление мск биржи и самой ленты. У вас как будто лямы🍋 застряли в этой гдр, что вы так переживаете.
Терпение мои дорогие,терпение"
2022-08-31T13:55:55.556+03:00,"{$LNTA} должны сегодня списать, иначе «до конца августа» не сработает))"
2022-08-31T12:28:52.168+03:00,"{$LNTA} @Tinkoff_Investments 
Добрый день , как дела с гдр лентой ?"
2022-08-30T12:17:59.263+03:00,{$LNTA} добрый день! Кому-нибудь конвертировали уже ?
2022-08-29T12:06:06.305+03:00,"{$LNTA} собираетесь ли вы сливать акции сразу после конвертации или подержите?
После массового слива не будет ли резкого падения их стоимости?"
