time,text
2024-04-13T19:37:57.480+03:00,"Всем привет! Сплит каких акций вы бы хотели увидеть? Жду всех в комментариях! 

Разбор акций и новости фондового рынка у меня в канале📈

{$VSMO} {$RKKE} {$UDMN} {$AKRN} {$LNZL} {$PLZL} {$KRKNP} {$CHMK} {$UNKL} {$PHOR} {$MGNT} {$LKOH} {$PHOR}"
2024-04-13T19:11:20.885+03:00,"{$LNZL} Ребята, ваши прогнозы , до скольки может вырасти в ближайшие 2-3 месяца ?"
2024-04-13T16:32:34.144+03:00,"ЭХХХ НОСТАЛЬГИЯ 🥲😌💰

{$UWGN} {$LNZL} {$ROSN} {$AFLT} {$ETLN}"
2024-04-13T12:56:20.331+03:00,"ДУМКИ ТРЕЙДЕРОВ.💡РУБРИКА. ЧЕМ И КАК ТОРГУЮТ ТРЕЙДЕРЫ❓ ПРОЖАРИ...,Что думаете?...

#Гудвин_VIP
{$RTKM}  Взял по текущим Ростелеком фундаментальная сила в данной акции еще до конца не отыграла, поэтому рост считаю оправданным. Скоро IPO Теле2, еще какую-то дочернюю компанию собираются также выводить на IPO, плюс неплохие дивы. 
Покупка 97,50
Стоп 93,70
Профиты 101,05 и 103,30 и 106,30 и 109,65

{$TRNFP} Мне казалось, что пойдет довольно шустро, так как время сейчас нефтяников. Снова скатилась на трендовую, у кого позы нет можно рассмотреть. 
Очень скучные и без инициативные торги идут последние дни.🤷🏼‍♂️

#Чехов_VIP Пока по рынку особо нечего сказать. 
{$VTBR} немного оживает вместе с {$SNGS} 
Остальные акции в боковике. 

{$MTSS} незаслуженно слили, думаю подтянут повыше в итоге. 

Покупать чего либо не планиурую сегодня.

Сегодня {$ALRS} СД по дивидендам. 
Дадут на мой взгляд 2.3 рубля на акцию. 
Реакция должна быть нейтральной / может даже откат получим небольшой

Наш рынок переоценивает все, что только можно. 
Это событие = мегапозитив для $MTSS. 
Отчет РСБУ за собой породит теории про увеличенный дивиденд за 23 год (иначе зачем поднимать кэш в 1 квартале?). 
Условно могут дать 35 рублей + рублей 10 за МТС Армения. (А могут и не дать, но таких разговоров будет намного больше, когда кэш поднимут в РСБУ). 
И перед СД будет интрига + разгон в сторону 350. 
+ IPO дочерней компании = {$MTSS} Лонг.

#PROFiINVEST PRO - сигналы, обучение, аналитика...:
✅Закрыл полностью позицию в {$BELU} с прибылью +1.1% по 6205₽

🚀 {$LNZL} кто решил погонять,  забирает +10-15%
Но мы хорошо и {$LNZLP} ещё погоняли с вами от конкретных сигналов✅

✅$VTBR  фиксирую 50% позиции на отметке 0.024100 +2% 💰 
Стоп ставлю на точку входа

✅$ROSN фиксирую 50% добора на отметке 579. +2.10% покупали с отметки 567  стоп на входе !!!

✅ {$TATN} фиксирую ещё 20% позиции на отметке 722.5-8 
общий плюс +2.30% 💰

✅$VKCO пошёл импульс 🚀 уже +2% 👏🥳
брали ?

✅Купил $JTOUSDT на 1% от портфеля по 3,21$ с плечом х2.
Цель: 3.62$
Стоп: 2.99
⚠️высокий риск

Закрыл полностью по 3,358$ c прибылью +9%

✅Приобрел $ETHUSDT по 3203$ на 1% портфеля с плечом х3.
Цель: 3380$
Стоп:  3090$

✅Закрыл позицию в $ETHUSDT по 3255$ c прибылью +5%

✅ {$NGJ4} после продажи, опять покупаю по 1,753 с коротким стопом

✅ #NGJ4 1,789
Немного поспекулировал еще и лесенкой закрываю 70% позиции с прибылью +2% двигая стопы за ценой. 
30% буду переносить на пн, со стопом в бу

⚡ ПРОЖАРКА - присоединяйтесь к ленте и проверим самые интересные #идеи из сокрытых каналов ""трейдеров"""
2024-04-13T12:29:07.812+03:00,"{$LNZL} судя по торгам выходного дня, в понедельние полетит вниз"
2024-04-13T06:41:50.916+03:00,{$LNZL} Доброе утро! Когда нам стоит ожидать дивидендов ?)
2024-04-12T21:24:46.551+03:00,"С одной стороны это ужас 😨😱

А с другой стороны, цены 24 часа назад были точно такими же)) Поэтому, сильно не паримся, но эйфорию явно придется выключить 😅😌

Рано паниковать, но позицию зодотодобытчика Я чуть приуменьшил, пока он не успел приупасть сильно))

Если он начнет рост– я не расстроюсь) Доля в портфелях высокая, мне хватит))



Подписывайтесь, на мой Пульс чтобы не пропустить полезные посты 😉 

Купить золото можно так: {$GLDRUB_TOM} {$GOLD} {$AKGD} 
Золотодобытчики: {$UGLD} {$PLZL} {$SELG} {$POLY} 
Что-то с названием ""золото"": {$LNZL} {$LNZLP}"
2024-04-12T21:22:24.799+03:00,"В день космонавтики 🚀в инвестициях! 
{$GLDRUB_TOM}  почти каждый день золотишко ставит новый рекорд, соответственно, добывающие компании, фонды идут вверх 📈 {$TGLD} {$PLZL} {$UGLD}  {$SELG} {$PLZL} {$LNZLP} {$LNZL} 
Поделюсь своими мыслями🧐

Чего ждать дальше: новый рекорд или разумная коррекция? Почему золото растет? Ну ребят, это же золото! 🤩 Нет ценее, чем настоящий слиточек золота. И если выбирать между несколькими бумажными купюрами Хабаровска и граммами золота — здесь выбор очевиден! Также мы все же понимаем, что постоянного роста цены просто не бывает, и эта лихорадка скоро закончится, но когда?! 1-2 неделя, может быть и через месяц, всë реально, ведь это же фондовый рынок. Каждая новость может, как сильно за пампить, так и провалиться с треском. Гадать на картах Таро, делать какие-то умные теханализы, сейчас нет смысла. Кто понимает ценность драгметаллов и вкладывается, тот красавчик! 😎💸 👆

✅Спасибо за прочтение, реакции, которые кидаете. Пульсяне подписывайтесь! 🤗

Всем профита! 🤑

#золото #деньги #мысли #лихорадка #пульс #ракета #прояви_себя_в_пульсе #инвестиции #молодой_инвестор #хочу_в_дайджест 

НЕ ЯВЛЯЕТСЯ ИИР! ОЦЕНИВАЙТЕ РИСКИ!"
2024-04-12T18:24:31.689+03:00,{$LNZL} че ее долбит туда сюда
2024-04-12T18:23:29.884+03:00,{$SELG} {$LNZLP} {$LNZL} {$UGLD} {$PLZL}
