time,text
2024-04-12T12:37:12.732+03:00,{$LSNG} она будет расти ? Сколько можно
2024-04-11T14:44:35.282+03:00,{$LSNG}  СКОКА МОЖНО ПАДАТЬ?!
2024-04-11T14:26:46.490+03:00,"{$LSNG} Фиксанул… в рамках спекуляции. 
Думаю завтра дадут откупить дешевле. 🤞 
Поза для меня не была большой. 
Что-то не нравится какая-то движуха не понятная… Если ошибся и будет рост - заходить буду при пробитии 25 и закреплении. 
Другими словами - нет понимания по Лене… надо смотреть.
Пока принял решение поступить так как написал. Профит на скрине. Не ИИР🤝"
2024-04-11T09:55:53.386+03:00,"{$LSNG} #Ленэнерго 🔋

Не так давно уже смотрел эту бумагу, возвращаюсь снова в рамках разбора индекса.

➖Глобально. По-прежнему считаю, что у бумаги хороший потенциал. Довольно уверенно движется к 36+.

➖Ближе. Обозначил смену нисходящей тенденции и уровень разворота. Интересно, что моменты просадок по фондовой секции — бумага довольно стойко переносила. Цена движется в накоплении с прицелом на 26+, 27+. 

➗Ожидаю выход к 27+, 29+ и 32+.

Ваш взгляд:
рост или падение?

Цепочка по активу
https://www.tinkoff.ru/invest/social/profile/Supreme_Huckster/fc390af5-dcdf-43f7-a86d-1d075afa30c2?utm_source=share"
2024-04-11T00:35:54.972+03:00,"{$MRKP} {$LSNG} - похоже начался сезон пампов сетей и разного низко-ликвида)))

🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀

@De_vint - что думаешь?


*** Не является индивидуальной инвестиционной рекомендацией

#пульс_оцени #прояви_себя_в_пульсе #хочу_в_дайджест #дайджест_пульса"
2024-04-10T13:06:35.288+03:00,"{$LSNG} 🔥+3% с сегодняшнего разбора в этом посте https://www.tinkoff.ru/invest/social/profile/AkopyanSergey/1b966a1d-43c0-45d5-9cf8-8e0469eeb042?utm_source=share

Можно частично фиксировать, и стоп ставить в б/у

Не ИИР, но 👍нужно обязательно 😉"
2024-04-10T13:04:27.437+03:00,"{$KLSB} {$LSNG}  Уже 3% сделала,пора бы догонять)"
2024-04-10T10:56:44.168+03:00,"{$LSNG}

📈Лонг краткосрок(1-3 недели)
✅Цель 5-7%
❌Стоп 2%

Техническая картина(логика сделки)📊
✒️1д фрейм
➖Актив торгуется в формации симметричный треугольник, выход из которого может быть в любую сторону
➖Но косвенные признаки предполагают выход акции вверх
➖Объемы в бумаге проходят хорошие, а давят вниз меньшими
➖Скользящие средние цена удерживает и консолидируется над ними

К компании отношусь нейтрально, подсвечиваю лишь техническую возможность отработки движения

Не ИИР

#теханализ_в_пульсе 
#теханализ #пульс"
2024-04-10T01:17:34.632+03:00,"Сейчас происходит какой-то безумный рост на фондовом рынке и сейчас больше чем раньше необходимо быть осторожным.

Если у Вас есть акции из этого топа, то подписывайтесь на мой Пульс чтобы не пропустить мои обзоры на эти акции 😎🤙

Напомню лидеров ВЧЕРАШНЕГО дня 👇

📈 {$AFKS} Система +6,5%.
📈 {$RUAL} Русал +2,4%.
📈 {$SNGS} Сургутнефтегаз +2,3%.
📈 {$PIKK} Группа Компаний ПИК +2,1%.
📈 {$LSNG} Ленэнерго +2%.
📈 {$MGNT} Магнит +1,9%.
📈 {$SNGSP} Сургут преф +1,8%.

📉 {$SFIN} SFI PAO -2%.
📉 {$POLY} Polymetal -1,6%.
📉 {$YNDX} Яндекс -1%.
📉 {$OZON} Озон -0.7%
📉 {$HYDR} РусГидро -0.3%
📉 {$ROSN} Росснефть -0.3%

Как мы с Вами видим, большинство из этих акций резко превратились из ракет в метеориты, летящие на землю ☄️ <– метеорит

Частью из них я активно торговал в своих стратегиях. Жмите Ракету, если у вас в портфеле есть какие-то из этих Ракет или метеоритов 🚀☄️

В Ютубе скоро выйдет разбор акций, которые в Мае должны очень неплохо взлететь)) 
Подписывайся, чтобы не пропустить 😉✅

#красавчики_мосбиржи"
2024-04-09T19:01:20.170+03:00,"Активированные публикации на 09.04.2024:

{$USDRUB} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/58d5a8ba-8fcd-42db-b814-04d45057ce06/

ROSN - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/3ec2151a-b1b0-44d2-9225-ad2151a98653/

TATN - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9c2b1990-adff-4635-a408-aeaa95e3be93/

{$AGRO} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/b8cd4ac0-e63e-44f5-8a1f-75958fdf674e/

{$NKHP} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$UWGN} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

MRKY - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SPBE} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

CBOM - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$PHOR} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

RENI - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

{$SGZH} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

LIFE - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

MTSS - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$UNAC} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$TTLK} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

{$AMEZ} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

IRKT - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

DVEC - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$TGKA} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/83ccaff9-12e5-44b3-8145-65aaef85c2f7/

{$SFIN} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/192e1f6d-d2c3-455a-b5bc-8576d946f459/

RTKMP - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9ac8c4de-bb0a-4c79-8d5b-6bf2258fc515/

{$LSNG} - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-09T14:14:36.467+03:00,"Всем добрейший денечек 💸
Понедельник и вторник в этот раз такие себе 
Зашла я в {$SFIN} на прошлой неделе, и по какой то неведомой причине решила не выходить 
И вот у меня уже -9% 🥹
Ситуация у меня с Эсэфай прямо как из этого мема 🤣
Да, я вышла, держать я его точно больше не собираюсь 
Залетела в вагон планок {$RBCM} и завтра уже думаю верну свои 9% обратно 💅 

Зафиксировала +5% по {$TGLD}
И выскочила в крошечный плюс по {$LSNG}
Купила я ее уже давненько и на небольшую сумму, она мне глаза мозолила и теперь ее нет и слава богу 😅 

Помимо всего прочего решила я поучавствовать в IPO Займер 
Сделала 4 заявки по 10к, дай бог чтобы аллокация была не совсем мелкой  

И ДА Я ТЕПЕРЬ ЕЩЕ СИЛЬНЕЕ ГРУЩУ ИЗ ЗА {$UGLD} (((((🤣"
2024-04-09T11:29:16.168+03:00,"{$LSNG} - Активация сценария восходящего тренда с началом реализации технических параметров менеджмента - 
https://www.tinkoff.ru/invest/social/profile/Henry_Ross/4056d367-ec42-44b2-96f7-014f1947a6f9/

Исходный график ""ТА"" без снижения качества изображения -  
https://www.tradingview.com/chart/LSNG/TNEvznid-LSNG-Long/

PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-09T10:01:36.453+03:00,"*Технический анализ* 
 
System: {$LSNG} Up-trend analysis 
Реализация и развитие технического анализа предоставлено интерактивно. 
 
Короткая опись инфографики: Идея на up-реализацию модели/зоны консолидации, изменение динамики экстремумов, пробой ближайшего сопротивления.
Рассмотрен таймфрейм (4h). Указаны горизонтальные, трендовые, динамические уровни поддержки и сопротивления. Определение модели зоны консолидации как ""треугольник"".
Обозначена динамика взаимодействие минимумов и максимумов с трендовым и динамическим уровнями (HR|LS).
Начало реализации технического анализа происходит в случае пробоя зоны сопротивления и изменения текущих технических параметров. 
*В случае отсутствия технического пробоя и снижения ниже 22.1, системная идея отменяется.
 
**Публикация является частью системных идей для учета PNL, все системные публикации и результаты по ним учтены в таблице посредством доказательной базы платформ Pulse, TradingView с учётом менеджмента автора (Раздел MOEX): https://docs.google.com/spreadsheets/u/0/d/1Q1LPnBLh-h8Oo8oHVAI8R0nMAouLwIwZBKfqfUFZ-O4/htmlview#gid=897654646&range=A1

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции

Исходный график ""ТА"" без снижения качества изображения -  https://www.tradingview.com/chart/LSNG/TNEvznid-LSNG-Long/"
